"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","phylum","imagecode","continentOcean"
"11","2021-04-07 11:41:17-03","UFMS","CGMS","44587","PreservedSpecimen","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.Santos",NA,"A. Pott; V.J. Pott; J.A. Comastri Filho","8285","2000","06","02","Brasil","Mato Grosso do Sul","Corumbá","Mineração Corumbaense (Grupo Rio Tinto), Morro Santa Cruz, Serra do Urucum.","-57.65","-19.0166667","-57,65","-19,0166667","1000","1000","Capítulo amarelo. Habitat: Rejeito de mineração revegetado com Melinis. Solo litólico (minério de ferro). Relevo: topo de morro. Habito: Arbusto 0,7-2,0m de altura. Frequente.","CGMS1074553",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-07 11:41:17-03","UFMS","CGMS","36576","PreservedSpecimen","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.Santos","V.J. Pott","V.J. Pott; A. Pott; G.A. Damasceno Jr.; J.A. Ratter; J. Yesilyurt; W. Milliken","7441","2005","02","16","Brasil","Mato Grosso do Sul","Corumbá","MCR (Mineração Corumbaense Reunidas), Rio Tinto.","-57.5666667","-19.1980555","-57,5666667","-19,1980555","850","850","Flor amarela. Duplicata MBM. Habitat: Cerrado. Solo minério de Fe. Relevo inclinado. Habito: Arbusto. Frequente. 1,50-3,00m de altura.","CGMS1065986",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-07 11:41:17-03","UFMS","CGMS","45446","PreservedSpecimen","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.Santos",NA,"A. Pott; V.J. Pott; G.A. Damasceno Jr.; J.A. Ratter; W. Milliken; J. Yesilyurt","12510","2005","02","15","Brasil","Mato Grosso do Sul","Corumbá","Mineração Corumbaense Reunida S.A. Serra do Urucum.","-57.5711111","-19.1925","-57,5711111","-19,1925","900","900","Flor amarela. Fruto ausente. Abundante. Habitat: Campo graminoso c/subarbustos de cerrado. Solo litólico de minério de Ferro. Relevo quase topo do morro. Habito: Arbusto. 3m de altura.","CGMS1075411",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-07 11:41:17-03","UFMS","CGMS","24235","PreservedSpecimen","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.Santos","D.R.M. Neves","D.R.M. Neves","39","2008","03","21","Brasil","Mato Grosso do Sul","Corumbá","Maciço do Urucum.","-57.5833333","-19.2","-57,5833333","-19,2","1018","1018","Flor amarela. Habitat: Campo sujo. Habito: Arbusto. 0,80m de altura.","CGMS1053651","2008","03","21",NA,NA,NA,NA,NA
"15","2021-04-07 11:41:17-03","UFMS","CGMS","44588","PreservedSpecimen","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.Santos",NA,"J.A. Ratter; A. Pott; V.J. Pott; N.C. Bueno; S.M. de Salis; M.P. da Silva","6504","1991","01","28","Brasil","Mato Grosso do Sul","Corumbá","By the mineshaft openings on the Morro São Domingos, c. 35 Km from Corumbá.","-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,"Flowers bright yellow. Leaves rough to the touch. Habitat: Growing on disturbed ground. Habito: Shrub, 1.5m tall.","CGMS1074554",NA,NA,NA,"295160","auto",NA,NA,NA
"16","2021-04-07 11:41:17-03","UFMS","CGMS","44586","PreservedSpecimen","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.Santos","J. Nakajima; ! J.U. Santos","M.C. Brandão","36","1999","05","03","Brasil","Mato Grosso do Sul","Corumbá","Morro do Urucum.","-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,"Flor amarela. Fruto marrom. Folha semelhante a uma lixa de unha. Habitat: Solo rico em minério de ferro. Relevo montanhoso. Habito: Arbusto de locais íngremes.","CGMS1074552","1999",NA,NA,"295160","auto",NA,NA,NA
"17","2019-08-20 10:04:33-03","UNICAMP","UEC","199453","S","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.M.Santos","Nakajima, JN","Damasceno Junior, GA; Semir, J","789","1995","04","30","Brazil","Mato Grosso do Sul","Corumbá","Morro Urucum","-57.609","-19.1945","-57.609","-19.1945",NA,NA,NA,"UEC155006","1998","10",NA,NA,NA,"Magnoliopsida","UEC155006",NA
"18","2021-03-01 16:23:04-03","UNICAMP","UEC","201094","S","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.M.Santos",NA,"Ishii, IH; Alves, FM; Urquiza, MVS; Porfírio, GEO","506","2004","06","23","Brazil","Mato Grosso do Sul","Corumbá","Área 2 Mina da Escarpa lado oeste","-57.572833","-19.197556","-57.572833","-19.197556","809","809","Erva de 1m de altura; flor amarelada; folha coriácea; Campo de altitude; solo ferrícola; relevo - morro","UEC170662",NA,NA,NA,NA,NA,"Magnoliopsida","UEC170662",NA
"19","2019-08-20 10:04:33-03","UNICAMP","UEC","88570","S","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.M.Santos","Nakajima, JN","Damasceno Junior, GA; Semir, J","789","1995","04","30","Brazil","Mato Grosso do Sul","Corumbá","Morro Urucum","-57.609","-19.1945","-57.609","-19.1945",NA,NA,NA,"UEC102712","1998","10",NA,NA,NA,"Magnoliopsida","UEC102712",NA
"20","2021-03-01 16:23:04-03","UNICAMP","UEC","116794","S","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.M.Santos",NA,"Pott, A; et al.","2281","1994","05","03","Brazil","Mato Grosso do Sul","Corumbá","Barranco de estrada em beira de mata","-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,"endêmica, subarbusto 1,5m, flor amarela&nf;; relevo: moderadamente inclinado","UEC102715",NA,NA,NA,"295160","auto","Magnoliopsida","UEC102715",NA
"21","2020-12-21 16:14:09-03","MBM","MBM","314086","PreservedSpecimen","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U. Santos","Pott, A.; Pott, V.J.","Pott, V.J.; Pott, A.; Damasceno Jr, G.A.; Ratter, J.A.; Yesilyurt, J.; Milliken,; Pott, A.; Damasceno Jr, G.A.; Ratter, J.A.; Yesilyurt, J.; Milliken, W.","7441","2005","02","16","Brazil","Mato Grosso do Sul","Corumbá","Rio Tinto.","-57.5725","-19.198056","-57.5725","-19.198056","850","850","Arbusto, 1,5-3,0 m altura. Flor amarela.; Cerrado, solo com minério de ferro. Relevo inclinado.","MBM314086","2005","02",NA,NA,NA,NA,"MBM314086","Southern America"
"22","2020-12-21 16:14:09-03","MBM","MBM","314089","PreservedSpecimen","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U. Santos","Nakajima, J.N.","Brandão, M.C.","36","1999","05","03","Brazil","Mato Grosso do Sul","Corumbá","Morro do Urucum","-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,"Arbusto de locais ingrimes, folha semelhante a uma lixa de unha. Flor amarela. Fruto marrom.; Solo rico em minério de ferro, relevo montanhoso.","MBM314089","1999",NA,NA,"295160","auto",NA,"MBM314089","Southern America"
"23","2020-12-11 11:32:18-03","UFMG","BHCB","100800","PreservedSpecimen","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U. Moreira dos Santos",NA,"Tameirão Neto, E","4305","2006","02","16","Brasil","Mato Grosso do Sul","Corumbá","Urucum Mineração S/A - Morraria Urucum.","-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,"Plantas do Brasil. &nf;Planta utilizada para recuperação de áreas degradadas.; Arbustivo.","BHCB051256",NA,NA,NA,"295160","auto","Dicotyledon",NA,"Southern America"
"24","2019-11-28 15:44:41-03","UFU","HUFU","74138","S","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.Santos","Nakajima, J.N.","Maciel, R.A.","s.n.","2017","03","20","Brasil","Minas Gerais","Corumbá","Lavra Pioneira",NA,NA,NA,NA,"890","890","Arbusto, flro amarela.; Campo limpo de Cerrado.","HUFU00072007","2017","05",NA,NA,NA,NA,"HUFU00072007",NA
"25","2019-05-10 16:39:36-03","UFU","HUFU","75593","S","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.Santos","Nakajima, J.N.","Damasceno Jr, G.A.; Semir, J.N.","789","1995","04","30","Brasil","Mato Grosso do Sul","Ladário","Morro do Urucum","-57.608889","-19.194444","-57.608889","-19.194444","700","700","Arbusto com até 1,5m.; Cerrado (campo limpo de cerrado).","HUFU00073224","1998","11",NA,NA,NA,NA,"HUFU00073224",NA
"26","2019-11-28 15:44:41-03","UFU","HUFU","75550","S","Plantae","Asteraceae","Aspilia","grazielae","Aspilia grazielae","J.U.Santos",NA,"Bortolotto, I.M.; Damasceno Jr, G.A.","264","1994","06","01","Brasil","Mato Grosso do Sul","Ladário","Morro do Urucum","-57.6016998291016","-19.0046997070312",NA,NA,NA,NA,"Erva de 50cm; flor amarela.; Formação - cerradão; solo - ferruginoso; relevo - morro.","HUFU00073297",NA,NA,NA,"23141","auto",NA,"HUFU00073297",NA
