"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","recordNumber","continentOcean","dayIdentified","verbatimLongitude","verbatimLatitude","imagecode","fieldNumber","preparationType","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"15","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","42373",NA,"Plantae",NA,NA,NA,"Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Rchb.f.","G. Chiron",NA,NA,"J. Guiard","2010",NA,NA,"Brasil","Espírito Santo","Alfredo Chaves",NA,"-40.749698638916","-20.6350002288818","32447",NA,"MBML042373","auto","10229",NA,NA,NA,NA,NA,NA,NA,"840","840",NA
"16","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","38800",NA,"Plantae",NA,NA,NA,"Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Rchb.f.","L. Kollmann/22-01-2013",NA,NA,"D.R. Couto","2004","03","14","Brasil","Espírito Santo","Mimoso do Sul","Pedra dos Pontões","-41.3664016723633","-21.0641994476318","29430","Holoepífita característica sobre Bombacaceae. Sépalos e pétalos claros com estrias vinho.Labelo com quilha vinho e coluna vinho. Fragmento do Toti.","MBML038800","auto","18",NA,NA,NA,NA,NA,NA,NA,"700","700",NA
"17","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","38801",NA,"Plantae",NA,NA,NA,"Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Rchb.f.","L. Kollmann/22-01-2013",NA,NA,"D.R. Couto","2004","11","28","Brasil","Espírito Santo","Mimoso do Sul","Pedra dos Pontões","-41.3664016723633","-21.0641994476318","29430","Holoepífita característica sobre Bombacaceae. Sépalos e pétalos rósea com nervura cental vinho. Labelo rosa escuro na quilha com lóbulo central mais claro. Fragmento do Toti.","MBML038801","auto","211",NA,NA,NA,NA,NA,NA,NA,"700","700",NA
"18","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","38802",NA,"Plantae",NA,NA,NA,"Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Rchb.f.","L. Kollmann/22-01-2013",NA,NA,"D.R. Couto","2007","05","25","Brasil","Espírito Santo","Mimoso do Sul","Pedra dos Pontões","-41.3664016723633","-21.0641994476318","29430","Epífita. Flores amareladas, apresentando três listas vináceas; labelo com lóbulos laterais vinho com lóbulo central claro. Fragmento do Toti, vegetando sobre Pseudobombax sp.","MBML038802","auto","325",NA,NA,NA,NA,NA,NA,NA,"700","700",NA
"19","2021-01-26 14:12:45-03","CPACT","ECT","1717","PreservedSpecimen","Plantae","Embryophyta",NA,NA,"Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Rchb.f.","T.Perleberg","2008","10","T.Perleberg","2008","09","13","Brasil","Rio Grande do Sul","Pelotas","Distrito de Rincão da Cruz, Morro Quilongongo. Nome comum: orquídea. Altitude obida a partir dos dados de coordenadas geográficas.","-52.541667","-31.408056",NA,NA,"ECT0001717",NA,"287",NA,"20","52º32'30''W","31º24'29''S","ECT0001717",NA,NA,"223","223",NA
"20","2020-08-20 14:54:47-03","UFSC","FLOR","2506","PreservedSpecimen","Plantae",NA,NA,"Asparagales","Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Rchb.f.","Pabst, G.","1969","06","Klein, R.M.; Bresolin, A.","1968","09","02","Brasil","Santa Catarina","Florianópolis","Morro do Rio vermelho, Ilha de Santa Catarina.","-48.5491981506348","-27.596700668335","27000","epífita, flor creme. Exemplar Único.","FLOR0002506","auto","7920",NA,"29",NA,NA,NA,NA,NA,"200","200",NA
"21","2020-08-20 20:37:56-03","UFSC","FLOR","3910","PreservedSpecimen","Plantae",NA,NA,"Asparagales","Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Rchb.f.","Pabst, G.","1976",NA,"Bresolin, A.","1973","10","17","Brasil","Santa Catarina","Paulo Lopes","Bom Retiro.","-48.6836013793945","-27.9617004394531","23385","epífito, flor creme-verde","FLOR0003910","auto","889",NA,NA,NA,NA,NA,NA,NA,"250","250",NA
"22","2014-10-09 13:58:29-03","UHH","HBG","506723","S","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Cogn.","Cogniaux, A.",NA,NA,"Moura, J. de","1888","02",NA,"Brazil",NA,NA,"Theresopolis (prov. Rio de Janeiro)",NA,NA,NA,"ex Herb. Kränzlin NEOTROP<br>Herbarium Hamburgense evacuated and inaccessible 1943-1992","HBG506723",NA,"111","South America",NA,NA,NA,"HBG506723",NA,NA,NA,NA,"Isosyntype"
"23","2017-09-11 17:12:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Rchb.f.",NA,NA,NA,"Gaudichaud Beaupré, C",NA,NA,NA,"Brazil","Santa Catarina",NA,"in ins. S. Catharina",NA,NA,NA,NA,NA,NA,"141","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2017-09-11 17:12:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Rchb.f.",NA,NA,NA,"Riedel, L",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"in prov. Rio de Janeiro loco haud indicato",NA,NA,NA,NA,NA,NA,"s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2017-09-11 17:12:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Rchb.f.",NA,NA,NA,"Luschnath, B",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Habitat in arboribus ad Serra dos Orgãos prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,"23","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2017-09-11 17:12:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Rchb.f.",NA,NA,NA,"Schenck, JHR",NA,NA,NA,"Brazil","Rio de Janeiro","Teresópolis","in arboribus prope Theresopolis","-42.9656","-22.4122","38539",NA,NA,"auto","2704","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2017-09-11 17:12:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Rchb.f.",NA,NA,NA,"Moura, JT de",NA,NA,NA,"Brazil","Rio de Janeiro","Teresópolis","in arboribus ad Theresopolis","-42.9656","-22.4122","38539",NA,NA,"auto","111","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2017-09-11 17:12:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Rchb.f.",NA,NA,NA,"Moura, JT de",NA,NA,NA,"Brazil","Rio de Janeiro","Teresópolis","in arboribus ad Serra dos Orgãos prope Theresopolis","-42.9656","-22.4122","38539","Floret Januario - Julio",NA,"auto","297","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2017-09-11 17:12:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Rchb.f.",NA,NA,NA,"Moura, JT de",NA,NA,NA,"Brazil","Rio de Janeiro","Teresópolis","in arboribus ad Serra dos Orgãos prope Theresopolis","-42.9656","-22.4122","38539",NA,NA,"auto","282","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2017-09-11 17:12:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Rchb.f.",NA,NA,NA,"Beyrich, HC",NA,NA,NA,"Brazil","Rio de Janeiro","Nova Friburgo","ad Novo-Friburgo","-42.5311","-22.2819","33190",NA,NA,"auto","s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2017-09-11 17:12:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Rchb.f.",NA,NA,NA,"Wawra, H",NA,NA,NA,"Brazil","Rio de Janeiro","Petrópolis","ad Petropolis","-43.1786","-22.505","36524",NA,NA,"auto","51b","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2017-09-11 17:12:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Rchb.f.",NA,NA,NA,"Glaziou, AFM",NA,NA,NA,"Brazil",NA,NA,"in Brasilia austro-orientali loco haud indicato",NA,NA,NA,NA,NA,NA,"20506","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-11-21 10:13:36-03","IBt","SP","23537","S","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Rchb.f.",NA,NA,NA,"Hoehne, FC","1928","10",NA,"Brasil","Paraná","Rio Negro",NA,"-49.7975006103516","-26.1058006286621","31514",NA,"SP053397","auto","s.n.",NA,NA,NA,NA,"SP053397",NA,NA,NA,NA,NA
"34","2019-11-21 10:13:36-03","IBt","SP","31599","S","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","chamaeleptotes","Octomeria chamaeleptotes","Rchb.f.","Hoehne, FC",NA,NA,"Spannagel, C","1933","01",NA,"Brasil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666","36524",NA,NA,"auto","349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
