"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","previousCatalogNumber","fieldNumber","individualCount","relatedCatalogItem","sex"
"26","2021-03-15 16:37:00-03","NY","NYBG","2837","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","stipitata","Mimosa gracilis stipitata","Barneby",NA,"H. S. Irwin","33127","1971","03","24","South America","Brazil","Goiás","Teresina de Goiás","ca 40 km N of Alto do Paraíso. Alt. 1250 m.","-47.2644","-13.7767","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274576' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002837","NY00002837_01",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","2831","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","brevissima","Mimosa gracilis brevissima","Barneby",NA,"H. S. Irwin","13872","1966","03","11","South America","Brazil","Distrito Federal","Brasília","W margin of Lagôa Paranoá, Brasília. Alt. 975 m.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269913' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002831","NY00002831_01",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00934038","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","brevissima","Mimosa gracilis brevissima","Barneby","R. C. Barneby","H. S. Irwin","6052","1964","09","06","South America","Brazil","Distrito Federal","Brasília","Ca. 40 km. S.W. of Brasília, rd. to Anápolis.","-48.23","-16.05","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934038","NY00934038_01","700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00933323","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","capillipes","Mimosa gracilis capillipes","(Benth.) Barneby","R. C. Barneby","H. S. Irwin","34018","1972","01","14","South America","Brazil","Goiás","Corumbá de Goiás","Serra dos Pirineus, ca. 20 km E. of Pirenópolis","-48.76328","-15.85","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009215' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933323","NY00933323_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00934085","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","brevissima","Mimosa gracilis brevissima","Barneby","R. C. Barneby","N. Lima","137","1968","03","27","South America","Brazil","Distrito Federal","Brasília","Campus da UnB","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934085","NY00934085_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00934016","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","gracilis","Mimosa gracilis gracilis","Benth.","R. C. Barneby","H. S. Irwin","15441","1966","04","29","South America","Brazil","Goiás","Formosa","Fazenda J. Teles, ca. 10 km N.W. of Formosa, Goiás, near source of Rio Paraná.","-47.43","-15.43","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010794' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934016","NY00934016_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00934061","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","brevissima","Mimosa gracilis brevissima","Barneby","R. C. Barneby","D. Philcox","4314","1968","02","13","South America","Brazil","Distrito Federal","Brasília","Parque Nacional de Brasília","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010869' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934061","NY00934061_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00934014","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","gracilis","Mimosa gracilis gracilis","Benth.","R. C. Barneby","H. S. Irwin","11040","1965","12","04","South America","Brazil","Distrito Federal",NA,"Near Rio Descoberto, on the Goiás - D. F. boundary between Anápolis and Brasília","-48.25","-15.97","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010792' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934014","NY00934014_01","1010","1010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00934057","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","brevissima","Mimosa gracilis brevissima","Barneby","R. C. Barneby","E. P. Heringer","15395","1975","12","28","South America","Brazil","Distrito Federal","Brasília","Campus da UnB","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934057","NY00934057_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2016-09-27 19:50:00-03","NY","NYBG","01345690","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","leiocarpa","Mimosa gracilis leiocarpa","(Burkart) Barneby","R. C. Barneby","T. M. Pedersen","4309","1956","11","16","South America","Paraguay","Misiones","Santiago","Estancia La Soledad",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1616816' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345690","NY01345690_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","00749039","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","invisiformis","Mimosa gracilis invisiformis","Barneby","R. C. Barneby","W. R. Anderson","6734","1973","03","09","South America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 29 km by road N of Alto Paraíso","-47.3324","-13.9331","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=887398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749039","NY00749039_01","1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00933348","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","capillipes","Mimosa gracilis capillipes","(Benth.) Barneby","R. C. Barneby","H. S. Irwin","18506","1968","01","13","South America","Brazil","Goiás","Cocalzinho de Goiás","25 km N. of Corumbá de Goiás on road to Niquelândia, in valley of Rio Corumbá. Serra dos Pirineus.","-48.77","-15.8","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009207' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933348","NY00933348_01","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","2834","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","longipes","Mimosa gracilis longipes","Barneby",NA,"H. S. Irwin","26119","1970","02","05","South America","Brazil","Minas Gerais",NA,"Serra de Anta. Ca 5 km N of Paracatú. Alt., 800 m.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=483713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002834","NY00002834_01",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00933364","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","capillipes","Mimosa gracilis capillipes","(Benth.) Barneby","R. C. Barneby","E. P. Heringer","5488","1957","02","07","South America","Brazil","Minas Gerais",NA,"Faz. do Chico Mauricio, Paraopeba",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009240' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933364","NY00933364_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","00933393","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","invisiformis","Mimosa gracilis invisiformis","Barneby","R. C. Barneby","W. R. Anderson","11492","1975","02","20","South America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, 15-40 km W and N of Alto Paraíso","-47.4581","-13.7975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933393","NY00933393_01","1250","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00934042","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","gracilis","brevissima","Mimosa gracilis brevissima","Barneby","R. C. Barneby","H. S. Irwin","8545","1965","09","22","South America","Brazil","Distrito Federal","Brasília","Asa Sul.","-47.908","-15.817","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010820' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934042","NY00934042_01","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
