"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","class","monthIdentified","dayIdentified","individualCount","fieldNumber","order","previousCatalogNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","2122936","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","R. Ochyra","R. S. Williams","1965","1902","07","25","South America","Bolivia",NA,NA,"near Apolo.",NA,NA,"1829","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290350' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122936","NY02122936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","2122876","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","H. Akiyama","B. M. Thiers","3702","1986","11","17","South America","Colombia","Antioquia","La Unión","Cerro Piedra, 3.6 km S of La Union.",NA,NA,"2000","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290290' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122876","NY02122876_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","2122942","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","R. Ochyra","A. Robert","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"[Illegible precise loc.]",NA,NA,NA,"packeted","[Illegible precise loc.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290356' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122942","NY02122942_01 NY02122942_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","2122933","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","R. Ochyra","W. C. Steere","9133a","1943","10","24","South America","Ecuador",NA,NA,"Napo-Pastaza: on east slope of Cordillera Oriental (east of San Gabriel), in drainage of Río Cofanes.",NA,NA,"2134","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290347' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122933","NY02122933_01","2591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","2122889","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","R. Ochyra","S. P. Churchill","14114","1986","07","06","South America","Colombia","Antioquia","Santa Rosa de Osos","ca. 10 km NO de Santa Rosa de Osos, carretera hacia Sabazanos, entre la troncal del Caribe y la Escuela Vallecitas.","-75.5","6.75","2500","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290303' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122889","NY02122889_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","2122903","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","S. P. Churchill","D. A. Giraldo-Cañas","2100","1994","04","21","South America","Colombia","Putumayo","Mocoa","vereda Alto Campucana, finca La Mariposa.",NA,NA,"1300","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290317' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122903","NY02122903_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","2122935","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.",NA,"R. S. Williams","1965","1902","07","25","South America","Bolivia",NA,NA,"near Apolo.",NA,NA,"1800","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290349' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122935","NY02122935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","2122894","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","R. Ochyra","I. Sastre-de Jesús","849","1985","06","13","South America","Colombia","Antioquia",NA,"20 km de Medellín hacia Rionegro por Santa Elena Oeste de la finca de los Callejas.","-75.42","6.17","2500","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290308' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122894","NY02122894_01 NY02122894_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","2122897","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","R. Ochyra","W. C. Steere","7317","1942","11","15","South America","Colombia","Norte de Santander",NA,"above Quebrada Colorado, Barrio Chucarima, valley of Río Valegrá, Cordillera Oriental.",NA,NA,"1524","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290311' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122897","NY02122897_01","1676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","2122934","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","R. Ochyra","R. S. Williams","1965","1902","07","25","South America","Bolivia",NA,NA,"near Apolo.",NA,NA,NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290348' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122934","NY02122934_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","2122924","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","R. Ochyra","D. G. Griffin","915","1975","08",NA,"South America","Venezuela","Táchira","Junín","páramo de Tamá, above the village of Villa Páez.",NA,NA,"2410","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290338' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122924","NY02122924_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","2122893","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","R. Ochyra","I. Sastre-de Jesús","1489","1985","07","14","South America","Colombia","Antioquia","Medellín","ca. 25 km NO de Medellín hacia Santa Fe de Antioquia. Boquerón.","-75.67","6.33","2510","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290307' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122893","NY02122893_01 NY02122893_02","2690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","2122919","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.",NA,"I. Sastre-de Jesús","513","1984","11","30","South America","Venezuela","Amazonas","Río Negro","Cerro de la Neblina Massif Camp VII. ca. 5.3 km NE of Pico Phelps.","-65.97","0.85","1730","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290333' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122919","NY02122919_01 NY02122919_02","1850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","2122945","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","R. Ochyra","P. K. H. Dusén","204","1902","05",NA,"South America","Brazil",NA,NA,"Serra de Itatiaia.",NA,NA,"2200","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290359' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122945","NY02122945_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","2122898","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.",NA,"E. P. Killip","20701","1927","03","12","South America","Colombia","Norte de Santander",NA,"Eastern Cordillera. Páramo del Hatico, en route from Toledo to Pamplona.",NA,NA,"2900","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290312' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122898","NY02122898_01 NY02122898_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","2122916","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","S. P. Churchill","B. R. Ramírez P.","4358","1991","12","29","South America","Colombia","Nariño","Pasto","Corregimiento de El Encano, Quebrada Orejuela.",NA,NA,"2900","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290330' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122916","NY02122916_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","2122901","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.",NA,"D. A. Giraldo-Cañas","2041","1994","04","21","South America","Colombia","Putumayo","Mocoa","vereda Alto Campucana, finca La Mariposa.",NA,NA,"1300","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290315' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122901","NY02122901_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","2122891","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","R. Ochyra","S. P. Churchill","13130","1985","06","25","South America","Colombia","Antioquia",NA,"20 km NE de Medellín, Piedras Blancas.","-75.5","6.25","2338","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290305' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122891","NY02122891_01 NY02122891_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","2122896","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","R. Ochyra","W. C. Steere","7299","1942","11","15","South America","Colombia","Norte de Santander",NA,"above Quebrada Colorado, Barrio Chucarima, valley of Río Valegrá, Cordillera Oriental.",NA,NA,"1524","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290310' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122896","NY02122896_01","1676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","2122925","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","W. H. Welch","K. Mägdefrau","1587","1967","04","14","South America","Venezuela","Mérida",NA,"Bergwald am Mucuy oberhalb Tabay.",NA,NA,"2600","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290339' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122925","NY02122925_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","2122922","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","R. Ochyra","J. A. Steyermark","706","1955","02","09","South America","Venezuela","Bolívar",NA,"Chimantá Massif. Below western escarpment of Torono-tepui.",NA,NA,"1970","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290336' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122922","NY02122922_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","2122905","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","S. P. Churchill","D. A. Giraldo-Cañas","2069","1994","04","21","South America","Colombia","Putumayo","Mocoa","vereda Alto Campucana, finca La Mariposa.",NA,NA,"1300","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290319' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122905","NY02122905_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","2122877","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","H. Akiyama","B. M. Thiers","3810","1986","11","13","South America","Colombia","Antioquia","Medellín","Boquerón, 25 km NW of Medellín.",NA,NA,"2300","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290291' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122877","NY02122877_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","576785","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","S. P. Churchill","S. P. Churchill","15385","1987","07","05","South America","Colombia","Antioquia","La Unión","La Union hacia San Maguel","-75.28","5.93","2340","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=643873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00576785",NA,"2430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","2122883","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","R. Ochyra","I. Sastre-de Jesús","856a","1985","06","13","South America","Colombia","Antioquia",NA,"20 km de Medellín hacia Ríonegro por Santa Elena Oeste de la finca de los Callejas.","-75.42","6.17","2500","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290297' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122883","NY02122883_01 NY02122883_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","72866","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.",NA,"W. R. Buck","26301","1994","10","17","South America","Brazil","São Paulo","Campos do Jordao","Serra da Mantiqueira, ca. 2 km E of Campos do Jordao on road to Horto Florestal","-45.6","-22.75","1570","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=643914' target='other'> <mi>dwc_moreinfo</mi></a>","NY00072866",NA,"1570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","2122920","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.",NA,"I. Sastre-de Jesús","524","1984","11","30","South America","Venezuela","Amazonas","Río Negro","Cerro de la Neblina Massif Camp VII. ca. 5.3 km NE of Pico Phelps.","-65.97","0.85","1730","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290334' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122920","NY02122920_01 NY02122920_02","1850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","2122892","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","R. Ochyra","S. P. Churchill","13130","1985","06","25","South America","Colombia","Antioquia",NA,"20 km NE de Medellín, Piedras Blancas.","-75.5","6.25","2338","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290306' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122892","NY02122892_01 NY02122892_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","2122915","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","S. P. Churchill","B. R. Ramírez P.","3985","1991","08","03","South America","Colombia","Nariño","Pasto","a 3 km E de Dolores.","-77.27","1.2","3000","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290329' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122915","NY02122915_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","2122884","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","S. P. Churchill","M. Escobar A.","75","1985","06","01","South America","Colombia","Antioquia","Guarne","Piedra Blanca.",NA,NA,"2190","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290298' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122884","NY02122884_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","2122928","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","W. R. Buck","L. J. Dorr","5348A","1988","05","28","South America","Venezuela","Trujillo","Carache","Páramo Jabon.","-70.1","9.5","3150","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290342' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122928","NY02122928_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","2122944","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","R. Ochyra","Collector unspecified","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"[No precise loc.]",NA,NA,NA,"packeted","[No precise loc.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290358' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122944","NY02122944_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","2122900","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","S. P. Churchill","D. A. Giraldo-Cañas","2070","1994","04","21","South America","Colombia","Putumayo","Mocoa","vereda Alto Campucana, finca La Mariposa.",NA,NA,"1300","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290314' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122900","NY02122900_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","2122885","PreservedSpecimen","Plantae","Bryophyta","Daltoniaceae","Adelothecium","bogotense","Adelothecium bogotense","(Hampe) Mitt.","R. Ochyra","S. P. Churchill","13109","1985","06","24","South America","Colombia","Antioquia","Sonsón","ca. 32.5 km NW de Sonsón hacia La Unión.","-75.25","5.83","2310","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2290299' target='other'> <mi>dwc_moreinfo</mi></a>","NY02122885","NY02122885_01 NY02122885_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
