"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","locality","year","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","month","day","class","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","typeStatus"
"11","2019-10-07 09:16:42-03","UEFS","HUEFS","212818","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Oleaceae","Chionanthus","fluminensis","Chionanthus fluminensis","(Miers) P.S.Green","Lima, H.C.de","7834",NA,"Brasil",NA,"Mata de encosta, solo argiloso com afloramento.","HUEFS0212818","HUEFS0212818",NA,"Parque Municipal Paisagem Carioca, Morro do Leme, estrada para o forte, próximo ao final da estrada.","2014","Rio de Janeiro","Rio de Janeiro","-43.163056","-22.963333",NA,NA,NA,"08","02","Asteranae",NA,"43W9'47''","22S57'48''","87","87",NA,NA,NA,NA
"12","2021-03-04 15:46:38-03","IF","SPSF","28843","PreservedSpecimen","Plantae","Magnoliophyta","Scrophulariales","Oleaceae","Chionanthus","fluminensis","Chionanthus fluminensis","((P.S.Green)) (Eichler)","R.S.Bianchini & S.Bianchini & R.P.G.Rosário","1386","América do Sul","Brasil",NA,"COLETA: Árvore com aprox. 6 m de altura. Frutos imaturos verdes, que se tornam arroxeados.; GEOGRAFIA: Mata Ombrófila Densa. Trilha do Jequitibá.;",NA,NA,"C.Kameyama","P.E.Serra do Mar, Núcleo Caraguatatuba","2000","SP","Caraguatatuba","-45.4099998474121","-23.6200008392334","30093","auto",NA,"09","07","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-04 15:46:38-03","IF","SPSF","28935","PreservedSpecimen","Plantae","Magnoliophyta","Scrophulariales","Oleaceae","Chionanthus","fluminensis","Chionanthus fluminensis","(Miers) P.S.Green","F.O. Souza et al.","204","América do Sul","Brasil",NA,"COLETA: Árvore com aprox. 6 m de altura, caída no meio da mata. Frutos arroxeados.; GEOGRAFIA: Mata Ombrofila Densa. Trilha dos Tropeiros.;",NA,NA,"C.Kameyama","P.E.Serra do Mar, Núcleo Caraguatatuba","2000","SP","Caraguatatuba","-45.4099998474121","-23.6200008392334","30093","auto",NA,"10","19","Magnoliopsida",NA,NA,NA,NA,NA,"2009","12","30",NA
"14","2017-09-11 17:11:24-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Oleaceae","Tessarandra","fluminensis","Tessarandra fluminensis","Miers","Miers, J","s.n.","Southern America","Brazil",NA,NA,NA,NA,NA,"Habitat in Praya et Morro de Flamingo prope sinum Botafogo aliisque locis circa urbem Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2017-09-11 17:11:24-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Oleaceae","Tessarandra","fluminensis","Tessarandra fluminensis","Miers","Riedel, L","s.n.","Southern America","Brazil",NA,NA,NA,NA,NA,"Habitat in Praya et Morro de Flamingo prope sinum Botafogo aliisque locis circa urbem Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2017-09-11 17:11:24-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Oleaceae","Tessarandra","fluminensis","Tessarandra fluminensis","Miers","Luschnath, B","s.n.","Southern America","Brazil",NA,NA,NA,NA,NA,"Habitat in Praya et Morro de Flamingo prope sinum Botafogo aliisque locis circa urbem Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2017-09-11 17:11:24-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Oleaceae","Tessarandra","fluminensis","Tessarandra fluminensis","Miers","Gardner, G","760","Southern America","Brazil",NA,"Aug. et Sept. flor. et fruct.",NA,NA,NA,"Habitat in Praya et Morro de Flamingo prope sinum Botafogo aliisque locis circa urbem Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-01-21 15:29:40-03","IBt","SP","488559","S","Plantae",NA,NA,"Oleaceae","Chionanthus","fluminensis","Chionanthus fluminensis","(Miers) P.S.Green","Mauad, LP","295",NA,"Brasil",NA,NA,NA,NA,NA,NA,"2012","Rio de Janeiro","Niterói","-43.1035995483398","-22.88330078125","14785","auto",NA,"07","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2014-09-23 10:59:00-03","G","G","G00383565","S","Plantae",NA,NA,"Oleaceae","Tessarandra","fluminensis","Tessarandra fluminensis","Miers","Miers, J.","3321","AMERIQUE DU SUD","Brazil",NA,"Coordinate uncertainty: No information Image URL: No picture available on the institution's web site","G00383565",NA,"?",NA,NA,"Rio de Janeiro",NA,"-43.31666667","-23",NA,NA,NA,NA,NA,NA,NA,"-43.31666667","-23.0",NA,NA,NA,NA,NA,"TYPUS of Tessarandra fluminensis Miers"
"20","2014-09-23 10:59:00-03","G","G","G00383563","S","Plantae",NA,NA,"Oleaceae","Tessarandra","fluminensis","Tessarandra fluminensis","Miers","Miers, J.","3321","AMERIQUE DU SUD","Brazil",NA,"Coordinate uncertainty: No information Image URL: No picture available on the institution's web site","G00383563",NA,"?",NA,NA,"Rio de Janeiro",NA,"-43.31666667","-23",NA,NA,NA,NA,NA,NA,NA,"-43.31666667","-23.0",NA,NA,NA,NA,NA,"TYPUS of Tessarandra fluminensis Miers"
