"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"11","2021-03-15 16:37:00-03","NY","NYBG","791223","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","M. M. Saavedra",NA,NA,NA,"M. Kuhlmann","1931","1949","07","30","Brazil","Minas Gerais","Camanducaia","Camanducaia. Serraria Esperança","-46.1444","-22.7556",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00791223","NY00791223_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02330104","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","M. M. Saavedra",NA,NA,NA,"R. R. Guedes","2533","1995","03","27","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Três Picos.","-44.5667","-22.25",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2522621' target='other'> <mi>dwc_moreinfo</mi></a>","NY02330104","NY02330104_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","790858","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","M. M. Saavedra",NA,NA,NA,"J. M. Silva","1652","1996","04","09","Brazil","Paraná","Piraquara","Serra Piramirim, Estrada Itupava","-49.0631","-25.4419",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=655991' target='other'> <mi>dwc_moreinfo</mi></a>","NY00790858","NY00790858_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"14","2016-09-30 17:18:00-03","NY","NYBG","02064188","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens",NA,"F. B. Matos",NA,NA,NA,"F. B. Matos","1520","2008","03","11","Brazil","Paraná","Campina Grande do Sul","Morro Capivari.","-48.8225","-25.1233",NA,NA,"1300",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2420080' target='other'> <mi>dwc_moreinfo</mi></a>","NY02064188","NY02064188_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","790891","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","L. B. Smith; S. F. Smith",NA,NA,NA,"G. G. Hatschbach","13853","1966","02","12","Brazil","Paraná","Bituruna","Faxinal","-51.5525","-26.1617",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754540' target='other'> <mi>dwc_moreinfo</mi></a>","NY00790891","NY00790891_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","790859","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","M. M. Saavedra",NA,NA,NA,"R. A. Wasum","s.n.","1996","02","29","Brazil","Rio Grande do Sul",NA,"Sao Francisco de Paula - Floresta Nacional I","-50.395632","-29.433343",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=655995' target='other'> <mi>dwc_moreinfo</mi></a>","NY00790859","NY00790859_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","790893","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","Á. L. Cabrera",NA,NA,NA,"R. Reitz","12311","1962","02","22","Brazil","Santa Catarina",NA,"Lebon Regis",NA,NA,NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754549' target='other'> <mi>dwc_moreinfo</mi></a>","NY00790893","NY00790893_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","790894","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","Á. L. Cabrera",NA,NA,NA,"L. B. Smith","11007","1957","02","08","Brazil","Santa Catarina","Caçador","Mun. Caçador-Curitibanos: 10 km southeast of Caçador on the road to Lebon Regis (47 km)","-51.0147","-26.7756",NA,NA,"700","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754550' target='other'> <mi>dwc_moreinfo</mi></a>","NY00790894","NY00790894_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","790899","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","H. E. Robinson",NA,NA,NA,"M. Rossato","s.n.","1989","03","04","Brazil","Rio Grande do Sul",NA,"Caxias do Sul - Conceiçao",NA,NA,NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00790899","NY00790899_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","790896","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","Á. L. Cabrera",NA,NA,NA,"R. Reitz","8258","1959","01","15","Brazil","Santa Catarina","Lauro Muller","Novo Horizonte, Lauro Müller","-49.483071","-28.387264",NA,NA,"450","450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754547' target='other'> <mi>dwc_moreinfo</mi></a>","NY00790896","NY00790896_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","791210","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","M. M. Saavedra",NA,NA,NA,"A. C. Filho","249",NA,NA,NA,"Brazil","São Paulo",NA,"Cunha, Reserva Florestal",NA,NA,NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=746417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00791210","NY00791210_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","791202","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","J. F. Pruski",NA,NA,NA,"M. Kuhlmann","s.n.","1939","04","20","Brazil","Minas Gerais","Belo Horizonte","Barreiro, estrada para Itajuba","-43.9378","-19.9208",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754541' target='other'> <mi>dwc_moreinfo</mi></a>","NY00791202","NY00791202_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","791201","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","H. E. Robinson",NA,NA,NA,"M. Rossato","s.n.","1989","03","02","Brazil","Rio Grande do Sul",NA,"Horto Florestal - Nova Prata",NA,NA,NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754544' target='other'> <mi>dwc_moreinfo</mi></a>","NY00791201","NY00791201_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","790895","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","Á. L. Cabrera",NA,NA,NA,"R. Reitz","4110","1959","02","21","Brazil","Santa Catarina",NA,"Pinhal da Companhia, Lauro-Müller-Uruçanga",NA,NA,NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00790895","NY00790895_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","790860","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","M. M. Saavedra",NA,NA,NA,"M. Rossato","24","1999","02","25","Brazil","Rio Grande do Sul","Bom Jesus","Fazenda do Cilho","-50.4436","-28.5292",NA,NA,"1050","1050","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=655996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00790860","NY00790860_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","790897","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","Á. L. Cabrera",NA,NA,NA,"R. Reitz","6706","1963","02","04","Brazil","Santa Catarina",NA,"Passo da Cadeia, Sao Joaquim",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754548' target='other'> <mi>dwc_moreinfo</mi></a>","NY00790897","NY00790897_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","790867","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","M. M. Saavedra",NA,NA,NA,"R. A. Wasum","518","2000","03","10","Brazil","Rio Grande do Sul","Cambará do Sul",NA,"-50.1444","-29.0481",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=655979' target='other'> <mi>dwc_moreinfo</mi></a>","NY00790867","NY00790867_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01080632","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","M. M. Saavedra",NA,NA,NA,"A. Custodio Filho","283","1980","07","11","Brazil","São Paulo","Cunha","Reserva Florestal.","-44.9599990844727","-23.0699996948242",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1207464' target='other'> <mi>dwc_moreinfo</mi></a>","NY01080632","NY01080632_01","Magnoliophyta","Asterales","South America","sheet","38855","auto",NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","790890","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera",NA,NA,NA,NA,"S. de V. A. Pessôa","522","1990","06","03","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Estrada p/ Sitio Sophronites","-42.05","-22",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754552' target='other'> <mi>dwc_moreinfo</mi></a>","NY00790890","NY00790890_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"30","2021-02-08 11:07:23-03","UNESP-IBB","BOTU","9356","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera",NA,NA,NA,NA,NA,NA,"1980","07",NA,"Brasil","São Paulo","Cunha","Reserva Florestal","-45.166667","-23.333333","45°10'w","23°20's",NA,NA,"Àrvore 7 m de altura, tronco armado, com espinhos fasciculares, beira rio Paraibuna","BOTU009356","BOTU009356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-02-08 11:07:23-03","UNESP-IBB","BOTU","9344","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","Monge, M.","2011","10",NA,"Custódio Filho, A.","283","1980","07","07","Brasil","São Paulo","Cunha","Reserva Florestal","-45.166667","-23.333333","45°10'w","23°20's",NA,NA,"Àrvore 12 m, flores amarelas, armada","BOTU009344","BOTU009344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-13 09:19:02-03","UFRJ","RFA","10801","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","G.G. Hatschbach",NA,NA,NA,"G.G. Hatschbach; J. Lindman, H. Haas","13853","1966","02","12","Brasil","Paraná","Bituruna","Faxinal.","-51.5525016784668","-26.1613998413086",NA,NA,NA,NA,"Árvore 8m, receptáculo 10 YR 5/6, capítulos 5 Y 9/6.","RFA10781",NA,NA,NA,NA,NA,"30743","auto",NA,NA,NA,NA,NA
"33","2020-11-13 09:19:02-03","UFRJ","RFA","25551","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","R. Esteves","2001","09","10","F. M. de B. Pereira","69/53","2000","11","20","Brasil","Minas Gerais","Itamonte","1º Distrito, Bocaina Funda.","-44.684167","-22.262222","44º41'3''W","22º15'44''S","1768","1768","Trepadeira, folha verde, caule cinza, raiz marrom, flor parda, rara no local.","RFA37330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-12-04 15:24:49-03","PUCPR","HUCP","18562","S","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera.","Selusniaki, M",NA,NA,NA,"Selusniaki, M","1387","2007","10","27","Brasil","Paraná","Quatro Barras","Morro do Anhangava","-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,NA,NA,NA,"Eudicotiledonea",NA,NA,NA,"17116","auto",NA,NA,NA,NA,NA
"35","2019-10-09 11:10:20-03","UFBA","ALCB","63926","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","Saavedra, MM","2016","12","24","Martinelli, G; Quadros, C","18310","2014","04","19","Brasil","Minas Gerais","Passa Quatro","Trilha para o Pico do Tijuca Preto.","-44.916667","-22.441389","-44.916667","-22.441389","2300","2300","10 m; folhas verdes discolores; flores com capítulos castanhos com flores amarelas; botões florais castanhos.; Campos de altitude.","ALCB033036","ALCB033036","Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-02-08 21:31:45-03","UFBA","ALCB","74850","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","Saavedra, MM","2009","07","02","Robim, MJ; Carvalho, JPM","s/n","1984","10","16","Brasil","São Paulo","Campos do Jordão","Parque Estadual do Instituto Florestal. Região do Alto da Boa Vista","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,"Southern America",NA,"21048","auto",NA,NA,NA,NA,NA
"37","2021-02-08 21:31:45-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","Roque, N","2006","12",NA,"Carvalho, JPM; Nishyima, VL; Maschietto, ML","s/n","1984","07","11","Brasil","São Paulo","Campos do Jordão","Parque Estadual, região do Ribeirão","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"de 6m. altura, tronco apresentando acúleos; flores amarelas.",NA,NA,"Dicotyledon",NA,"Southern America",NA,"21048","auto",NA,NA,NA,NA,NA
"38","2019-10-09 11:10:20-03","UFBA","ALCB","74849","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","Saavedra, MM","2014","06","05","Custodio Filho, A; Dias, AC","290","1980","07","12","Brasil","São Paulo","Cunha","Parque estadual da Serra do Mar","-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"sobre copa de 10m.",NA,NA,"Dicotyledon",NA,"Southern America",NA,"38855","auto",NA,NA,NA,NA,NA
"39","2019-10-09 11:10:20-03","UFBA","ALCB","74851","PreservedSpecimen","Plantae","Asteraceae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","Saavedra, MM","2009","07","02","Custodio Filho, A; Dias, AC","249","1980","10","08","Brasil","São Paulo","Cunha","Parque Estadual da Serra do Mar.","-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"7m. altura, tronco armado com espinhos fasciculares",NA,NA,"Dicotyledon",NA,"Southern America",NA,"38855","auto",NA,NA,NA,NA,NA
"40","2020-02-08 08:48:49-03","NBC","NL-BOTANY","L 0087196","PreservedSpecimen","Plantae","Compositae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera",NA,NA,NA,NA,"Hatschbach GG; Lindeman H; Haas H",NA,"1966","02","12","Brazil",NA,NA,"Parana: Mun. Bituruna: Faxinal.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200087196 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0087196",NA,NA,"Asterales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"41","2020-02-08 08:48:49-03","NBC","NL-BOTANY","L.3681678","PreservedSpecimen","Plantae","Compositae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera","Robinson HE","1989","05","01","Rossato M; et al.",NA,"1989","03","02","Brazil","Rio Grande do Sul",NA,"Horto Florestal.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3681678 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3681678","NL-L3681678",NA,"Asterales","Southern America",NA,NA,NA,"Magnoliopsidae","L 0207788",NA,NA,NA
"42","2020-02-08 08:48:49-03","NBC","NL-BOTANY","L.3681679","PreservedSpecimen","Plantae","Compositae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1962","02","22","Brazil",NA,NA,"Santa Catarina. Lebon Regis.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3681679 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3681679","NL-L3681679",NA,"Asterales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"43","2020-02-08 08:48:49-03","NBC","NL-BOTANY","L.3681680","PreservedSpecimen","Plantae","Compositae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera",NA,NA,NA,NA,"Reitz R",NA,"1963","02","04","Brazil",NA,NA,"Santa Catarina. Passo de Cadeia, São Joaquim.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3681680 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3681680","NL-L3681680",NA,"Asterales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"44","2020-02-08 08:48:49-03","NBC","NL-BOTANY","L.3681681","PreservedSpecimen","Plantae","Compositae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera",NA,NA,NA,NA,"Hatschbach GG",NA,"1959","01","14","Brazil",NA,NA,"Est. Parana, Mun. Rio Negro. Pien.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3681681 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3681681","NL-L3681681",NA,"Asterales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"45","2020-02-08 08:48:49-03","NBC","NL-BOTANY","L.3681682","PreservedSpecimen","Plantae","Compositae","Dasyphyllum","spinescens","Dasyphyllum spinescens","(Less.) Cabrera",NA,NA,NA,NA,"Smith LB; Klein RM",NA,"1957","02","08","Brazil",NA,NA,"Santa Catarina. Mun. Caçador-Curitibanos: Pinheiral, 10 km southeast of Caçador on the road to Lebon Regis (47 km).",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3681682 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3681682","NL-L3681682",NA,"Asterales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
