"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","stateProvince","imagecode","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"11","2019-12-12 15:31:44-03","UFABC","HUFABC","000192","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Ferreira, GE; Chautems, A; Perret, M; Peixoto. M","286","2014","10","05",NA,"Brasil","Parque Nacional Serra dos Órgãos, trilha para o Poço da Preguiça, em barranco sombrado e úmido.",NA,NA,"Erva rosetada, apenas botões e frutos novos.","HUFABC000192","Angiospermas",NA,"Rio de Janeiro","HUFABC000192","(Raddi) Sandwith",NA,"Guapimirim","-43.013361","-22.821872","450","450","-43.013361","-22.821872",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:31:53-03","NBC","NL-BOTANY","WAG.1826662","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Hatschbach GG",NA,"1971","02","04","Southern America","Brazil","Rio do Costa (mun. Guaraquecaba) Paraná.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826662 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1826662",NA,"Lamiales",NA,"NL-WAG1826662","(Raddi) Sandwith",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:31:53-03","NBC","NL-BOTANY","WAG.1826663","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Steyermark JA; Manara BJ",NA,"1970","05","16","Southern America","Venezuela","Estado Carabobo: selva siempre verde en las laderas arriba de las cabeceras de río San Gián, este de Los Tanques, al sur de Borburata.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826663 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1826663",NA,"Lamiales",NA,"NL-WAG1826663","(Raddi) Sandwith",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 09:31:53-03","NBC","NL-BOTANY","WAG.1826664","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Steyermark JA; Steyermark C",NA,"1966","03","29","Southern America","Venezuela","Estado Carabobo: selva siempre verde en las laderas arriba de las cabeceras del Río San Gián, arriba de Los Tanques y La Toma, entre Quebrada N°. 2 y Quebrada de los Verros, al sur de Borburata.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826664 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1826664",NA,"Lamiales",NA,"NL-WAG1826664","(Raddi) Sandwith",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 09:31:53-03","NBC","NL-BOTANY","WAG.1826665","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Steyermark JA",NA,"1966","03","04","Southern America","Venezuela","Estado Sucre: Peninsula de Paria: Cerro de Humo: laderas de bosque húmedo nublado que miran al sur, entre la Laguna y Roma, noroeste de Irapa.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826665 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1826665",NA,"Lamiales",NA,"NL-WAG1826665","(Raddi) Sandwith",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 09:31:53-03","NBC","NL-BOTANY","WAG.1826666","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Steyermark JA",NA,"1966","03","01","Southern America","Venezuela","Estado Sucre: Peninsula de Paria: Cerro de humo: laderas pendientes de bosque nublado virgen que miran al norte, a lo largo de las cabeceras de uno de los afluentes del Río Santa Isabel, arriba de Sipara, oeste de Santa Isabel, alrededor de 14 kms al norte del pueblo de Río Grande Arriba, arriba de Boca de Cumana y punto Siparo, noroeste de Irapa.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826666 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1826666",NA,"Lamiales",NA,"NL-WAG1826666","(Raddi) Sandwith",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:11:09-03","ESALQ","ESA","80101","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Farias, R.; Rolim, S.G.; Uliana, V.L.C.R.; Righi, C.A.; Scaramuzza, C.A.M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.",NA,"2002","04","21",NA,"Brasil","Parque Estadual de Carlos Botelho, Núcleo Sete Barras Estrada Estadual São Miguel Arcanjo - Sete Barras (SP139). Floresta Ombrófila Densa Montana ao longo e no entorno do Rio Bonito. Borda de Floresta.",NA,NA,"Erva.","ESA080101","Magnoliophyta",NA,"São Paulo","ESA080101","(Raddi) Sandw.","Araújo, A.O.","Sete Barras","-475.939","-240.829",NA,NA,"-475,939","-240,829",NA,"2002",NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:11:09-03","ESALQ","ESA","21905","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Souza, J.P. et al.","123.0","1995","02","16",NA,"Brasil",NA,NA,NA,NA,"ESA021905","Magnoliophyta",NA,"São Paulo",NA,"(Raddi) Sandw.","Gajardo, I.S.M.","Tapiraí","-47.5","-23.9599990844727",NA,NA,NA,NA,NA,NA,"41034","auto",NA,NA,NA,NA,NA
"19","2020-11-04 11:11:09-03","ESALQ","ESA","129291","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Colletta, G.D.","1707.0","2014","05","29",NA,"Brasil","Picinguaba, trilha da casa de farinha",NA,NA,"Erva flores roseas","ESA129291","Magnoliophyta",NA,"São Paulo","ESA129291",NA,"Souza, V.C.","Ubatuba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,"2014","34265","auto",NA,NA,NA,NA,NA
"20","2020-11-04 11:11:09-03","ESALQ","ESA","129292","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Colletta, G.D.","1708.0","2014","05","29",NA,"Brasil","Picinguaba, trilha da casa de farinha",NA,NA,"Erva flores roseas","ESA129292","Magnoliophyta",NA,"São Paulo",NA,NA,"Souza, V.C.","Ubatuba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,"2014","34265","auto",NA,NA,NA,NA,NA
"21","2020-11-04 11:11:09-03","ESALQ","ESA","27727","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Leitão Filho, H.F. et al.","34645.0","1996","02","03",NA,"Brasil",NA,NA,NA,NA,"ESA027727","Magnoliophyta",NA,"São Paulo",NA,"(Raddi) Sandw.","Gajardo, I.S.M.","Ubatuba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA
"22","2020-11-04 11:11:09-03","ESALQ","ESA","37785","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Garcia, F.C.P. et al.","549.0","1990","01","15",NA,"Brasil",NA,NA,NA,NA,"ESA037785","Magnoliophyta",NA,"São Paulo","ESA037785","(Raddi) Sandw.","Chautems, A.","Ubatuba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA
"23","2020-11-04 11:11:09-03","ESALQ","ESA","16182","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Souza, V.C. ; Sakuragui, C.M.","1588.0","1990","01","01",NA,"Brasil",NA,NA,NA,NA,"ESA016182","Magnoliophyta",NA,"São Paulo",NA,"(Raddi) Sandw.","Gajardo, I.S.M.","Ilha Bela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 11:11:09-03","ESALQ","ESA","79239","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Souza, J.P.; Scalon, V.R.; Siqueira, L.P.; Souza, S.C.P.M.; Sorreano, M.C.M.; Buchianeri, V.C.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","3312.0","2000","04","20",NA,"Brasil","Parque Estadual da Serra do Mar, Trilhas das Cachoeiras do Ribeirão Itu. Floresta Ombrófila Densa. Interior de mata.",NA,NA,"Erva, frutos imaturos verdes","ESA079239","Magnoliophyta",NA,"São Paulo","ESA079239","(Raddi) Sandw.","Souza, V.C.","São Sebastião","-45.36","-23.45",NA,NA,"-45.36","-23.45",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-04 11:11:09-03","ESALQ","ESA","80102","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Bortoleto, S.; Araújo, A.O.; Freire, R.A.P.; Capretz, R.L.; Castellen, M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.","49.0","2002","04","20",NA,"Brasil","Parque Estadual Carlos Botelho, Núcleo S.M.Arcanjo. Floresta Estacional Semidecidual/Floresta Ombrófila Densa Montana. Interior de floresta .",NA,NA,"Erva de 15 cm. Cálice verde. Fruto verde.","ESA080102","Magnoliophyta",NA,"São Paulo","ESA080102","(Raddi) Sandw.","Souza, V.C.","São Miguel Arcanjo","-475.808","-240.403",NA,NA,"-475,808","-240,403",NA,"2002",NA,NA,NA,NA,NA,NA,NA
"26","2020-11-04 11:11:09-03","ESALQ","ESA","90009","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Araújo, A.O.; Scalon, V.R.; Chautems, A. ; Tsuji, R.","470.0","2004","12","08",NA,"Brasil","Parque Estadual Carlos Botelho. Dentro da parcela do Biota, na trilha.",NA,NA,"Planta sobre rocha. Vegetativa.","ESA090009","Magnoliophyta",NA,"São Paulo","ESA090009",NA,NA,"São Miguel Arcanjo","-47.9900016784668","-23.8700008392334",NA,NA,"-55,840,278","-15,383,333",NA,NA,"27904","auto",NA,NA,NA,NA,NA
"27","2020-11-04 11:11:09-03","ESALQ","ESA","129303","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Colletta, G.D.","1719.0","2014","05","29",NA,"Brasil","Picinguaba, trilha da casa de farinha",NA,NA,"Erva flores roseas","ESA129303","Magnoliophyta",NA,"São Paulo","ESA129303",NA,"Souza, V.C.","Ubatuba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,"2014","34265","auto",NA,NA,NA,NA,NA
"28","2020-11-04 11:11:09-03","ESALQ","ESA","129297","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Colletta, G.D.","1713.0","2014","05","29",NA,"Brasil","Picinguaba, trilha da casa de farinha",NA,NA,"Erva flores roseas","ESA129297","Magnoliophyta",NA,"São Paulo","ESA129297","(Raddi) Sandw.","Souza, V.C.","Ubatuba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,"2015","34265","auto","06","07",NA,NA,NA
"29","2021-01-14 15:31:10-03","MN","R","11060","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Glaziou, A.F.M.","18412","1891","06","15",NA,"Brasil",NA,NA,NA,"Plantas do Brasil Central","R000011060",NA,NA,"Rio de Janeiro","R000011060_001","(Raddi) Sandwith","Chautems, A.",NA,NA,NA,NA,NA,NA,NA,NA,"1992",NA,NA,NA,NA,NA,NA,NA
"30","2015-07-02 14:02:13-03","JBP","HPL","3111","S","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"H. Lorenzi","3231","2002","03","11",NA,"Brasil","Estrada da Pétrobras no km30 para Salesópolis, em mata.",NA,NA,NA,NA,NA,NA,"SP",NA,"(Raddi) Sandwith","H. Lorenzi","São Sebastião","-45.41","-23.76",NA,NA,NA,NA,NA,"2002","41977","auto","03","11",NA,NA,NA
"31","2019-08-20 10:15:39-03","UNICAMP","UEC","106908","S","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Leitão Filho, HF; Rodrigues, RR; Lisboa, MLG; Grecco, MDN; Cardoso-Leite, E; Goldenberg, R","34645","1996","02","03",NA,"Brazil","Rodovia Taubaté-Ubatuba, Limite do Parque Estadual da Serra do Mar, acesso da cachoeira.",NA,NA,"flor, Mata de encosta, trilha na mata. Erva de 0,7 m; flores brancas.","UEC134955","Magnoliopsida",NA,"São Paulo","UEC134955","(Raddi) Sandwith","Chautems, A","Ubatuba","-46.194444","-23.389722",NA,NA,"-46.194444","-23.389722",NA,"2000",NA,NA,"02",NA,NA,NA,NA
"32","2020-02-18 09:34:19-03","UNICAMP","UEC","116622","S","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Souza, JP; Scalon, VR; Siqueira, LP; Souza, SCPM; Sorreano, MCM; Buchianeri, VC","3312","2000","04","20",NA,"Brazil","Parque Estadual da Serra do Mar, Trilha das Cachoeiras do Ribeirão Itú.",NA,NA,"flor, Erva, frutos imaturos verdes. Interior da mata. Floresta Ombrófila Densa.","UEC134956","Magnoliopsida",NA,"São Paulo","UEC134956","(Raddi) Sandwith","Souza, VC","São Sebastião","-45.6","-23.75",NA,NA,"-45.6","-23.75",NA,"2000",NA,NA,"04",NA,NA,NA,NA
"33","2021-03-01 16:31:42-03","UNICAMP","UEC","152034","S","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Costa, IR; Verola, CF; Santos, MPT","779","2007","02","01",NA,"Brazil","Núcleo Picinguaba. Trilha da Caixa da Farinha.",NA,NA,"Flor roxa com branco.","UEC141504","Magnoliopsida",NA,"São Paulo","UEC141504","(Raddi) Sandwith",NA,"Ubatuba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,"2020","34265","auto","04",NA,NA,NA,NA
"34","2019-06-27 10:25:18-03","UFES","VIES","26581","S","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Perret, M.; Chautems, A.; Peixoto, M. & Costa, I.G.","73","2012","05","11",NA,"Brasil",NA,NA,NA,NA,"VIES026581",NA,NA,"Rio de Janeiro","VIES026581","(Raddi) Sandwith",NA,"São Fidélis","-41.746898651123","-21.6460990905762","978","978",NA,NA,NA,NA,"31178","auto",NA,NA,NA,NA,NA
"35","2020-12-21 16:29:05-03","MBM","MBM","269142","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Carneiro, J.","1309","2002","02","12","Southern America","Brazil","Morro do Bronze",NA,NA,NA,"MBM269142",NA,NA,"Paraná","MBM269142","(Raddi) Sandw.","Hatschbach, G.","Guaraqueçaba","-48.3288993835449","-25.3066997528076",NA,NA,NA,NA,NA,NA,"37295","auto",NA,NA,NA,NA,NA
"36","2020-12-21 16:29:05-03","MBM","MBM","18225","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Hatschbach, G.","26267","1971","02","04","Southern America","Brazil","Rio do Costa",NA,NA,NA,"MBM018225",NA,NA,"Paraná","MBM018225","(Raddi) Sandw.","Leeuwenberg, A.J.","Guaraqueçaba","-48.3288993835449","-25.3066997528076",NA,NA,NA,NA,NA,NA,"37295","auto",NA,NA,NA,NA,NA
"37","2020-12-21 16:29:05-03","MBM","MBM","251523","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Souza, V.C.; et al.; et al.","3312","2000","04","20","Southern America","Brazil","Parque Estadual da Serra do Mar",NA,NA,NA,"MBM251523",NA,NA,"São Paulo","MBM251523","(Raddi) Sandw.","Souza, V.C.","São Sebastião","-45.4099998474121","-23.7600002288818",NA,NA,NA,NA,NA,NA,"41977","auto",NA,NA,NA,NA,NA
"38","2020-12-21 16:29:05-03","MBM","MBM","167010","PreservedSpecimen","Plantae","Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Hatschbach, G.; Silva, J.M.; Silva, J.M.","59775","1993","11","15","Southern America","Brazil","Salato Morato",NA,NA,NA,"MBM167010",NA,NA,"Paraná","MBM167010","(Raddi) Sandw.","Hatschbach, G.","Guaraqueçaba","-48.3288993835449","-25.3066997528076",NA,NA,NA,NA,NA,NA,"37295","auto",NA,NA,NA,NA,NA
"39","2015-09-04 11:57:29-03","MNHN","RECOLNAT_MNHN_P","P03509119","PreservedSpecimen",NA,"Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Glaziou, A.",NA,NA,NA,NA,NA,"Brasil",NA,"hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03509119' target='other'> <mi>dwc_moreinfo</mi></a>","P03509119",NA,NA,"Rio de Janeiro","P03509119_01","(Raddi) Sandwith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1075",NA,NA
"40","2015-09-04 11:57:29-03","MNHN","RECOLNAT_MNHN_P","P03509121","PreservedSpecimen",NA,"Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Langsdorff",NA,"1821","1","1",NA,"Brasil",NA,"hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03509121' target='other'> <mi>dwc_moreinfo</mi></a>","P03509121",NA,NA,"Rio de Janeiro","P03509121_01","(Raddi) Sandwith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2015-09-05 08:04:24-03","MNHN","RECOLNAT_MNHN_P","P00606336","PreservedSpecimen",NA,"Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Gardner, G.",NA,"1838",NA,NA,NA,"Brésil","Montagnes Organ Serra dos Orgaos Provincia Rio de Janeiro In sylvis densis primaevis in montibus vulgo.","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00606336' target='other'> <mi>dwc_moreinfo</mi></a>","P00606336",NA,NA,NA,"P00606336_01","(Raddi) Sandwith","Leeuwenberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"581",NA,NA
"42","2015-09-04 11:57:04-03","MNHN","RECOLNAT_MNHN_P","P03509114","PreservedSpecimen",NA,"Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Saint-Hilaire",NA,"1816","1","1",NA,"Brasil",NA,"hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03509114' target='other'> <mi>dwc_moreinfo</mi></a>","P03509114",NA,NA,NA,"P03509114_01","(Raddi) Sandwith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2015-09-04 11:57:29-03","MNHN","RECOLNAT_MNHN_P","P03509120","PreservedSpecimen",NA,"Gesneriaceae","Napeanthus","primulifolius","Napeanthus primulifolius",NA,"Guillemin",NA,"1839","2","1",NA,"Brasil",NA,"hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03509120' target='other'> <mi>dwc_moreinfo</mi></a>","P03509120",NA,NA,"São Paulo","P03509120_01","(Raddi) Sandwith",NA,"Ubatuba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,"62",NA,NA
