"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","previousCatalogNumber","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"23","2021-03-12 01:35:19-03","UFPI","TEPB","4053","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lippioides","Hyptis lippioides",NA,"S.M. Campos","217","1960","04","20",NA,"Brasil","São Paulo","São Carlos","Km 157 da rodovia para Ribeirão Preto","-47.8899993896484","-22.0100002288818",NA,"Arbusto 1m de altura, flores roxas Ambiente: Campo cerrado <ll>dwc_commonname:</ll> Pente-de-macaco",NA,NA,NA,NA,NA,NA,NA,NA,"45913","auto",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-20 21:18:00-03","UFV","VIC","041328","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl ex Benth) Harley & J.F.B. Pastore","de Paula, C.C.; et al.","75","2002","06","09",NA,"Brasil","Minas Gerais","Ouro Branco","Serra de Ouro Branco, Área 2.","-43.6918983459473","-20.5207996368408",NA,"Terrestre, floresta de galeria,subarbusto de 0,80 m, freguência de 5 individuos em raio de cerca de 5 m, folhas verde escuro, séplas vinho com pêlo esbranquiçado, pêlo esbranquiçado,pétalas brancas de ápice róseo, ocorre em área degrad","VIC041328","VIC041328",NA,NA,NA,NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-20 21:18:00-03","UFV","VIC","041319","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl ex Benth) Harley & J.F.B. Pastore","de Paula, C.C.; et al.","98","2002","06","21",NA,"Brasil","Minas Gerais","Ouro Branco","Serra de Ouro Branco, Área 2.","-43.6918983459473","-20.5207996368408",NA,NA,"VIC041319","VIC041319",NA,NA,NA,NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-12-20 21:18:00-03","UFV","VIC","43232","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Polh ex Benth.) Harley & J, F.B. Pastore","Simon, M.F.; et al.","1980","2013","08","22",NA,"Brasil","Minas Gerais","São Roque de Minas","Estrada vicinal a 10 km W da entrada para a Cachoeira Casca D'Anta. &nf;&nf;Alt.: 1174m &nf;Lat.: 20º18'54&nf;Long.: 46º35'15 O","-46.3657989501953","-20.2453002929688",NA,"Arbusto de 1 m, flores lilases.","VIC043232",NA,NA,NA,NA,NA,NA,NA,"57119","auto",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-02-27 16:43:59-03","UFSC","CTBS","2397","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl ex Benth.) Harley & J.F.B.Pastore","Rezende, S.G.; Justo, A.G. et al.","4638","2014","07","02",NA,"Brasil","Minas Gerais","Ouro Preto","Distrito de Miguel Burnier. Mina da Gerdau","-43.801944","-20.44",NA,"Bioma Cerrado; Hábito herbáceo; 0,30 m.",NA,NA,NA,NA,"Meyer, P.B.","2014","08","02",NA,NA,NA,"43°48'07W","20°26'24S","BHZB 10880",NA,NA,NA,NA
"28","2020-02-27 16:43:59-03","UFSC","CTBS","2438","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl ex Benth.) Harley & J.F.B.Pastore","Mendonça, J.G.F. & Ribeiro, J.H.","222","2016","05","19",NA,"Brasil","Minas Gerais","Baependi","Parque Estadual da Serra do Papagaio. Chapadão.","-44.741111","-22.128611",NA,"Subarbusto com 1 m; Campo de altitude; Caule com poucos tricomas alvos; Inflorescência roxa; Corola com base alva e ápice roxo; Cálice enegrecido, estigma lilás, filete lilás e anteras alvas.",NA,NA,"1950","1950","Pastore, J.F.B.","2017","02",NA,NA,NA,NA,"44°44'28W","22°07'43S","CESJ 67590",NA,NA,NA,NA
"29","2019-11-21 14:37:42-03","UFJF","CESJ","66568","PreservedSpecimen","Plantae","Angiosperma",NA,"Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl ex Benth.) Harley & J.F.B. Pastore","J.G.F. Mendonça; E. Landroz; F.A. Carvalho; J.H.C. Ribeiro; L.D. Santana","35","2015","05","25","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Chapadão","-44.721389","-22.131111",NA,"Erva, 50cm. Campo de Altitude. Caule piloso, folha discolor e com cheiro, inflorescência arroxeada.","CESJ066568",NA,"1950","1950","M.C.A. Mota","2015","11","06",NA,NA,NA,"-44.721389","-22.131111",NA,NA,NA,NA,NA
"30","2019-11-21 14:37:42-03","UFJF","CESJ","66587","PreservedSpecimen","Plantae","Angiosperma",NA,"Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl ex Benth.) Harley & J.F.B. Pastore","J.G.F. Mendonça; T.O. Orsi; L.D. Santana; J.H.C. Ribeiro","55","2015","06","18","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Perto da Sede do PESP","-44.730644","-22.142081",NA,"Erva, 60cm. Campo de Altitude. Folhas verde claro com tricomas brancos. Flores liláses com base da corola alva.","CESJ066587",NA,"1670","1670","M.C.A. Mota","2015","11","06",NA,NA,NA,"-44.730644","-22.142081",NA,NA,NA,NA,NA
"31","2019-08-16 08:39:40-03","UTFPR","HCF","6166","S","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl. ex Benth) Harley & J.F.B. Pastore","A.R. Silva","592","2007","10","13",NA,"Brasil","MG","Boa Esperança","Fazenda Rancharia, BR 265, Km 2","-45.635472","-21.165028",NA,"subarbusto ca. 0,90 m, heliófito, com flores roxas.",NA,NA,"881","881","J. Cordeiro & E. Barboza","2009",NA,NA,NA,NA,NA,"45°38'07,7 W","21°09'54,1 S",NA,NA,NA,NA,NA
"32","2019-08-16 08:39:40-03","UTFPR","HCF","4365","S","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl. ex Benth) Harley & J.F.B. Pastore","H.C.L. Geraldino","445","2006","07","30",NA,"Brasil","MG","Boa Esperança","Fazenda Rancharia, BR 265, Km 2","-45.638467","-21.16625",NA,"Herbácea, ereta, heliófita, com flores azuis em inflorescências terminais. Cerrado.",NA,NA,"887","887","M.G. Caxambu","2009","09","08",NA,NA,NA,"45°38'18,48'' W","21°9'58,50'' S",NA,NA,NA,NA,NA
"33","2019-08-16 08:39:40-03","UTFPR","HCF","5502","S","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl. ex Benth) Harley & J.F.B. Pastore","A.R. Silva","352","2007","07","14",NA,"Brasil","MG","Boa Esperança","Serra da Boa Esperança","-45.5657997131348","-21.0900001525879",NA,"arbusto ramificado ca. 0,30 m de altura, em meio a gramíneas. Flores roxas em área de cerrado.",NA,NA,NA,NA,"J. Cordeiro & E. Barboza","2009",NA,NA,"37175","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-12-21 16:30:06-03","MBM","MBM","407387","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","lippioides","Cyanocephalus lippioides","(Pohl ex Benth.) Harley & J.F.B. Pastore","Geraldino, H.C.L.","445","2006","07","30","Southern America","Brazil","Minas Gerais","Boa Esperança","Fazenda Rancharia, BR 265, km 2.","-45.638467","-21.16625",NA,"Herbácea, ereta, heliófita, com flores azuis em inflorescências terminais.; Cerrado; Solo: Argissolo; Relevo: ondulado.","MBM407387","MBM407387","887","887","Caxambu, M.G.","2009","09","08",NA,NA,NA,"-45.638467","-21.16625",NA,NA,NA,NA,NA
"35","2020-12-21 16:30:17-03","MBM","MBM","18410","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lippioides","Hyptis lippioides","Pohl ex Benth.","Hatschbach, G.","26959","1971","09","04","Southern America","Brazil","Minas Gerais","São Gonçalo do Sapucaí","Rodovia Fernão Dias","-45.5952987670898","-21.8922004699707",NA,NA,"MBM018410","MBM018410",NA,NA,"Harley, R.M.",NA,NA,NA,"18245","auto",NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-12-21 16:30:17-03","MBM","MBM","121186","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lippioides","Hyptis lippioides","Pohl ex Benth.","Harley, R.M.; et al.; et al.","s.n.","1984","07","16","Southern America","Brazil","Minas Gerais","Couto Magalhães","Fazenda das Abóboras",NA,NA,NA,NA,"MBM121186","MBM121186",NA,NA,"Harley, R.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-12-21 16:30:17-03","MBM","MBM","18396","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lippioides","Hyptis lippioides","Pohl ex Benth.","Hatschbach, G.","27475","1971","09","08","Southern America","Brazil","Minas Gerais","Couto Magalhães","Mendanha",NA,NA,NA,NA,"MBM018396","MBM018396",NA,NA,"Harley, R.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-12-21 16:30:17-03","MBM","MBM","41725","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lippioides","Hyptis lippioides","Pohl ex Benth.","Pereira, E.; Pabst, G.; Pabst, G.","9204","1964","09","13","Southern America","Brazil","Minas Gerais",NA,"BR-3, km 432",NA,NA,NA,NA,"MBM041725","MBM041725",NA,NA,"Harley, R.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-12-21 16:30:17-03","MBM","MBM","227789","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lippioides","Hyptis lippioides","Pohl ex Benth.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","68109",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Bocaiúva","Rodovia Bocaiúva - Diamantina, descida ao Rio Jequitinhonha","-43.814998626709","-17.1077995300293",NA,NA,"MBM227789","MBM227789",NA,NA,"Harley, R.M.",NA,NA,NA,"90741","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:30:17-03","MBM","MBM","304297","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","lippioides","Hyptis lippioides","Pohl ex Benth.","Sá, K.L.V.R. de","109","2002","05","13","Southern America","Brazil","Paraná","São Jerônimo da Serra","Reserva Indígena São Jerônimo","-50.7411003112793","-23.7275009155273",NA,NA,"MBM304297","MBM304297",NA,NA,NA,NA,NA,NA,"30511","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-11-01 15:28:19-03","PUC-RIO","FCAB","3879","PreservedSpecimen","Plantae",NA,"Angiospermae","Lamiaceae","Hyptis","lippioides","Hyptis lippioides","Pohl ex Benth.","T.S.M. Grandi; J.C. Siqueira; Jane A. Paula","1852",NA,NA,NA,NA,"Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666",NA,"Campo rupestre.&nf;lat.: 19°49' S. long.: 43°40' W.&nf;3° estação de coleta.","003879",NA,"1720","1720","R.M. Harley","1996","07","25","22051","auto",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-11-01 15:28:19-03","PUC-RIO","FCAB","1543","PreservedSpecimen","Plantae",NA,"Angiospermae","Lamiaceae","Hyptis","lippioides","Hyptis lippioides","Pohl ex Benth.","P.E. Leite S.J.","s.n.","1945","07",NA,NA,"Brasil","São Paulo","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363",NA,NA,"001543",NA,NA,NA,"R.M. Harley","1996",NA,NA,"21048","auto",NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-11-01 15:28:19-03","PUC-RIO","FCAB","3025","PreservedSpecimen","Plantae",NA,"Angiospermae","Lamiaceae","Hyptis","lippioides","Hyptis lippioides","Pohl ex Benth.","P.H. Davis; N.D. da Cruz; J. Semir, G.M. Felip; L.S. Kinoshita","3092","1976","09","30",NA,"Brasil","São Paulo","Campos do Jordão","Reserva do Instituto Florestal. Estrada para Paiol","-45.5900001525879","-22.7299995422363",NA,"&nf;&nf;; Arbusto 50 cm. Flores lilás - azuladas.; Campo limpo.","003025",NA,"1550","1680","R.M. Harley","1996","07","25","21048","auto",NA,NA,NA,NA,NA,NA,NA,NA
"44","2015-09-27 14:18:39-03","MNHN","RECOLNAT_MNHN_P","P00721120","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","lippioides","Hyptis lippioides","Pohl ex Benth.","Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Province de Minas Geraes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00721120' target='other'> <mi>dwc_moreinfo</mi></a>","P00721120","P00721120_01",NA,NA,"Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11308",NA,NA,NA
"45","2015-09-27 10:54:12-03","MNHN","RECOLNAT_MNHN_P","P00721121","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","lippioides","Hyptis lippioides","Pohl ex Benth.","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Province de Saint Paul : sable blanc quartzeux à gros grain presque pur près Penha dans les Minas Novas",NA,NA,"hb","Hyptis n. spec. fragilifolia A.St.-Hil. mss <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00721121' target='other'> <mi>dwc_moreinfo</mi></a>","P00721121","P00721121_01 P00721121_02",NA,NA,"Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1 1164",NA,NA,NA
