"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","monthIdentified","locality","imagecode","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","continentOcean","occurrenceRemarks","verbatimLongitude","verbatimLatitude","infraspecificEpithet","fieldNumber","preparationType","individualCount","class","order","typeStatus","phylum","sex"
"11","2015-10-05 05:51:20-03","MNHN","RECOLNAT_MNHN_P","P00080035","PreservedSpecimen",NA,"Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I.Santos & Peixoto","Lirio",NA,"Glaziou, A.",NA,"1888","9","22","Brésil",NA,NA,NA,NA,NA,"P00080035",NA,NA,"(Rio Jan.) Alto Macahé","P00080035_01",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00080035' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"17769","hb",NA,NA,NA,NA,NA,NA
"12","2015-10-05 05:51:33-03","MNHN","RECOLNAT_MNHN_P","P00080036","PreservedSpecimen",NA,"Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I.Santos & Peixoto","Lirio",NA,"Glaziou, A.",NA,"1888","9","22","Brésil",NA,NA,NA,NA,NA,"P00080036",NA,NA,"(Rio Jan.) Alto Macahé","P00080036_01",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00080036' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"17769","hb",NA,NA,NA,NA,NA,NA
"13","2018-05-29 09:38:21-03","MNHN","RECOLNAT_MNHN_P","P00080040","PreservedSpecimen",NA,"Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I.Santos & Peixoto","Lirio",NA,"Glaziou, A.",NA,"1892","10","10","Brésil",NA,NA,NA,NA,NA,"P00080040",NA,NA,"(Rio Jan.) Alto Macahé","P00080040_01",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00080040' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"20485","hb",NA,NA,NA,NA,NA,NA
"14","2018-05-29 10:13:58-03","MNHN","RECOLNAT_MNHN_P","P00080041","PreservedSpecimen",NA,"Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I.Santos & Peixoto","Lirio",NA,"Glaziou, A.",NA,"1892","10","10","Brésil",NA,NA,NA,NA,NA,"P00080041",NA,NA,"(Rio Jan.) Alto Macahé","P00080041_01",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00080041' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"20485","hb",NA,NA,NA,NA,NA,NA
"15","2010-03-05 14:51:00-03","MO","MOBOT","3122349","PreservedSpecimen","Plantae","Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I. Santos & Peixoto","Inês da Silva Santos",NA,"Hugh M. Curran","Curran 648","1918","12","9","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Nova Friburgo.",NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"16","2020-07-10 09:47:40-03","MBML","MBML-HERBARIO","51668",NA,"Plantae","Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I.Santos & Peixoto","Lírio/II-2017",NA,"E.J. de Lírio; P. Vianny, L. Cardoso & M.F.O. Silva","1249","2015","09","20","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","MBML051668","auto",NA,"Macaé de Cima, mata do sítio do tio do Pablo Vianny","MBML051668",NA,NA,NA,NA,"Arvoreta 3m, flores pistiladas brancas. Ind.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-07-10 09:47:40-03","MBML","MBML-HERBARIO","51667",NA,"Plantae","Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I.Santos & Peixoto","Lírio/II-2017",NA,"E.J. de Lírio; P. Vianny, A. Giaretta & M.C. Souza","1184","2015","01","30","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","MBML051667","auto",NA,"Macaé de Cima, mata do sítio do tio do Pablo Vianny","MBML051667",NA,NA,NA,NA,"Arvoreta 3m, frutos verdes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-07-10 09:47:40-03","MBML","MBML-HERBARIO","51657",NA,"Plantae","Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I.Santos & Peixoto","Lírio/2016",NA,"E.J. de Lírio; P. Vianny, L. Cardoso & M.F.O. Silva","1251","2015","09","20","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","MBML051657","auto",NA,"Macaé de Cima, mata do sítio do tio do Pablo Vianny","MBML051657",NA,NA,NA,NA,"Arvoreta, flores estaminadas brancas, estames amarelos. Ind. 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","1123589","PreservedSpecimen","Plantae","Monimiaceae","Macropeplus","ligustrinus","Macropeplus ligustrinus friburgensis","Perkins",NA,NA,"A. F. M. Glaziou","20485","1892","8","10","Brazil","Rio de Janeiro",NA,NA,NA,NA,"US00996921",NA,NA,"Alto macabé.","US00996921_01",NA,NA,NA,"South America - Neotropics","Date on label is '10 8? 1892'; protologue states 'im September und October blühend'",NA,NA,"friburgensis",NA,NA,"1","Dicotyledonae","Laurales","Isosyntype",NA,NA
"20","2020-09-12 05:00:02-03","US","US","2595094","PreservedSpecimen","Plantae","Monimiaceae","Macropeplus","ligustrinus","Macropeplus ligustrinus friburgensis","Perkins",NA,NA,"A. F. M. Glaziou","20485",NA,NA,NA,"Brazil","Río de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Alto Macahe de Nova Friburgo.",NA,NA,NA,NA,"South America - Neotropics",NA,NA,NA,"friburgensis",NA,NA,"1","Dicotyledonae","Laurales","Isosyntype",NA,NA
"21","2019-11-22 16:08:22-03","UEFS","HUEFS","213752","PreservedSpecimen","Plantae","Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I.Santos & Peixoto",NA,NA,NA,"82","2014","08","13","Brasil","Rio de Janeiro","Nova Friburgo","-42.39","-22.41",NA,"HUEFS0213752",NA,NA,"Conglomerado 14-2-4-42.","HUEFS0213752",NA,NA,NA,NA,NA,"42W23'24''","22S24'36''",NA,NA,NA,NA,"Magnolianae","Laurales",NA,"Angiospermae",NA
"22","2019-10-07 09:23:09-03","UEFS","HUEFS","231150","PreservedSpecimen","Plantae","Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I.Santos & Peixoto","E.J.Lírio","2016","Lírio, E.J.","1251","2015","09","20","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","HUEFS0231150","auto",NA,"Macaé de Cima, mata do sítio do tio Pablo Vianny.","HUEFS0231150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnolianae","Laurales",NA,"Angiospermae",NA
"23","2019-05-06 12:00:48-03","UFU","HUFU","74335","S","Plantae","Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I.Santos & Peixoto","Lirio","2017","Lírio, E.J.; Vianny, P.; Cardoso, L. & Silva, M.F.O.","1215","2015","08","29","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","HUFU00072189","auto",NA,"Macaé de Cima, Mata do sítio do tio do Pablo Vianny.","HUFU00072189",NA,NA,NA,NA,"Arvoreta, botões pistolados, no topo.; Topo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-08-20 14:57:06-03","UFSC","FLOR","64160","PreservedSpecimen","Plantae","Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I.Santos & Peixoto","Lírio, E.J.","2017","Lírio, E.J.; Vianny, P.; Cardoso, L.; Silva, M.F.O.","1216","2015","08","29","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","FLOR0064160","auto","02","Macaé de Cima, mata do sítio do tio do Pablo Vianny.","FLOR0064160",NA,NA,NA,NA,"Arvoreta, botões estaminados. Topo",NA,NA,NA,NA,NA,NA,NA,"Laurales",NA,NA,NA
"25","2019-11-21 10:10:50-03","IBt","SP","263580","S","Plantae","Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I.Santos & Peixoto","Lírio, EJ","2016","Lima, HC; et al.","s.n.","1988","10","17","Brasil","Rio de Janeiro","Nova Friburgo","-42.5","-22.55",NA,"SP048008",NA,NA,"Reserva Ecológica Municipal de Macaé de Cima, Nascente do Rio das Flores. Parc. 1B. Microp. 7a, ind. 3199.","SP048008",NA,NA,NA,NA,NA,"-42.5","-22.55",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-21 10:10:50-03","IBt","SP","491618","S","Plantae","Monimiaceae","Macropeplus","friburgensis","Macropeplus friburgensis","(Perkins) I.Santos & Peixoto","Lírio, EJ","2017","Lírio, EJ; et al.","1212","2015","08","29","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","SP048009","auto",NA,"Macaé de Cima, mata do sítio do tio do Pablo Vianny.","SP048009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2010-08-16 16:43:31-03","GH","HU-HERB","GH 00039962","PreservedSpecimen","Plantae","Monimiaceae","Macropeplus","ligustrinus","Macropeplus ligustrinus friburgensis","Perkins",NA,NA,"A. F. M. Glaziou","17769",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Alto Macahe de Nova Friburgo",NA,NA,NA,NA,"South America",NA,NA,NA,"friburgensis","17769","Sheet",NA,NA,NA,"Type",NA,"undetermined"
