"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","typeStatus","relationshipType","relatedCatalogItem","previousCatalogNumber","fieldNumber","individualCount","infraspecificEpithet"
"12","2021-03-15 16:37:00-03","NY","NYBG","2553661","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"J. U. M. dos Santos","290","1978","03","28","Brazil","Rondônia",NA,"Rio Pacaas Novos, mata ao lado da primeira cachoeira","-63.7693262","-10.9794376",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2803737' target='other'> <mi>dwc_moreinfo</mi></a>","NY02553661","NY02553661_01",NA,NA,"Lycopodiophyta","Lycopodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","2553664","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"J. M. Pires","51304","1961","09","28","Brazil","Amapá",NA,"Rio Araguari, vicinity Camp 12.","-52.13","1.18",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2803740' target='other'> <mi>dwc_moreinfo</mi></a>","NY02553664","NY02553664_01",NA,NA,"Lycopodiophyta","Lycopodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","2553665","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"C. A. Cid Ferreira","3734","1982","11","21","Brazil","Amazonas",NA,"Novo Japurá. Fronteira do Brasil e Colômbia, Vila Bittencourt, rio Apapóris, margem esquerda, igarapé Preguiça, próximo ao 3o. Beque de Infantaria","-69.4263813","-1.3996708",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2803741' target='other'> <mi>dwc_moreinfo</mi></a>","NY02553665","NY02553665_01",NA,NA,"Lycopodiophyta","Lycopodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","02553660","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"D. F. Austin","7319","1979","11","05","Brazil","Amapá",NA,"E da Vila Breu num braço do rio Breu",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2803734' target='other'> <mi>dwc_moreinfo</mi></a>","NY02553660","NY02553660_01",NA,NA,"Lycopodiophyta","Lycopodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","2553666","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"P. R. P. Bouças","15","1975","03","20","Brazil","Pará",NA,"Municipio de Mojú - Igarapé Marachimbé.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2803742' target='other'> <mi>dwc_moreinfo</mi></a>","NY02553666","NY02553666_01",NA,NA,"Lycopodiophyta","Lycopodiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 09:58:52-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","25100","S","Plantae","Lycopodiaceae","Phlegmariurus","flexibilis","Phlegmariurus flexibilis","(Fée) B.Øllg.",NA,NA,NA,NA,"M. Almeida-Neto","392","1998","02","18","Brasil","Ceará","Maranguape","Altitude ca. 650m. Serra de Maranguape. Trilha p/ Pedra Rajada.","-38.6856002807617","-3.89083003997803","38°43'","03°50'",NA,NA,"Mata plúvio nebular. Epífita próx. Da trilha.",NA,NA,"40608","auto","Tracheophyta","Lycopodiales","América do Sul",NA,"Polypodiopsida",NA,NA,NA,NA,NA,NA,NA
"18","2019-12-04 15:26:02-03","PUCPR","HUCP","23974","S","Plantae","Lycopodiaceae","Phlegmariurus","flexibilis","Phlegmariurus flexibilis","(Fée) B. Øllg.",NA,NA,NA,NA,"Petean, M","s.n.","2008","01","13","Brasil","São Paulo","Iguape","Rio Brejatuva","-47.5499992370605","-24.7000007629395",NA,NA,NA,NA,NA,"HUCP00001076","HUCP00001076","55628","auto","Lycopodiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-12-04 15:26:02-03","PUCPR","HUCP","22465","S","Plantae","Lycopodiaceae","Phlegmariurus","flexibilis","Phlegmariurus flexibilis","(Fée) B. Øllg.","Kersten, RA","2019","06","04","Caires, LB; Brehm, F","016","2012","11","27","Brasil","Paraná",NA,"Rio Preto",NA,NA,NA,NA,NA,NA,NA,"HUCP00001014","HUCP00001014",NA,NA,"Lycopodiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-12-04 15:26:02-03","PUCPR","HUCP","19888","S","Plantae","Lycopodiaceae","Phlegmariurus","flexibilis","Phlegmariurus flexibilis","(Fée) B. Øllg.","Kersten, RA","2009","07","14","Kersten, RA","1355","2009","01","02","Brasil","Paraná","Antonina","Reserva Natural Morro da Mina","-48.7118988037109","-25.4286003112793",NA,NA,NA,NA,"Estágio médio de regeneração.","HUCP00001002","HUCP00001002","38300","auto","Lycopodiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-12-04 15:26:02-03","PUCPR","HUCP","24761","S","Plantae","Lycopodiaceae","Phlegmariurus","flexibilis","Phlegmariurus flexibilis","(Fée) B. Øllg.","Kersten, RA","2019","06","04","Kersten, RA","1670","2016","02","04","Brasil","Paraná","Morretes","Serra da Graciosa","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"Epífita, 1450m s.n.m.","HUCP00024761","HUCP00024761","30514","auto","Lycopodiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-12-04 15:26:02-03","PUCPR","HUCP","20818","S","Plantae","Lycopodiaceae","Phlegmariurus","flexibilis","Phlegmariurus flexibilis","(Fée) B. Øllg.","Garcia, AP",NA,NA,NA,"Garcia, AP","002","2009","04","05","Brasil","Santa Catarina","Corupá",NA,"-49.2430992126465","-26.4253005981445",NA,NA,NA,NA,NA,NA,NA,"23917","auto","Lycopodiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-12-04 15:26:02-03","PUCPR","HUCP","22462","S","Plantae","Lycopodiaceae","Phlegmariurus","flexibilis","Phlegmariurus flexibilis","(Fée) B. Øllg.","Kersten, RA","2019","06","04","Beghetto, CL","010","2012","11","02","Brasil","Paraná","Morretes","Rio de Nunes","-48.834400177002","-25.476900100708",NA,NA,NA,NA,NA,"HUCP00001033","HUCP00001033","30514","auto","Lycopodiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-02-08 08:41:40-03","NBC","NL-BOTANY","L.3472191","PreservedSpecimen","Plantae","Lycopodiaceae","Huperzia","flexibilis","Huperzia flexibilis","(Fée) B.Øllg.",NA,NA,NA,NA,"Sellow F",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3472191 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3472191","NL-L3472191",NA,NA,NA,"Lycopodiales","Southern America",NA,"Lycopsida",NA,NA,NA,NA,NA,NA,NA
"25","2020-02-08 08:41:53-03","NBC","NL-BOTANY","L.3721560","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"Fuchs HP; Torres-Romero JH; Zanella A",NA,"1967","03","29","Colombia",NA,NA,"Colombia, Choco; Rio Baudo, 30 km E de Pizarro. (en linea recta), Q. Misará. Estuary of Q. Misará at right bank of rio Bando. In tree overhanging river.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3721560 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3721560","NL-L3721560",NA,NA,NA,"Lycopodiales","Southern America",NA,"Lycopsida",NA,NA,NA,NA,NA,NA,NA
"26","2020-02-08 08:41:53-03","NBC","NL-BOTANY","U.1016705","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"Harley RM; et al.",NA,"1977","02","03","Brazil",NA,NA,"Estado da Bahia. Coastal Zone. Near Marau 20 km North from road junction from Marau to Ponta do Muta.","-38.95","-13.95","-38.95","-13.95",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1016705 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1016705","NL-U1016705",NA,NA,NA,"Lycopodiales","Southern America",NA,"Lycopsida",NA,NA,NA,NA,NA,NA,NA
"27","2020-02-08 08:41:53-03","NBC","NL-BOTANY","U.1016706","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"Irwin HS; Pires JM; Westra LYT",NA,"1960","09","17","Brazil",NA,NA,"Rio Oiapoque. Territorio Amapa, Brasil. Near edge River. about 2 km southwest of mouth of Rio Ingarari.","-52.65","2.3","-52.65","2.3",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1016706 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1016706","NL-U1016706",NA,NA,NA,"Lycopodiales","Southern America",NA,"Lycopsida",NA,NA,NA,NA,NA,NA,NA
"28","2020-02-08 08:41:53-03","NBC","NL-BOTANY","U.1017426","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"Rooden J van; Welle BJH ter; Topper SMC",NA,"1979","11","15","Colombia",NA,NA,"Departemento Valle del Cauca:Municipio Buenaventura. Carton de Colombia.","-77.166667","3.933333","-77.166667","3.933333",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1017426 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1017426","NL-U1017426",NA,NA,NA,"Lycopodiales","Southern America",NA,"Lycopsida",NA,NA,NA,NA,NA,NA,NA
"29","2020-02-08 08:41:53-03","NBC","NL-BOTANY","U.1017427","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"Rooden J van; Welle BJH ter; Topper SMC",NA,"1979","11","15","Colombia",NA,NA,"Departamento Choco: drainge basin of Rio San Juan, tributary Rio Taparal. Along the riverains at high waterlevel,primary tropical lowland rainforest.","-77.166667","4.25","-77.166667","4.25",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1017427 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1017427","NL-U1017427",NA,NA,NA,"Lycopodiales","Southern America",NA,"Lycopsida",NA,NA,NA,NA,NA,NA,NA
"30","2020-02-08 08:41:53-03","NBC","NL-BOTANY","U.1017429","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"Flora Falcon",NA,"1979","02","01","Venezuela",NA,NA,"Flora del Estado Falcon. Sierra de San Luis, arriba de Sta Maria. Selva nublada.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1017429 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1017429","NL-U1017429",NA,NA,NA,"Lycopodiales","Southern America",NA,"Lycopsida",NA,NA,NA,NA,NA,NA,NA
"31","2020-02-08 08:41:53-03","NBC","NL-BOTANY","U.1017430","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"Werff HH van der; Wingfield RC; Vera B",NA,"1978","10","04","Venezuela",NA,NA,"Del Estado Falcon. Sierra San Luis, arriba de Sta Maria.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1017430 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1017430","NL-U1017430",NA,NA,NA,"Lycopodiales","Southern America",NA,"Lycopsida",NA,NA,NA,NA,NA,NA,NA
"32","2020-02-08 08:41:53-03","NBC","NL-BOTANY","U.1017431","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"Flora Falcon",NA,"1979","05","17","Venezuela",NA,NA,"Del Estado Falcon. Sierra de San Luis, Montaña de Paraguariba, 3 km E. de Cerro Galicia. Selva nublada.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1017431 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1017431","NL-U1017431",NA,NA,NA,"Lycopodiales","Southern America",NA,"Lycopsida",NA,NA,NA,NA,NA,NA,NA
"33","2020-02-08 08:41:53-03","NBC","NL-BOTANY","U.1017432","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"Buchtien O",NA,"1907","11","25","Bolivia",NA,NA,"Bolivia.Prov de Jungas.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1017432 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1017432","NL-U1017432",NA,NA,NA,"Lycopodiales","Southern America",NA,"Lycopsida",NA,NA,NA,NA,NA,NA,NA
"34","2020-02-08 08:41:53-03","NBC","NL-BOTANY","U.1017433","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"Maas PJM",NA,"1974","10","09","Colombia",NA,NA,"Dep. El Valle, old road Cali-Buenaventura, 7 km W of Sabaletas, forest.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1017433 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1017433","NL-U1017433",NA,NA,NA,"Lycopodiales","Southern America",NA,"Lycopsida",NA,NA,NA,NA,NA,NA,NA
"35","2020-02-08 08:41:53-03","NBC","NL-BOTANY","U.1017434","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"Croizat LCM",NA,"1951","08","01","Venezuela",NA,NA,"Venezuela: upper Orinoco region;Raudal de los Guaharibos. Epiphytic in an ant-nest; small island in the river.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1017434 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1017434","NL-U1017434",NA,NA,NA,"Lycopodiales","Southern America",NA,"Lycopsida",NA,NA,NA,NA,NA,NA,NA
"36","2020-02-08 08:41:53-03","NBC","NL-BOTANY","U.1017435","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"Cuatrecasas J; Llano M",NA,"1958","04","02","Colombia",NA,NA,"Chocò: Rio Atrato: Yutro, rocky margins of the river above Yuto; elev 70m.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1017435 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1017435","NL-U1017435",NA,NA,NA,"Lycopodiales","Southern America",NA,"Lycopsida",NA,NA,NA,NA,NA,NA,NA
"37","2020-02-08 08:41:53-03","NBC","NL-BOTANY","U.1017436","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"Schunke Vigo J",NA,"1972","12","16","Peru",NA,NA,"Department of San Martin. Palo Blanco, al oeste del Puente; Mariscal Caceres; Tocache Nuevo.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1017436 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1017436","NL-U1017436",NA,NA,NA,"Lycopodiales","Southern America",NA,"Lycopsida",NA,NA,NA,NA,NA,NA,NA
"38","2020-11-04 11:21:14-03","ESALQ","ESA","17948","PreservedSpecimen","Plantae","Lycopodiaceae","Phlegmariurus","flexibilis","Phlegmariurus flexibilis",NA,"Dittrich, V.A.O.",NA,NA,NA,"Miyagi, P.H. et al.",NA,"1994","09","06","Brasil","São Paulo","Cananéia",NA,"-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,NA,"ESA017948",NA,"37574","auto","Pteridophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-01-14 15:31:26-03","MN","R","237870","PreservedSpecimen","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.",NA,NA,NA,NA,"Prance, G.T. 23562; Ramos, J.F.",NA,"1975","07","24","Brasil","Amazonas","Amazonas","Manaus-Caracarai km 50, crossing with Igarape Tarumazinho",NA,NA,NA,NA,NA,NA,NA,"R010066705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2016-02-02 14:38:32-02","BGBM","B","B 20 0113123","S","Plantae","Lycopodiaceae","Huperzia","flexibilis","Huperzia flexibilis","B.Øllg.","P. G. Windisch","2011","07",NA,"A. F. M. Glaziou","5220",NA,NA,NA,"Brazil",NA,NA,"Rio de Janeiro.",NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B200113123 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200113123","B200113123",NA,NA,NA,NA,"Middle and South America",NA,NA,"isotype",NA,NA,NA,NA,NA,NA
"41","2016-02-02 14:38:32-02","BGBM","B","B 20 0113131","S","Plantae","Lycopodiaceae","Huperzia","flexibilis","Huperzia flexibilis","B.Øllg.","P. G. Windisch","2011","07",NA,"E. H. G. Ule","77 (9)","1884","08",NA,"Brazil",NA,NA,"prov. St. Catharina, São Francisco.",NA,NA,NA,NA,NA,NA,"Habitat: Im Urwalde.. <a href=http://herbarium.bgbm.org/object/B200113131 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200113131","B200113131",NA,NA,NA,NA,"Middle and South America",NA,NA,"isosyntype",NA,NA,NA,NA,NA,NA
"42","2019-12-19 08:08:12-03","FPS","FPS","2411","MachineObservation","Plantae","Lycopodiaceae","Phlegmariurus","flexibilis","Phlegmariurus flexibilis","(Fée) B.Øllg.","Gissi, DS","2016","09","23","Schwirkowski, P.","1846","2016","09","23","Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Trilha do Parque das Aves","-49.276775","-26.362928","-49.276775","-26.362928",NA,NA,NA,"FPS02411,FURB51952","FPS02411_v01 FPS02411_v02 FPS02411_v03 FPS02411_v04 FURB51952",NA,NA,NA,NA,NA,NA,NA,NA,"voucher","FURB 51952",NA,NA,NA,NA
"43","2019-02-15 11:44:35-02","IPA","IPA","21269","S","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.","Sehnem, A.","1976","09","06","Andrade-Lima","70-5979","1970","09","06","Brasil","Pernambuco","Gravatá","Fazenda Harmonia","-35.5647010803223","-8.20110988616943",NA,NA,NA,NA,"Epífita.","IPA0021269",NA,"19146","auto","Plantae",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-02-15 11:44:35-02","IPA","IPA","29265","S","Plantae","Lycopodiaceae","Lycopodium","linifolium","Lycopodium linifolium","L.","Leão Barros, I.C.","1985",NA,NA,"Andrade-Lima","72-7141","1972","12","28","Brasil","Pernambuco","Taquaritinga do Norte","Sítio Cafundó","-36.0442008972168","-7.90305995941162",NA,NA,NA,NA,NA,"IPA0029265",NA,"25558","auto","Plantae",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
