"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class"
"11","2020-10-14 10:04:09-03","FURB","FURB","17621","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Korte, A.; Kniess, A.","1514","2009","12","10",NA,"Brasil","Santa Catarina","Mirador.","792","792",NA,"Florística IFFSC 573 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita;","FURB02775","FURB02775","Mancinelli, WS","Rio do Sul","-49.5905555","-27.0902777",NA,NA,"2010","01","25","-49.5905555","-27.0902777",NA,NA,NA
"12","2020-10-14 10:04:09-03","FURB","FURB","31095","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Cadorin, T.J.; Grosch, B. & Zimmermann, R.","2620","2010","06","15",NA,"Brasil","Santa Catarina","RPPN Prima Luna / Monte Barão.","1097","1097",NA,"Epífita IFFSC e8007a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa Alto Montana; Estágio Primário; interior do fragmento Habito: epífita; Fruto com fruto;","FURB35314","FURB35314","Mancinelli, WS; Engels, ME; Smidt, EC","Nova Trento","-49.0269445","-27.2636111",NA,NA,"2012","04",NA,"-49.0269445","-27.2636111",NA,NA,NA
"13","2020-10-14 10:04:09-03","FURB","FURB","62050","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","3998","2018","08","14",NA,"Brasil","Santa Catarina",NA,"604","604",NA,"Flor Verde-amarelada; Cultivada em casa de vegetação com floração em 19/11/2018 Habitat: Interior da unidade amostral Habito: Epífita","FURB62050","FURB62050","Kassner-Filho, A.","Imaruí","-48.8702778","-28.1694445",NA,NA,"2018","08","14","-48.8702778","-28.1694445",NA,NA,NA
"14","2020-12-21 16:38:28-03","MBM","MBM","2186","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","duseniana","Gomesa duseniana","Kraenzl.",NA,"Hatschbach, G.","15693","1967","01","12","Southern America","Brazil","Paraná","Morro Mãe Catira",NA,NA,NA,"Epífita.","MBM002186",NA,"Pabst, G.","Quatro Barras","-49.0769004821777","-25.3656005859375","17116","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:38:28-03","MBM","MBM","12748","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","duseniana","Gomesa duseniana","Kraenzl.",NA,"Hatschbach, G.","20946","1969","01","29","Southern America","Brazil","Paraná","Sesmaria, Rio Capivari, 2 Km ao Oeste",NA,NA,NA,"Epífita.","MBM012748",NA,"Pabst, G.","Bocaiúva do Sul","-49.1150016784668","-25.2061004638672","61623","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:38:28-03","MBM","MBM","2179","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","duseniana","Gomesa duseniana","Kraenzl.",NA,"Hatschbach, G.","16019","1967","02","21","Southern America","Brazil","Paraná","Rio Taquari",NA,NA,NA,"Matinha a beira do campo graminoso. Epífita, flor verde claro","MBM002179","MBM002179","Pabst, G.","Quatro Barras","-49.0769004821777","-25.3656005859375","17116","auto","1967",NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:38:30-03","MBM","MBM","397453","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Ariati, V.","847","2012","11","25","Southern America","Brazil","Santa Catarina",NA,NA,NA,NA,"Flor amarela, coluna com borda interna vermelha.; Floresta Ombrófila Densa.","MBM397453","MBM397453",NA,"Joinville","-48.8456001281738","-26.3043994903564","37150","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:38:30-03","MBM","MBM","397448","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Roher, D.; Daniel, V.; Daniel, V.","s.n.","2013","06","29","Southern America","Brazil","Paraná","Resgate de flora LT 230 kv Joinville Norte - Curitiba C2",NA,NA,NA,"Floresta Ombrófila Mista.","MBM397448","MBM397448",NA,"Curitiba","-49.283233","-25.594442",NA,NA,NA,NA,NA,"-49.283233","-25.594442",NA,NA,NA
"19","2020-12-21 16:38:30-03","MBM","MBM","397451","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Roher, D.; Daniel, V.; Daniel, V.","s.n.","2013","01","24","Southern America","Brazil","Paraná","Resgate de flora LT 230 kv Joinville Norte - Curitiba C2",NA,NA,NA,"Epífita. Flor de cor amarela.; Floresta Ombrófila Mista.","MBM397451","MBM397451",NA,"Tijucas do Sul","-49.054747","-25.814861",NA,NA,NA,NA,NA,"-49.054747","-25.814861",NA,NA,NA
"20","2020-12-21 16:38:30-03","MBM","MBM","314053","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Ribas, O.S.; Silva, J.M.; Silva, J.M.","7122","2006","01","22","Southern America","Brazil","Paraná","Usina Hidrelétrica Parigot de Souza, subida a cota 800",NA,NA,NA,"Epífita, flor com pétalas esverdeadas, labelo alvo. Encosta do morro, floresta atlântica da Serra do Mar","MBM314053","MBM314053","Chiron, G.","Antonina","-48.7118988037109","-25.4286003112793","38300","auto","2007","02",NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:38:30-03","MBM","MBM","49599","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Hatschbach, G.","9704","1963","01","23","Southern America","Brazil","Paraná","Varginha do Carumbé",NA,NA,NA,NA,"MBM049599",NA,"Hatschbach, G.","Bocaiúva do Sul","-49.1150016784668","-25.2061004638672","61623","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:38:30-03","MBM","MBM","49600","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Hatschbach, G.","9704","1952","11","14","Southern America","Brazil","Paraná","Alto da Serra, Estrada da Graciosa",NA,NA,NA,NA,"MBM049600",NA,"Hatschbach, G.","Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:38:30-03","MBM","MBM","188454","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Silva, J.M.; Cordeiro, J.; Cordeiro, J.","1591","1995","12","15","Southern America","Brazil","Paraná","Zinco",NA,NA,NA,"Epífita, flor creme, mata pluvial","MBM188454","MBM188454","et al.; Lemos, J.V.","São José dos Pinhais","-49.2064018249512","-25.5347003936768","45291","auto","2010","10",NA,NA,NA,NA,NA,NA
"24","2015-09-04 03:27:33-03","MNHN","RECOLNAT_MNHN_P","P00456024","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.","syntype","Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,"Prov. de Minas Geraes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00456024' target='other'> <mi>dwc_moreinfo</mi></a>","P00456024","P00456024_01 P00456024_02","Batista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14303",NA,NA
"25","2015-09-24 10:23:27-03","MNHN","RECOLNAT_MNHN_P","P00456657","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.","syntype","Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,"Prov. de Minas Geraes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00456657' target='other'> <mi>dwc_moreinfo</mi></a>","P00456657","P00456657_01 P00456657_02","Batista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14303",NA,NA
"26","2020-12-11 11:44:33-03","UFMG","BHCB","14765","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Souza, HC de","s.n.","1987","11","12","Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,"Planta coletada em barranco nas margens da estrada de acesso ao parque, próximo à portaria; erva terrestre; sépalas brancas, pétalas laterais e labelo brancos com manchas vináceas.",NA,NA,NA,"Lima Duarte","-43.793098449707","-21.8425006866455","30417","auto",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-12-11 11:44:33-03","UFMG","BHCB","94836","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Mota, RC da","2970","2005","11","20","Southern America","Brasil","Minas Gerais","Serra do Caraça","1500","1500",NA,"Erva hemi-epífita; flores verdes com base do labelo branca; Planta coletada em mata de galeria, próximo do Campo de Fora","BHCB001390","BHCB001390",NA,"Catas Altas","-43.4075012207031","-20.0746994018555","11966","auto","2005","11",NA,NA,NA,NA,NA,NA
"28","2021-02-11 17:20:56-03","UFPR","UPCB","84516","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Caglioni, E | Bonnet, A.","589","2016","01","31",NA,"Brasil","Rio de Janeiro","Antena SBT","1600","1600",NA,"Epífito com florescimento em cultivo; flores esverdeadas com labelo branco. Floresta Ombrófila Densa.","UPCB0033318","UPCB0033318","Meneguzzo, T.E.C.","Nova Friburgo","-42.566667","-22.359722",NA,NA,"2017",NA,NA,"-42.566667","-22.359722",NA,NA,NA
"29","2021-02-11 17:20:56-03","UFPR","UPCB","89664","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Caglioni, E. | Junckes, A.R.","503","2014","11","13",NA,"Brasil","Santa Catarina","Parque Botânico Morro do Baú","810","810",NA,"Floresta Ombrófila Densa. Epífito com flores esverdeadas e labelo branco..","UPCB0029536","UPCB0029536","Caglioni, E.","Ilhota","-48.930556","-26.799722",NA,NA,"2014","11","13","-48.930556","-26.799722",NA,NA,NA
"30","2021-02-11 17:20:56-03","UFPR","UPCB","89696","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Caglioni, E. | Junckes, A.R.","605","2016","04","07",NA,"Brasil","Santa Catarina","Parque Botânico Morro do Baú","810","810",NA,"Floresta Ombrófila Densa. Epífito coletado em subosque de floresta, com fruto imaturo verde..","UPCB0029635","UPCB0029635","Caglioni, E.","Ilhota","-48.930556","-26.799722",NA,NA,"2016","04","07","-48.930556","-26.799722",NA,NA,NA
"31","2015-02-04 10:58:00-02","MO","MOBOT","100775422","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","duseniana","Gomesa duseniana","Kraenzl.",NA,"Gert G. Hatschbach","Hatschbach 16019","1967","2","21","South America","Brazil","Paraná","Rio Taquari (mun. Quatro Barras)",NA,NA,NA,NA,NA,NA,"G. F. J. Pabst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"32","2009-07-21 23:34:00-03","MO","MOBOT","2481505","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","duseniana","Gomesa duseniana","Kraenzl.",NA,"Per Dusén","Dusén 9029",NA,NA,NA,"South America","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","52614",NA,"Plantae",NA,NA,"Orchidaceae","Gomesa","cf. glaziovii","Gomesa cf. glaziovii","Cogn.",NA,"A. P. Fontana; C. Esgario,P. Labiak, M. Kaehler & F.Matos","3634","2007","07","14",NA,"Brasil","Espírito Santo","Alto Misterioso. Pedra 1. Mata Nebular.","1143","1143",NA,"Sobre serrapilheira, sobre pedra, na sombra.","MBML052614","MBML052614",NA,"São Roque do Canaã","-40.769444","-19.804722",NA,NA,NA,NA,NA,"40W46'10","19S48'17",NA,NA,NA
"34","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","22915",NA,"Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"L. Kollmann; et al","7045","2004","09","04",NA,"Brasil","Espírito Santo","Parque Estadual do Forno Grande",NA,NA,NA,"Floração em cultivo. Flores amareladas.","MBML022915","MBML022915","L. Kollmann/01-02-2005","Castelo","-41.100556","-20.519167",NA,NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA
"35","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","45455",NA,"Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"L. Kollmann; R.B. Ferreira","12566","2012","12","13",NA,"Brasil","Espírito Santo","Alto Santo Antônio",NA,NA,NA,"Erva epífita na meia sombra, flores amarelas","MBML045455","MBML045455","L. Kollmann","Santa Teresa","-40.575556","-19.887222",NA,NA,NA,NA,NA,"40W34'32","19S53'14",NA,NA,NA
"36","2020-07-10 09:48:19-03","MBML","MBML-HERBARIO","51458",NA,"Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,NA,NA,"1953","12","12",NA,"Brasil","Espírito Santo","Castelinho",NA,NA,NA,"VIDE ÁLCOOL","MBML051458",NA,"T.E.C. Meneguzzo/2017","Cachoeiro de Itapemirim","-41.1128005981445","-20.8488998413086","35694","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-01 11:50:06-03","UFPE","UFP","6988","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Silva, MH","s.n.","1986",NA,NA,NA,"Brasil","Pernambuco",NA,NA,NA,NA,"1ª referência para Pernambuco.; 1ª referência para Pernambuco.","UFP006988",NA,"Ferreria, AB","Caruaru","-35.9761009216309","-8.28332996368408","35136","auto","1986",NA,NA,NA,NA,NA,NA,NA
"38","2020-09-12 05:00:02-03","US","US","2270283","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Gomesa","duseniana","Gomesa duseniana",NA,NA,"L. B. Smith & R. Reitz","9910","1957","1","4","South America","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"US00434436","US00434436_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae"
"39","2020-09-12 05:00:02-03","US","US","2563705","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Gomesa","duseniana","Gomesa duseniana",NA,NA,"G. Hatschbach","16019","1967","2","21","South America - Neotropics","Brazil","Pará",NA,NA,NA,NA,NA,"US00434435","US00434435_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae"
"40","2019-12-09 17:30:35-03","UFPR","EFC","14035","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Blum, C.T.; Michelotti, J.","455","2008","12","23",NA,"Brasil","Paraná","Serra da Prata","850","850",NA,"Epífta a 1 m, aos 850 m.s.n.m. Com flor verde.","EFC014035",NA,"Mancinelli, W.S.; Smidt, E.C.","Morretes","-48.6987","-25.614",NA,NA,"2008","12","25","-48.6987","-25.6140",NA,NA,NA
"41","2021-03-25 13:53:06-03","UNIVILLE","JOI","14928","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Mancinelli, W.S.","799","2007","11","15",NA,"Brasil","Santa Catarina","Morro da Tromba.","800","800",NA,NA,"JOI014928",NA,"Mancinelli, W. S.","Joinville","-48.8456001281738","-26.3043994903564","37150","auto","2007","11","05",NA,NA,NA,NA,NA
"42","2019-10-07 09:20:02-03","UEFS","HUEFS","113312","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Barros, F.de","2043","1990","12","05",NA,"Brasil","São Paulo","Ilha do Cardoso. Morro do Cardoso.","700","700",NA,NA,"HUEFS0113312","HUEFS0113312","T.E.C.Meneguzzo","Cananéia","-47.9199981689453","-25.0100002288818","37574","auto","2014","10",NA,NA,NA,NA,NA,"Lilianae"
"43","2019-07-09 12:42:18-03","F","FMNH-SEEDPLANTS","V0434270F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Gomesa","duseniana","Gomesa duseniana",NA,NA,"G. G. Hatschbach","16019","1967","2","21","South America","Brazil",NA,NA,NA,NA,NA,NA,"V0434270F","V0434270F_01",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae"
"44","2019-07-09 12:42:18-03","F","FMNH-SEEDPLANTS","V0434271F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Gomesa","duseniana","Gomesa duseniana",NA,NA,"P. Dusén","9029","1909","11","23","South America","Brazil",NA,NA,NA,NA,NA,NA,"V0434271F","V0434271F_01",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae"
"45","2019-04-11 14:23:12-03","IAC","IAC","3645","S","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"N.G. Blanco","s/nº","1939","04","24",NA,"Brasil","São Paulo","Rio Atibaia, Arraial dos Sousas",NA,NA,NA,NA,NA,NA,"A.C. Brade","Campinas","-46.96441","-22.87921",NA,NA,"1940","01","19","-46.96441","-22.87921",NA,NA,NA
"46","2020-08-20 20:37:53-03","UFSC","FLOR","3244","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Gomesa","duseniana","Gomesa duseniana","Kraenzl.",NA,"Klein, R.M.; Bresolin, A.","10577","1972","12","14",NA,"Brasil","Santa Catarina","Povoado.","500","500",NA,"flor amarelo esverdeado","FLOR0003244",NA,"Pabst, G.","Anitápolis","-49.1286010742188","-27.9018993377686","20462","auto","1974",NA,NA,NA,NA,NA,NA,NA
"47","2020-08-20 20:37:53-03","UFSC","FLOR","3211","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Gomesa","duseniana","Gomesa duseniana","Kraenzl.",NA,"Klein, R.M.; Bresolin, A.","10746","1973","01","17",NA,"Brasil","Santa Catarina","Alto Rio Cachoeira Grande, Águas Mornas.","700","700",NA,"flor amarela","FLOR0003211",NA,"Pabst, G.","Imaruí","-48.8199996948242","-28.3414001464844","29971","auto","1974",NA,NA,NA,NA,NA,NA,NA
"48","2020-08-20 14:54:45-03","UFSC","FLOR","2640","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Gomesa","duseniana","Gomesa duseniana","Kraenzl.",NA,"Klein, R.M.; Bresolin, A.","10105","1972","02","23",NA,"Brasil","Santa Catarina","Morro do Cambirela.","900","900",NA,"flor creme","FLOR0002640",NA,"Pabst, G.","Palhoça","-48.6678009033203","-27.645299911499","31105","auto","1974","06","25",NA,NA,NA,NA,NA
"49","2020-08-20 20:37:53-03","UFSC","FLOR","3294","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Gomesa","duseniana","Gomesa duseniana","Kraenzl.",NA,"Klein, R.M.; Bresolin, A.","10030","1972","01","18",NA,"Brasil","Santa Catarina","Morro do Cambirela.","900","900",NA,"flor verde","FLOR0003294",NA,"Pabst, G.","Palhoça","-48.6678009033203","-27.645299911499","31105","auto","1974",NA,NA,NA,NA,NA,NA,NA
"50","2020-08-20 14:54:45-03","UFSC","FLOR","38469","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Matos, J.Z. de","48","2006","12","26",NA,"Brasil","Santa Catarina","Área de mata do Hotel Plaza Caldas da Imperatriz.",NA,NA,NA,"epífito, flor amarelada. Fotos da planta viva.","FLOR0038469","FLOR0038469_v1 FLOR0038469_v10 FLOR0038469_v11 FLOR0038469_v12 FLOR0038469_v13 FLOR0038469_v14 FLOR0038469_v15 FLOR0038469_v16 FLOR0038469_v17 FLOR0038469_v18 FLOR0038469_v19 FLOR0038469_v2 FLOR0038469_v20 FLOR0038469_v21 FLOR0038469_v22 FLOR0038469_v3 FLOR0038469_v4 FLOR0038469_v5 FLOR0038469_v6 FLOR0038469_v7 FLOR0038469_v8 FLOR0038469_v9",NA,"Santo Amaro da Imperatriz","-48.7785987854004","-27.6881008148193","22435","auto",NA,NA,NA,NA,NA,NA,NA,NA
"51","2017-09-11 17:11:52-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Glaziou, AFM","14303?",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Habitat in prov. Rio de Janeiro loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2017-09-11 17:11:52-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Gomesa","glaziovii","Gomesa glaziovii","Cogn.",NA,"Glaziou, AFM","14303",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Habitat in prov. Rio de Janeiro loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
