"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","fieldNumber","typeStatus","individualCount","class","relatedCatalogItem","sex"
"11","2021-03-21 19:40:17-03","UFC","EAC","15327","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.","Batista, J.A.N.","Fernandes, A.","EAC15327","1987","05","01","Southern America","Brasil","Ceará","Tianguá",NA,"-40.99169921875","-3.7322199344635","800","800",NA,"Planta ornamental, terrestre; flor amarela-esverdeada; fruto esverdeado.; Cerrado de altitude, solo arenoso (camada orgânica).","EAC0015327","EAC0015327",NA,NA,"36695","auto","2005","04","29",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:38:32-03","MBM","MBM","22859","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.","Pabst, G.","Hatschbach, G.","29977","1972","08","06","Southern America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"MBM022859","MBM022859",NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:38:32-03","MBM","MBM","22849","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda pygmaea","Hoehne","Batista, J.A.N.","Hatschbach, G.","30158","1964","01","21","Southern America","Brazil","Minas Gerais","Datas","Estribo Bandeirinha","-43.6557998657227","-18.4456005096436",NA,NA,NA,NA,"MBM022849","MBM022849",NA,NA,"23532","auto",NA,NA,NA,"pygmaea",NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:38:32-03","MBM","MBM","15191","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda pygmaea","Hoehne","Batista, J.A.N.","Hatschbach, G.","24127","1970","04","06","Southern America","Brazil","Paraná","Arapoti","Rio das Perdizes","-49.8266983032227","-24.1578006744385",NA,NA,NA,NA,"MBM015191","MBM015191",NA,NA,"41852","auto",NA,NA,NA,"pygmaea",NA,NA,NA,NA,NA,NA
"15","2015-09-04 12:02:47-03","MNHN","RECOLNAT_MNHN_P","P00405107","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.","Batista","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Province de Minas Geraes",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00405107' target='other'> <mi>dwc_moreinfo</mi></a>","P00405107","P00405107_01",NA,NA,NA,NA,NA,NA,NA,NA,"D 507",NA,NA,NA,NA,NA
"16","2020-10-01 14:26:01-03","JBB","HEPH","34084","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.","Bianchetti, LB","Rosa, PO; Soares, ACA; Tinti, BV; Candido, DS","2082","2018","02","05","Southern America","Brasil","Goiás","Pirenópolis","Mosteiro Zen Horyu-Zan Eisho-Ji, Caminho para a Mata da Bacia","-48.924444","-15.7125","1199","1199",NA,NA,NA,NA,"-48.924444","-15.7125",NA,NA,"2018","08",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-10-01 14:26:01-03","JBB","HEPH","34086","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.","Batista, JAN","Rosa, PO; Soares, ACA; Tinti, BV; Candido, DS","2083","2018","02","05","Southern America","Brasil","Goiás","Pirenópolis","Mosteiro Zen Horyu-Zan Eisho-Ji, Caminho para a Mata da Bacia","-48.924444","-15.7125","1190","1190",NA,NA,NA,NA,"-48.924444","-15.7125",NA,NA,"2018","02","09",NA,NA,NA,NA,NA,NA,NA
"18","2020-10-01 14:26:01-03","JBB","HEPH","6862","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Habenaria","nuda","Habenaria nuda pygmaea","Hoehne","Batista, JAN","Batista, JAN","02","1989","06","15","Southern America","Brasil","Distrito Federal","Guará","Parque do Guará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","01","03","pygmaea",NA,NA,NA,NA,NA,NA
"19","2020-10-01 14:26:01-03","JBB","HEPH","14935","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.","Batista, JAN","Salles, AEH","s.n.","1992","05","25","Southern America","Brasil","Goiás","Pirenópolis",NA,"-48.9592018127441","-15.852499961853",NA,NA,NA,NA,NA,NA,NA,NA,"40887","auto","1992","05","25",NA,NA,NA,NA,NA,NA,NA
"20","2020-12-11 11:44:39-03","UFMG","BHCB","13134","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda nuda","Lindl.",NA,"Grandi, TSM","s.n.","1988","05","15","Southern America","Brasil","Minas Gerais",NA,"Ouro Branco, Serra do Ouro Branco",NA,NA,"1130","1130",NA,"Campo Rupestre. Vertente Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nuda",NA,NA,NA,NA,NA,NA
"21","2020-12-11 11:44:39-03","UFMG","BHCB","14390","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda nuda","Lindl.",NA,"Paula, JA","s.n.","1987","05","24","Southern America","Brasil","Minas Gerais",NA,"Catas Altas, Serra do Caraça, no caminho para a gruta do Padre Caio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nuda",NA,NA,NA,NA,NA,NA
"22","2020-12-11 11:44:39-03","UFMG","BHCB","105533","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.",NA,"Salino, A; Almeida, TE; Heringer, G; Viana, MM","11743","2007","03","12","Southern America","Brasil","Minas Gerais","Rio Pardo de Minas","Parque Estadual da Serra Nova, Parque Estadual da Serra Nova","-42.764917","-15.660417","1000","1000",NA,"Erva terrestre ou rupícola em campo rupestre. Flores verde-claro a verde-escuro.",NA,NA,"-42.764917","-15.660417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-11 11:44:39-03","UFMG","BHCB","106277","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.",NA,"Mota, NFO; Viana, PL; Souza, D","628","2007","02","23","Southern America","Brasil","Minas Gerais",NA,"São Gonçalo do Rio Preto, Parque Estadual do Rio Preto","-43.322111","-18.165111","1100","1100",NA,"Área encharcada, flores verdes.",NA,NA,"-43.322111","-18.165111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-11 11:44:39-03","UFMG","BHCB","119772","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.",NA,"Batista, JAN","2091","2007","05","04","Southern America","Brasil","Minas Gerais",NA,"Catas Altas, Serra do Caraça. Trecho inicial da subida para o pico do Inficcionado","-43.471167","-20.12725","1310","1310",NA,"Erva terrestre, em campo sujo de altitude associado com campo rupestre, na margem de pequeno curso de água. Ocasional. Em extremo final de floração. Flores verdes.",NA,NA,"-43.471167","-20.12725",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-11 11:44:39-03","UFMG","BHCB","120208","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.",NA,"Batista, JAN; Ribas, OS; Morais da Silva, J","2527","2008","02","06","Southern America","Brasil","Paraná",NA,"Ponta Grossa, Itaiacoca, Cachoeira da Mariquinha","-49.950278","-25.198778","921","921",NA,"Erva terrestre. Em extremo final de floração. Flores verdes.; em campo limpo seco e campo sujo seco. Solo areno-argiloso, seco. Área anteriormente queimada","BHCB001638","BHCB001638","-49.950278","-25.198778",NA,NA,"2008","02","06",NA,NA,NA,NA,NA,NA,NA
"26","2020-12-11 11:44:39-03","UFMG","BHCB","120274","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.",NA,"Batista, JAN; Borba, EL; Oliveira, HO; Lau, BL","2593","2008","02","27","Southern America","Brasil","Minas Gerais",NA,"Moeda, Serra da Moeda. Morros a direita da BR-040, no sentido para o Rio de Janeiro, cerca de 7 km após a entrada para Moeda, cerca de 40 km S de Belo Horizonte a partir do entroncamento do anel rodoviário com a BR-040","-43.937528","-20.312444","1303","1303",NA,"Erva terrestre, em campo limpo seco associado com campo rupestre. Solo arenoso, raso, seco, com bastante cascalho sobre a superfície. Local anteriormente queimado. Pouco comum. Em plena floração. Flores verdes.",NA,NA,"-43.937528","-20.312444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-12-11 11:44:39-03","UFMG","BHCB","123773","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.",NA,"Rezende, SG; et al.","2664","2008","05","07","Southern America","Brasil","Minas Gerais","Barão de Cocais","região da barragem de rejeito. Mina de Gongo soco","-43.603056","-19.974722","868","868",NA,"Floresta Estacional Semidecidual Montana, herbácea.",NA,NA,"-43.603056","-19.974722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-11 11:44:39-03","UFMG","BHCB","125914","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.",NA,"Carmo, FF","4561","2009","05","03","Southern America","Brasil","Minas Gerais",NA,"Rio Acima, Serra Agua Limpa/QTZ","-43.701389","-20.104472","1390","1390",NA,"afloramento de quartzito.",NA,NA,"-43.701389","-20.104472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-12-11 11:44:39-03","UFMG","BHCB","130806","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.",NA,"Giorni, VT; Viana, PL; Silva, LVC; Silva, DF","97","2009","03","11","Southern America","Brasil","Pará","Parauapebas","Floresta Nacional de Carajás, N1.","-50.273889","-6.035556","750","750",NA,NA,NA,NA,"-50.273889","-6.035556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-11 11:44:39-03","UFMG","BHCB","130861","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.",NA,"Giorni, VT; Viana, PL; Versieux, LM; Garcia, LC; Silva, LVC; Silva, DF","152","2009","03","14","Southern America","Brasil","Pará","Canaã dos Carajás","Floresta Nacional de Carajás, Serra do Tarzan.","-50.166667","-6.3375","750","750",NA,NA,NA,NA,"-50.166667","-6.3375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-12-11 11:44:39-03","UFMG","BHCB","151371","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.",NA,"Batista, JAN; Bianchetti, LB","3098","2010","12","30","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, campos a direita da GO-239, sentido São Jorge para Alto Paraiso, cerca de 5,2 km após a entrada para o Vale da Lua;","-47.730694","-15.351111","1180","1180",NA,"Erva terrestre, em área meio antropizada a margem da estrada. Área queimada durante a seca. Pouco comum. Em início de floração. Flores verdes.",NA,NA,"-47.730694","-15.351111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-12-11 11:44:39-03","UFMG","BHCB","157646","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.",NA,"Arruda, AJ; Viana, PL; Marino, F; Meyer, PB; Jorge, TB; Arruda, LJ","722","2012","03","20","Southern America","Brasil","Pará","Canaã dos Carajás","Floresta Nacional de Carajás, S11D.","-50.371667","-6.390556","714","714",NA,"Campo graminoso parcialmente alagado sobre canga.",NA,NA,"-50.371667","-6.390556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-12-11 11:44:39-03","UFMG","BHCB","157786","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.",NA,"Arruda, AJ; Viana, PL; Marino, F; Meyer, PB; Jorge, TB; Arruda, LJ","890","2012","03","27","Southern America","Brasil","Pará","Parauapebas","Floresta Nacional de Carajás, N3.","-50.219167","-6.045556","692","692",NA,"Campo graminoso sobre canga.",NA,NA,"-50.219167","-6.045556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-12-11 11:44:39-03","UFMG","BHCB","158023","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.",NA,"Arruda, AJ; Marino, F; Arruda, LJ; Jorge, TB","1041","2012","04","22","Southern America","Brasil","Pará","Parauapebas","Floresta Nacional de Carajás, N1.","-50.291944","-6.028056","676","676",NA,"Campo brejoso sobre canga.",NA,NA,"-50.291944","-6.028056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-12-11 11:44:39-03","UFMG","BHCB","158024","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.",NA,"Arruda, AJ; Marino, F; Arruda, LJ; Jorge, TB","946","2012","04","19","Southern America","Brasil","Pará","Parauapebas","Floresta Nacional de Carajás, N2.","-50.244722","-6.0575","697","697",NA,"Vegetação rupestre sobre canga.",NA,NA,"-50.244722","-6.0575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-12-11 11:44:39-03","UFMG","BHCB","92242","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda","Lindl.",NA,"Mota, RC da","2363","2005","01","05","Southern America","Brasil","Minas Gerais",NA,"Catas Altas, Serra do Caraça",NA,NA,NA,NA,NA,"Planta coletada em campo limpo, as margens da trilha que leva á Bocaina, terrestre; flores verdes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-12-11 11:44:39-03","UFMG","BHCB","119648","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda nuda","Lindl.",NA,"Batista, JAN","1970","2007","03","08","Southern America","Brasil","Minas Gerais",NA,"Moeda, Serra da Moeda","-43.960194","-20.272389","1417","1417",NA,"Erva terrestre. Flores verdes.; em campo limpo seco em encosta pedregosa. Solo areno-argiloso, raso, com algum cascalho sobre a superficie. Área queimada durante a seca","BHCB001636","BHCB001636","-43.960194","-20.272389",NA,NA,NA,NA,NA,"nuda",NA,NA,NA,NA,NA,NA
"38","2020-12-11 11:44:39-03","UFMG","BHCB","119701","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda nuda","Lindl.",NA,"Batista, JAN; Mota, RC da; Mota, NFO; Viana, PL; Teles, AM","2023","2007","03","20","Southern America","Brasil","Minas Gerais",NA,"São Gonçalo do Rio Preto, Parque Estadual do Rio Preto","-43.333139","-18.136667","786","786",NA,"Erva terrestre, em campo sujo/cerrado baixo, na margem da trilha. Área não queimada. Flores verdes.",NA,NA,"-43.333139","-18.136667",NA,NA,NA,NA,NA,"nuda",NA,NA,NA,NA,NA,NA
"39","2020-12-11 11:44:39-03","UFMG","BHCB","26087","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda nuda","Lindl.",NA,"Teixeira, WA","s.n.","1994","04","11","Southern America","Brasil","Minas Gerais",NA,"Itabirito, Pico do Itabirito",NA,NA,NA,NA,NA,"Campo rupestre, flores verdes, MBR. Coletada em área minerada, cavas na Serra dos Inconfidentes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nuda",NA,NA,NA,NA,NA,NA
"40","2020-12-11 11:44:39-03","UFMG","BHCB","41531","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda nuda","Lindl.",NA,"Duarte, AP","10868","1968","05","02","Southern America","Brasil","Minas Gerais",NA,"Moeda, Serra da Moeda",NA,NA,NA,NA,NA,"campo seco varrido pelos ventos",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nuda",NA,NA,NA,NA,NA,NA
"41","2020-12-11 11:44:39-03","UFMG","BHCB","80418","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda nuda","Lindl.",NA,"Viana, PL","618","2002","03","19","Southern America","Brasil","Minas Gerais",NA,"Brumadinho, Retiro das Pedras, Serra da Calçada",NA,NA,NA,NA,NA,"Campo úmido, flor verde-clara.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nuda",NA,NA,NA,NA,NA,NA
"42","2020-12-11 11:44:39-03","UFMG","BHCB","83720","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda nuda","Lindl.",NA,"Duarte, AP","10827","1968","05","02","Southern America","Brasil","Minas Gerais",NA,"Moeda, Serra da Moeda",NA,NA,NA,NA,NA,"campo aberto, solo pedregoso, canga ferruginosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nuda",NA,NA,NA,NA,NA,NA
"43","2020-12-11 11:44:39-03","UFMG","BHCB","85459","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda nuda","Lindl.",NA,"Mota, RC da","2062","2003","05","08","Southern America","Brasil","Minas Gerais",NA,"Catas Altas, Serra do Caraça",NA,NA,NA,NA,NA,"Planta coletada em campo rupestre em trilha que leva ao Pico do Sol, aproximadamente na metade do caminho; flores verdes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nuda",NA,NA,NA,NA,NA,NA
"44","2020-12-11 11:44:39-03","UFMG","BHCB","87297","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda nuda","Lindl.",NA,"Morais, PO","141","2003","05","21","Southern America","Brasil","Minas Gerais",NA,"Mariana, CVRD #?# Jazida do Macaco Barbado",NA,NA,NA,NA,NA,"Flores verdes. Terrestre.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nuda",NA,NA,NA,NA,NA,NA
"45","2020-12-11 11:44:39-03","UFMG","BHCB","92318","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda nuda","Lindl.",NA,"Mota, RC da","2439","2004","04","20","Southern America","Brasil","Minas Gerais",NA,"Catas Altas, Serra do Caraça",NA,NA,NA,NA,NA,"Transição de campo rupestre com mata semidecídua, flores verdes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nuda",NA,NA,NA,NA,NA,NA
"46","2020-12-11 11:44:39-03","UFMG","BHCB","92325","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda nuda","Lindl.",NA,"Mota, RC da","2446","2004","04","25","Southern America","Brasil","Minas Gerais",NA,"Catas Altas, Serra do Caraça",NA,NA,NA,NA,NA,"Planta coletada na transição de campo limpo com mata semidecídua; erva terrestre; flores verdes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nuda",NA,NA,NA,NA,NA,NA
"47","2020-12-11 11:44:39-03","UFMG","BHCB","92618","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda nuda","Lindl.",NA,"Mota, RC da","2739","2005","04","18","Southern America","Brasil","Minas Gerais",NA,"Catas Altas, Serra do Caraça",NA,NA,NA,NA,NA,"Planta coletada em campo sujo no início da subida ao Pico do Inficcionado; erva terrestre; flores verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nuda",NA,NA,NA,NA,NA,NA
"48","2020-12-11 11:44:39-03","UFMG","BHCB","92643","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","nuda","Habenaria nuda nuda","Lindl.",NA,"Mota, RC da","2764","2005","02","13","Southern America","Brasil","Minas Gerais",NA,"Catas Altas, Serra do Caraça",NA,NA,"1300","1300",NA,"Planta coletada em borda de trilha em campo limpo; erva terrestre; sépalas verdes, pétalas verde-amareladas no ápice e branco-esverdeadas na base",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nuda",NA,NA,NA,NA,NA,NA
