"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","phylum","order","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet","sex"
"1233","2021-03-04 15:45:13-03","IF","SPSF","11969","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia",NA,"M.J.Robim & J.P.M. Carvalho","1988","03","01","Brasil","SP","Campos do Jordão","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,"551","P.E. de Campos do Jordão",NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"América do Sul",NA,"21048","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1234","2021-03-04 15:45:13-03","IF","SPSF","12692","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia",NA,"M.J.Robim","1988","12","06","Brasil","SP","Campos do Jordão","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,"618","P.E. de Campos do Jordão",NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"América do Sul",NA,"21048","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1235","2021-03-04 15:45:13-03","IF","SPSF","16915","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia",NA,"J.B.Baitello","1994","03","28","Brasil","SP","Cunha","-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,NA,"445","P.E.Serra do Mar - Núcleo Cunha",NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"América do Sul",NA,"38855","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1236","2021-03-04 15:45:13-03","IF","SPSF","45550","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","(Camb.) O.Berg","R.B.Torres & N.Figueiredo & A.R.de Oliveira","1987","10","07","Brasil","SP","Itaberá","-49.1300010681152","-23.8600006103516",NA,NA,NA,NA,"G.M.Barroso","288","Estação Ecológica","624","624","COLETA: Mata Secundária.&nf;Árvore 7m altura; flores brancas, perfumadas.&nf;Nome popular: araçá; GEOGRAFIA: Beira de mata.;","1998","06","30","Magnoliophyta","Myrtales",NA,"América do Sul",NA,"29370","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1237","2021-03-04 15:45:13-03","IF","SPSF","17696","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","(Camb.) O.Berg","O.T. Aguiar","1994","10","25","Brasil","SP","Paraguaçu Paulista","-50.5699996948242","-22.4099998474121",NA,NA,NA,NA,"M.L.Kawasaki","514","Região da Água da Cachoeira",NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: braco do tatu&nf;;","1995","01","30","Magnoliophyta","Myrtales",NA,"América do Sul",NA,"36102","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1238","2021-03-04 15:45:13-03","IF","SPSF","17666","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","(Camb.) O.Berg","J.A.Pastore","1994","10","25","Brasil","SP","Paraguaçu Paulista","-50.5699996948242","-22.4099998474121",NA,NA,NA,NA,"M.L.Kawasaki","547","Região da Água da Cachoeira",NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: braco do tatu&nf;;","1995","01","30","Magnoliophyta","Myrtales",NA,"América do Sul",NA,"36102","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1239","2021-03-04 15:45:13-03","IF","SPSF","33797","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","(Cambess.) O.Berg","F.Tomasetto & A.A. Rezende","2002","01","23","Brasil","SP","Paulo de Faria","-49.3800010681152","-20.0300006866455",NA,NA,NA,NA,"O.T. Aguiar","229","Estação Ecológica",NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: na mata&nf;;","2016","06","30","Magnoliophyta","Myrtales",NA,"América do Sul",NA,"29574","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1240","2021-03-04 15:45:13-03","IF","SPSF","12663","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia",NA,"J.A.Pastore","1988","12","28","Brasil","SP","Pilar do Sul","-47.7099990844727","-23.8099994659424",NA,NA,NA,NA,NA,"242","sitio Pedro Guzzo",NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"América do Sul",NA,"21910","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1241","2021-03-04 15:45:13-03","IF","SPSF","25269","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia","(Cambess.) O.Berg","J.E.A.Bertoni","1986","02","20","Brasil","SP","Santa Rita do Passa Quatro","-47.4700012207031","-21.7099990844727",NA,NA,NA,NA,"O.T. Aguiar","436","Parque Estadual da Vassununga",NA,NA,"COLETA: XLS: SPSFAntigo;","2016","06","27","Magnoliophyta","Myrtales",NA,"América do Sul",NA,"24893","auto","Magnoliopsida",NA,NA,NA,NA,NA
"1242","2021-03-04 15:45:13-03","IF","SPSF","02797","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","guazumifolia","Campomanesia guazumifolia",NA,"D.Bento Pickel","1942","12","28","Brasil","SP","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,"Arboreto de Vila Amalia",NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"América do Sul",NA,"53584","auto","Magnoliopsida",NA,NA,NA,NA,NA
