"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","fieldNumber","individualCount"
"21","2020-11-04 11:12:04-03","ESALQ","ESA","95750","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rower","Paula-Souza, J.; Zuloaga, F.O.; Morrone, O.; Tsuji, R.; Silveira, M.F.","6072.0","2006","07","17",NA,"Brasil","Bahia","Barrolândia","Estrada entre Barrolândia e a BA-001, km 21. Campo arenoso úmido",NA,NA,NA,"Arbusto, ca. 1,5m alt. Flores amareladas","ESA095750",NA,"Ribeiro, H.L.",NA,"2018","09","21",NA,NA,"-39,130,278","-16,026,944",NA,NA,NA,NA,NA,NA
"22","2020-11-04 11:12:04-03","ESALQ","ESA","104133","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii",NA,"Paula-Souza, J.","5732.0","2006","04","11",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"ESA104133","ESA104133","Ogrzewalska, M. & Uezu, A.",NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 11:12:04-03","ESALQ","ESA","115309","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii",NA,"Meirelles, J.","575.0","2011","04","18",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"ESA115309",NA,"Naves, R.P",NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"24","2015-07-02 14:02:31-03","JBP","HPL","9729","S","Plantae",NA,NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","H. Lorenzi","341","1993","08","28",NA,"Brasil","SP","Mogi Mirim","Coletado nas proximidades do município de Mogi-Mirim; em loteamento com vegetação de cerrado.","-46.95","-22.43",NA,NA,NA,NA,"H. Lorenzi",NA,"1993","08","28","19575","auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2015-07-02 14:02:31-03","JBP","HPL","9730","S","Plantae",NA,NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii",NA,"H. Lorenzi","340","1993","09","26",NA,"Brasil","SP","Mogi Mirim","Coletado na estrada para Itapira a ca. 2km da cidade de Mogi Mirim.","-46.95","-22.43",NA,NA,NA,NA,"H. Lorenzi",NA,"1993","08","26","19575","auto",NA,NA,NA,NA,NA,NA,NA,NA
"26","2015-07-02 14:02:31-03","JBP","HPL","3878","S","Plantae",NA,NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn) Rohwer","A.G. Ribeiro","180","1995","11","23",NA,"Brasil","MG","Muzambinho","Coletado na estrada dos Canelas.","-46.5256","-21.3758",NA,NA,NA,NA,"J.B. Baitello",NA,"2007","05","10","18148","auto",NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-02-02 14:38:23-02","BGBM","B","B 10 0185385","S","Plantae",NA,NA,"Lauraceae","Ocotea","opaca","Ocotea opaca","Mez","F. Sellow",NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,"inter Vittoria et Bahia.",NA,NA,NA,"Humboldt ded. 1836 <a href=http://herbarium.bgbm.org/object/B100185385 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185385","B100185385 B100185385_1",NA,"type ?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2016-02-02 14:38:23-02","BGBM","B","B 10 0185384","S","Plantae",NA,NA,"Lauraceae","Ocotea","opaca","Ocotea opaca","Mez","F. Sellow","1567",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"pr. Caravellos [Caravelas].",NA,NA,NA,"no type of Oreodaphne thymelaeoides Nees & Mart.; Oreodaphne martiana var. opaca Meisn. in DC. <a href=http://herbarium.bgbm.org/object/B100185384 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185384","B100185384 B100185384_1",NA,"holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-12-20 21:18:05-03","UFV","VIC","49189","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Saporetti, A W J","4","2006","03",NA,NA,"Brasil","Bahia","Caravelas","Formação de ilhas com bromélias","-39","-17",NA,"Fanerófita, Flores verdes; Espodossolo","VIC049189","VIC049189","Saporetti, A W J",NA,NA,NA,NA,NA,NA,"-39","-17","44","44",NA,NA,NA,NA
"30","2020-12-20 21:18:05-03","UFV","VIC","49190","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Saporetti, A W J","5","2006","03",NA,NA,"Brasil","Bahia","Caravelas","Muçununga arborizada aberta","-39","-17",NA,"Fanerófita, Flores verdes; Espodossolo","VIC049190","VIC049190","Saporetti, A W J",NA,NA,NA,NA,NA,NA,"-39","-17","50","50",NA,NA,NA,NA
"31","2020-12-20 21:18:05-03","UFV","VIC","49191","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Saporetti, A W J","6","2006","03",NA,NA,"Brasil","Bahia","Caravelas","Muçununga arborizada aberta","-39","-17",NA,"Fanerófita, Frutos verdes; Espodossolo","VIC049191","VIC049191","Saporetti, A W J",NA,NA,NA,NA,NA,NA,"-39","-17","50","50",NA,NA,NA,NA
"32","2021-03-24 17:09:16-03","UFES","SAMES","2885","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Menezes,L.F.T.; Sá,C.F.C.;AraujoFilho,P.B.","1775","2007","11","08",NA,"Brasil","Bahia","Caravelas","Ponta da Areia. Vegetação de restinga, área em depressão entre feixes de cordão arenoso, próximo ao rio Massangaro e do aeroporto. Área alagável.","-39.2658004760742","-17.7318992614746",NA,"Árvoreta de 4m com frutos verdes.","SAMES02885",NA,"Giaretta,A.",NA,"2010","01","17","106553","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-24 17:09:16-03","UFES","SAMES","2891","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Giaretta,A.O.","1176","2012","01","24",NA,"Brasil","Espírito Santo","Conceição da Barra","Área de Proteção Ambiental de Conceição da Barra. Floresta de restinga sobre cordão arenoso.","-39.7322006225586","-18.5932998657227",NA,"Árvore de 4m, fruto verde, cúpula vermelha.","SAMES02891",NA,"Giaretta,A.",NA,"2012","01","24","41644","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-24 17:09:16-03","UFES","SAMES","6268","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","lobbii","Ocotea lobbii","(Meisn.) Rohwer","Santana,P.V.M.; Menezes,L.F.T.;Oliveira,L.C.;Deolindo,A.M.","29","2016","05","18",NA,"Brasil","Espírito Santo","Conceição da Barra","Região do Quadrado.","-39.7322006225586","-18.5932998657227",NA,"Flores brancas. Habito: Arbusto","SAMES06268",NA,"Ribeiro,M.",NA,"2019","04","16","41644","auto","-394916666.0","-182952777.0",NA,NA,NA,NA,NA,NA
