"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","class","relatedCatalogItem","typeStatus"
"59","2019-10-07 09:30:28-03","UEFS","HUEFS","250488","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Euphorbiaceae","Caryodendron","grandifolium","Caryodendron grandifolium","(Müll.Arg.) Pax",NA,"Martinelli, G.","10287","1984","11","08",NA,"Brasil","Rio de Janeiro","Estação Ecológica Estadual de Paraíso. Centro de primatológica, mata das margens do Rio Paraíso.",NA,NA,"HUEFS0250488",NA,"-42.833333","-22.433333","Magé",NA,NA,"42W50'0''","22S26'0''","150","150",NA,NA,NA,NA,NA,"Rosanae",NA,NA
"60","2019-11-22 16:09:03-03","UEFS","HUEFS","250489","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.",NA,NA,"7414","2015","10","08",NA,"Brasil","Espírito Santo","Flona de Pacotuba. Estrada trilha da Centenária.",NA,"Mata de tabuleiro.","HUEFS0250489",NA,"-41.1128005981445","-20.8488998413086","Cachoeiro de Itapemirim","35694","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rosanae",NA,NA
"61","2019-10-07 09:30:28-03","UEFS","HUEFS","162607","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.",NA,"Pessoal do Horto Florestal","RB290856","1927","11","04",NA,"Brasil","Rio de Janeiro","Mata das obras públicas perto da sede do Horto Florestal.",NA,NA,"HUEFS0162607","HUEFS0162607","-43.2075004577637","-22.9027996063232","Rio de Janeiro","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rosanae",NA,NA
"62","2019-11-22 16:09:03-03","UEFS","HUEFS","250486","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.",NA,NA,"7126","2013","10","24",NA,"Brasil","Espírito Santo","Reserva Natural Vale do Rio Doce (particular). Municipal do MME.",NA,NA,"HUEFS0250486",NA,"-40.0722007751465","-19.3910999298096","Linhares","48094","auto",NA,NA,"56","56",NA,NA,NA,NA,NA,"Rosanae",NA,NA
"63","2019-10-07 09:30:28-03","UEFS","HUEFS","250487","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.",NA,"Kuhlmann","RB41488","1939","10","31",NA,"Brasil","Rio de Janeiro","Estrada do Sumaré.",NA,NA,"HUEFS0250487",NA,"-43.2075004577637","-22.9027996063232","Rio de Janeiro","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rosanae",NA,NA
"64","2019-10-07 09:30:28-03","UEFS","HUEFS","76510","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","I.Cordeiro","Cordeiro, I.","2334","2000","09","27",NA,"Brasil","São Paulo","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba.",NA,"Mata umbrófila","HUEFS0076510","HUEFS0076510","-45.4099998474121","-23.6200008392334","Caraguatatuba","30093","auto",NA,NA,NA,NA,"2004","03",NA,NA,NA,"Rosanae",NA,NA
"65","2019-10-07 09:30:28-03","UEFS","HUEFS","76509","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Euphorbiaceae","Caryodendron","janeirense","Caryodendron janeirense","Müll.Arg.","E.Melo","Cordeiro, I.","2285","2000","08","23",NA,"Brasil","São Paulo","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba.",NA,"Mata ombrófila densa de encosta, trilha dos tropeiros.","HUEFS0076509","HUEFS0076509","-45.4099998474121","-23.6200008392334","Caraguatatuba","30093","auto",NA,NA,"130","130","2017","02",NA,NA,NA,"Rosanae",NA,NA
"66","2018-05-14 17:09:27-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Euphorbiaceae","Caryodendron","grandifolium","Caryodendron grandifolium",NA,"RRC ID Flag","B. A. Krukoff","5553","1933","8","17","South America","Brazil","Acre",NA,NA,NA,NA,NA,"-70","-9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5553",NA,"Dicotyledoneae",NA,NA
"67","2017-04-20 14:00:16-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Euphorbiaceae","Caryodendron","grandifolium","Caryodendron grandifolium",NA,"RRC ID Flag","A. Glaziou","8325","1976","10","4","South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"-42.5","-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8325",NA,"Dicotyledoneae",NA,NA
"68","2019-07-09 13:30:18-03","F","FMNH-SEEDPLANTS","V0087001F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Euphorbiaceae","Caryodendron","grandifolium","Caryodendron grandifolium",NA,"M. L. Kawasaki : Field Museum of Natural History","I. M. Sánchez Vega et al.","10070","1999","7","15","South America","Peru","San Martín","Distrito Pardo Miguel, entre Aguas Verdes y Perla del Mayo",NA,NA,"V0087001F","V0087001F_01","-77.63","-5.65","Rioja",NA,NA,NA,NA,NA,"1080",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
