"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"11","2019-08-16 08:40:26-03","UTFPR","HCF","17122","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","M.G. Caxambu","M.G. Caxambu","6423","2015","05","22",NA,"Brasil","PR","Parque Nacional do Iguaçu - Trilha da",NA,"erva ca. 0,60 m, rupícola, heliófita. Flores com cálice verde e corola amarela. Nas margens basálticas do Rio Iguaçu.",NA,NA,NA,"100","100","2015","08","Foz do Iguaçu","-54.481556","-25.627222","54°28'53,6 W","25°37'38 S",NA,NA,NA,"03",NA,NA,NA
"12","2019-08-16 08:40:26-03","UTFPR","HCF","25500","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","P. Fiaschi","E.L. Siqueira","2569","2018","05","03",NA,"Brasil","PR","Parque Nacional do Iguaçu, Macuco",NA,"erva ca. 0,25 m, heliófita, rupícola. Flores e botões florais amarelos.",NA,NA,NA,"197","197","2019","04","Foz do Iguaçu","-54.457806","-25.647806","54°27'28,1 W","25°38'52,1 S",NA,NA,NA,NA,NA,NA,NA
"13","2019-08-16 08:40:26-03","UTFPR","HCF","15746","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","A. Lourteig","G. Hatschbach","15823","1967","01","22",NA,"Brasil","PR","Porto Camargo",NA,"erva de flor amarela, base dos paredões de arenito das margens do rio.",NA,NA,NA,NA,NA,NA,NA,"Icaraíma","-53.613899230957","-23.3955993652344",NA,NA,"21289","auto",NA,NA,NA,NA,NA
"14","2020-12-21 16:39:02-03","MBM","MBM","71900","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha hyalotricha","Lourteig","Lourteig, A.","Hatschbach, G.","44009",NA,NA,NA,"Southern America","Brazil","Paraná","Barra do Rio Ocuí",NA,NA,"MBM071900","MBM071900","hyalotricha",NA,NA,NA,NA,"Foz do Iguaçu","-54.5881004333496","-25.5478000640869",NA,NA,"39570","auto",NA,NA,NA,NA,NA
"15","2020-12-21 16:39:02-03","MBM","MBM","321140","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","Abreu, M.C.","Ribas, O.S.; Silva, J.M.; Andrade, C.C.A.; Silva, J.M.; Andrade, C.C.A.","7370","2006","10","02","Southern America","Brazil","Paraná","Parque Nacional do Iguaçu, trilha do Poço Preto",NA,"Ereta, 50 cm, flor amarela. Margem do rio. Floresta estacional semidecídua","MBM321140","MBM321140",NA,NA,NA,"2010","01","Foz do Iguaçu","-54.5881004333496","-25.5478000640869",NA,NA,"39570","auto",NA,"18",NA,NA,NA
"16","2020-12-21 16:39:02-03","MBM","MBM","63469","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha hyalotricha","Lourteig","Lourteig, A.","Hatschbach, G.","42239",NA,NA,NA,"Southern America","Brazil","Paraná","Sete Quedas",NA,NA,"MBM063469","MBM063469","hyalotricha",NA,NA,NA,NA,"Guaíra","-54.2557983398438","-24.0799999237061",NA,NA,"33984","auto",NA,NA,NA,NA,NA
"17","2020-12-21 16:39:02-03","MBM","MBM","18118","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha hyalotricha","Lourteig","Lourteig, A.","Hatschbach, G.; Pelanda, P.; Pelanda, P.","26695",NA,NA,NA,"Southern America","Brazil","Paraná","Sete Quedas",NA,NA,"MBM018118","MBM018118","hyalotricha",NA,NA,NA,NA,"Guaíra","-54.2557983398438","-24.0799999237061",NA,NA,"33984","auto",NA,NA,NA,NA,NA
"18","2020-12-21 16:39:02-03","MBM","MBM","39703","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha hyalotricha","Lourteig","Lourteig, A.","Hatschbach, G.","11199",NA,NA,NA,"Southern America","Brazil","Paraná","Parque Nacional",NA,NA,"MBM039703","MBM039703","hyalotricha",NA,NA,NA,NA,"Foz do Iguaçu","-54.5881004333496","-25.5478000640869",NA,NA,"39570","auto",NA,NA,NA,NA,NA
"19","2020-12-21 16:39:02-03","MBM","MBM","39702","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha hyalotricha","Lourteig","Lourteig, A.","Pereira, E.; Hatschbach, G.; Hatschbach, G.","7833",NA,NA,NA,"Southern America","Brazil","Paraná","Porto Franco",NA,NA,"MBM039702","MBM039702","hyalotricha",NA,NA,NA,NA,"Foz do Iguaçu","-54.5881004333496","-25.5478000640869",NA,NA,"39570","auto",NA,NA,NA,NA,NA
"20","2020-12-21 16:39:02-03","MBM","MBM","67228","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha hyalotricha","Lourteig","Lourteig, A.","Buttura, E.","326",NA,NA,NA,"Southern America","Brazil","Paraná","Sete Quedas",NA,NA,"MBM067228","MBM067228","hyalotricha",NA,NA,NA,NA,"Guaíra","-54.2557983398438","-24.0799999237061",NA,NA,"33984","auto",NA,NA,NA,NA,NA
"21","2020-12-21 16:39:02-03","MBM","MBM","8567","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha hyalotricha","Lourteig","Lourteig, A.","Hatschbach, G.","15823",NA,NA,NA,"Southern America","Brazil","Paraná","Rio Paraná, Porto Camargo",NA,NA,"MBM008567","MBM008567 MBM008567_1","hyalotricha",NA,NA,NA,NA,"Icaraíma","-53.613899230957","-23.3955993652344",NA,NA,"21289","auto",NA,NA,NA,NA,NA
"22","2015-09-05 10:56:07-03","MNHN","RECOLNAT_MNHN_P","P05524247","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig",NA,"Harley, R.M.|Pinheiro, R.|Renvoize, S.A.|Erskine, C.M.|Brighton, C.A.",NA,"1972","1","18",NA,"Brasil","Bahia","On road to Abaira. Ca. 8 km to N of the Town of Rio de Contas","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05524247' target='other'> <mi>dwc_moreinfo</mi></a>","P05524247","P05524247_01",NA,"1000",NA,NA,NA,"Rio de Contas","-41.78333","-13.55",NA,NA,NA,NA,NA,NA,"15246",NA,NA
"23","2018-09-07 10:45:19-03","MNHN","RECOLNAT_MNHN_P","P02441817","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig",NA,"Trujillo, B.",NA,"1959","8","30",NA,"Venezuela",NA,"Alrededores de Carupano, carretera a Cumana, Edo. Sucre, Espinar costero","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02441817' target='other'> <mi>dwc_moreinfo</mi></a>","P02441817","P02441817_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4680",NA,NA
"24","2015-09-05 10:56:07-03","MNHN","RECOLNAT_MNHN_P","P05524243","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig",NA,"Hatschbach, G.",NA,"1964","4","16",NA,"Brasil","Paraná","Parque Nacional","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05524243' target='other'> <mi>dwc_moreinfo</mi></a>","P05524243","P05524243_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11199",NA,NA
"25","2015-09-05 10:56:07-03","MNHN","RECOLNAT_MNHN_P","P05524241","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig",NA,"Hatschbach, G.",NA,"1982","8","18",NA,"Brasil","Paraná","7 Quedas","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05524241' target='other'> <mi>dwc_moreinfo</mi></a>","P05524241","P05524241_01",NA,NA,NA,NA,NA,"Guaíra","-54.2557983398438","-24.0799999237061",NA,NA,"33984","auto",NA,NA,"45204",NA,NA
"26","2015-09-05 10:56:07-03","MNHN","RECOLNAT_MNHN_P","P05524240","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig",NA,"Hatschbach, G.",NA,"1981","9","18",NA,"Brasil","Paraná","Barra Rio Ocui","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05524240' target='other'> <mi>dwc_moreinfo</mi></a>","P05524240","P05524240_01",NA,NA,NA,NA,NA,"Foz do Iguaçu","-54.5881004333496","-25.5478000640869",NA,NA,"39570","auto",NA,NA,"44009",NA,NA
"27","2015-09-05 10:56:07-03","MNHN","RECOLNAT_MNHN_P","P05524248","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig",NA,"Duarte, A.P.|Pereira, E.",NA,"1949","5","19",NA,"Brasil","Paraná","Parque Nacional do Iguassú, Porto Branco","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05524248' target='other'> <mi>dwc_moreinfo</mi></a>","P05524248","P05524248_01",NA,NA,NA,NA,NA,"Foz do Iguaçu","-54.5881004333496","-25.5478000640869",NA,NA,"39570","auto",NA,NA,"1857",NA,NA
"28","2015-09-05 10:56:07-03","MNHN","RECOLNAT_MNHN_P","P05524250","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig",NA,"Hatschbach, G.|Pereira, E.",NA,"1963","11","11",NA,"Brasil","Paraná","Porto Franco. Margens do Rio Paraná.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05524250' target='other'> <mi>dwc_moreinfo</mi></a>","P05524250","P05524250_01",NA,NA,NA,NA,NA,"Foz do Iguaçu","-54.5881004333496","-25.5478000640869",NA,NA,"39570","auto",NA,NA,"10448",NA,NA
"29","2015-09-05 10:56:07-03","MNHN","RECOLNAT_MNHN_P","P05524249","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig",NA,"Duarte, A.P.|Pereira, E.",NA,"1949","5","15",NA,"Brasil","Paraná","Porto Franco. Parque Nacional do Iguassú.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05524249' target='other'> <mi>dwc_moreinfo</mi></a>","P05524249","P05524249_01",NA,NA,NA,NA,NA,"Foz do Iguaçu","-54.5881004333496","-25.5478000640869",NA,NA,"39570","auto",NA,NA,"1857",NA,NA
"30","2015-09-05 10:56:07-03","MNHN","RECOLNAT_MNHN_P","P05524244","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig",NA,"Hatschbach, G.",NA,"1967","1","22",NA,"Brasil","Paraná","Rio Paraná, Porto Camargo","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05524244' target='other'> <mi>dwc_moreinfo</mi></a>","P05524244","P05524244_01",NA,NA,NA,NA,NA,"Icaraíma","-53.613899230957","-23.3955993652344",NA,NA,"21289","auto",NA,NA,"15823",NA,NA
"31","2015-09-05 10:56:07-03","MNHN","RECOLNAT_MNHN_P","P05524246","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig",NA,"Hatschbach, G.",NA,"1979","5","19",NA,"Brasil","Paraná","Sete Quedas","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05524246' target='other'> <mi>dwc_moreinfo</mi></a>","P05524246","P05524246_01",NA,NA,NA,NA,NA,"Guaíra","-54.2557983398438","-24.0799999237061",NA,NA,"33984","auto",NA,NA,"42239",NA,NA
"32","2015-09-05 10:56:07-03","MNHN","RECOLNAT_MNHN_P","P05524245","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig",NA,"Hatschbach, G.|Pelanda, P.",NA,"1971","5","23",NA,"Brasil","Paraná","Sete Quedas","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05524245' target='other'> <mi>dwc_moreinfo</mi></a>","P05524245","P05524245_01",NA,NA,NA,NA,NA,"Guaíra","-54.2557983398438","-24.0799999237061",NA,NA,"33984","auto",NA,NA,"26695",NA,NA
"33","2021-02-11 17:21:03-03","UFPR","UPCB","10821","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","Fiaschi, P.","Camargo, L.de","8","1950","07",NA,NA,"Brasil","Paraná","Sete Quedas",NA,NA,NA,NA,NA,NA,NA,"2015","09","Guaíra","-54.2557983398438","-24.0799999237061",NA,NA,"33984","auto",NA,NA,NA,NA,NA
"34","2018-05-17 05:28:00-03","MO","MOBOT","2248229","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","Múlgura de Romero, M. E.","María E. Múlgura|F. Biganzoli|Paola Peralta|M.A. Romero","Múlgura 2161","2000","9","20","South America","Argentina","Misiones","Balneario Teyucuaré, sobre arroyo Yabebiry",NA,NA,NA,NA,NA,"150.00000000",NA,NA,NA,"San Ignacio","-55.55","-27.31666",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2013-01-21 07:11:00-02","MO","MOBOT","2294869","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","Lourteig, A.","Horacio Descole","Descole 3234","1945","2","21","South America","Argentina","Misiones","Cataratas del Iguazú",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iguazú","-54.45","-25.68333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2009-07-09 17:05:00-03","MO","MOBOT","2476421","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","Lourteig, A.","Gert G. Hatschbach","Hatschbach 44009","1981","9","18","South America","Brazil","Paraná","Barra Rio Ocui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-07-10 12:29:00-03","MO","MOBOT","2515025","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","Lourteig, A.","Karl Fiebrig","Fiebrig 5366","1901",NA,NA,"South America","Paraguay","Alto Paraná","In regione fluminis Alto Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-54.61666","-25.43333",NA,NA,NA,NA,NA,NA,NA,"1",NA
"38","2009-08-24 12:06:00-03","MO","MOBOT","2791213","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","A. Lourteig","Itaipú Binacional","Itaipú Binacional 799","1980",NA,NA,"South America","Paraguay","Alto Paraná","Pto. Palma, ribera de río",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2010-11-21 08:41:00-02","MO","MOBOT","2428779","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha hyalotricha",NA,NA,"G.J. Schwarz","Schwarz 6096","1948","1","29","South America","Argentina","Misiones","Arroyo Ñancanguazú",NA,NA,NA,NA,"hyalotricha",NA,NA,NA,NA,"San Ignacio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-08-31 09:08:46-03","INPA","INPA","200922","S","Plantae","Dicotyledon Com-Clade","Oxalidales","Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","Lourteig, A","Hatschbach, GG","15823","1967","01","22","Southern America","Brasil","Paraná","Rio Paraná, Porto Camargo.",NA,NA,"INPA0200922",NA,NA,NA,NA,NA,NA,"Icaraíma","-53.613899230957","-23.3955993652344",NA,NA,"21289","auto",NA,NA,NA,NA,NA
"41","2020-09-12 05:00:02-03","US","US","2631527","PreservedSpecimen","Plantae",NA,"Geraniales","Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig",NA,"J. C. Lindeman & J. H. Haas","4346","1967","1","21","South America","Brazil","Paraná","Barra do Rio Ivaí",NA,NA,"US01853771","US01853771_01 US01853771_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA
"42","2020-09-12 05:00:02-03","US","US","3146181","PreservedSpecimen","Plantae",NA,"Geraniales","Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig",NA,"G. Hatschbach","44009","1981","9","18","South America","Brazil","Paraná","Barra rio Ocui",NA,NA,"US01853770","US01853770_01 US01853770_02",NA,NA,NA,NA,NA,"Foz do Iguaçu","-54.5881004333496","-25.5478000640869",NA,NA,"39570","auto","Dicotyledonae",NA,NA,"1",NA
"43","2020-09-12 05:00:02-03","US","US","1158385","PreservedSpecimen","Plantae",NA,"Geraniales","Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig",NA,"K. Fiebrig","5366","1909",NA,NA,"South America","Paraguay","Alto Parana","In regione fluminis Alto Paraná.",NA,NA,"US03295609","US03295609_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA
"44","2019-11-13 11:27:52-03","USP","SPF","134085","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","Fiaschi, P","Bicudo, LRH","217","1998","10","16",NA,"Brasil","Mato Grosso do Sul","Margem do Rio Paraná.",NA,NA,"SPF00134085",NA,NA,"195","195","2003",NA,NA,"-53.043167","-22.517806","-53.043167","-22.517806",NA,NA,NA,NA,NA,NA,NA
"45","2019-11-13 11:27:52-03","USP","SPF","123455","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","Conceição, AA","Conceição, AA","416","1997","02","21",NA,"Brasil","Bahia",NA,NA,NA,"SPF00123455",NA,NA,NA,NA,"2005","07","Itaeté","-40.9724998474121","-12.9863996505737",NA,NA,"36442","auto",NA,NA,NA,NA,NA
"46","2019-11-13 11:27:52-03","USP","SPF","137915","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","Lourteig, A","Hatschbach, G","15823","1967","01","22",NA,"Brasil","Paraná","Porto Camargo.",NA,NA,"SPF00137915",NA,NA,NA,NA,NA,NA,"Icaraíma","-53.613899230957","-23.3955993652344",NA,NA,"21289","auto",NA,NA,NA,NA,NA
"47","2019-11-13 11:27:52-03","USP","SPF","114602","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lourteig","Conceição, AA","Kirizawa, M","3108","1995","05","17",NA,"Brasil","São Paulo","Reserva Estadual Lagoa São Paulo",NA,NA,"SPF00114602",NA,NA,"300","300","1998","06","Presidente Epitácio","-52.1100006103516","-21.7600002288818",NA,NA,"59255","auto",NA,NA,NA,NA,NA
"48","2021-03-04 11:17:40-03","UEFS","HUEFS","173799","PreservedSpecimen","Plantae","Angiospermae","Oxalidales","Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha","Lowteig",NA,"Ribas, O.S.","7370","2006","10","02",NA,"Brasil","Paraná","Parque Estadual do Iguaçu, trilha do Poço Preto.",NA,"Floresta Estacional Semidecídua.","HUEFS0173799","HUEFS0173799",NA,NA,NA,NA,NA,"Foz do Iguaçu","-54.5881004333496","-25.5478000640869",NA,NA,"39570","auto","Rosanae",NA,NA,NA,NA
"49","2020-07-23 12:17:35-03","CEPLAC","CEPEC","11411","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","hyalotricha","Oxalis hyalotricha borealis",NA,"A. Lourteig","R. M. Harley","15246","1972","01","18",NA,"Brasil","Bahia","Rod. p/ Abaira. Ca. 8Km N cidade.",NA,NA,NA,NA,"borealis",NA,NA,NA,NA,"RIO DE CONTAS","-41.783333","-13.55","41W47'","13S33'",NA,NA,NA,NA,NA,NA,"30/12/1988"
