"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","previousCatalogNumber","dayIdentified","typeStatus","fieldNumber","individualCount"
"11","2021-03-16 17:52:48-03","UCS","HUCS","26216","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.","Smith, S.F.","Wasum, R.A.","2665","2005","04","18","Brasil","Paraná","São Mateus do Sul","Três Barras","-50.38075","-25.907083","-50.38075","-25.907083","819","819",NA,NA,"orla do caminho","Angiospermae","Lamiales",NA,NA,NA,NA,NA,"2005","08",NA,NA,NA,NA,NA
"12","2021-03-16 17:52:48-03","UCS","HUCS","26231","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.","Smith, S.F.","Wasum, R.A.","2677","2005","04","18","Brasil","Paraná","São Mateus do Sul","Vargem Grande","-50.318278","-25.902361","-50.318278","-25.902361","810","810",NA,NA,"no interior da mata","Angiospermae","Lamiales",NA,NA,NA,NA,NA,"2005","10",NA,NA,NA,NA,NA
"13","2019-08-16 08:39:40-03","UTFPR","HCF","25343","S","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","M.G. Buchoski","M.G. Caxambu","8146","2018","04","12","Brasil","PR","Reserva do Iguaçu","Estação Ecológica Municipal Francisco","-51.855667","-25.927278","51°51'20,4 W","25°55'38,2 S","1150","1150",NA,NA,"arbusto ca. 1,10 m, heliófito. Flores arroxeadas.",NA,NA,NA,NA,NA,NA,NA,"2018","08",NA,"15",NA,NA,NA
"14","2019-08-16 08:39:40-03","UTFPR","HCF","19414","S","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","M.G. Buchoski","M.G. Caxambu","7293","2016","03","24","Brasil","PR","Céu Azul","Parque Nacional do Iguaçu, cercanias da","-53.738139","-25.10275","53°44'17,3 W","25°06'09,9 S","683","683",NA,NA,"erva ca. 1,50 m, heliófita. Flores alvas diminutas.",NA,NA,NA,NA,NA,NA,NA,"2018","08",NA,"15",NA,NA,NA
"15","2019-08-16 08:39:40-03","UTFPR","HCF","4041","S","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","J. Cordeiro & E. Barboza","M.G. Caxambu","1113","2006","05","08","Brasil","PR","Campo Mourão","Cerrado dos Perdonsini","-52.3830986022949","-24.0456008911133",NA,NA,NA,NA,NA,NA,"Arbusto semi-ciófilo, com inflorescências branco-esverdeadas.",NA,NA,NA,NA,"28572","auto",NA,"2009",NA,NA,NA,NA,NA,NA
"16","2019-08-16 08:39:40-03","UTFPR","HCF","4000","S","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","M.G. Buchoski","G. Metchks",NA,"2006","04","19","Brasil","PR","Campo Mourão","Parque Estadual Lago Azul (PELA)","-52.3830986022949","-24.0456008911133",NA,NA,NA,NA,NA,NA,"Herbário, ca. 0,5m, folhas discolores, serreadas, com material fértil.",NA,NA,NA,NA,"28572","auto",NA,"2018","08",NA,"15",NA,NA,NA
"17","2019-08-16 08:39:40-03","UTFPR","HCF","21479","S","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","R.M. Harley","L.T. Dombrowski","3507","1968","04","10","Brasil","PR","Curitiba","Capão da Imbuia","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,NA,"frequente.",NA,NA,NA,NA,"25180","auto",NA,"1974",NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:30:17-03","MBM","MBM","411695","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.","Barboza, E.","Barboza, E.","4553","2017","03","10","Brazil","Paraná","Curitiba","Alto Boqueirão","-49.236111","-25.545278","-49.236111","-25.545278","900","900","MBM411695","MBM411695","Subarbusto com 80 cm de altura; inflorescência alva.; Estepe (Campos de Curitiba).",NA,NA,"Southern America",NA,NA,NA,NA,"2018","03",NA,"14",NA,NA,NA
"19","2020-12-21 16:30:17-03","MBM","MBM","133770","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.","Harley, R.M.","Ribas, O.S.","273","1990","03","04","Brazil","Paraná","Campo Largo","Taquara","-49.5283012390137","-25.4585990905762",NA,NA,NA,NA,"MBM133770","MBM133770",NA,NA,NA,"Southern America",NA,"53742","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:30:17-03","MBM","MBM","210961","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.","Ribas, O.S.","Imaguire, N.","694",NA,NA,NA,"Brazil","Paraná","Curitiba","Capão da Imbuia","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"MBM210961",NA,NA,NA,NA,"Southern America",NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:30:17-03","MBM","MBM","210962","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.","Ribas, O.S.","Imaguire, N.","405",NA,NA,NA,"Brazil","Paraná","Curitiba","Capão da Imbuia","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"MBM210962",NA,NA,NA,NA,"Southern America",NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:30:17-03","MBM","MBM","210963","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.","Ribas, O.S.","Dombrowski, L.T.; et al.; et al.","1839",NA,NA,NA,"Brazil","Paraná","Curitiba","Capão da Imbuia","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"MBM210963",NA,NA,NA,NA,"Southern America",NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:30:17-03","MBM","MBM","210964","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.","Ribas, O.S.","Dombrowski, L.T.; et al.; et al.","1608",NA,NA,NA,"Brazil","Paraná","Curitiba","Capão da Imbuia","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"MBM210964",NA,NA,NA,NA,"Southern America",NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-21 16:30:17-03","MBM","MBM","21883","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.","Harley, R.M.","Hatschbach, G.","29305","1972","03","15","Brazil","Paraná","Ivaí","Faxinal","-50.8588981628418","-25.010799407959",NA,NA,NA,NA,"MBM021883","MBM021883",NA,NA,NA,"Southern America",NA,"21096","auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:30:17-03","MBM","MBM","287343","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.","Harley, R.M.","Cordeiro, J.; Poliquesi, C.B.; Ribas, O.S.; Poliquesi, C.B.; Ribas, O.S.","1996","2002","03","02","Brazil","Paraná","Lapa","Fazenda Roseira","-49.7158012390137","-25.7696990966797",NA,NA,NA,NA,"MBM287343",NA,NA,NA,NA,"Southern America",NA,"49965","auto",NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:30:17-03","MBM","MBM","41717","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.","Bordignon, S.A.L.","Hatschbach, G.","1235","1949","04","03","Brazil","Paraná","Piraquara","Florestal","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"MBM041717","MBM041717",NA,NA,NA,"Southern America",NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:30:17-03","MBM","MBM","210965","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.","Ribas, O.S.","Imaguire, N.","405",NA,NA,NA,"Brazil","Paraná","Curitiba","Capão da Imbuia","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"MBM210965",NA,NA,NA,NA,"Southern America",NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:30:17-03","MBM","MBM","262869","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.","Cordeiro, J.","Lima, A. de","64","2001","03","26","Brazil","Paraná","Curitiba","Capão da Imbuia","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"MBM262869","MBM262869",NA,NA,NA,"Southern America",NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:30:17-03","MBM","MBM","34417","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.","Harley, R.M.","Hatschbach, G.","36605","1975","04","09","Brazil","Paraná","Laranjeiras do Sul","Passinho","-52.4160995483398","-25.4078006744385",NA,NA,NA,NA,"MBM034417","MBM034417",NA,NA,NA,"Southern America",NA,"28404","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-21 16:30:17-03","MBM","MBM","85780","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.","Harley, R.M.","Hoehne, W.","s.n.","1946","04","03","Brazil","São Paulo","São Paulo","Alto da Lapa","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"MBM085780","MBM085780",NA,NA,NA,"Southern America",NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2017-12-29 13:20:46-02","MNHN","RECOLNAT_MNHN_P","P00721118","PreservedSpecimen",NA,"Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","Bentham","Saint-Hilaire, A. de",NA,NA,NA,NA,"Brésil",NA,NA,"Province de Saint-Paul : sur les bords des bois vierges dans la province de Saint-Paul, des Mines et de Rio de Janeiro",NA,NA,NA,NA,NA,NA,"P00721118","P00721118_01 P00721118_02","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00721118' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,"holotype","D 770",NA
"32","2017-06-20 14:05:00-03","MNHN","RECOLNAT_MNHN_P","P00721119","PreservedSpecimen",NA,"Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","Harley","Saint-Hilaire, A. de",NA,NA,NA,NA,"Brésil",NA,NA,"Province de Saint-Paul : sur les bords des bois vierges dans la province de Saint-Paul, des Mines et de Rio de Janeiro",NA,NA,NA,NA,NA,NA,"P00721119","P00721119_01 P00721119_02","Hyptis n. specif. sylvatica A.St.-Hil. mss <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00721119' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,"isotype","D 770",NA
"33","2015-09-04 08:49:10-03","MNHN","RECOLNAT_MNHN_P","P03006355","PreservedSpecimen",NA,"Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.",NA,"Puiggari",NA,"1885","4","1","Brasil","São Paulo","Apiaí",NA,"-48.8400001525879","-24.5",NA,NA,NA,NA,"P03006355","P03006355_01","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03006355' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb","37738","auto",NA,NA,NA,NA,NA,NA,"3295",NA
"34","2015-09-04 08:49:10-03","MNHN","RECOLNAT_MNHN_P","P03006354","PreservedSpecimen",NA,"Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.",NA,"Smith, L.B.|Klein, R.",NA,"1957","2","22","Brasil","Santa Catarina","Dionísio Cerqueira","3 km west of rio Capetinga between Campo Erê and Dionísio Cerqueira.","-53.6397018432617","-26.2549991607666",NA,NA,NA,NA,"P03006354","P03006354_01","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03006354' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb","28536","auto",NA,NA,NA,NA,NA,NA,"11649",NA
"35","2021-02-11 17:19:16-03","UFPR","UPCB","61975","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","Guimarães, O.A.","Linzmeier, A.M.",NA,"2008","03","02","Brasil","Santa Catarina","Itaiópolis","Sítio Santa Isabel.","-49.906389","-26.336389","-49.906389","-26.336389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008","04",NA,"10",NA,NA,NA
"36","2021-02-11 17:19:16-03","UFPR","UPCB","18788","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","Harley, R.M.","Barbola, I.F.",NA,"1991","04","06","Brasil","Paraná","Lapa","Reserva Florestal Passa Dois","-49.7158012390137","-25.7696990966797",NA,NA,NA,NA,NA,NA,"Arbusto, corola roxa. Campo, solo seco..",NA,NA,NA,NA,"49965","auto",NA,"1996","01",NA,"01",NA,NA,NA
"37","2021-02-11 17:19:16-03","UFPR","UPCB","28354","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","Harley, R.M.","Braga, R.","258","1960","03","05","Brasil","Paraná","Lapa","Sítio Santa Bernadete","-49.7158012390137","-25.7696990966797",NA,NA,NA,NA,NA,NA,"Campo..",NA,NA,NA,NA,"49965","auto",NA,"1996","11",NA,"05",NA,NA,NA
"38","2009-08-23 08:49:00-03","MO","MOBOT","2456799","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.",NA,"Lyman B. Smith|Roberto M. Klein","Smith 12081",NA,NA,NA,"Brazil","Santa Catarina",NA,"Mafra. campo and ruderal 4 km NW of Mafra on the road to Barracas (20 km)",NA,NA,NA,NA,"800.00000000","850.00000000",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2009-07-21 23:34:00-03","MO","MOBOT","2456863","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.",NA,"Per Dusén","Dusén s.n.12","1911","4","23","Brazil","Paraná",NA,"Jaguariaiva. Jaguariahyva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-06-22 14:18:26-03","UNESP-IBILCE","SJRP","02487","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","Stittil.","J. Mattos","Giorgio de Marinis",NA,NA,NA,NA,"Brasil","São Paulo","São José do Rio Preto","represa","-49.3699989318848","-20.8199996948242",NA,NA,NA,NA,NA,NA,"Até 1,50 m de altura.;","Tracheophyta","Lamiales","América do Sul",NA,"20305","auto","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA
"41","2020-06-22 14:18:26-03","UNESP-IBILCE","SJRP","00388","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","Stittil.","J. Mattos","Giorgio de Marinis",NA,NA,NA,NA,"Brasil","São Paulo","São José do Rio Preto","represa","-49.3699989318848","-20.8199996948242",NA,NA,NA,NA,NA,NA,"Até 1,50 m de altura.;","Tracheophyta","Lamiales","América do Sul",NA,"20305","auto","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA
"42","2021-01-26 14:12:38-03","CPACT","ECT","1375","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","R.S.C.Magalhães","R.Wasum","2677","2005","04","18","Brasil","Paraná","São Mateus do Sul","Vargem Grande. Habitat: no interior da mata.","-50.318333","-25.9025","50º19'6''W","25º54'9''S","810","810","ECT0001375","ECT0001375",NA,"Embryophyta",NA,NA,NA,NA,NA,NA,"2016","10",NA,"06",NA,NA,NA
"43","2021-01-26 14:12:38-03","CPACT","ECT","1374","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","R.S.C.Magalhães","R.Wasum","2665","2005","04","18","Brasil","Paraná","São Mateus do Sul","Três Barras. Habitat: em orla do caminho.","-50.380833","-25.907222","50º22'51''W","25º54'26''S","819","819","ECT0001374","ECT0001374",NA,"Embryophyta",NA,NA,NA,NA,NA,NA,"2016","10",NA,"06",NA,NA,NA
"44","2021-02-04 10:27:43-03","UFRPE","HST","11761","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil ex Benth.","R.M.Harley","F.França; E.Melo","2517","1998","05","09","Brasil","Paraná","Quatro Barras","Distrito Borda do Campo","-49.039722","-25.391944","49°2'23''W","25°23'31''S","850","850","HST011761",NA,"Arbusto ca. 1,5 m alt.; folhas membranáceas,levemente discolor; frutículos marrons.",NA,NA,NA,NA,NA,NA,NA,"2001","05",NA,NA,NA,NA,NA
"45","2020-09-12 05:00:02-03","US","US","2743235","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.",NA,"L. Smith & R. M. Klein","11494","1957","2","19","Brazil","Santa Catarina",NA,"Mun. Xanxerê: 3-4 km south of Abelardo Luz.",NA,NA,NA,NA,"500","600","US02885503","US02885503_01",NA,NA,"Lamiales","South America",NA,NA,NA,"Docotyledonae",NA,NA,NA,NA,NA,NA,"1"
"46","2020-09-12 05:00:02-03","US","US","1470439","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.",NA,"G. Jönsson","336a","1914","5","13","Brazil","Paraná",NA,"Jaguariahyva.",NA,NA,NA,NA,NA,NA,"US02885504","US02885504_01",NA,NA,"Lamiales","South America",NA,NA,NA,"Docotyledonae",NA,NA,NA,NA,NA,NA,"1"
"47","2020-09-12 05:00:02-03","US","US","2483833","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.",NA,"R. Braga & R. Lange","258",NA,NA,NA,"Brazil","Paraná",NA,"Procedência Fazenda Santa Bernadete, Lapa.",NA,NA,NA,NA,NA,NA,"US02885500","US02885500_01",NA,NA,"Lamiales","South America",NA,NA,NA,"Docotyledonae",NA,NA,NA,NA,NA,NA,"1"
"48","2020-09-12 05:00:02-03","US","US","2338261","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.",NA,"L. Smith & R. M. Klein","11649","1957","2","22","Brazil","Santa Catarina",NA,"Mun. Dionísio Cerqueira: Ruderal, 3 km west of Rio Capetinga between Campo Erê and Dionísio Cerqueira.",NA,NA,NA,NA,"900","1000","US02885502","US02885502_01",NA,NA,"Lamiales","South America",NA,NA,NA,"Docotyledonae",NA,NA,NA,NA,NA,NA,"1"
"49","2020-09-12 05:00:02-03","US","US","2338275","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.",NA,"L. Smith & R. M. Klein","12081","1957","3","13","Brazil","Santa Catarina",NA,"Mun. Mafra: Campo, and ruderal, 4 km northwest of Mafra on the road to Barracas (20 km).",NA,NA,NA,NA,"800","850","US02885501","US02885501_01",NA,NA,"Lamiales","South America",NA,NA,NA,"Docotyledonae",NA,NA,NA,NA,NA,NA,"1"
"50","2020-09-12 05:00:02-03","US","US","3172721","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A. St.-Hil. ex Benth.",NA,"G. Hatschbach","29305","1972","3","15","Brazil","Paraná",NA,"Faxinal (mun. Ivai).",NA,NA,NA,NA,NA,NA,"US02885499","US02885499_01",NA,NA,"Lamiales","South America",NA,NA,NA,"Docotyledonae",NA,NA,NA,NA,NA,NA,"1"
"51","2019-11-13 11:20:45-03","USP","SPF","13483","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","lagenaria","Hyptis lagenaria","A.St.-Hil. ex Benth.","Harley, RM","Hoehne, W","s.n.","1946","04","03","Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"SPF00013483","SPF00013483",NA,NA,NA,NA,NA,"53584","auto",NA,"1981","10",NA,NA,NA,NA,NA
