"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","recordNumber","stateProvince","county","identifiedBy","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","minimumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","typeStatus","sex","preparationType"
"11","2020-12-21 16:25:58-03","MBM","MBM","162160","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Cervi, A.C.; et al.; et al.","1991","12","17","Southern America","Brazil","2 km a L na rod. para Curitiba","Erva ereta, cerrado","MBM162160","MBM162160",NA,"3517","Paraná","Jaguariaíva","Bortoluzzi, R.","-49.7057991027832","-24.2511005401611","2009","07","44368","auto","14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:25:58-03","MBM","MBM","121129","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata","latiuscula","Clitoria epetiolata latiuscula","Burkart","Hatschbach, G.; Silva, J.M.; Silva, J.M.","1988","04","24","Southern America","Brazil","Faz. Chapada Santo Antônio","Flor lilás. Do campo cerrado","MBM121129","MBM121129",NA,"51960","Paraná","Jaguariaíva","Bortoluzzi, R.","-49.7057991027832","-24.2511005401611","2009","07","44368","auto","14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:25:58-03","MBM","MBM","52864","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata","latiuscula","Clitoria epetiolata latiuscula","Burkart","Hatschbach, G.",NA,NA,NA,"Southern America","Brazil","Campo Mourão",NA,"MBM052864","MBM052864",NA,"12968","Paraná","Campo Mourão","Reitz, R.","-52.3830986022949","-24.0456008911133",NA,NA,"28572","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:25:58-03","MBM","MBM","121129","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata","latiuscula","Clitoria epetiolata latiuscula","Burkart","Hatschbach, G.; Silva, J.M.; Silva, J.M.","1988","04","24","Southern America","Brazil","Faz. Chapada Santo Antônio","Flor lilás. Do campo cerrado","MBM121129","MBM121129",NA,"51960","Paraná","Jaguariaíva","Bortoluzzi, R.","-49.7057991027832","-24.2511005401611","2009","07","44368","auto","14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:25:58-03","MBM","MBM","52864","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata","latiuscula","Clitoria epetiolata latiuscula","Burkart","Hatschbach, G.",NA,NA,NA,"Southern America","Brazil","Campo Mourão",NA,"MBM052864","MBM052864",NA,"12968","Paraná","Campo Mourão","Reitz, R.","-52.3830986022949","-24.0456008911133",NA,NA,"28572","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-02-11 17:18:57-03","UFPR","UPCB","33850","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Cervi, A.C.","1991","12","17",NA,"Brasil","2km próximo à cidade","Erva ereta. Área de cerrado..",NA,NA,NA,"3517","Paraná","Jaguariaíva","Andrade, A.L.P.","-49.7057991027832","-24.2511005401611","2007","08","44368","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","1223928","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Elsa M. Zardini|L. Villate","1997","1","20","South America","Paraguay","Isla Yacyreta. Collecting area ca. 100 square m. Herbaceous on fixed dunes.",NA,NA,NA,NA,"Zardini 46156","Itapúa",NA,"H.Bach (BAB)","-56.75055","-27.44527",NA,NA,NA,NA,NA,"1088","210.00000000","4",NA,NA,NA,NA,NA,NA
"18","2016-06-16 08:20:00-03","MO","MOBOT","1817834","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Elsa M. Zardini|R. Gamarra","2002","12","7","South America","Paraguay","Yacyreta dam island reserve. Oculto.",NA,NA,NA,NA,"Zardini 59557","Itapúa",NA,"R. Fortunato (BAB)","-56.7586111","-27.4541667",NA,NA,NA,NA,NA,"1275",NA,"4",NA,NA,NA,NA,NA,NA
"19","2014-12-11 09:30:00-02","MO","MOBOT","1818551","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Elsa M. Zardini|R. Gamarra","2002","12","8","South America","Paraguay","Yacyreta dam island reserve: road to Aña Cuá.",NA,NA,NA,NA,"Zardini 59680","Itapúa",NA,"R. Fortunato (BAB)","-56.6963889","-27.4138889",NA,NA,NA,NA,NA,"1276",NA,"4",NA,NA,NA,NA,NA,NA
"20","2018-04-25 08:22:00-03","MO","MOBOT","101041321","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","H. A. Keller","2015","1","26","South America","Argentina","Paraje Teyú Cuaré.",NA,NA,NA,NA,"Keller 12598","Misiones","San Ignacio","R. Vanni","-55.5602778","-27.2816667",NA,NA,NA,NA,NA,NA,"136.00000000","1",NA,NA,NA,NA,NA,NA
"21","2008-05-27 22:02:00-03","MO","MOBOT","1164545","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Elsa M. Zardini|C. Balbuena","1996","10","31","South America","Paraguay","Yaguarete Forest (Sustainable Forest Systems site). Cerrado forest.",NA,NA,NA,NA,"Zardini 45785","San Pedro",NA,"R. Fortunato (BAB)","-56.05416","-23.78138",NA,NA,NA,NA,NA,"1081",NA,"4",NA,NA,NA,NA,NA,NA
"22","2020-12-07 12:01:00-03","MO","MOBOT","2204214","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Teodoro Rojas","1921","9",NA,"South America","Paraguay","Cerro Torin.",NA,NA,NA,NA,"Rojas 3943","Amambay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"23","2008-05-27 22:02:00-03","MO","MOBOT","2254728","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Angel L. Cabrera","1976","10","26","South America","Argentina","Paso Naranjito",NA,NA,NA,NA,"Cabrera 28210","Corrientes","Concepción","Ulibarri, E. A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2015-07-06 09:55:00-03","MO","MOBOT","3174939","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Luciano Bernardi","1978","11","1","South America","Paraguay",NA,NA,NA,NA,NA,"Bernardi 18334","Canindeyú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"25","2011-03-24 16:51:00-03","MO","MOBOT","3175015","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","M. Silvia Ferrucci|Ricardo O. Vanni|Lidia I. Ferraro","1988",NA,NA,"South America","Paraguay","W. de la Ruta 5, 3 Km de la entrada al Parque Naco. Cerro Corá.",NA,NA,NA,NA,"Ferrucci 720","Amambay",NA,"R. Vanni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2009-11-03 13:29:00-02","MO","MOBOT","1226403","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Elsa M. Zardini|L. Villate","1997","1","21","South America","Paraguay","Isla Yacyreta. Herbaceous on fixed dunes.",NA,NA,NA,NA,"Zardini 46331","Itapúa",NA,"R. Fortunato (BAB)","-56.75","-27.4333333",NA,NA,NA,NA,NA,"1091",NA,"4",NA,NA,NA,NA,NA,NA
"27","2016-06-16 08:20:00-03","MO","MOBOT","1817725","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Elsa M. Zardini|R. Gamarra","2002","12","7","South America","Paraguay","Yacyreta dam island reserve. Oculto.",NA,NA,NA,NA,"Zardini 59448","Itapúa",NA,"H.Bach (BAB)","-56.7586111","-27.4541667",NA,NA,NA,NA,NA,"1275",NA,"4",NA,NA,NA,NA,NA,NA
"28","2014-01-15 14:11:00-02","MO","MOBOT","3176339","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata","epetiolata","Clitoria epetiolata epetiolata",NA,"ARBO","1978","11","30","South America","Argentina","Estancia Millán, Ruta 17, 7 Km E de Santa Rosa.",NA,NA,NA,NA,"ARBO 2160","Corrientes","Concepción","Paul R Fantz",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"29","2009-07-10 17:57:00-03","MO","MOBOT","3176569","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata","epetiolata","Clitoria epetiolata epetiolata",NA,"Troels M. Pedersen","1955","1","4","South America","Argentina","Estancia,, Santa Rosalia",NA,NA,NA,NA,"Pedersen 3109","Corrientes","Concepción","Paul R. Fantz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2010-04-13 13:45:00-03","MO","MOBOT","3178483","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata","epetiolata","Clitoria epetiolata epetiolata",NA,"Romeo Carnevali","1971",NA,NA,"South America","Argentina","En palmar de yatay.",NA,NA,NA,NA,"Carnevali 2389","Corrientes","San Roque","Paul R. Fantz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-11-15 05:15:00-02","MO","MOBOT","3178489","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata","epetiolata","Clitoria epetiolata epetiolata",NA,"Antonio C. Krapovickas|Carmen L. Cristóbal|Luisa Z. Ahumada","1968",NA,NA,"South America","Argentina","El Batel, paso Crucecita.",NA,NA,NA,NA,"Krapovickas 13798","Corrientes","Concepción","Paul R. Fantz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2009-07-10 17:57:00-03","MO","MOBOT","3178493","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata","epetiolata","Clitoria epetiolata epetiolata",NA,"Troels M. Pedersen","1951","11","22","South America","Argentina","Estancia,, Santa Teresa",NA,NA,NA,NA,"Pedersen 1334","Corrientes","Mburucuyá","Paul R. Fantz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2015-12-14 21:23:00-02","MO","MOBOT","2216669","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata","epetiolata","Clitoria epetiolata epetiolata",NA,"Belén Jiménez",NA,NA,NA,"South America","Paraguay","Reserva Natural del Bosque Mbaracayu. Nandurokai. Cerrado.",NA,NA,NA,NA,"Jiménez 1607","Canindeyú",NA,NA,"-55.33333","-23.98333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2009-07-09 17:05:00-03","MO","MOBOT","2458620","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata","latiuscula","Clitoria epetiolata latiuscula","Burkart","Gert G. Hatschbach","1965","10","13","South America","Brazil","Campo Mourão. Campo Mourao",NA,NA,NA,NA,"Hatschbach 12968","Paraná",NA,"Fantz, P. R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2009-07-09 17:05:00-03","MO","MOBOT","2458620","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata","latiuscula","Clitoria epetiolata latiuscula","Burkart","Gert G. Hatschbach","1965","10","13","South America","Brazil","Campo Mourão. Campo Mourao",NA,NA,NA,NA,"Hatschbach 12968","Paraná",NA,"Fantz, P. R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-09-12 05:00:02-03","US","US","2564643","PreservedSpecimen","Plantae","Dicotyledonae","Rosales","Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","G. Hatschbach","1965","10","13","South America","Brazil","Mun. Campo Mourao, Campo Mourao",NA,"US02334768","US02334768_01",NA,"12968","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"37","2020-09-12 05:00:02-03","US","US","2169389","PreservedSpecimen","Plantae","Dicotyledonae","Rosales","Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","T. Pederson","1955","1","4","South America","Argentina","Estancia Santa Rosalia, Dep. Concepcion",NA,"US02334771","US02334771_01",NA,"3109","Corrientes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"38","2020-09-12 05:00:02-03","US","US","2169390","PreservedSpecimen","Plantae","Dicotyledonae","Rosales","Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","T. Pederson","1955","1","4","South America","Argentina","Estancia Santa Rosalia, Dep. Concepcion",NA,"US02334770",NA,NA,"3109","Corrientes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"39","2020-09-12 05:00:02-03","US","US","2122764","PreservedSpecimen","Plantae","Dicotyledonae","Rosales","Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","T. Pederson","1951","11","22","South America","Argentina","Estancia Santa Teresa, Dep. Mburucuya",NA,"US02334773","US02334773_01",NA,"1334","Corrientes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"40","2020-09-12 05:00:02-03","US","US","1705593","PreservedSpecimen","Plantae","Dicotyledonae","Rosales","Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","W. A. Archer & T. Rojas","1937","1","2","South America","Paraguay","Sierra de Tobaty",NA,"US02334774",NA,NA,"4888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"41","2020-09-12 05:00:02-03","US","US","2547616","PreservedSpecimen","Plantae","Dicotyledonae","Rosales","Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","A. Krapovickas, C. L. Cristóbal & L. Ahumada","1968","2","11","South America","Argentina","Dto. Concepcion, El Batel, paso Crucecita",NA,"US02334767","US02334767_01",NA,"13798","Corrientes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"42","2020-09-12 05:00:02-03","US","US","2510863","PreservedSpecimen","Plantae","Dicotyledonae","Rosales","Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","T. Pederson","1961","3","1","South America","Argentina","Estancia Caaguazu, Dep. San Roque",NA,"US02334769","US02334769_01",NA,"5858","Corrientes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"43","2020-09-12 05:00:02-03","US","US","2141507","PreservedSpecimen","Plantae","Dicotyledonae","Rosales","Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","T. Pederson","1951","11","22","South America","Argentina","Estancia Santa Teresa, Dep. Mburucuya",NA,"US02334772","US02334772_01",NA,"1334","Corrientes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"44","2019-11-13 11:22:06-03","USP","SPF","97991","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Clitoria","epetiolata","angustissima","Clitoria epetiolata angustissima","Fantz","Tamashiro, JY","1994","09","27",NA,"Brasil","Estação Ecológica de Santa Bárbara",NA,"SPF00097991",NA,NA,"662","São Paulo","Águas de Santa Bárbara","Queiroz, LP","-49.238899230957","-22.8805999755859","1996","10","18363","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-11-13 11:22:06-03","USP","SPF","97991","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Clitoria","epetiolata","angustissima","Clitoria epetiolata angustissima","Fantz","Tamashiro, JY","1994","09","27",NA,"Brasil","Estação Ecológica de Santa Bárbara",NA,"SPF00097991",NA,NA,"662","São Paulo","Águas de Santa Bárbara","Queiroz, LP","-49.238899230957","-22.8805999755859","1996","10","18363","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-05-08 11:12:03-03","UEFS","HUEFS","27188","PreservedSpecimen","Plantae","Rosanae","Fabales","Leguminosae Subfam. Papilionoideae","Clitoria","epetiolata","var. angustissima","Clitoria epetiolata var. angustissima","Fantz","Tamashiro, J.Y.","1994","09","27",NA,"Brasil","Estação Ecológica de Águas de Santa Bárbara.",NA,"HUEFS0027188","HUEFS0027188","Angiospermae","662","São Paulo","Águas de Santa Bárbara","L.P.de Queiroz","-49.238899230957","-22.8805999755859","2005","01","18363","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-05-08 11:12:03-03","UEFS","HUEFS","178428","PreservedSpecimen","Plantae","Rosanae","Fabales","Leguminosae Subfam. Papilionoideae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Guerin, N.","2008","09","25",NA,"Brasil","E. Ec. Águas de Santa Bárbara.","Campo cerrado.","HUEFS0178428",NA,"Angiospermae","272","São Paulo","Águas de Santa Bárbara",NA,"-49.234167","-22.782778",NA,NA,NA,NA,NA,NA,NA,NA,"49W14'3''","22S46'58''",NA,NA,NA,NA
"48","2020-05-08 11:12:03-03","UEFS","HUEFS","27188","PreservedSpecimen","Plantae","Rosanae","Fabales","Leguminosae Subfam. Papilionoideae","Clitoria","epetiolata","var. angustissima","Clitoria epetiolata var. angustissima","Fantz","Tamashiro, J.Y.","1994","09","27",NA,"Brasil","Estação Ecológica de Águas de Santa Bárbara.",NA,"HUEFS0027188","HUEFS0027188","Angiospermae","662","São Paulo","Águas de Santa Bárbara","L.P.de Queiroz","-49.238899230957","-22.8805999755859","2005","01","18363","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2021-03-04 15:43:10-03","IF","SPSF","43067","PreservedSpecimen","Plantae","Magnoliopsida","Fabales","Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burk.","N.Guerin & G.Durigan & E.Furlan","2008","09","25","América do Sul","Brasil","Estação Ecológica Águas de Sta.Bárbara","COLETA: Campo Cerrado&nf;Subarbusto 15cm; flores roxas; fruto tipo legume.;",NA,NA,"Magnoliophyta","272","SP","Águas de Santa Bárbara","G.Durigan","-49.234167","-22.782778","2008","09",NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2021-02-08 12:41:33-03","UFRGS","ICN","045837","S","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Arbo, MM; Ferrucci, S","1978","11","30","América do Sul","Argentina","Estãncia Millán, Rota 17, 7km E de Santa Rosa","Em palmar de Butia yatay; solo vermelho arenoso","ICN00020173","ICN00020173 ICN00020173_1","Dicotyledon","2160","Corrientes","Concepción",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2021-02-08 12:41:33-03","UFRGS","ICN","179980","S","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Barboza, GE; Oberi, JC; Chiarini, F","2008","12","08","América do Sul","Argentina","Por RP 37, a 14,3 km de Gdor. Ing. V. Virasoro rombo a Garruchos","Doação Herbário CORD","ICN00020172","ICN00020172","Dicotyledon","2118","Corrientes","Santo Tomé","Barboza, GE","-55.885278","-28.037222","2013",NA,NA,NA,NA,NA,"92",NA,"-55.885278","-28.037222","92",NA,NA,NA
"52","2020-11-19 09:29:11-03","IBt","SP","309438","S","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata",NA,"Clitoria epetiolata","Burkart","Tamashiro, JY; Santos, FAM; Gardolinski, PCFC; Galvão, JC; Belinello, R","1994","09","27",NA,"Brasil","Estação Ecológica de Águas de Santa Bárbara",NA,"SP028712","SP028712",NA,"662","São Paulo","Águas de Santa Bárbara","Queiroz, LP","-49.238899230957","-22.8805999755859","1997","10","18363","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2020-11-19 09:29:11-03","IBt","SP","123369","S","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata","angustissima","Clitoria epetiolata angustissima","Hoehne ex Fantz","Moura, C","1963","01","18",NA,"Brasil","Cultivada na Fazenda Experimental do IBEC",NA,"SP026343","SP026343",NA,"66","São Paulo","Matão","Queiroz, LP","-48.3600006103516","-21.6000003814697","1997","12","26922","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2020-11-19 09:29:11-03","IBt","SP","123369","S","Plantae",NA,NA,"Fabaceae","Clitoria","epetiolata","angustissima","Clitoria epetiolata angustissima","Hoehne ex Fantz","Moura, C","1963","01","18",NA,"Brasil","Cultivada na Fazenda Experimental do IBEC",NA,"SP026343","SP026343",NA,"66","São Paulo","Matão","Queiroz, LP","-48.3600006103516","-21.6000003814697","1997","12","26922","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
