"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","fieldNumber","minimumElevationInMeters","typeStatus","dayIdentified","sex"
"11","2019-11-21 10:13:37-03","IBt","SP","366392","S","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.","Buono, F","Tinoco, RM; Tinoco, GM","s.n.","1982","07","21",NA,"Brasil","São Paulo","Estrada Mogi-Bertioga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 10:13:37-03","IBt","SP","247766","S","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.","Santos, TF","Barros, F","557",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Datas","-43.6557998657227","-18.4456005096436","23532","auto","2016","07",NA,NA,NA,NA,"14",NA
"13","2019-11-21 10:13:37-03","IBt","SP","32557","S","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.","Hoehne, FC","Spannagel, C","387","1934","05","04",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Petrópolis","-43.1786003112793","-22.5049991607666","36524","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-21 10:13:37-03","IBt","SP","8389","S","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.",NA,"Hoehne, FC","s.n.","1923","05","28",NA,"Brasil","Rio de Janeiro","Serra do Gongo Socco",NA,NA,NA,NA,"Petrópolis","-43.1786003112793","-22.5049991607666","36524","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-21 10:13:37-03","IBt","SP","366395","S","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.","Buono, F","Bicalho, HD; Targa, HJ","s.n.","1962","07","23",NA,"Brasil","Santa Catarina","Propriedade Rio Novo (Sr. Waldemar Mattos)",NA,NA,NA,NA,"Orleans","-49.2914009094238","-28.3589000701904","31549","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-21 10:13:37-03","IBt","SP","8980","S","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.","Hoehne, FC","Hoehne, FC","s.n.",NA,NA,NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-21 10:13:37-03","IBt","SP","118747","S","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.","Udulutsch, RG","Mattos, J; Mattos, N","14475","1966","12","17",NA,"Brasil","São Paulo","Fazenda da Guarda (Horto Florestal)",NA,NA,NA,NA,"Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","auto","2001","12",NA,NA,NA,NA,NA,NA
"18","2019-11-21 10:13:37-03","IBt","SP","105477","S","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.","Udulutsch, RG","Kuhlmann, M","2113","1949","11","23",NA,"Brasil","São Paulo","Umuarama",NA,NA,NA,NA,"Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","auto","2001","12",NA,NA,NA,NA,NA,NA
"19","2019-11-21 10:13:37-03","IBt","SP","32525","S","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.","Gehrt, A","Kuhlmann, M","s.n.","1935","01","25",NA,"Brasil","São Paulo","Umuarama",NA,NA,NA,NA,"Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-21 10:13:37-03","IBt","SP","25319","S","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.","Hoehne, FC","Gehrt, A","s.n.","1930","06","12",NA,"Brasil","São Paulo","Cabeceira do Rio Cotia, segunda barragem",NA,NA,NA,NA,"Cotia","-46.9099998474121","-23.6000003814697","23869","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 10:13:37-03","IBt","SP","366394","S","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.","Buono, F","Catharino, ELM","s.n.","1990","04","28",NA,"Brasil","São Paulo","Estação Ecológica da Juréia, Morro da Juréia-Trilha da Figueira",NA,NA,NA,NA,"Iguape","-47.5499992370605","-24.7000007629395","55628","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 10:13:37-03","IBt","SP","366393","S","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.","Buono, F","Shirasuna, RT; et al.","s.n.","1994","09","04",NA,"Brasil","São Paulo","Estação Biológica de Boracéia",NA,NA,NA,NA,"Salesópolis","-45.8400001525879","-23.5300006866455","18032","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 10:13:37-03","IBt","SP","21011","S","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.",NA,"Loefgren, A","CGG3681","1897","01",NA,NA,"Brasil","São Paulo",NA,NA,NA,"SP009628","SP009628","São José dos Campos","-45.8800010681152","-23.1700000762939","39297","auto",NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-21 10:13:37-03","IBt","SP","3992","S","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.","Hoehne, FC; Schlechtler, R","Hoehne, FC","s.n.","1920","05","20",NA,"Brasil","São Paulo","Butantã",NA,NA,NA,NA,"São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-21 10:13:37-03","IBt","SP","27856","S","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogn.","Hoehne, FC","Zoéga, F","s.n.","1931","06","08",NA,"Brasil","São Paulo","Cidade Jardim",NA,NA,NA,NA,"São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-04-02 13:19:04-03","AMES","HU-HERB","AMES 02173749","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogniaux",NA,"P. K. H. Dusén","11600","1911","3","27","South America","Brazil","Paraná","Villa Velha","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11600",NA,NA,NA,"undetermined"
"27","2020-04-02 13:16:42-03","AMES","HU-HERB","AMES 02173750","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogniaux",NA,"F. C. Hoehne","3992","1920","5","20","South America","Brazil","São Paulo","Butantan. Cult. na Estufa do Horto Osw. Cruz","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3992",NA,NA,NA,"undetermined"
"28","2020-04-02 13:13:29-03","AMES","HU-HERB","AMES 02173751","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Octomeria","decumbens","Octomeria decumbens","Cogniaux",NA,"P. K. H. Dusén","17980","1916","3","18","South America","Brazil","Paraná","Jaguariahyva","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17980",NA,NA,NA,"undetermined"
