"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","class","order","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","continentOcean","preparationType","previousCatalogNumber","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","fieldNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","4078380","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.",NA,"J. A. Steyermark","87861","1960","12","07","Venezuela","Bolívar",NA,"Rio Toro (Rio Grande), between Rio La Reforma and Puerto Rico north of El Palmar",NA,NA,NA,NA,"200","250","NY04078380",NA,"Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400082' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","4078386","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.",NA,"S. S. Tillett","45818","1960","10","26","Suriname",NA,NA,"just below base of Great Falls. Kamarang River",NA,NA,NA,NA,"640",NA,"NY04078386","NY04078386_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400088' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","418372","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","C. Schweinfurth","J. J. Wurdack","43570","1959","07","21","Brazil","Amazonas",NA,"Below Raudal Gallineta (about 110 river Km from mouth)",NA,NA,NA,NA,"900","900","NY00418372","NY00418372_02","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338807' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","4078391","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.",NA,"H. S. Irwin","54966","1963","08","22","Suriname",NA,NA,"Wilhelrnina Gebergte. In low mossy forest at summit of Frederik Top, 3 km southeast of Juliana Top.",NA,NA,NA,NA,"1050",NA,"NY04078391",NA,"Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400093' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","493243","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","E. A. Christenson","S. A. Mori","25141","2000","09","12","French Guiana",NA,NA,"Pic Matécho, ca. 22.5 km NE of Les Eaux Claires.","-53.03","3.75",NA,NA,"515","515","NY00493243","NY00493243_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338803' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","4078392","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.",NA,"H. S. Irwin","54995","1963","08","23","Suriname",NA,NA,"Wilhelrnina Gebergte. Forested middle slopes of Frederik Top, 3 km s.s.e. of Juliana Top.",NA,NA,NA,NA,"650","800","NY04078392",NA,"Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400094' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","418369","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","G. F. J. Pabst","J. M. Pires","51328","1961","09","29","Brazil","Amapá",NA,"Rio Araguari, vicinity Camp 12.","-52.13","1.18",NA,NA,NA,NA,"NY00418369","NY00418369_02","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338792' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","418370","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","G. F. J. Pabst","H. S. Irwin","48159","1980","09","11","Brazil","Amapá",NA,"Near edge of cachoeria. Cachoeria Tres Saltos, French Guiana","-52.88","2.2",NA,NA,NA,NA,"NY00418370","NY00418370_02","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338793' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","4078381","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.",NA,"J. A. Steyermark","89014","1961","02","03","Venezuela","Bolívar",NA,"Forested summit in vicinity of and east of bluff. Cerro El Picacho and vicinity, N. of Las Chicharras, 45 kms. north of Tumeremo. Altiplanicie de Nuria",NA,NA,NA,NA,"620",NA,"NY04078381",NA,"Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400083' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","4078390","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.",NA,"R. C. Ek","nr224","1986","08","19","French Guiana","Cayenne","Saül","2 km SW of Saül, track Limonade","-53.2","3.53",NA,NA,"180","210","NY04078390","NY04078390_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400092' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","418366","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","Hoehne; Schltr.","F. C. Hoehne","5268","1921","02","10","Brazil","São Paulo","Ribeirao Pires","Alto da Serra, Estaçao Biológica","-46.4097","-23.71",NA,NA,NA,NA,"NY00418366","NY00418366_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338790' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","418371","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","G. F. J. Pabst","W. R. Anderson","35913","1972","02","13","Brazil","Minas Gerais",NA,"Eastern slopes of Pico do Itambé",NA,NA,NA,NA,"1310","1310","NY00418371","NY00418371_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338795' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","4078389","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.",NA,"D. Clarke","7499","1998","09","05","Guyana",NA,NA,"Region: U. Takutu - U. Essequibo. Acarai Mts. 10 km S of Sipu River, upper slopes of highest peak in central Acarai Mts.","-58.95","1.32",NA,NA,"800","900","NY04078389","NY04078389_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400091' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","418365","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.",NA,"A. C. Brade","7641","1917","09",NA,"Brazil","São Paulo","Iguape","Morro das Pedras","-47.5497","-24.7003",NA,NA,NA,NA,"NY00418365","NY00418365_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338844' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","4078382","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.",NA,"G. H. H. Tate","829","1928","08",NA,"Venezuela",NA,NA,"Savanna Hills. Summit of Mount Duida",NA,NA,NA,NA,"1341",NA,"NY04078382",NA,"Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400084' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","418361","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","P. K. H. Dusén","P. K. H. Dusén","17054","1975","03","24","Brazil","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602",NA,NA,"740","740","NY00418361","NY00418361_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338776' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","418374","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","L. A. Garay","W. R. Philipson","1976","1949","12","29","Colombia","Meta",NA,"Sierra de La Macarena, north ridge",NA,NA,NA,NA,"1400","1400","NY00418374","NY00418374_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338788' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","418376","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","L. Y. T. Westra","P. J. M. Maas","7472","1988","09","16","Guyana",NA,NA,"Summit of Mt. Makarapan","-58.95","3.98",NA,NA,"920","920","NY00418376","NY00418376_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338805' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","04078378","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.",NA,"J. A. Steyermark","75874","1953","06","21","Venezuela","Bolívar",NA,"East-central portion of summit of Apácara-tepuí",NA,NA,NA,NA,"2450","2500","NY04078378","NY04078378_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400080' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","01045834","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","E. Hágsater","H. Haas","13548","1966","01","19","Brazil","Paraná","Antonina","Estr. Cacatu-Serra Negra","-48.7117","-25.4286",NA,NA,NA,NA,"NY01045834","NY01045834_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1183974' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","4078379","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.",NA,"J. A. Steyermark","92194","1963","12","25","Venezuela","Bolívar",NA,"vecindades de km. 125 al Sur de El Dorado",NA,NA,NA,NA,"1155",NA,"NY04078379",NA,"Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400081' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","4078385","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.",NA,"J. A. Steyermark","89216","1961","02","05","Venezuela","Bolívar",NA,"Cloud forest on summit of southeast-facing escarpment, east of Cerro El Picacho, N. of Las Nieves and Las Chicharras, 45 kms. N of Tumeremo, vicinity of Dehorah. Alplanicie de Nuria",NA,NA,NA,NA,"600","650","NY04078385",NA,"Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400087' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","418379","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.",NA,"J. A. Steyermark","105935","1972","05","18","Venezuela","Amazonas",NA,"Comsión de Frontera, trip to Brazil-Venezuelan frontier; Sierra de Parima, frontier camp",NA,NA,NA,NA,"1300","1300","NY00418379","NY00418379_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338846' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","4078387","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.",NA,"T. D. McDowell","2804","1990","05","24","Guyana",NA,"Cuyuni-Mazaruni","Utshe River and surrounding woods above falls","-61.13","5.73",NA,NA,"900","975","NY04078387","NY04078387_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400089' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","4078383","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.",NA,"G. H. H. Tate","1223","1937","12",NA,"Venezuela",NA,NA,"Mount Auyan - Tepui",NA,NA,NA,NA,"1850",NA,"NY04078383","NY04078383_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4400085' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","418362","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","G. G. Hatschbach","G. G. Hatschbach","43589","1981","02","12","Brazil","Paraná","Paranaguá","Pontal do Poco, Paraná","-48.5092","-25.5203",NA,NA,"3","5","NY00418362","NY00418362_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338811' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","538476","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","G. A. Romero","W. W. Thomas","10450","1994","05","24","Brazil","Bahia","Camacan","Mountain peak with TeleBahia tower, 10.6 km SW of Camacá on road to Jacareçi, then right at bridge for 6.2 km to tower","-39.5697","-15.3811",NA,NA,"700","800","NY00538476",NA,"Magnoliophyta",NA,"Asparagales",NA,NA,"Flowers in ethanol <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338786' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","fluid-preserved",NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","418363","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","P. K. H. Dusén","P. K. H. Dusén","s.n.","1910","01","26","Brazil","Paraná",NA,"Imbuguassú",NA,NA,NA,NA,NA,NA,"NY00418363","NY00418363_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338777' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","418377","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","E. A. Christenson","B. M. Boom","10757","1994","09","08","French Guiana",NA,NA,"Saul and vicinity: Mont Galbao, lower slopes to notch between eastern two peaks","-53.27","3.6",NA,NA,"225","525","NY00418377","NY00418377_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338797' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","01045859","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","E. Hágsater","E. P. Killip","26058","1929","07","04","Peru","Junín",NA,"Pichis Trail, San Nicolas",NA,NA,NA,NA,"1100","1100","NY01045859","NY01045859_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1183976' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","418364","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","F. W. L. Kraenzlin","P. K. H. Dusén","7626","1909","02","11","Brazil","Paraná","Morretes","Porto de Cima","-48.87","-25.43",NA,NA,NA,NA,"NY00418364","NY00418364_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338808' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"42","2016-09-27 16:07:00-03","NY","NYBG","57259","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum",NA,NA,"W. E. Broadway","s.n.","1913","04","21","Trinidad and Tobago","Tobago",NA,"Lot 42",NA,NA,NA,NA,NA,NA,"NY00057259","NY00057259_01","Magnoliophyta",NA,"Asparagales",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=338872' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"43","2020-06-29 11:31:47-03","UFRJ","RFA","15460","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","Ana Claudia Ghizi de Mello","P. Occhioni","6169","1974","09",NA,"Brasil","Rio de Janeiro","Magé","Serra dos Orgãos, próximo à Sto Aleixo. Próximo ao Rio Soberbo","-43.040599822998","-22.6527996063232",NA,NA,NA,NA,"RFA31650",NA,NA,NA,NA,"20531",NA,"Epífita. Flor esverdeada","auto",NA,NA,NA,"2002","10","09",NA,NA,NA
"44","2021-03-30 12:52:45-03","EAO","IAN","146326","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","Barros, F de","Cordeiro, MR","401","1975","03","01","Brasil",NA,NA,"Ponto 22-NA-19-ZD, fronteira da Venezuela.",NA,NA,NA,NA,"1200","1200","IAN146326",NA,"Monocotiledônea",NA,NA,NA,NA,"Planta epífita, flor verde.",NA,"Southern America",NA,NA,"2009","12","04",NA,NA,NA
"45","2019-12-04 15:26:36-03","PUCPR","HUCP","21525","S","Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum","Jacq.","Kersten, RA","Kersten, RA","1446","2010","06","04","Brasil","Paraná","Morretes","Próximo ao Rio do Meio","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"HUCP00002876","HUCP00002876","Monocotiledonea",NA,NA,"30514",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
