"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","verbatimLongitude","verbatimLatitude","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","typeStatus","class","minimumElevationInMeters","individualCount","dayIdentified"
"11","2020-12-21 16:34:25-03","MBM","MBM","58441","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B. Martins","Hatschbach, G.","41511","1978","07","24","Southern America","Brazil","Minas Gerais","Grão Mogol","Arredores","-42.8897018432617","-16.5594005584717",NA,"Erva flor lilás, nas anfractuosidades do arenito, topo de morro; Erva, flor lilás.; Nas anfractuosidades do arenito, topo de morro.","MBM058441",NA,NA,"MBM058441","Martins, A.B.","67219","auto","1990","06","HOLOTYPE",NA,NA,NA,NA
"12","2009-12-04 15:26:00-02","MO","MOBOT","3230948","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B. Martins","Gert G. Hatschbach|Maria M. Hatschbach|E.L. Barbosa","Hatschbach 68058","1998",NA,NA,"South America","Brazil","Minas Gerais",NA,"Rio Itacambiruçu, próximo a barra do Escurinho (Mun. Grão ogol). Campo rupestre, solo arenoso e úmido.",NA,NA,NA,NA,NA,NA,NA,NA,"R. Romero",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2009-12-04 16:29:00-02","MO","MOBOT","3231196","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B. Martins","Gert G. Hatschbach|Maria M. Hatschbach|V. Nicolack","Hatschbach 54190","1990","6","11","South America","Brazil","Minas Gerais",NA,"Ribeirão (mun. Grão Mogol). Paredões rochosos a beira do rio (campo rupestre).",NA,NA,NA,NA,NA,NA,NA,NA,"J.J. Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2017-11-24 14:11:30-02","UFLA","ESAL","27899","S","Plantae",NA,NA,"Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B.Martins","Luiz Gustavo","s.n.",NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,"; ; ;",NA,NA,NA,NA,"M.E.Mansanares",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","3217236","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B. Martins","R. Siamao-Bianchini, D. Zappi, J. R. Pirani & A. Oliveira",NA,"1990","6","15","South America - Neotropics","Brazil","Minas Gerais","Grão Mogol","Subida para o Morro Papo da Ema","-42.9","-16.55",NA,NA,"US01900771",NA,NA,"US01900771_01 US01900771_02",NA,NA,NA,NA,NA,NA,"Dicotyledonae","850","1",NA
"16","2020-09-12 05:00:02-03","US","US","2849140","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B. Martins","G. Hatschbach","41511","1978","7","24","South America - Neotropics","Brazil","Minas Gerais",NA,"Grao Mogol, arredores.",NA,NA,NA,NA,"US00513056",NA,NA,"US00513056_01",NA,NA,NA,NA,NA,"Isotype","Dicotyledonae",NA,"1",NA
"17","2020-09-12 05:00:02-03","US","US","3230829","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B. Martins","G. Hatschbach, M. M. Hatschbach & V. Nicolack","54190","1990","6","11","South America - Neotropics","Brazil","Minas Gerais","Grão Mogol","Ribeirão.","-42.8897018432617","-16.5594005584717",NA,NA,"US01900772",NA,NA,"US01900772_01 US01900772_02",NA,"67219","auto",NA,NA,NA,"Dicotyledonae",NA,"1",NA
"18","2020-09-12 05:00:02-03","US","US","3219754","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B. Martins","G. Hatschbach & M. M. Hatschbach","55014","1991","2","10","South America - Neotropics","Brazil","Minas Gerais","Cristália","Chapada das Galinhas","-42.8622016906738","-16.8003005981445",NA,NA,"US01900770",NA,NA,"US01900770_01 US01900770_02",NA,"30029","auto",NA,NA,NA,"Dicotyledonae",NA,"1",NA
"19","2021-03-15 18:28:45-03","USP","SPF","178263","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B.Martins","Simão-Bianchini, R","CFCR13026","1990","06","15",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.9","-16.55",NA,NA,"SPF00178263","-42.9","-16.55",NA,"Wurdack, JJ",NA,NA,"1992",NA,NA,NA,NA,NA,NA
"20","2019-10-07 09:34:20-03","UEFS","HUEFS","132025","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B.Martins","Oliveira, A.A.de","CFCR13026","1990","06","15",NA,"Brasil","Minas Gerais","Grão Mogol","Subida a ca. 850 m alt. para o Morro do Papo da Ema..","-42.9","-16.55",NA,"Campo com afloramento de rocha quartzitica.","HUEFS0132025","42W54'","16S33'","HUEFS0132025",NA,NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA
"21","2019-05-06 11:59:31-03","UFU","HUFU","23601","S","Plantae",NA,NA,"Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B.Martins","Hatschbach, G.; Hatschbach, M. & Barbosa, E.","68022","1998","07","18",NA,"Brasil","Minas Gerais","Cristália","Croslândia, Margem arenosa do córrego.","-42.8622016906738","-16.8003005981445",NA,"Flor rosado escuro.; Cerrado.","HUFU00061786",NA,NA,"HUFU00061786","Romero, R.","30029","auto","1999","06",NA,NA,NA,NA,NA
"22","2019-05-06 11:59:31-03","UFU","HUFU","23605","S","Plantae",NA,NA,"Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B.Martins","Hatschbach, G.; Hatschbach, M. & Barbosa, E.","68058","1998","07","19",NA,"Brasil","Minas Gerais","Grão Mogol","Rio Itacambiruçu, Próximo a Barra do Escurinho.","-42.8897018432617","-16.5594005584717",NA,"Subarbusto, pétalas rosadas, anteras amarelas.; Campo rupestre. Solo arenoso, úmido.","HUFU00061787",NA,NA,"HUFU00061787","Romero, R.","67219","auto","1999","06",NA,NA,NA,NA,NA
"23","2019-05-06 11:59:31-03","UFU","HUFU","62945","S","Plantae",NA,NA,"Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B.Martins","Romero, R.; Almeda, F.; Robinson, D. & Robinson, O.","5465","1998","06","13",NA,"Brasil","Minas Gerais","Grão Mogol","Estrada para Grão-Mogol-São Francisco Sá, próximo à cidade.","-42.583333","-16.416667",NA,"Subarbusto, ca. 1 m alt. Hipanto vinho, lacínias do cálice verdes, corola roxa, anteras amarelas, conectivo amarelos passando a vermelho, filetes roxos, estilete roxo.","HUFU00061785","-42.583333","-16.416667","HUFU00061785","Rocha, M.J.R.",NA,NA,"2012","07",NA,NA,NA,NA,"24"
"24","2019-05-06 11:59:31-03","UFU","HUFU","62644","S","Plantae",NA,NA,"Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B.Martins","Romero, R.; Almeda, F.; Robinson, D.; Robinson, O.; Martins, A.B. & Nakajima, J.N.","5435","1998","06","12",NA,"Brasil","Minas Gerais","Grão Mogol","Próximo à entrada da cidade","-42.583333","-16.416667",NA,"Subarbusto, ca. 0,8 m alt. Corola arroxeada, anteras amarelas, filetes roxos com base creme, planta glandulosa, folhas com odor agradável cítrico.; Campo rupestre.","HUFU00061784","-42.583333","-16.416667","HUFU00061784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2017-03-30 11:27:29-03","CAS","CAS-BOT","538295","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B.Martins","Almeda, F.; Romero, R.; Robinson, O.; Robinson, D.; Martins, A. B.; Goldenberg, R.; Guimarães, P; Nakajima, J. N.; Belinello, R.","7850","1998","6",NA,"South America","Brazil","Minas Gerais",NA,"Municipio de Grão Mogol. Estrada Grão Mogol São Francisco Sá, próximo à cidade","-42.5833333333","-16.4166666667",NA,"Carrasco. Subarbusto, ca. 0,4m. Corola branca; anteras amarelas; filetes amarelos. R. Romero (5468).",NA,"42° 35' W","16° 25' S",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"26","2017-03-30 11:31:34-03","CAS","CAS-BOT","538296","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B.Martins","Almeda, F.; Romero, R.; Robinson, O.; Robinson, D.; Martins, A. B.; Goldenberg, R.; Guimarães, P; Nakajima, J. N.; Belinello, R.","7849","1998","6",NA,"South America","Brazil","Minas Gerais",NA,"Municipio de Grão Mogol. Estrada Grão Mogol São Francisco Sá, próximo à cidade","-42.5833333333","-16.4166666667",NA,"Carrasco. Subarbusto, ca. 1m. Hipanto vinho; lacinias do cálice verdes; corola roxa; anteras amarelas; conectivo amarelo apassando a vermelho; filetes roxos; estilete roxo. R. Romero (5465).",NA,"42° 35' W","16° 25' S",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"27","2016-06-07 09:45:27-03","CAS","CAS-BOT","508303","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B.Martins","Hatschbach, G.; Hatschbach, M.; Nicolack, V.","54190","1990","6",NA,"South America","Brazil","Minas Gerais",NA,"Ribeirão (mun. Grão Mogol)",NA,NA,NA,"Sublenhosa, 50 cm, pétalas lilás, anteras amarelas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"28","2017-03-14 11:13:57-03","CAS","CAS-BOT","540787","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","hatschbachii","Marcetia hatschbachii","A.B.Martins","Romero, R.; Almeda, F.; Robinson, O.; Robinson, D.; Martins, A. B.; Goldenberg, R.; Guimarães, P; Nakajima, J. N.; Belinello, R.","5435","1998","6",NA,"South America","Brazil","Minas Gerais","Grao Mogol","Próximo à entrada da cidade.","-42.5833333333","-16.4166666667",NA,"Subarbusto, ca. 0,8m. Corola arroxeada; anteras amarelas; filetes roxos com base creme; planta glandulosa; folhas com odor agradável cítrico.",NA,"42° 35' W","16° 25' S",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
