"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","typeStatus","yearIdentified","class","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters"
"11","2019-09-04 18:44:20-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Myrtaceae","Aulomyrcia","stictophylla","Aulomyrcia stictophylla",NA,NA,"F. Sellow","371",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Possible type",NA,"Dicotyledoneae",NA,NA,NA,NA
"12","2019-01-23 11:02:28-02","F","FMNH-SEEDPLANTS","V0064771F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Myrtaceae","Aulomyrcia","stictophylla","Aulomyrcia stictophylla",NA,NA,"F. Sellow",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0064771F","V0064771F_01",NA,NA,NA,NA,NA,"Isotype",NA,"Dicotyledoneae",NA,NA,NA,NA
"13","2020-09-08 17:33:39-03","UFVJM","HDJF","7344","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia","stictophylla","Myrcia stictophylla","(O. Berg) N.Silveira","Marcondes Oliveira","Marcondes Oliveira; Fontana, AP; Oliveira, ACP","6398","2016","03","02","Southern America","Brasil","Paraíba","São José de Piranhas",NA,"-38.574908","-7.052728",NA,NA,"HDJF007344",NA,"-38.574908","-7.052728",NA,NA,NA,NA,"2016",NA,"03","02","632","632"
"14","2019-11-01 15:06:31-03","UnB","UB","132457","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia","stictophylla","Myrcia stictophylla","(O. Berg) N. Silveira","Kawasaki, ML","Costa, MP","64","1991","12","14","Southern America","Brasil","São Paulo","Iguapé","Estação Ecológica Juréia-Itatins. Trilha para o pocinho","-47.5499992370605","-24.7000007629395",NA,"Frutos imaturos verdes.; Árvore 10m.",NA,NA,NA,NA,"55628","auto",NA,NA,"1998",NA,NA,NA,NA,NA
"15","2019-10-03 10:04:20-03","UFSCar","SORO","3714","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","stictophylla","Myrcia stictophylla","(O.Berg) N.Silveira",NA,"Urbanetz, C.; Lelo; Domingos","176","2003","10","28",NA,"Brasil","São Paulo","Cananéia","Fazenda Folha Larga, Trila do Mirante","-47.9199981689453","-25.0100002288818",NA,"Árvore de 35m, com tronco avermelhado",NA,NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-10-03 10:04:20-03","UFSCar","SORO","3931","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","stictophylla","Myrcia stictophylla","(O.Berg) N.Silveira",NA,NA,"303","2004","01","16",NA,"Brasil","São Paulo","Cananéia","Km 31 da rodovia SP-226, Fazenda Folha Larga. Floresta Ombrófila densa, - msm","-47.931944","-24.885278",NA,"Árvore de 35 m",NA,NA,"47°55'55W","24°53'07S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2017-09-11 17:11:10-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Myrtaceae","Aulomyrcia","stictophylla","Aulomyrcia stictophylla","O.Berg",NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"Dryas; HABITAT: Dryas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-21 10:12:23-03","IBt","SP","329444","S","Plantae",NA,NA,"Myrtaceae","Myrcia","stictophylla","Myrcia stictophylla","(O.Berg) N.Silveira","Kawasaki, ML","Fávero, OA; Born, GCC","617","1992","10","11",NA,"Brasil","São Paulo","Iguape","Estação Ecológica Juréia-Itatins, Beira do rio da Cachoeira do Guilherme","-47.5499992370605","-24.7000007629395",NA,NA,NA,NA,NA,NA,"55628","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-21 10:12:23-03","IBt","SP","247534","S","Plantae",NA,NA,"Myrtaceae","Myrcia","stictophylla","Myrcia stictophylla","(O.Berg) N.Silveira","Kawasaki, ML","Cordeiro, I; et al.","765","1990","12","11",NA,"Brasil","São Paulo","Iguape","Estação Ecológica Juréia-Itatins, Serra da Juréia, trilha para o pocinho","-47.5499992370605","-24.7000007629395",NA,"Arvoreta da beira do rio, ca. 12m alt., frutos imaturos verdes",NA,NA,NA,NA,"55628","auto",NA,NA,"1998",NA,NA,NA,NA,NA
"20","2019-11-21 10:12:23-03","IBt","SP","251740","S","Plantae",NA,NA,"Myrtaceae","Myrcia","stictophylla","Myrcia stictophylla","(O.Berg) N.Silveira","Kawasaki, ML","Costa, MP; et al.","64","1991","12","14",NA,"Brasil","São Paulo","Iguape","Estação Ecológica Juréia-Itatins, Trilha para o pocinho","-47.5499992370605","-24.7000007629395",NA,"Árvore ca. 10m alt., frutos imaturos verdes",NA,NA,NA,NA,"55628","auto",NA,NA,"1998",NA,NA,NA,NA,NA
