"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","coordinatePrecision","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","class","minimumElevationInMeters","maximumElevationInMeters","sex"
"12","2021-03-01 16:24:13-03","UNICAMP","UEC","126943","S","Plantae","Magnoliopsida",NA,"Asteraceae","Eupatorium","riedelii","Eupatorium riedelii","Baker","Nakajima, JN","Freitas, L","270","1998","02","17",NA,"Brazil","São Paulo","São José do Barreiro",NA,"-44.5699996948242","-22.6399993896484",NA,"Erva, ca. 30 cm; flores magenta.; Campo de altitude.","UEC121647","30784","UEC121647","auto","2015","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:15:20-03","MBM","MBM","60402","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Baker) R.M. King & H. Rob.","Robinson, H.","Irwin, H.S.; et al.; et al.","7386","1964","10","26","Southern America","Brazil","Goiás","Caiapônia","50km S","-51.8102989196777","-16.9566993713379",NA,NA,"MBM060402","77016","MBM060402","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:15:20-03","MBM","MBM","17799","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Baker) R.M. King & H. Rob.","Esteves, R.","Hatschbach, G.","26791","1971","06","18","Southern America","Brazil","Paraná","Sengés","Rio Pelame","-49.4636001586914","-24.1128005981445",NA,NA,"MBM017799","55682","MBM017799","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:15:20-03","MBM","MBM","17796","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Baker) R.M. King & H. Rob.","Robinson, H.","Hatschbach, G.","25142","1970","10","23","Southern America","Brazil","Mato Grosso","Rio Brilhante","Rio Anhanduí",NA,NA,NA,NA,"MBM017796",NA,"MBM017796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:15:20-03","MBM","MBM","17819","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Campuloclinium","riedelli","Campuloclinium riedelli","(Baker) R.M. King & H. Rob.","Ribas, O.S.","Hatschbach, G.","25217","1970","10","26","Southern America","Brazil","Mato Grosso","Rio Brilhante","Campo Alegre",NA,NA,NA,NA,"MBM017819",NA,"MBM017819",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2015-09-04 06:01:14-03","MNHN","RECOLNAT_MNHN_P","P02399193","PreservedSpecimen",NA,NA,NA,"Asteraceae","Eupatorium","riedelii","Eupatorium riedelii","Baker","Nakajima","s.c.",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Brésil. Brasil, América do Sul",NA,NA,"hb",". s.d. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02399193' target='other'> <mi>dwc_moreinfo</mi></a>","P02399193",NA,"P02399193_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2015-09-04 06:05:50-03","MNHN","RECOLNAT_MNHN_P","P02411365","PreservedSpecimen",NA,NA,NA,"Asteraceae","Eupatorium","riedelii","Eupatorium riedelii","Baker","Nakajima","Riedel, L.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Brasilia, Rio Pardo",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02411365' target='other'> <mi>dwc_moreinfo</mi></a>","P02411365",NA,"P02411365_01 P02411365_02",NA,NA,NA,NA,"syntype","515",NA,NA,NA,NA,NA,NA,NA
"19","2015-09-04 06:05:50-03","MNHN","RECOLNAT_MNHN_P","P02411366","PreservedSpecimen",NA,NA,NA,"Asteraceae","Eupatorium","riedelii","Eupatorium riedelii","Baker",NA,"Sello",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Brésil. Brasil, América do Sul",NA,NA,"hb",". . Reçu en 1875 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02411366' target='other'> <mi>dwc_moreinfo</mi></a>","P02411366",NA,"P02411366_01",NA,NA,NA,NA,NA,"635",NA,NA,NA,NA,NA,NA,NA
"20","2015-09-04 11:04:26-03","MNHN","RECOLNAT_MNHN_P","P04453361","PreservedSpecimen",NA,NA,NA,"Asteraceae","Eupatorium","riedelii","Eupatorium riedelii","Baker","Nakajima","Warming",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Lagoa Santa",". Lagoa Santa, Minas Gerais, Sudeste, Brasil, América do Sul","-43.8897018432617","-19.6271991729736","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04453361' target='other'> <mi>dwc_moreinfo</mi></a>","P04453361","12338","P04453361_01","auto",NA,NA,NA,NA,"457",NA,NA,NA,NA,NA,NA,NA
"21","2020-12-11 11:32:55-03","UFMG","BHCB","55605","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Eupatorium","riedelii","Eupatorium riedelii","Baker",NA,"Barreto, HLM","4322","1933","01","18","Southern America","Brasil","Minas Gerais","Belo Horizonte","Serra do Taquaril.","-43.937801361084","-19.9207992553711",NA,"Cerrado. Muito frequente. Herbáceo, 0,6m.",NA,"17082",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2015-08-10 05:49:00-03","MO","MOBOT","100164380","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Baker) R.M. King & H. Rob.",NA,"Amaro Macedo","Macedo 1335","1948","11","10","South America","Brazil","Minas Gerais",NA,"Campos da Divisa. Ituiutaba.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"23","2019-04-05 16:52:00-03","MO","MOBOT","101123697","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Baker) R.M. King & H. Rob.","fide Calvo & Roque","J.E.B. Warming","Warming 457",NA,NA,NA,"South America","Brazil","Minas Gerais","Lagoa Santa","Lagoa Santa","-43.8897018432617","-19.6271991729736",NA,NA,NA,"12338",NA,"auto",NA,NA,NA,"Lectotype",NA,"1",NA,NA,NA,NA,NA,NA
"24","2011-12-22 05:01:00-02","MO","MOBOT","2492830","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Eupatorium","riedelii","Eupatorium riedelii","Baker","Cabrera, A. L.","Émile Hassler|Teodoro Rojas","Hassler 10674",NA,NA,NA,"South America","Paraguay","Amambay",NA,"Sierra de Amambay, Esperanza","-56.13333","-22.33333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-08-31 08:52:50-03","INPA","INPA","83078","S","Plantae","Dicotyledon Asterids","Asterales","Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Baker) R.M.King & H.Rob.","Robinson, HE","Irwin, HS","7386","1964","10","26","Southern America","Brasil","Goiás",NA,"Base of mesa escarpment, ca. 50 km. S. of Caiaponia on road to Jataí. Steep rocky slope. Locally common.","-51.783333","-17.2",NA,NA,"INPA0083078",NA,"INPA0083078 INPA0083078_e",NA,"1978",NA,NA,NA,NA,NA,"-51.783333","-17.2",NA,NA,NA,NA
"26","2020-09-12 05:00:02-03","US","US","2818671","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Baker) R.M. King & H. Rob.",NA,"H. S. Irwin & T. R. Soderstrom","7386","1964","10","26","South America - Neotropics","Brazil","Goiás",NA,"Planalto do Brasil. Serra do Caiapó, Goiás. Steep rocky slope, base of mesa escarpment, ca. 50km S. of Caiaponia on road to Jataí","-51.78","-17.2",NA,NA,"US01643920",NA,"US01643920_01",NA,NA,NA,NA,NA,NA,"1",NA,NA,"Dicotyledonae","800","1000",NA
"27","2020-09-12 05:00:02-03","US","US","2196556","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Baker) R.M. King & H. Rob.",NA,"A. Macedo","1335","1948","11","10","South America","Brazil",NA,NA,"Municipio Ituiutula, Estado Mg.",NA,NA,NA,NA,"US01643921",NA,"US01643921_01",NA,NA,NA,NA,NA,NA,"1",NA,NA,"Dicotyledonae",NA,NA,NA
"28","2020-09-12 05:00:02-03","US","US","2962258","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Baker) R.M. King & H. Rob.",NA,"G. Hatschbach","25142","1970","10","23","South America - Neotropics","Brazil","Mato Grosso",NA,"Rio Anhandui (mun. Rio Brilhante) Mato-Grosso",NA,NA,NA,NA,"US01643922",NA,"US01643922_01",NA,NA,NA,NA,NA,NA,"1",NA,NA,"Dicotyledonae",NA,NA,NA
"29","2019-11-13 11:16:16-03","USP","SPF","179318","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Baker) R.M.King & H.Rob.","Contro, FL","Loeuille, B","74","2007","01","20",NA,"Brasil","Minas Gerais","Congonhas do Norte","Serra Talhada","-43.671389","-18.93",NA,NA,"SPF00179318",NA,NA,NA,"2016","03",NA,NA,NA,NA,"-43.671389","-18.93",NA,"1130","1130",NA
"30","2019-09-04 19:33:57-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Eupatorium","riedelii","Eupatorium riedelii",NA,NA,"J. E. B. Warming",NA,"1863","11","9","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"31","2019-01-25 15:33:56-02","IAC","IAC","20615","S","Plantae",NA,NA,"Asteraceae","Eupatorium","riedelii","Eupatorium riedelii","Baker","H.F. Leitão Filho","Nelson Mazzaro","s/nº","1969","03","20",NA,"Brasil","São Paulo","Itapetininga",NA,"-48.0531","-23.5917",NA,NA,NA,NA,NA,NA,"1969","04","08",NA,NA,NA,"-48.0531","-23.5917",NA,NA,NA,NA
"32","2019-01-25 15:33:56-02","IAC","IAC","7648","S","Plantae",NA,NA,"Asteraceae","Eupatorium","riedelii","Eupatorium riedelii","Baker","R.P. Malagarriga Heras","J. Santoro","s/nº","1944","12","27",NA,"Brasil","São Paulo","Campinas","Rua Prefeito Passos","-47.0608","-22.9056",NA,NA,NA,NA,NA,NA,"1944","12","27",NA,NA,NA,"-47.0608","-22.9056",NA,NA,NA,NA
"33","2019-05-06 11:52:48-03","UFU","HUFU","69607","S","Plantae",NA,NA,"Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Baker) R.M.King & H.Rob.","Contro, F.L.","Contro, F.L.; Marques, D.","22","2014","12","17",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Alto do Palacio, próximo a um campo queimado de Actinocephalus.","-43.538889","-19.271944",NA,"Subarbusto, 0,2-0,5 m alt. Brácteas involucrais verdes com ápice vinaceo, corola e ramos do estilete brancos.; Campo rupestre pós-fogo.","HUFU00070604",NA,"HUFU00070604",NA,"2015","07",NA,NA,NA,NA,"-43.538889","-19.271944",NA,NA,NA,NA
"34","2019-05-06 11:52:48-03","UFU","HUFU","67688","S","Plantae",NA,NA,"Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Baker) R.M.King & H.Rob.","Contro, F.L.","Ordones, J.; et al.","310","2012","11","29",NA,"Brasil","Minas Gerais","Santana do Riacho","Brumas do Espinhaço e Ermo do Gerais, Levantamento florítico do RPPN Brumas do Espinhaço e Ermo dos Geriais. Brumas.","-43.7144012451172","-19.1688995361328",NA,"Herbáceo. Flores brancas, receptáculo verde.; Cerrado. Campo rupestre.","HUFU00070603","26557","HUFU00070603","auto","2015","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-04 15:42:29-03","IF","SPSF","04216","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Baker) R.M.King & H.Robinson",NA,"J.Santoro",NA,"1944","12","27","América do Sul","Brasil","SP","Campinas",NA,"-47.060001373291","-22.8999996185303",NA,"COLETA: XLS: SPSFAntigo;",NA,"23900",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"36","2019-11-21 10:00:13-03","IBt","SP","297726","S","Plantae",NA,NA,"Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Herb. & Lindl.) Pridgeon & M.W.Chase","Mamede, MCH","Souza, VC; Souza, JP; Scalon, VR; Astorino, A","10397","1996","01","24",NA,"Brasil","São Paulo","Avaré","Ca. 50 km da cidade, em direção a Itaí, entrada para hotéis Península e Berro d'água","-48.964694","-23.185194",NA,NA,NA,NA,NA,NA,"2016","06",NA,NA,NA,NA,"-48.964694","-23.185194",NA,"610","610",NA
"37","2020-11-19 09:28:47-03","IBt","SP","50412","S","Plantae",NA,NA,"Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Herb. & Lindl.) Pridgeon & M.W.Chase","Esteves, RL","Macedo, A","105","1943","11","06",NA,"Brasil","Minas Gerais","Ituiutaba",NA,"-49.4650001525879","-18.968900680542",NA,NA,NA,"50022",NA,"auto","2007","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-11-21 10:00:13-03","IBt","SP","267424","S","Plantae",NA,NA,"Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Herb. & Lindl.) Pridgeon & M.W.Chase","Esteves, RL","Santoro, J","s.n.","1944","12","27",NA,"Brasil","São Paulo","Campinas",NA,"-47.060001373291","-22.8999996185303",NA,NA,"SP031925","23900","SP031925","auto","2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-11-21 10:00:13-03","IBt","SP","267903","S","Plantae",NA,NA,"Asteraceae","Campuloclinium","riedelii","Campuloclinium riedelii","(Herb. & Lindl.) Pridgeon & M.W.Chase","Robinson, BL","Leitão Filho, HF","s.n.","1969","04","08",NA,"Brasil","São Paulo","Itapetininga","Nativa em cerrado a beira da estrada.","-48.0499992370605","-23.5900001525879",NA,NA,"SP031926","40712","SP031926","auto","1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2010-08-16 16:37:23-03","GH","HU-HERB","GH 00007950","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Eupatorium","riedelii","Eupatorium riedelii","Baker",NA,"J. E. B. Warming",NA,NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Lagoa Santa",NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,"Syntype",NA,NA,NA,NA,NA,NA,NA,"undetermined"
