"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"11","2021-03-15 16:37:00-03","NY","NYBG","01081279","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","C. H. Stirton","L. B. Smith","12974","1964","10","27","Brazil","Santa Catarina","Rio do Sul","Forest above city","-49.65","-27.22",NA,NA,"350","400","NY01081279","NY01081279_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1223993' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01081275","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","S. F. Smith","R. A. Wasum","4737","1988","10","26","Brazil","Rio Grande do Sul",NA,"Caxias do Sul - Chácara Eberle",NA,NA,NA,NA,"700","700","NY01081275","NY01081275_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1223981' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01081272","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","L. B. Smith","L. B. Smith","12563","1964","10","15","Brazil","Santa Catarina","Aguas de Chapecó","near Aguas de Chapecó","-52.92","-27.12",NA,NA,"280","350","NY01081272","NY01081272_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1223965' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00980440","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","G. G. Hatschbach","G. G. Hatschbach","69258","1999","08","17","Brazil","Paraná","Paranavaí","Bosque da Cidade","-52.4653","-23.0733",NA,NA,NA,NA,"NY00980440","NY00980440_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093584' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01081273","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","R. M. Klein","U. Pastore","61","1986","03","24","Brazil","São Paulo","Teodoro Sampaio","Sul da Reserva Florestal - Angelim. Folha SF.22-Y-B; Ponto 23.","-52.3","-22.6",NA,NA,NA,NA,"NY01081273","NY01081273_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1223968' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01081274","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","G. P. Yakovlev","W. Hoehne","31168","1933","10","30","Brazil","São Paulo",NA,"Cantareira",NA,NA,NA,NA,NA,NA,"NY01081274","NY01081274_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1223979' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00980465","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","S. F. Smith","R. A. Wasum","4737","1988","10","26","Brazil","Rio Grande do Sul","Caxias do Sul","Chácara Eberle","-51.1792","-29.1683",NA,NA,"700","700","NY00980465","NY00980465_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093585' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01081277","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli",NA,"J. C. Lindeman","1642","1966","06","18","Brazil","Paraná",NA,"N. of Xambrê",NA,NA,NA,NA,NA,NA,"NY01081277","NY01081277_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1223988' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00980487","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","C. H. Stirton","A. F. M. Glaziou","14640","1894","07","08","Brazil","Minas Gerais","Catas Altas","Catas Altas","-43.4075","-20.0747",NA,NA,NA,NA,"NY00980487","NY00980487_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093445' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00980365","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","C. H. Stirton","G. G. Hatschbach","17059","1967","08","28","Brazil","Paraná","Icaraíma","Pôrto Camargo","-53.6139","-23.3958",NA,NA,NA,NA,"NY00980365","NY00980365_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093451' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00980488","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","C. H. Stirton","G. G. Hatschbach","30317","1972","09","15","Brazil","Paraná","Dois Vizinhos","Col. Erveiras","-53.0569","-25.7336",NA,NA,NA,NA,"NY00980488","NY00980488_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093449' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00980415","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","C. H. Stirton","G. G. Hatschbach","16980","1967","08","24","Brazil","Paraná","Cianorte","Faz. Lagoa. Beira do Rio Paraná","-52.6047","-23.6633",NA,NA,NA,NA,"NY00980415","NY00980415_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093554' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00980464","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli",NA,"I. Silberbauer-Gottsberger","12-71185","1985","11","07","Brazil","Mato Grosso do Sul",NA,"Ilha Solteira, Fazenda Nova Estrala, W. of Ilha Solteira","-51","-20",NA,NA,NA,NA,"NY00980464","NY00980464_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093444' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00980462","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli",NA,"J. C. Lindeman","1642","1966","06","18","Brazil","Paraná",NA,"N. of Xambrê",NA,NA,NA,NA,NA,NA,"NY00980462","NY00980462_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093587' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01081278","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","C. H. Stirton","J. C. Lindeman","5371","1967","05","20","Brazil","Paraná",NA,"ca. 15 km S. of Cava Funda (S. of Campo Mourão), near Rio Tricolor, towards São João.",NA,NA,NA,NA,NA,NA,"NY01081278","NY01081278_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1223992' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-09-27 17:09:00-03","NY","NYBG","01300330","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae",NA,"M. de L. Rico-Arce","I. G. Vargas Caballero","3605","1994","10","24","Bolivia","Santa Cruz","Chiquitos","Tramo entre La Cal y 8 km. al W del Campamento Los Murcielagos (20 km. al W de Santo Corazõn).","-59.05","-18.08",NA,NA,"500",NA,"NY01300330","NY01300330_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1574407' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00980390","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","C. H. Stirton","G. G. Hatschbach","42747","1980","01","24","Brazil","Paraná","Cerro Azul","Cab. Rib. do Tigre","-49.2608","-24.8236",NA,NA,NA,NA,"NY00980390","NY00980390_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093506' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01081276","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli",NA,"S. B. Mikich","s.n.","1995","10","19","Brazil","Paraná","Fênix","Fazenda Guagivira","-52.45","-23.4",NA,NA,NA,NA,"NY01081276","NY01081276_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1223982' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-06-29 11:30:31-03","UFRJ","RFA","6403","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli",NA,NA,NA,NA,NA,NA,"Argentina",NA,"Argentina",NA,NA,NA,NA,NA,NA,NA,"RFA43493",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-11-24 17:10:40-03","UTFPR","DVPR","3399","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","Estevan, DA","Souza, PR; Estevan, DA","35","2015","09","28","Brasil","Paraná","Dois Vizinhos","Comunidade Pinheirinho","-53.055018","-25.431179","-53.055018","-25.431179",NA,NA,"DVPR003399",NA,"Árvore 5m; Ecótono de Floresta Estacional Semidecidual e Floresta Ombrófila Mista",NA,NA,NA,"Magnoliophyta",NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-11-24 17:10:40-03","UTFPR","DVPR","6398","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","Silva, DR","Rocha Filho, JA; Silva, DR; Piva, J; Machado, C","660","2018","02","21","Brasil","Paraná","Realeza","Mata da viúva, entrada ca, 850 m do trevo, BR-163/PR-182.","-53.3402","-25.3554","-53.3402","-25.3554","411","411","DVPR006398",NA,"Árvore 15 m de altura. Frutos carnosos, verdes, aroma adocicado.; Floresta primária sobre solo argiloso. Associação entre Latossolo e Nitossolo Vermelhos.",NA,NA,NA,"Magnoliophyta",NA,"2018","03","28",NA,NA,NA,NA,NA,NA,NA
"32","2020-11-24 17:10:40-03","UTFPR","DVPR","2924","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli",NA,"Cavalheiro, AL; et al.","16","1999","02","11","Brasil","Paraná","Congoinhas","Fazenda Planalto",NA,NA,NA,NA,NA,NA,"DVPR002924",NA,"Árvore 18m, CAP 210 cm, frutos maduros cor verde. Matriz do viveiro.; Borda da mata ciliar.",NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-11-24 17:10:40-03","UTFPR","DVPR","5406","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","Bueno, L; Galvão, G","Bueno, L; Galvão, G","-s.n.","2017","08","27","Brasil","Paraná","Dois Vizinhos","Comunidade de Colônia Rica.","-53.057201385498","-25.7336006164551",NA,NA,NA,NA,"DVPR005406",NA,"Árvore , 5 metros de altura, flor branca.",NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,"19637","auto",NA,NA,NA,NA,NA
"34","2020-11-24 17:10:40-03","UTFPR","DVPR","437","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","Estevan, DA","Estevan, DA; et al.","1341","2008","08",NA,"Brasil","Paraná","Ibiporã","Parque Estadual","-51.0480995178223","-23.2691993713379",NA,NA,NA,NA,"DVPR000437","DVPR000437","Árvore 8 m, flores e frutos verdes.",NA,NA,NA,"Magnoliophyta",NA,"2008",NA,NA,"20625","auto",NA,NA,NA,NA,NA
"35","2020-11-24 17:10:40-03","UTFPR","DVPR","6330","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","Silva, DR","Silva, DR; Piva, J; Machado, C","231","2018","03","21","Brasil","Paraná","Planalto","Estrada paralela a esquerda do Córrego Lambari.","-53.7661018371582","-25.716100692749",NA,NA,"320","320","DVPR006330",NA,"Árvore 20 m de altura. Folhas verde-discolores, cartáceas, glabras. Frutos carnosos, verde quando imaturos, verde-claros quando maduros com aroma adocicado.; Fragmento de Mata de Galeria meio a Floresta Estacional Semidecidual sobre s",NA,NA,NA,"Magnoliophyta",NA,"2018","03","21","20975","auto",NA,NA,NA,NA,NA
"36","2020-01-20 14:40:30-03","UPM","MACK","2740","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli.","E. H. P. Barreto","A. R. Balbin","117","2016","04","13","Brasil","SP","São Paulo","UPM, Campus Higienópolis.","-46.6300010681152","-23.5400009155273","S","W",NA,NA,NA,NA,"Bosque da arquitetura",NA,NA,NA,NA,NA,"2016","04","15","53584","auto",NA,NA,NA,NA,NA
"37","2020-01-20 14:40:30-03","UPM","MACK","2355","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","R. F. Almeida","F. G. Pereira","383","2011","11","03","Brasil","SP","São Paulo","Parque Ibirapuera","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008","10","14","53584","auto",NA,NA,NA,NA,NA
"38","2019-12-04 15:25:12-03","PUCPR","HUCP","16782","S","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli.","Selusniaki, M","Selusniaki, M","421","2005","06","18","Brasil","Paraná","Curitiba","Bosque Hauer","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eudicotiledonea",NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"39","2019-12-04 15:25:12-03","PUCPR","HUCP","16781","S","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli.","Selusniaki, M","Selusniaki, M","422","2005","06","18","Brasil","Paraná","Curitiba","Bosque Hauer","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eudicotiledonea",NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"40","2019-12-04 15:25:12-03","PUCPR","HUCP","24306","S","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli.","Ariati, V","Adenesky, E","s.n.","2011","10","04","Brasil","Paraná","Telêmaco Borba",NA,"-50.6156005859375","-24.3239002227783",NA,NA,NA,NA,"HUCP00011635","HUCP00011635",NA,NA,NA,NA,"Eudicotiledonea",NA,NA,NA,NA,"35037","auto",NA,NA,NA,NA,NA
"41","2019-12-04 15:25:12-03","PUCPR","HUCP","23395","S","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli.","Barboza, E","Silva, JM","8627","2014","09","17","Brasil","Paraná","Curitiba","Jardim Botânico","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"HUCP00011583","HUCP00011583",NA,NA,NA,NA,"Eudicotiledonea",NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"42","2019-12-04 15:25:12-03","PUCPR","HUCP","18833","S","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli.","Selusniaki, M","Selusniaki, M; Moledo, R","1314","2007","10","06","Brasil","Paraná","Curitiba","Parque Municipal do Passaúna","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eudicotiledonea",NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"43","2019-12-04 15:25:12-03","PUCPR","HUCP","17136","S","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli.","Selusniaki, M","Seluem, M","623",NA,NA,NA,"Brasil","Paraná","Curitiba","Portão","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eudicotiledonea",NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"44","2020-11-26 18:08:14-03","CPAN-UFMS","COR","11923","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli",NA,"Damasceno-Júnior, G. A.; Maria, V. R.; Batilani, J.; Pott, A. & Velasques, J.","3579","2005","08","30","Brasil","Mato Grosso do Sul","Bodoquena","Fazenda Rancho Branco; mata ciliar do Salobrinha","-56.765278","-20.670833","56º45'55''W","20º40'15''S","178","178",NA,NA,"Árvore com 10-12 m de altura Habito: Árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-11-26 18:08:14-03","CPAN-UFMS","COR","10030","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","Resende, U. M.","Resende, U. M.; Aragaki, S.","1243","2002","05","05","Brasil","Mato Grosso do Sul","Bodoquena","Fazenda Califórnia","-56.861667","-20.701111","56º51'42''W","20º42'4''S","542","542",NA,NA,"Árvore, heliófita; flor ausente; fruto ausente; estado de conservação regular Habito: Árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-11-26 18:08:14-03","CPAN-UFMS","COR","7454","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","Hatschbach, G.","Silva, J. M.; Soares, A. & Maschio, W.","3027","1999","09","01","Brasil","Paraná","São Jorge do Oeste","Perobal",NA,NA,NA,NA,NA,NA,NA,NA,"Árvore com 10 m de altura, esverdeada Habito: Árvore",NA,NA,NA,NA,NA,"1999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-03-02 16:28:55-03","CPAN-UFMS","COR","6201","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","Damasceno-Júnior, G. A.","Damasceno Júnior;G.A.; Nakagima,J. e equipe do projeto Aquarap","1656","1998","09","06","Brasil","Mato Grosso do Sul","Bonito","Ressurgência do rio Formoso. Mata ciliar; rico em calcário; suavemente ondulado.","-56.636389","-21.256667","56º38'11''W","21º15'24''S",NA,NA,NA,NA,"Habito: árvore de 15 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-07-24 16:19:01-03","CCE","CATAVENTO","178","LivingSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","Santilli, C.",NA,NA,"2018","08","28","Brasil","São Paulo","São Paulo","Av. Mercúrio, s/n - Pq. Dom Pedro II - Brás","-46.6286","-23.5443","-46.6286","-23.5443","730","730","CATAVENTO0178","CATAVENTO0178_v01 CATAVENTO0178_v02","<ll>dwc_commonname:</ll> alecrim-de-campinas","América do Sul",NA,NA,NA,NA,"2018","08","29",NA,NA,NA,NA,NA,NA,NA
"49","2019-10-09 11:16:04-03","UFBA","ALCB","90469","PreservedSpecimen","Plantae","Fabaceae","Holocalyx","balansae","Holocalyx balansae","Micheli","Guedes, ML","Guedes, ML; Gomes, FS; Melo, E; Silva, BM da","16087","2009","10","25","Brasil","Bahia","Barra do Mendes","Irecê, Barragem de São Bento","-42.09","-11.812222","-42.09","-11.812222","7159","7159","ALCB026977","ALCB026977","de ca 10 m de altura. Folíolos cartáceos, discolores. Inflorescência com flores esverdeadas.","Southern America",NA,NA,"Dicotyledon",NA,"2009","10",NA,NA,NA,NA,NA,NA,NA,NA
