"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","class","order","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","individualCount","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","sex","preparationType"
"11","2020-09-12 05:00:02-03","US","US","3295438","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker in Mart.","G. Hatschbach & E. L. Barbosa","60624","South America","Brazil","US01725036","US01725036_01",NA,"1994","4","17","Rio Grande do Sul",NA,"Rod. RS-110, próximo ao trevo para Taínhas (mun. São Francisco de Paula) Rio Grande do Sul",NA,NA,NA,NA,NA,"Dicotyledonae","Asterales",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"12","2020-09-12 05:00:02-03","US","US","3397289","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker in Mart.","S. Diesel","1207","South America","Brazil","US01725037","US01725037_01",NA,"1998","2","17","Rio Grande do Sul",NA,"São Francisco de Paula/RS - BR",NA,NA,NA,NA,NA,"Dicotyledonae","Asterales",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"13","2021-03-15 18:25:21-03","USP","SPF","208601","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","Heiden, G; Iganci, JRV","2070",NA,"Brasil","SPF00208601",NA,"Heiden, G","2012","12","22","Rio Grande do Sul","São Francisco de Paula","Rodovia RS 020, entre Tainhas e São Francisco de Paula.","-50.485278","-29.421667",NA,"Subarbusto, ca. 10 cm alt. Ramos ascendentes, castanho-claros. Folhas verdes. Brácteas involucrais estramíneas. Flores alvo-esverdeadas. Planta pistilada.",NA,NA,NA,"915","915","2012","12","22",NA,"-50.485278","-29.421667",NA,NA,NA,NA
"14","2021-03-15 18:25:21-03","USP","SPF","208768","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","Heiden, G; Iganci, JRV","2069",NA,"Brasil","SPF00208768",NA,"Heiden, G","2012","12","22","Rio Grande do Sul","São Francisco de Paula","Rodovia RS 020, entre Tainhas e São Francisco de Paula.","-50.485278","-29.421667",NA,"Subarbusto, ca. 10 cm alt. Ramos ascendentes, castanho-claros. Folhas verdes. Brácteas involucrais estramíneas. Flores amarelo-claras. Planta estaminada.",NA,NA,NA,"915","915","2012","12","22",NA,"-50.485278","-29.421667",NA,NA,NA,NA
"15","2019-09-04 18:52:06-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Asteraceae","Baccharis","hypericifolia","Baccharis hypericifolia",NA,"F. Sellow","1838","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,NA
"16","2019-11-12 17:14:47-03","URICER","HPBR","11692","S","Plantae",NA,"Asteraceae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","SEHNEM, A.",NA,NA,"Brasil","HPBR011692",NA,"SEHNEM, A.","1965","10","31","RS","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525","76715",NA,"auto",NA,NA,NA,NA,"1965","10","31",NA,NA,NA,NA,NA,NA,NA
"17","2017-09-11 17:07:37-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Asteraceae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","Sello, HL","1838","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia australi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2017-09-11 17:07:37-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Asteraceae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","Sello, HL","1838","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia australi.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2017-09-11 16:26:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Asteraceae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","Sello, HL","1176","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia australi.",NA,NA,NA,"There is another Sello 1176 that is Microlicia fulva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-02-08 12:33:29-03","UFRGS","ICN","141083","S","Plantae","Dicotyledon","Asteraceae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","Schneider, AA","1196","América do Sul","Brasil",NA,NA,"Schneider, AA","2005","11","25","RS","São Francisco de Paula","RS 020","-50.5835990905762","-29.4480991363525","76715","Espécie ameaçada de extinção (Em perigo). Planta rara.; Campo de altitude","auto",NA,NA,"900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-02-08 12:33:29-03","UFRGS","ICN","189658","S","Plantae","Dicotyledon","Asteraceae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","Schneider, AA","1555","América do Sul","Brasil",NA,NA,"Schneider, AA","2007","11","20","RS","São Francisco de Paula","RS 020 (29 24 31 1S e 50 27 30 9W)","-50.5835990905762","-29.4480991363525","76715","Planta rara.; Campo de altitude, úmido","auto",NA,NA,"922","922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-02-08 12:33:29-03","UFRGS","ICN","182230","S","Plantae","Dicotyledon","Asteraceae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","Vogel-Ely, C; Helmicki, K","385","América do Sul","Brasil",NA,NA,"Vogel-Ely, C","2015","01","29","SC","Painel",NA,"-50.1049995422363","-27.9288997650146","26535","WGS-84. Área Projeto PPBio - ÁREA 4; banhado","auto",NA,NA,"1177","1177","2015","01","29",NA,NA,NA,NA,NA,NA,NA
"23","2010-08-16 16:36:55-03","GH","HU-HERB","GH 00247136","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","hypericifolia","Baccharis hypericifolia","Baker","F. Sellow","1838","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syntype","1838","undetermined","Other"
