"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","previousCatalogNumber","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"11","2021-03-15 16:37:00-03","NY","NYBG","483856","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","E. P. Killip","R. Reitz","2696","1956","02","16","South America","Brazil","Santa Catarina","Itajaí","-48.941177","-26.748537","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483856","NY00483856_01","Braço Joaquim, Luis Alves, Itajaí.","350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01096410","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","S. de V. A. Pessôa","G. Martinelli","3019","1977","09","26","South America","Brazil","Rio de Janeiro","Petrópolis","-43.18","-22.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237358' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096410","NY01096410_01","Araras.","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","483860","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","H. N. Moldenke","J. E. Leite","583","1941","10",NA,"South America","Brazil","Rio Grande do Sul","Sao Leopoldo","-51.143791","-29.75136","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483860","NY00483860_01","Vicinity of Sao Leopoldo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","483854","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","G. G. Hatschbach","R. Kummrow","1991","1982","09","13","South America","Brazil","Paraná","Curitiba","-49.2731","-25.4281","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483854","NY00483854_01","Parque Iguaçu.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-06-29 11:31:51-03","UFRJ","RFA","5568","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","S. de V.A. Pessoa","P. Occhioni","1426","1958","04","09",NA,"Brasil","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,"RFA47320",NA,"Abrigo II, km 6-7",NA,NA,"19648","auto","1990","12","10",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-12-04 15:25:37-03","PUCPR","HUCP","1313","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Acra, LA","Klostermam, J","001",NA,NA,NA,NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016259","HUCP00016259","Campus da PUC",NA,NA,"25180","auto","1985","08","13",NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-12-04 15:25:37-03","PUCPR","HUCP","330","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Lervi, AC","Valle, TM","007",NA,NA,NA,NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016153","HUCP00016153","Portão",NA,NA,"25180","auto","1982","07","07",NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-12-04 15:25:37-03","PUCPR","HUCP","332","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Lervi, AC","Durski, E","012",NA,NA,NA,NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016097","HUCP00016097","Santa Quitéria",NA,NA,"25180","auto","1986","10","12",NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-12-04 15:25:37-03","PUCPR","HUCP","333","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Lervi, AC","Arnt, LRG","017",NA,NA,NA,NA,"Brasil","Paraná","Araucária","-49.4103012084961","-25.5930995941162",NA,NA,"HUCP00016127","HUCP00016127","Colônia Tomás Coelho",NA,NA,"21346","auto","1985","10","15",NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-12-04 15:25:37-03","PUCPR","HUCP","327","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Lervi, AC","Saito, JJ","006",NA,NA,NA,NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016283","HUCP00016283","Cabral",NA,NA,"25180","auto","1985","06","05",NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-12-04 15:25:37-03","PUCPR","HUCP","14037","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Acra, LA","Paraná, GPG","038","2001","06","07",NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016601","HUCP00016601","Cabral, UFPR, setor de Ciências Agrárias.",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-12-04 15:25:37-03","PUCPR","HUCP","334","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Lervi, AC","Sessegolo, GC","003",NA,NA,NA,NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016091","HUCP00016091","Capanema",NA,NA,"25180","auto","1986","10","11",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-12-04 15:25:37-03","PUCPR","HUCP","336","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Lervi, AC","Sasaoka, SK","008",NA,NA,NA,NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016143","HUCP00016143","Capão da Imbuia",NA,NA,"25180","auto","1986","10","11",NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-12-04 15:25:37-03","PUCPR","HUCP","1315","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Acra, LA","Pereira, KJ","010",NA,NA,NA,NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016619","HUCP00016619","Centro Cívico",NA,NA,"25180","auto","1986","10","26",NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-12-04 15:25:37-03","PUCPR","HUCP","22060","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Geraldi, A","Geraldi, A","022","2011","10","23",NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"Hugo Lange",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-12-04 15:25:37-03","PUCPR","HUCP","331","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Lervi, AC","Kummrow, R","1991",NA,NA,NA,NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016045","HUCP00016045","Parque Iguaçu",NA,NA,"25180","auto","1982","09","13",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-12-04 15:25:37-03","PUCPR","HUCP","17183","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Galletto, GC","Galletto, GC","005","2005","10","10",NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"Parque Tanguá",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-12-04 15:25:37-03","PUCPR","HUCP","328","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Bidá, A","Acra, LA","014",NA,NA,NA,NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016311","HUCP00016311","Prado Velho",NA,NA,"25180","auto","1983","10","05",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-12-04 15:25:37-03","PUCPR","HUCP","22061","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Aquiro, W","Aquiro, W","003","2011","09","21",NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"Santa Felicidade",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-12-04 15:25:37-03","PUCPR","HUCP","1804","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Acra, LA","Burgos, JPC","007",NA,NA,NA,NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016568","HUCP00016568","Taboão",NA,NA,"25180","auto","1988","09","28",NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-12-04 15:25:37-03","PUCPR","HUCP","11516","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Jaszczerski, JC","Casarote, H","005","1998","03","28",NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016031","HUCP00016031","Xaxim",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-12-04 15:25:37-03","PUCPR","HUCP","1451","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Acra, LA","Leoni, VB","015",NA,NA,NA,NA,"Brasil","Paraná","Lapa","-49.7158012390137","-25.7696990966797",NA,NA,"HUCP00016520","HUCP00016520",NA,NA,NA,"49965","auto","1983","10","08",NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-12-04 15:25:37-03","PUCPR","HUCP","19066-A","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Selusniaki, M","Vieira, TB","009","2007","10","22",NA,"Brasil","Paraná","São José dos Pinhais","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-12-04 15:25:37-03","PUCPR","HUCP","15385","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Beltrami, L","Leivas, PT","054","2003","09","18",NA,"Brasil","Paraná","São José dos Pinhais","-49.2064018249512","-25.5347003936768",NA,NA,"HUCP00016550","HUCP00016550","Cidade Jardim",NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-12-04 15:25:37-03","PUCPR","HUCP","20919","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Selusniaki, M","Penteado, A; Plombom, L","057","2007","09","27",NA,"Brasil","Paraná","Colombo","-49.2242012023926","-25.2917003631592",NA,NA,"HUCP00016445","HUCP00016445","Santa Mônica Clube de Campo",NA,NA,"13536","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-12-04 15:25:37-03","PUCPR","HUCP","1314","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Acra, LA","Miranda, RB","011",NA,NA,NA,NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016272","HUCP00016272","Bosque Papa João Paulo 2°",NA,NA,"25180","auto","1987","10","18",NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-12-04 15:25:37-03","PUCPR","HUCP","16481","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Beltrami, L","Silva, FIC","001","1985","08","13",NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016602","HUCP00016602","Campus da PUC",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-12-04 15:25:37-03","PUCPR","HUCP","335","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Lervi, AC","Cassou, HQ","014",NA,NA,NA,NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016039","HUCP00016039","Jardim Aristocrata",NA,NA,"25180","auto","1984","10","27",NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-12-04 15:25:37-03","PUCPR","HUCP","6478","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.",NA,"Guimarães, FJF","002","1990","10","16",NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016620","HUCP00016620","Mercês, Medicinal cultivada, com gavinhas.",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-12-04 15:25:37-03","PUCPR","HUCP","11730","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Cervi, AC","Baumel, RM","001","1998","03","31",NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016549","HUCP00016549","Rebouças",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-12-04 15:25:37-03","PUCPR","HUCP","329","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Lervi, AC","Lameiro, MGF","009",NA,NA,NA,NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016101","HUCP00016101","Rodovia BR 116, Km 401.",NA,NA,"25180","auto","1982","10","14",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-12-04 15:25:37-03","PUCPR","HUCP","1316","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Acra, LA","Schultz, M","006",NA,NA,NA,NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00016516","HUCP00016516","Santa Quitéria",NA,NA,"25180","auto","1986","10","14",NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-12-04 15:25:37-03","PUCPR","HUCP","9387","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Jaszczerski, JC","Rossetti, C","001","1995","05","01",NA,"Brasil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637",NA,NA,"HUCP00016497","HUCP00016497",NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-12-04 15:25:37-03","PUCPR","HUCP","15598","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","Selusniaki, M","Motraes, LT","027","2003","10","19",NA,"Brasil","Paraná","São José dos Pinhais","-49.2064018249512","-25.5347003936768",NA,NA,"HUCP00016609","HUCP00016609",NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-02-08 09:56:14-03","NBC","NL-BOTANY","U.1475702","PreservedSpecimen","Plantae",NA,"Malpighiales","Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.",NA,"Lindeman JC; Haas JH de",NA,"1966","09","25","Southern America","Brazil",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1475702 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1475702","NL-U1475702","Brasiliae Australis, Est. Paraná, cut-over coppice at N. outskirts of Curritiba.",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"46","2020-02-08 09:56:14-03","NBC","NL-BOTANY","U.1475703","PreservedSpecimen","Plantae",NA,"Malpighiales","Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.",NA,"Lindeman JC; Haas JH de",NA,"1966","10","22","Southern America","Brazil",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1475703 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1475703","NL-U1475703","Brasiliae Australis, São Paulo, road from São Paulo to Santos, 1/3 of the way down the serra.",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"47","2020-11-04 12:17:55-03","ESALQ","ESA","73189","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hooker","Cervi, A.C.","Hoehne, F.C.",NA,"1929","10","04",NA,"Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"ESA073189","ESA073189",NA,NA,NA,"25180","auto","1991","02","24",NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-11-04 12:17:55-03","ESALQ","ESA","83702","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia",NA,"Bernacci, L.C. & Lorenzi, H.","Souza, V.C.; Lorenzi, H.; Bernacci, L.C.; Peixoto, M.","28980.0","2003","02","11",NA,"Brasil","Rio de Janeiro","Nova Friburgo","-42.5",NA,NA,"Trepadeira; frutos imaturos verdes.","ESA083702","ESA083702_1 ESA083702_2","Reserva de Macaé de Cima. Beira da estrada.","700","700",NA,NA,"2003","01","01",NA,"-42.5","-22,366,667",NA,NA,NA,NA,NA
"49","2020-11-04 12:17:55-03","ESALQ","ESA","111567","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia",NA,"Augusto, F.G.","Tavares, J.C.F.","34.0","2008","10","19",NA,"Brasil","São Paulo","Itararé","-49.3400001525879","-24.1100006103516",NA,NA,"ESA111567","ESA111567",NA,NA,NA,"27729","auto","2008","11","08",NA,NA,NA,NA,NA,NA,NA,NA
"50","2021-01-14 15:32:50-03","MN","R","221204","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.",NA,"Falkenberg, D.B.","4533","1987","10","31",NA,"Brasil","Bahia","Rio de Contas","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2015-07-02 14:03:35-03","JBP","HPL","5122","S","Plantae",NA,NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook f.","R. Tsuji","R. Tsuji","1064","2005","09","16",NA,"Brasil","SP","Nova Odessa","-47.29","-22.77",NA,NA,NA,NA,"Coletada no Instituto Plantarum, próximo aos canteiros de plantas medicinais.",NA,NA,"8440","auto","2005","09","16",NA,NA,NA,NA,NA,NA,NA,NA
"52","2015-07-02 14:03:35-03","JBP","HPL","6823","S","Plantae",NA,NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia",NA,"Bernacci, L.C. & Lorenzi H.","V.C. Souza & H. Lorenzi et al.","28980","2003","02","11",NA,"Brasil","RJ","Nova Friburgo","-42.5311","-22.2819",NA,NA,NA,NA,"Coletado na Reserva Macaé de Cima, em beira de estrada. S 22°22'; W 42° 30' - 700 m.s.m.",NA,NA,"33190","auto","2003","02","11",NA,NA,NA,NA,NA,NA,NA,NA
"53","2015-07-02 14:03:35-03","JBP","HPL","6319","S","Plantae",NA,NA,"Passifloraceae","Passiflora","actinia","Passiflora actinia","Hook.","L.C. Bernacci","H. Lorenzi","2938","2001","11","10",NA,"Brasil","PR","Guaraqueçaba","-48.3289","-25.3067",NA,NA,NA,NA,"Cultivada no Instituto Plantarum, Nova Odessa-SP.",NA,NA,"37295","auto","2002","11","28",NA,NA,NA,NA,NA,NA,NA,NA
