"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","verbatimLongitude","verbatimLatitude","barcode","phylum","recordNumber","county","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","locality","minimumElevationInMeters","maximumElevationInMeters","continentOcean","occurrenceRemarks","fieldNumber","preparationType","class","previousCatalogNumber","order","infraspecificEpithet"
"11","2016-07-05 11:14:16-03","FFCLRP","LBMBP","170","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","Loudon","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,"Brasil","São Paulo","45°04'W","23°26'S",NA,NA,NA,"Ubatuba","-45.066667","-23.433333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-07-05 11:14:16-03","FFCLRP","LBMBP","200","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","Loudon","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,"Brasil","São Paulo","45°04'W","23°26'S",NA,NA,NA,"Ubatuba","-45.066667","-23.433333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-07-05 11:14:16-03","FFCLRP","LBMBP","201","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","Loudon","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,"Brasil","São Paulo","45°04'W","23°26'S",NA,NA,NA,"Ubatuba","-45.066667","-23.433333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-07-05 11:14:16-03","FFCLRP","LBMBP","204","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","Loudon","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,"Brasil","São Paulo","46°53'W","23°11'S",NA,NA,NA,"Jundiaí","-46.883333","-23.183333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-07-05 11:14:16-03","FFCLRP","LBMBP","228","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","Loudon","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,"Brasil","São Paulo","46°53'W","23°11'S",NA,NA,NA,"Jundiaí","-46.883333","-23.183333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-07-05 11:14:16-03","FFCLRP","LBMBP","266","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","Loudon","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,"Brasil","São Paulo","46°53'W","23°11'S",NA,NA,NA,"Jundiaí","-46.883333","-23.183333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-07-05 11:14:16-03","FFCLRP","LBMBP","267","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","Loudon","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,"Brasil","São Paulo","45°04'W","23°26'S",NA,NA,NA,"Ubatuba","-45.066667","-23.433333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-07-05 11:14:16-03","FFCLRP","LBMBP","269","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","Loudon","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,"Brasil","São Paulo","45°04'W","23°26'S",NA,NA,NA,"Ubatuba","-45.066667","-23.433333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-07-05 11:14:16-03","FFCLRP","LBMBP","274","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","Loudon","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,"Brasil","Rio de Janeiro","42°57'W","22°24'S",NA,NA,NA,"Teresópolis","-42.95","-22.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-07-05 11:14:16-03","FFCLRP","LBMBP","483","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","E.R. Pansarin",NA,NA,NA,"L.M. Pansarin",NA,NA,NA,"Brasil","São Paulo","46°53'W","23°11'S",NA,NA,NA,"Jundiaí","-46.883333","-23.183333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-07-05 11:14:16-03","FFCLRP","LBMBP","182","S","Plantae","Orchidaceae","Cirrhaea","saccata","Cirrhaea saccata","Lindl.","E.R. Pansarin",NA,NA,NA,"E.R. Pansarin",NA,NA,NA,"Brasil","São Paulo","45°04'W","23°26'S",NA,NA,NA,"Ubatuba","-45.066667","-23.433333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-07-05 11:14:16-03","FFCLRP","LBMBP","1063","S","Plantae","Orchidaceae","Cirrhaea","saccata","Cirrhaea saccata","Lindl.","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,"Brasil","São Paulo","45°04'W","23°26'S",NA,NA,NA,"Ubatuba","-45.066667","-23.433333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 14:40:39-03","UFJF","CESJ","53359","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","Loudon","L. Menini Neto","2010","05",NA,"L. Menini Neto; J.H.C. Ribeiro; P.H. Nobre; F.R.G. Salimena","2009","04","19","Brasil","Minas Gerais",NA,NA,"CESJ053359","Angiosperma","656","Rio Preto","-43.8278007507324","-22.0891990661621","20815",NA,"auto","Serra Negra, Vilarejo do Funil, cânion do unil.",NA,NA,"América do Sul","Erva saxícola, interior de mata de grota. Pseudobulbo e folhas verdes, frutos creme-esverdeados.",NA,NA,NA,NA,NA,NA
"24","2019-11-21 14:40:39-03","UFJF","CESJ","71810","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","Loudon","L. Menini Neto","2016","08","27","D.E.F. Barbosa; G.A. Basilio","2016","08","27","Brasil","Minas Gerais","-42.935833","-21.387778","CESJ071810","Angiosperma","292","Descoberto","-42.935833","-21.387778",NA,NA,NA,"Serra do Relógio, Floresta semidecidual montana","1200","1200","América do Sul","Epífita entre 40cm e 1,8m. Frutos verdes passando a castanho. Interior de floresta.",NA,NA,NA,NA,NA,NA
"25","2019-11-21 14:40:39-03","UFJF","CESJ","71918","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","Loudon","L. Menini Neto","2018","01","20","D.E.F. Barbosa; B.F. Barbosa; F.R. Silva; M.B. Silva","2018","01","20","Brasil","Minas Gerais","-42.935833","-21.387778","CESJ071918","Angiosperma","524","Descoberto","-42.935833","-21.387778",NA,NA,NA,"Serra do Relógio, Floresta semidecidual montana","1200","1200","América do Sul","Epífita entre 1m e 2m. Flores com sépalas e pétalas creme-esverdeado maculadas de vináceo. Interior de floresta.",NA,NA,NA,NA,NA,NA
"26","2019-11-21 14:40:39-03","UFJF","CESJ","67718","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","fuscolutea","Cirrhaea fuscolutea","Lindl.","E. Caglioni",NA,NA,NA,"E. Caglioni; A.R. Junckes","2014","12","24","Brasil","Santa Catarina","-48.9308","-26.799808","CESJ067718","Angiosperma","522","Ilhota","-48.9308","-26.799808",NA,NA,NA,"Parque Botânico Morro do Baú, Floresta Ombrófila Densa","810","810","América do Sul","Epífito com flores de coloração verde, coletado em subosque de floresta.",NA,NA,NA,NA,NA,NA
"27","2019-08-20 10:00:37-03","UNICAMP","UEC","139881","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Rchb.f.","Breier, TB","2004","09",NA,"Breier, TB; Budke, JC","2002","08","26","Brazil","São Paulo","-47.916667","-24.166667","UEC064595","Liliopsida","582","Sete Barras","-47.916667","-24.166667",NA,"UEC064595",NA,"Parque Estadual Carlos Botelho, Parcelas permanentes. Caída no solo preparado 16/01/2004.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-08-20 10:00:37-03","UNICAMP","UEC",NA,"S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Rchb.f.","Breier, TB","2004","09",NA,"Breier, TB; Budke, JC","2002","08","26","Brazil","São Paulo","-47.916667","-24.166667",NA,"Liliopsida","582","Sete Barras","-47.916667","-24.166667",NA,NA,NA,"Parque Estadual Carlos Botelho, Parcelas permanentes. Caída no solo preparado 16/01/2004.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-08-20 10:00:37-03","UNICAMP","UEC","139882","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Rchb.f.",NA,NA,NA,NA,"Breier, TB; Singer, RB","2002","06","30","Brazil","São Paulo",NA,NA,"UEC064598","Liliopsida","308","Cananéia","-47.9199981689453","-25.0100002288818","37574","UEC064598","auto","Parque Estadual da Ilha do Cardoso, Morro três irmãos.",NA,NA,NA,"Flor amarelada.",NA,NA,NA,NA,NA,NA
"30","2019-08-20 10:00:37-03","UNICAMP","UEC","95459","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Rchb.f.","Pansarin, ER","2004","05",NA,"Pansarin, ER","1997","12","06","Brazil","São Paulo",NA,NA,"UEC064596","Liliopsida","97/95","Jundiaí","-46.8800010681152","-23.1800003051758","17840","UEC064596","auto","Serra do Japi, Bairro Eloy Chaves, próximo à represa do DAE.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-08-20 10:00:37-03","UNICAMP","UEC",NA,"S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Rchb.f.","Pansarin, ER","2004","05",NA,"Pansarin, ER; Mickeliunas, L","2002","12","21","Brazil","São Paulo",NA,NA,"UEC064597","Liliopsida","926","Jundiaí","-46.8800010681152","-23.1800003051758","17840","UEC064597","auto","Serra do Japi, Sentido bairro Eloy Chaves, próximo à represa do DAE.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-08-20 10:00:37-03","UNICAMP","UEC","128506","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Rchb.f.","Pansarin, ER","2004","05",NA,"Pansarin, ER; Mickeliunas, L","2002","12","21","Brazil","São Paulo",NA,NA,"UEC064600","Liliopsida","926","Jundiaí","-46.8800010681152","-23.1800003051758","17840","UEC064600","auto","Serra do Japi, Sentido bairro Eloy Chaves, próximo à represa do DAE.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-03-12 10:29:23-03","UFOP","OUPR","34982","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","Pedrosa, L.G.","2020","01",NA,"Pedrosa, L.G.","2020","01","21","Brasil","Minas Gerais",NA,NA,NA,NA,"2438","Ouro Preto","-43.5080986022949","-20.2875003814697","44599",NA,"auto","Parque Estadual do Itacolomi",NA,NA,NA,"Floresta Estacional Semidecidual",NA,NA,NA,NA,NA,NA
"34","2020-03-12 10:29:23-03","UFOP","OUPR","34813","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","Pedrosa, L.G.","2019","12",NA,"Pedrosa, L.G.","2019","12","08","Brasil","Minas Gerais",NA,NA,NA,NA,"2269","Ouro Preto","-43.5080986022949","-20.2875003814697","44599",NA,"auto","Parque Estadual do Itacolomi",NA,NA,NA,"Erva, 30cm, inflorescência jovem, pico de floração entre dezembro e começo de janeiro. Floresta estacional semidecidual",NA,NA,NA,NA,NA,NA
"35","2020-03-12 10:29:23-03","UFOP","OUPR","34932","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","Pedrosa, L.G.","2019","12",NA,"Pedrosa, L.G.","2019","12","22","Brasil","Minas Gerais",NA,NA,NA,NA,"2388","Ouro Preto","-43.5080986022949","-20.2875003814697","44599",NA,"auto","Parque Estadual do Itacolomi, Saboeiro",NA,NA,NA,"Sem observações",NA,NA,NA,NA,NA,NA
"36","2020-10-14 10:03:58-03","FURB","FURB","21151","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","Cadorin, TJ","2010","03","15","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","2010","01","26","Brasil","Santa Catarina","-49.5852777","-26.7275000","FURB02723",NA,"1094","Doutor Pedrinho","-49.5852777","-26.7275",NA,"FURB02723",NA,"Forcação.","785","785",NA,"Florística IFFSC e801a Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: flor rosada",NA,NA,NA,NA,NA,NA
"37","2020-10-14 10:03:58-03","FURB","FURB","21615","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","Cadorin, TJ","2010","02","02","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","2010","02","02","Brasil","Santa Catarina","-49.1400000","-26.2800000","FURB34679",NA,"1169","Joinville","-49.14","-26.28",NA,"FURB34679",NA,"Rio Manso.","770","770",NA,"Epífita IFFSC e1025a (Abaixo de 4m). Espécie coletada para cultivo. A flor abriu em 18/02/2010. Habitat: Floresta Ombrófila Densa; Estágio Primário; interior do fragmento Habito: epífita; flor vinácea",NA,NA,NA,NA,NA,NA
"38","2020-10-14 10:03:58-03","FURB","FURB","31010","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","Mancinelli, WS; Engels, ME; Smidt, EC","2012","04",NA,"Cadorin, T.J.; Grosch, B. & Lopes, C.P.","2010","07","13","Brasil","Santa Catarina","-49.1391666","-27.0969444","FURB34674",NA,"3065","Blumenau","-49.1391666","-27.0969444",NA,"FURB34674",NA,"Área Virgem Parque Nacional da Serra do Itajaí.","660","660",NA,"Epífita IFFSC e578b (Acima de 4m), forófito 7. Habitat: Floresta Ombrófila Densa; Estágio Primário Habito: epífita;",NA,NA,NA,NA,NA,NA
"39","2020-10-14 10:03:58-03","FURB","FURB","31175","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","Mancinelli, WS; Engels, ME; Smidt, EC","2012","04",NA,"Cadorin, T.J.; Grosch, B. & Zimmermann, R.","2010","05","25","Brasil","Santa Catarina","-49.5850000","-26.7275000","FURB34677",NA,"2375","Doutor Pedrinho","-49.585","-26.7275",NA,"FURB34677",NA,"Forcação.","785","785",NA,"Epífita IFFSC e801b (Abaixo de 4m) Habitat: Floresta Ombrófila Densa Alto Montana; Estágio Avançado; interior do fragmento Habito: epífita em árvore caída; Fruto com fruto;",NA,NA,NA,NA,NA,NA
"40","2020-10-14 10:03:58-03","FURB","FURB","40573","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","Caetano, JO","2012","12","25","Caetano, J.O.","2012","12","25","Brasil","Santa Catarina","-49.4744445","-26.8794445","FURB34676",NA,NA,"Benedito Novo","-49.4744445","-26.8794445",NA,"FURB34676",NA,"Sítio do Senhor Antônio Farias.","767","767",NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-02-23 11:30:19-03","UNEMAT","HERBAM","9524","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","P. Assunção","2014","05","22","Soares-Lopes, C.R.A.; Benetti, E. & Freire, M.R.O.","2014","05","20","Brasil","Mato Grosso","-8855.34167","50.3875","HERBAM009524",NA,"H 897482","Alta Floresta","-8855.34167","50.3875",NA,NA,NA,"Área estrutural da PCH Cabeça-de-boi, margem direi, Afloramento Rochoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-04-27 16:10:56-03","UFES","VIES","19091","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","Krahl, A.H.","2009","01","03","Krahl, A.H.","2009","01","03","Brasil","Espírito Santo",NA,NA,"VIES019091",NA,"148","Cachoeiro de Itapemirim","-41.1128005981445","-20.8488998413086","35694","VIES019091","auto","Burarama.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-04-27 16:10:56-03","UFES","VIES","19090","S","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","Krahl, A.H.","2009","01","03","Krahl, A.H.","2009","01","03","Brasil","Espírito Santo",NA,NA,"VIES019090",NA,"147","Cachoeiro de Itapemirim","-41.1128005981445","-20.8488998413086","35694","VIES019090","auto","Burarama.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-12-21 16:38:19-03","MBM","MBM","395098","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","Ariati, V.","2014","01",NA,"Ariati, V.","2015","01",NA,"Brazil","Santa Catarina",NA,NA,"MBM395098",NA,"1088","Garuva","-48.8549995422363","-26.0266990661621","22441","MBM395098","auto",NA,NA,NA,"Southern America","Epífita, flor de cor vinho. Cultivada até florir.",NA,NA,NA,NA,NA,NA
"45","2020-12-21 16:38:19-03","MBM","MBM","397465","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","Ariati, V.",NA,NA,NA,"Ariati, V.","2013","02","02","Brazil","Santa Catarina",NA,NA,"MBM397465",NA,"840","Joinville","-48.8456001281738","-26.3043994903564","37150","MBM397465","auto","Resgate de flora LT 230 kv Joinville Norte - Curitiba C2",NA,NA,"Southern America","Epífita. Flor de cor vinho.; Floresta Ombrófila Densa.",NA,NA,NA,NA,NA,NA
"46","2005-02-21 10:04:36-03","MNHN","RECOLNAT_MNHN_P","P00436790","PreservedSpecimen",NA,"Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon",NA,NA,NA,NA,"Glaziou, A.","1883","2",NA,"Brésil",NA,NA,NA,"P00436790",NA,NA,NA,NA,NA,NA,"P00436790_01",NA,"Petropolis",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436790' target='other'> <mi>dwc_moreinfo</mi></a>","14323","hb",NA,NA,NA,NA
"47","2015-09-03 19:58:58-03","MNHN","RECOLNAT_MNHN_P","P00436791","PreservedSpecimen",NA,"Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon",NA,NA,NA,NA,"s.c.","1841","8",NA,"Brésil",NA,NA,NA,"P00436791",NA,NA,NA,NA,NA,NA,"P00436791_01",NA,"Pinel",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436791' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"hb",NA,NA,NA,NA
"48","2015-09-03 19:53:43-03","MNHN","RECOLNAT_MNHN_P","P00436795","PreservedSpecimen",NA,"Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","Gerlach",NA,NA,NA,"Herb. L. Claude et A. Richard","1844","11",NA,"Brésil",NA,NA,NA,"P00436795",NA,NA,NA,NA,NA,NA,"P00436795_01",NA,"Brésil",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436795' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"hb",NA,NA,NA,NA
"49","2015-09-04 12:48:36-03","MNHN","RECOLNAT_MNHN_P","P00436792","PreservedSpecimen",NA,"Orchidaceae","Cirrhaea","saccata","Cirrhaea saccata","Lindl.","Gabst",NA,NA,NA,"Lourteig, A.","1967","12","20","Brésil",NA,NA,NA,"P00436792",NA,NA,NA,NA,NA,NA,"P00436792_01",NA,"Estado de Santa Catarina : Isla Santa Catarina, Saco Grande, selva humeda","200","400",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436792' target='other'> <mi>dwc_moreinfo</mi></a>","2348","hb",NA,NA,NA,NA
"50","2015-09-04 12:34:50-03","MNHN","RECOLNAT_MNHN_P","P00436793","PreservedSpecimen",NA,"Orchidaceae","Cirrhaea","saccata","Cirrhaea saccata","Lindl.",NA,NA,NA,NA,"Mercier, M.","1924",NA,NA,"Brésil",NA,NA,NA,"P00436793",NA,NA,NA,NA,NA,NA,"P00436793_01",NA,"Santa Catarina",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436793' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"hb",NA,NA,NA,NA
"51","2020-12-11 11:44:24-03","UFMG","BHCB","82169","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon",NA,"2002",NA,NA,"Mota, RC da","2002","12","24","Brasil","Minas Gerais","-43.615167","-19.073806","BHCB001111","Monocotyledon","2034","Conceição do Mato Dentro","-43.615167","-19.073806",NA,"BHCB001111",NA,"Parque Natural Municipal do Ribeirão do Campo",NA,NA,"Southern America","Perianto creme com muitas mácula vináceas em toda sua extensão com uma leve redução na base; labelo um pouco mais escuro; flores com aroma adocicado.; Planta coletada em mata de galeria em barrancos às margens do riacho",NA,NA,NA,NA,NA,NA
"52","2020-12-11 11:44:24-03","UFMG","BHCB","92246","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon",NA,NA,NA,NA,"Mota, RC da","2005","01","05","Brasil","Minas Gerais",NA,NA,NA,"Monocotyledon","2367","Catas Altas","-43.4075012207031","-20.0746994018555","11966",NA,"auto","Serra do Caraça",NA,NA,"Southern America","Planta coletada em mata ciliar; epífita em base de árvore; sépalas verde-acastanhadas com listras horizontais vináceas na região apical, pétalas verde-acastanhadas cobertas por pontuações vináceas, principalmente na região basal.",NA,NA,NA,NA,NA,NA
"53","2021-03-25 13:53:02-03","UNIVILLE","JOI","16878","PreservedSpecimen","Plantae","Orchidaceae","Cirrhaea","dependens","Cirrhaea dependens","(Lodd.) Loudon","MANCINELLI, W.S.","2016","03","29","BILK, K.D.; CRUZ DE LIMA; A.R.; MANCINELLI, W.S.; PAGANI, A.; SCHEGUSCHEWSKY, V.","2016","01","23","Brasil","Santa Catarina","48º58'53''W","26º8'28''S","JOI016878",NA,"111","Joinville","-48.981389","-26.141111",NA,NA,NA,"Propriedade Marcos Merkle. Área de Proteção Ambiental da Serra Dona Francisca","215","215",NA,"epífita",NA,NA,NA,NA,NA,NA
