"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","fieldNumber","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","individualCount"
"11","2020-08-31 08:51:49-03","INPA","INPA","94200","S","Plantae","Dicotyledon","Fabales","Leguminosae-Caes","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata","Ducke","Silva, MF da","Ducke, A","s.n.","1916","01","17","Southern America","Brasil","Pará","Gurupá","Campina de areia, Campina de areia","-51","-0.5",NA,NA,"INPA0094200","INPA0094200 INPA0094200_e",NA,NA,NA,NA,NA,NA,"1980","08","-51","-0.5",NA
"12","2020-09-12 05:00:02-03","US","US","2929192","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata","Ducke",NA,"N. T. Silva & C. S. Rosário","5036","1979","2","7","South America - Neotropics","Brazil","Pará",NA,"Gurupa, campina do jacopi",NA,NA,NA,NA,"US00382223","US00382223_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1"
"13","2020-09-12 05:00:02-03","US","US","1044182","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata","Ducke",NA,"A. Ducke","15953","1916","1","17","South America - Neotropics","Brazil","Pará",NA,"Gurupa.",NA,NA,NA,NA,"US00002730","US00002730_01",NA,NA,"Dicotyledonae","Isotype",NA,NA,NA,NA,NA,NA,"1"
"14","2020-09-12 05:00:02-03","US","US","1441722","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata","Ducke",NA,"A. Ducke","17018","1923","2","24","South America - Neotropics","Brazil","Pará",NA,"Gurupá; prope Jacopy",NA,NA,NA,NA,"US00382224","US00382224_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1"
"15","2020-09-12 05:00:02-03","US","US","1044181","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata","Ducke",NA,"A. Ducke","15953","1916","1","17","South America - Neotropics","Brazil","Pará",NA,"Gurupa.",NA,NA,NA,NA,"US00002729","US00002729_01",NA,NA,"Dicotyledonae","Isotype",NA,NA,NA,NA,NA,NA,"1"
"16","2019-09-04 17:46:35-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata",NA,NA,"A. Ducke","15953","1916","1","17","South America","Brazil","Pará",NA,"Gurupá",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Holotype",NA,NA,NA,NA,NA,NA,NA
"17","2019-09-04 17:24:16-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata",NA,NA,"A. Ducke","15953","1916","1","17","South America","Brazil","Pará",NA,"Gurupá",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Isotype",NA,NA,NA,NA,NA,NA,NA
"18","2019-01-23 10:11:26-02","F","FMNH-SEEDPLANTS","V0093774F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata",NA,NA,"A. Ducke","15953","1916","1","17","South America","Brazil","Pará",NA,"Gurupá",NA,NA,NA,NA,"V0093774F","V0093774F_01",NA,NA,"Dicotyledoneae","Isotype",NA,NA,NA,NA,NA,NA,NA
"19","2020-01-24 14:25:03-03","F","FMNH-SEEDPLANTS","V0540731F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata",NA,"N. T. da Silva",NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0540731F",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-01 14:59:53-03","UnB","UB","208022","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata","Ducke","Silva, NT","Silva, NT; Rosário, C","5036","1979","02","07","Southern America","Brasil","Pará","Gurupá ","Campina do Jacopi","-51.6399993896484","-1.40499997138977",NA,"Árvore de 4 m de altura, 10 cm de diâmetro, cálice verde, corola e estames amarelos-pálido, antera amarela-gema; Zona de transição para a mata, solo arenoso com húmus",NA,NA,"122528","auto",NA,NA,NA,NA,"1979",NA,NA,NA,NA
"21","2021-02-23 13:22:28-03","MN","R-TIPOS","2375","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata","Ducke",NA,"Ducke, W.A.","15953",NA,NA,NA,NA,"Brasil","Pará","Gurupá",NA,"-51.6399993896484","-1.40499997138977",NA,NA,"R000002375","R000002375_001","122528","auto",NA,"Isotypus",NA,NA,NA,NA,NA,NA,NA
"22","2021-02-23 13:22:28-03","MN","R-TIPOS","2375a","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata","Ducke",NA,"Ducke, W.A.","15953",NA,NA,NA,NA,"Brasil","Pará","Gurupá",NA,"-51.6399993896484","-1.40499997138977",NA,NA,"R000002375a","R000002375a_001","122528","auto",NA,"Isotypus",NA,NA,NA,NA,NA,NA,NA
"23","2014-09-23 10:57:48-03","G","G","G00388833","S","Plantae",NA,NA,"Fabaceae","Jacqueshuberia","quinquangulata","Jacqueshuberia quinquangulata","Ducke","?","Ducke, A.","15953","1916","01","17","AMERIQUE DU SUD","Brazil","Pará","Gurupá",NA,"-55.27805556","-2.54777778",NA,"Coordinate uncertainty: Precision undefined Image URL: No picture available on the institution's web site","G00388833",NA,NA,NA,NA,"ISOTYPUS of Jacqueshuberia quinquangulata Ducke",NA,NA,NA,NA,"-55.27805556","-2.54777778",NA
