"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","typeStatus","fieldNumber","sex"
"14","2021-03-15 16:37:00-03","NY","NYBG","01048103","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.","M. H. Nee","M. A. Chase","8455I","1925","02","13","Brazil","Rio de Janeiro",NA,"Lagoa R. de Freitas","-43.207919","-22.973835",NA,NA,NA,NA,"NY01048103","NY01048103_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1194119' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01048105","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.","M. H. Nee","A. P. Duarte","5163","1959","11",NA,"Brazil","Rio de Janeiro",NA,"Lagôa Rodrigo de Freitas","-43.207919","-22.973835",NA,NA,NA,NA,"NY01048105","NY01048105_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1194122' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-28 14:54:00-03","NY","NYBG","630305","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya",NA,"S. A. Renvoize","D. S. D. de Araújo","1818","1977","07","21","Brazil","Rio de Janeiro","Magé","Rio Guapimirim","-43.0406","-22.6531",NA,NA,NA,NA,"NY00630305","NY00630305_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127570' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-28 14:54:00-03","NY","NYBG","630301","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya",NA,"S. A. Renvoize","D. S. D. de Araújo","1818","1977","07","21","Brazil","Rio de Janeiro","Magé","Rio Guapi-mirim","-43.0406","-22.6531",NA,NA,NA,NA,"NY00630301","NY00630301_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127569' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-28 14:54:00-03","NY","NYBG","630304","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya",NA,"G. Davidse","L. S. P. Sarahyba","256","1982","12","11","Brazil","Rio de Janeiro",NA,"Barra da Tijuca, área próxima ao Rio Centro e Autódromo",NA,NA,NA,NA,NA,NA,"NY00630304","NY00630304_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127566' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1100046","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.","T. de S. Filgueiras","G. T. Prance","16822","1973","07","24","Brazil","Amazonas",NA,"Rio Solimões, path along bank between Leticia and El Marco. Very common field cover.",NA,NA,NA,NA,NA,NA,"NY01100046","NY01100046_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401341' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-09-28 14:54:00-03","NY","NYBG","630314","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya",NA,"J. R. Swallen","Á. L. Cabrera","2796","1933","04",NA,"Argentina","Buenos Aires",NA,"Ribera del Río de La Plata: Río Santiago",NA,NA,NA,NA,NA,NA,"NY00630314",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127574' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-09-30 02:18:00-03","NY","NYBG","1146851","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya",NA,NA,"E. A. Goeldi","285",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"NY01146851","NY01146851_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400569' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-09-28 14:54:00-03","NY","NYBG","630307","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya",NA,NA,"M. A. Chase","7918","1924","12","13","Brazil","Bahia",NA,"Near Rio Sao Francisco, Joazeiro",NA,NA,NA,NA,"300","300","NY00630307","NY00630307_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127577' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","02618054","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.",NA,"G. Davidse","18113","1980","04","09","Brazil","Pará","Capanema","Rio Quatipuru, in vicinity of Miraselvas, ca. 30 km by road west of Braganca","-46.98","-1.07",NA,NA,"50","50","NY02618054","NY02618054_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2891941' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-09-30 02:18:00-03","NY","NYBG","1100050","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya",NA,NA,"B. E. Dahlgren","59",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"NY01100050","NY01100050_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400585' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2016-09-28 14:54:00-03","NY","NYBG","630303","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya",NA,"G. Davidse","L. S. P. Sarahyba","256","1982","12","11","Brazil","Rio de Janeiro",NA,"Barra da Tijuca, área próxima ao Rio Centro e Autódromo",NA,NA,NA,NA,NA,NA,"NY00630303","NY00630303_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127565' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","630309","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.","E. J. Judziewicz","P. K. H. Dusén","11461","1911","02","25","Brazil","Paraná","Paranaguá","Porto Dom Pedro II","-48.5092","-25.5203",NA,NA,NA,NA,"NY00630309","NY00630309_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127573' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","630306","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.",NA,"D. S. D. de Araújo","3120","1979","06","06","Brazil","Rio de Janeiro","Campos","Lagoa Feia, Ilha da Caraguinha","-41.362634","-22.025609",NA,NA,NA,NA,"NY00630306","NY00630306_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127576' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2016-09-30 02:19:00-03","NY","NYBG","1100047","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya",NA,"E. J. Judziewicz","W. A. Rodrigues","5884","1964","06","04","Brazil","Amazonas","Careiro","Igarapé do Lago do Rei; igapó.","-60.3692","-3.76806",NA,NA,NA,NA,"NY01100047","NY01100047_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401342' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-09-28 14:54:00-03","NY","NYBG","764164","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya",NA,"C. Kozera","M. Borgo","594","2000","02","08","Brazil","São Paulo","Iguape","Afluente do Rio Ribeira","-47.55","-24.7",NA,NA,NA,NA,"NY00764164","NY00764164_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127572' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-09-28 14:54:00-03","NY","NYBG","630310","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya",NA,"J. R. Swallen","R. Reitz","8645","1959","03","14","Brazil","Santa Catarina",NA,"Riachuelo, Lontras, Rio do Sul",NA,NA,NA,NA,"350","350","NY00630310","NY00630310_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127568' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-09-30 02:18:00-03","NY","NYBG","1146854","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya",NA,NA,"B. A. Krukoff","7511",NA,NA,NA,"Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"NY01146854","NY01146854_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399850' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","630313","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.","G. Davidse","A. H. Gentry","20797","1977","11","22","Peru","Loreto","Maynas","Río Yavari between Emilia and Brazilian village of Paumari (above Atalaia del Norte)","-70.2349198","-4.3127574",NA,NA,NA,NA,"NY00630313",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127564' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","01048104","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.","M. H. Nee","M. A. Chase","8455II","1925","02","13","Brazil","Rio de Janeiro",NA,"Lagoa R. de Freitas","-43.207919","-22.973835",NA,NA,NA,NA,"NY01048104","NY01048104_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1194120' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","1146855","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya spectabilis","(Nees ex Trin.) Mart.Crov.",NA,"S. R. Hill","13025","1983","07","09","Brazil","Amazonas",NA,"Ilha Tupinambarana, Paraná Urariá, white water, between rio Abacaxis and rio Paraconi, varzea.","-58.5","-3.833333",NA,NA,NA,NA,"NY01146855","NY01146855_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401348' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales","spectabilis",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00862265","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya spectabilis","(Nees ex Trin.) Mart.Crov.",NA,"G. Eiten","4760","1962","05","27","Brazil","Maranhão","Lorêto","Ilha de Balsas region, between the Rios Balsas and Parnaíba. Santa Barbara, due SSE of Lorêto, on shore of Rio Parnaíba. Property of Dona Luzia. About 200 m. west of the mouth of the brook, Riacho da Simiana. At edge of Rio Parnaíba, along the shore","-45.05","-7.5",NA,NA,"140","140","NY00862265","NY00862265_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=941019' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales","spectabilis",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-02-08 11:09:51-03","UNESP-IBB","BOTU","16201","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.",NA,"Gemtchújnicov, I.D.","3","1976","06","10","Brasil","Amazonas","Humaitá","Beiradão","-63.166667","-7.516667","63º10'w","07°31's",NA,NA,"BOTU016201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-02-08 11:09:51-03","UNESP-IBB","BOTU","16223","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.",NA,"Gemtchújnicov, I.D.","557","1976","06","10","Brasil","Amazonas","Humaitá","Barradão margem do Rio Madeira","-63.166667","-7.516667","63°10'w","07°31's",NA,NA,"BOTU016223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2018-08-28 10:13:12-03","UNEMAT","TANG","700","S","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","Kunth",NA,"Koch, AK; Santos, MC","33","2007","04","25","Brasil","Mato Grosso","Nova Olímpia","Margens do Rio Angelim, Usina Itamarati","-57.2881011962891","-14.7972002029419",NA,NA,NA,NA,"TANG000000700",NA,NA,NA,NA,"folhas longas com bainhainflorescência em cacho e espiga, herbáceo",NA,NA,NA,NA,NA,NA,"51057","auto",NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:53:17-03","EAO","IAN","101030","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.","Amshoff, GJH","Lanjouw, J; Lindeman, JC","1112","1948","11","16","Suriname",NA,NA,"Hab. Via secta ab Wia wia-bank ad Grote Zwiebelswamp. On third ridge near km 1,3.",NA,NA,NA,NA,NA,NA,"IAN101030",NA,NA,NA,NA,NA,"Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-30 12:53:17-03","EAO","IAN","151398","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.","Silva, NT da","Silva, NT da","4218","1976","01","17","Brasil","Maranhão",NA,"Campo alagado, distante 6 km da margem do Mearim (Ubá).",NA,NA,NA,NA,NA,NA,"IAN151398",NA,NA,NA,NA,"Capim de 1 m de altura.","Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-30 12:53:17-03","EAO","IAN","158629","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.","Cordeiro, MR","Rodrigues, IA; Cordeiro, MR","1103","1984","05","08","Brasil","Pará","Óbidos","Igarapé das fazendas, fazenda São Joaquim (Lago Grande). Campo de várzea.","-55.766667","-2.183333","-55.766667","-2.183333",NA,NA,"IAN158629",NA,NA,NA,NA,"Erva perene, com flor roxa-clara.","Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-30 12:53:17-03","EAO","IAN","158642","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.","Cordeiro, MR","Rodrigues, IA; Cordeiro, MR","1116","1984","05","09","Brasil","Pará","Óbidos","Paraná da D. Rosa. Fazenda Nazaré, ao lado do lago. Campo de várzea.","-55.833333","-2.05","-55.833333","-2.05",NA,NA,"IAN158642",NA,NA,NA,NA,"Erva perene, com flor roxa-clara.","Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-04-08 17:45:20-03","EAO","IAN","159250","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.",NA,"sc","s.n.",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN159250",NA,NA,NA,NA,NA,"Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-30 12:53:17-03","EAO","IAN","160638","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.","Nivaldo, S","Rodrigues, IA; Cordeiro, MR","1171","1984","10","05","Brasil","Pará","Oriximiná","Fazenda do Sr. Isaltino, rio Cachoeri. Campo de várzea.","-55.366667","-1.75","-55.366667","-1.75",NA,NA,"IAN160638",NA,NA,NA,NA,"Erva perene. Com fruto.","Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-30 12:53:17-03","EAO","IAN","160777","PreservedSpecimen","Plantae","Poaceae","Echinochloa","polystachya","Echinochloa polystachya","(Kunth) Hitchc.",NA,"Marinho, LR; Camarão, A","1285","1986","05","29","Brasil",NA,NA,"Beira do Rio Amazonas.",NA,NA,NA,NA,NA,NA,"IAN160777",NA,NA,NA,NA,NA,"Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
