"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relationshipType","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber","sex"
"11","2020-06-29 11:30:56-03","UFRJ","RFA","30146","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","C. Epling","R. Reitz","6153","1958","12","31",NA,"Brasil","Santa Catarina","Rio do Sul",NA,"-49.6431007385254","-27.2141990661621","350","350",NA,"Cultivado. Erva 50 cm de altura; flor branca","RFA42644",NA,"15163","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 11:30:56-03","UFRJ","RFA","2083","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","viridis","Mentha viridis","L.",NA,"Chavin",NA,"1868","08",NA,NA,"Suíça",NA,"Suíça","Compesieres",NA,NA,NA,NA,NA,NA,"RFA42642",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-06-29 11:30:56-03","UFRJ","RFA","2082","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","viridis","Mentha viridis","L.",NA,NA,NA,NA,NA,NA,NA,"França",NA,"França","Cultivada em Paris",NA,NA,NA,NA,NA,NA,"RFA42652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-24 17:10:45-03","UTFPR","DVPR","5336","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.",NA,"Medeiros, KA","39","2017","03","25",NA,"Brasil","Paraná","Francisco Beltrão",NA,"-53.411064","-24.88083",NA,NA,NA,"erva, planta herbacia, 30 a 60cm, Folha: verde, Flor: violeta. K 52.","DVPR005336",NA,NA,NA,"-53.411064","-24.88083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:32:49-03","EAO","IAN","46403","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.",NA,"Black, GA","5718","1935",NA,NA,NA,"Estados Unidos","Califórnia",NA,"Riverside.",NA,NA,NA,NA,NA,NA,"IAN046403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-30 12:32:49-03","EAO","IAN","53241","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Harley, RM","Villafañe, M","925","1947","03","03","Southern America","Argentina",NA,NA,"Provincia Mendoza. Dep. Luyau. Localidad Chacras de Coria.",NA,NA,NA,NA,NA,NA,"IAN053241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-30 12:32:49-03","EAO","IAN","53409","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Harley, RM","Olea, J","s.n.","1945","01","18","Southern America","Argentina",NA,NA,"Provincia Tucuman. Dep. Eafi.",NA,NA,NA,NA,NA,NA,"IAN053409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-30 12:32:49-03","EAO","IAN","35482","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Harley, RM","Zagatto, O","6150","1941","02","06","Southern America","Brasil","São Paulo","Campinas","Campo Experimental Instituto.","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"IAN035482","IAN035482 IAN035482_e","23900","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:32:49-03","EAO","IAN","37357","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Harley, RM","Lima, AR","9204","1948","01","27","Southern America","Brasil","São Paulo","Campinas","Sec. Fumo. Inseticidas, Faz. Santa Elisa.","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"IAN037357","IAN037357 IAN037357_e","23900","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:32:49-03","EAO","IAN","182658","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","viridis","Mentha viridis","L.",NA,"Rodrigues, IA","27",NA,NA,NA,"Southern America","Brasil","Pará","Monte Alegre","Projeto Iara","-54.0691986083984","-2.00778007507324",NA,NA,NA,NA,"IAN182658",NA,"279177","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-01-20 14:40:31-03","UPM","MACK","359","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.",NA,"R. R. Zorzi",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-10-09 11:18:01-03","UFBA","ALCB","03691","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Harley, RM","Hoehne, W","19","1941",NA,NA,"Southern America","Brasil","São Paulo","São Paulo",NA,"-47.05","-22.9",NA,NA,NA,NA,NA,NA,NA,NA,"-47.05","-22.9","1987","01",NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-02-08 09:32:48-03","NBC","NL-BOTANY","U.1356798","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Mentha","viridis","Mentha viridis","L.",NA,"Rohmeder",NA,"1945","01","22","Southern America","Argentina",NA,NA,"Gob. Chubut, Dep. Futalaufquen.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1356798 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1356798","NL-U1356798",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"24","2020-02-08 09:32:48-03","NBC","NL-BOTANY","U.1356799","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Mentha","viridis","Mentha viridis","L.",NA,"Villafañe M",NA,"1947","03","03","Southern America","Argentina",NA,NA,"Provincia: Mendoza, Dep. Zujan, Chacras de Coria.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1356799 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1356799","NL-U1356799",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"25","2020-11-04 11:11:41-03","ESALQ","ESA","5211","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Harley, R.M.","Catharino, E.L.M.","843.0","1986","02","09",NA,"Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,"ESA005211","ESA005211","44778","auto",NA,NA,"1993","05","24",NA,NA,NA,NA,NA,NA,NA
"26","2020-11-04 11:11:41-03","ESALQ","ESA","51075","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Mentha","spicata","Mentha spicata",NA,"Amaral, G.B.","Amaral, G.B.",NA,"2005","01","02",NA,"Brasil","São Paulo","Jaú",NA,"-48.5499992370605","-22.2900009155273",NA,NA,NA,NA,"ESA051075","ESA051075","24071","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-04 11:11:41-03","ESALQ","ESA","32702","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Harley, R.M.","Zandoval, J.A.",NA,"1995","08","23",NA,"Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,"ESA032702","ESA032702","44778","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-04 11:11:41-03","ESALQ","ESA","513","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Harley, R.M.","Zagatto, O.",NA,"1941","02","06",NA,"Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,"ESA000513","ESA000513","44778","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-12 01:35:19-03","UFPI","TEPB","25442","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.",NA,"O. Cabral","57","2007","08","09",NA,"Brasil","Piauí","Teresina","Hortas Vila poti","-42.8018989562988","-5.08916997909546",NA,NA,NA,"<ll>dwc_commonname:</ll> Pau-ferro",NA,NA,"56344","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-12 01:35:19-03","UFPI","TEPB","25442","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.",NA,"O. Cabral","57","2007","08","09",NA,"Brasil","Piauí","Teresina","Hortas Vila poti","-42.8018989562988","-5.08916997909546",NA,NA,NA,"<ll>dwc_commonname:</ll> Hortelã-rasteiro",NA,NA,"56344","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2015-07-02 14:02:26-03","JBP","HPL","3625","S","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","Crantz,","G.F. Arbocz","G.F. Arbocz","1174","1995","03","06",NA,"Brasil","PR","Carambé","Coletada no distrito de Tronco, no sítio do bahiano.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1995","03","06",NA,NA,NA,NA,NA,NA,NA
"32","2015-07-02 14:02:26-03","JBP","HPL","3626","S","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","Crantz,","H. Lorenzi","H. Lorenzi","1171","1993","11","24",NA,"Brasil","SP","Mogi Guaçu","Coletada no arboreto da campininha.","-46.9422","-22.3722",NA,NA,NA,NA,NA,NA,"39309","auto",NA,NA,"1993","11","24",NA,NA,NA,NA,NA,NA,NA
"33","2015-07-02 14:02:26-03","JBP","HPL","3624","S","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","Crantz,","G.F. Arbocz","G.F. Arbocz","1201","1995","03","08",NA,"Brasil","RS","Nova Petrópolis","Coletada no Sobestianski.","-51.1144","-29.3764",NA,NA,NA,NA,NA,NA,"14669","auto",NA,NA,"1995","03","08",NA,NA,NA,NA,NA,NA,NA
"34","2019-12-19 08:15:20-03","FPS","FPS","3218","MachineObservation","Plantae",NA,NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Schwirkowski, P.","Schwirkowski, P.","2644","2018","02","01",NA,"Brasil","Santa Catarina","São Bento do Sul","Bairro Centenário","-49.34717","-26.239553",NA,NA,NA,"<ll>dwc_commonname:</ll> Menta, hortelã-pimenta","FPS03218,FURB57457","FPS03218_v01 FPS03218_v02 FPS03218_v03 FPS03218_v04 FPS03218_v05 FURB57457",NA,NA,"-49.34717","-26.239553","2018","02","01",NA,"voucher","FURB 57457",NA,NA,NA,NA
"35","2019-02-15 11:40:43-02","IPA","IPA","56804","S","Plantae","Plantae",NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Harley, R.M.","Bocage, A.; et al.; et al.","336","1995","03","28","Southern America","Brasil","Pernambuco","Recife","Jardim Botânico","-34.8810997009277","-8.05389022827148",NA,NA,NA,"Mata Atlântica.","IPA0056804",NA,"18865","auto",NA,NA,"2001","08","28",NA,NA,NA,NA,NA,NA,NA
"36","2019-02-15 11:40:43-02","IPA","IPA","6466","S","Plantae","Plantae",NA,"Lamiaceae","Mentha","viridis","Mentha viridis","(L.) L.",NA,"Ramos, J.I.","111","1953","11",NA,"Europe","France",NA,NA,NA,NA,NA,NA,NA,NA,"Cultivado.","IPA0006466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-11-22 13:44:14-03","IAP","PACA-AGP","71551","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Labiatae","Mentha","spicata","Mentha spicata","L.",NA,"Eric Steen Hansen",NA,"1972","08","07",NA,"Dinamarca",NA,NA,"Copenhagen, Zealand: Ingerslevsgade",NA,NA,NA,NA,NA,"Mus. Bot. Haun. 587","PACA071551",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA
"38","2019-11-22 13:44:14-03","IAP","PACA-AGP","71552","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Labiatae","Mentha","spicata","Mentha spicata","L.",NA,"Kaj Vollesen",NA,"1972","08","10",NA,"Dinamarca",NA,NA,"Copenhagen, Zealand: Lyngobyvejen Station",NA,NA,NA,NA,NA,"Mus. Bot. Haun. 591","PACA071552",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA
"39","2019-08-27 13:30:17-03","IAP","PACA-AGP","117733","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Labiatae","Mentha","spicata","Mentha spicata","L.","Rocha, L.F.","Padilha, C.",NA,"2007","12",NA,NA,"Brasil","RS","Canela","comunidade entorno da FLONA de Canela","-50.815601348877","-29.3656005859375",NA,NA,NA,NA,"PACA117733",NA,"16452","auto",NA,NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA
"40","2019-08-27 13:30:17-03","IAP","PACA-AGP","106956","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Labiatae","Mentha","spicata","Mentha spicata","L.","Bergamaschi, L.","Bergamaschi, L.",NA,"1993","11","26",NA,"Brasil","RS","São Leopoldo","Unisinos","-51.1472015380859","-29.7602996826172",NA,NA,NA,"Coleção Plantas Medicinais - caixa 3","PACA106956",NA,"10287","auto",NA,NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA
"41","2019-11-21 14:37:49-03","UFJF","CESJ","57150","PreservedSpecimen","Plantae","Angiosperma",NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","B.E. Conde","B.E. Conde","98","2011","01","18","América do Sul","Brasil","Minas Gerais","Juiz de Fora","bairro Alto Eldorado, horta caseira de D.Lúcia 2","-43.3502998352051","-21.7642002105713",NA,NA,NA,"N.v.: Hortelã. Utilizada para resfriados, inflamações gerais e vermífugo.","CESJ057150",NA,"36144","auto",NA,NA,"2011","01","28",NA,NA,NA,NA,NA,NA,NA
"42","2019-11-21 14:37:49-03","UFJF","CESJ","57133","PreservedSpecimen","Plantae","Angiosperma",NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","B.E. Conde","B.E. Conde","81","2011","01","18","América do Sul","Brasil","Minas Gerais","Juiz de Fora","bairro Sta. Terezinha, horta caseira de D.Maria.","-43.3502998352051","-21.7642002105713",NA,NA,NA,"N.v.: vique. Utilizada como anti-gripal e anti-inflamatório.","CESJ057133",NA,"36144","auto",NA,NA,"2011","01","27",NA,NA,NA,NA,NA,NA,NA
"43","2019-11-21 14:37:49-03","UFJF","CESJ","59761","PreservedSpecimen","Plantae","Angiosperma",NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","G.G. Bocarde","G.G. Bocarde","88","2012","04","02","América do Sul","Brasil","Minas Gerais","Juiz de Fora","Rua Brasilino Ferreira de Oliveira,24. São Bernardo","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Erva; 50cm alt.","CESJ059761",NA,"36144","auto",NA,NA,"2012","04","02",NA,NA,NA,NA,NA,NA,NA
"44","2019-11-21 14:37:49-03","UFJF","CESJ","57149","PreservedSpecimen","Plantae","Angiosperma",NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","B.E. Conde","B.E. Conde","97","2011","01","18","América do Sul","Brasil","Minas Gerais","Juiz de Fora","bairro Alto Eldorado, horta caseira de D.Maria das Graças.","-43.3502998352051","-21.7642002105713",NA,NA,NA,"N.v.: Hortelã. Utilizado para gases, vermífugo, calmante e inflamações gerais.","CESJ057149",NA,"36144","auto",NA,NA,"2011","01","28",NA,NA,NA,NA,NA,NA,NA
"45","2019-11-21 14:37:49-03","UFJF","CESJ","57132","PreservedSpecimen","Plantae","Angiosperma",NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","B.E. Conde","B.E. Conde","80","2011","01","18","América do Sul","Brasil","Minas Gerais","Juiz de Fora","bairro N.Sa. das Graças, horta caseira Sr. Paulo","-43.3502998352051","-21.7642002105713",NA,NA,NA,"N.v.: vique. Utilizada como anti-gripal e anti-inflamatório.","CESJ057132",NA,"36144","auto",NA,NA,"2011","01","27",NA,NA,NA,NA,NA,NA,NA
"46","2019-11-21 14:37:49-03","UFJF","CESJ","58482","PreservedSpecimen","Plantae","Angiosperma",NA,"Lamiaceae","Mentha","viridis","Mentha viridis","L.","B.E. Conde","J.S. Marques","2","2011","11","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N.v.: Elevante, Levante. Flores de coloração arroxeada.","CESJ058482",NA,NA,NA,NA,NA,"2011","11","07",NA,NA,NA,NA,NA,NA,NA
"47","2019-11-21 14:37:49-03","UFJF","CESJ","40701","PreservedSpecimen","Plantae","Angiosperma",NA,"Lamiaceae","Mentha","viridis","Mentha viridis","L.",NA,"D.R. Oliveira; S.S.Santos","s.n.","2001","08","18","América do Sul","Brasil","Pará","Oriximiná",NA,"-55.8661003112793","-1.76556003093719",NA,NA,NA,NA,"CESJ040701",NA,"479450","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-11-27 13:49:41-03","UFS","ASE","3033","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Harley, RM","Santana, MC","ASE3033","1983","03","03","Southern America","Brasil","Sergipe","Aracaju",NA,"-37.071667","-10.911111","4","4",NA,"erva rastejante. flores alvas, folhas simples e opostas.; erva rastejante. flores alvas, folhas simples e opostas.","ASE0014704","ASE0014704",NA,NA,"-37.071667","-10.911111","1991","01","24",NA,NA,NA,NA,NA,NA,NA
"49","2019-11-27 13:49:41-03","UFS","ASE","35086","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Andrade, RS","Andrade, RS; Andrade, WWG; Ramos, ST; Rufino, CCB; Silva, PIC; Souza, CAS","77","2015","09","25","Southern America","Brasil","Sergipe","Aracaju","Unidade de Saúde Manoel de Souza Pereira, Rua Maria do Cairo A. Costa- Jabutiana","-37.0509","-10.5631",NA,NA,NA,"Herbácea.","ASE0035822","ASE0035822",NA,NA,"-37.0509","-10.5631","2016","01","07",NA,NA,NA,NA,NA,NA,NA
"50","2019-11-27 13:49:41-03","UFS","ASE","40428","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Cardoso, A","Pereira, JML","19","2018","01","26","Southern America","Brasil","Pará","Santa Maria do Pará","Areal","-65.34","-19.21",NA,NA,NA,"Erva.","ASE0041949",NA,NA,NA,"-65.34","-19.21","2018","01","26",NA,NA,NA,NA,NA,NA,NA
"51","2019-11-27 13:49:41-03","UFS","ASE","9136","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Silva, ACC","Carmo, MRB","863","2004","05","06","Southern America","Brasil","Paraná","Tibagi","Parque Estadual de Guartelá","-49.331667","-24.1125",NA,NA,NA,"Erva. 30. cm. .; Erva. 30. cm. .; Margem do riacho do Pedregulho, em banco de areia úmido.","ASE0018461","ASE0018461",NA,NA,"-49.331667","-24.1125","2013","03","12",NA,NA,NA,NA,NA,NA,NA
"52","2021-03-01 16:32:13-03","UNICAMP","UEC","186537","S","Plantae","Magnoliopsida",NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Pereira, B","Carvalho, LMC","32013","2013","01","04",NA,"Brazil","São Paulo","Paulínia","CPMA, CPQBA, Betel","-47.649167","-22.725278",NA,NA,NA,"Flor Branca.","UEC111822","UEC111822",NA,NA,"-47.649167","-22.725278","2013","02","10",NA,NA,NA,NA,NA,NA,NA
"53","2021-03-01 16:32:13-03","UNICAMP","UEC","70292","S","Plantae","Magnoliopsida",NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.",NA,"Lima, RA","s.n.","1944","02","29",NA,"Brazil","São Paulo","Campinas","Fazenda Santa Elisa.","-47.060001373291","-22.8999996185303",NA,NA,NA,"Herbácea.","UEC006739","UEC006739","23900","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2021-03-01 16:32:13-03","UNICAMP","UEC","121401","S","Plantae","Magnoliopsida",NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.","Harley, RM","Gurian, R","1","1991","07",NA,NA,"Brazil","São Paulo","Paulínia","Betel; CPQBA.","-47.1500015258789","-22.7600002288818",NA,NA,NA,"Espécie herbácea, com cerca de 40 cm de altura; Folhas verdes, de aroma mentolado; Flores de cálice verde e corola branca. Cultivada.","UEC006741","UEC006741","11851","auto",NA,NA,"1994","12","06",NA,NA,NA,NA,NA,NA,NA
"55","2021-03-01 16:32:13-03","UNICAMP","UEC","184196","S","Plantae","Magnoliopsida",NA,"Lamiaceae","Mentha","spicata","Mentha spicata","L.",NA,"Santos, H","22/2012","2012","03","30",NA,"Brazil","São Paulo","Paulínia","CPMA, CPQBA, Betel","-47.1500015258789","-22.7600002288818",NA,NA,NA,"30 cm, flor lilás","UEC107410","UEC107410","11851","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
