"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","stateProvince","locality","decimalLongitude","decimalLatitude","county","identifiedBy","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","566167","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","E. Pereira","1962","10","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566167","7191","Magnoliophyta","Rosales","Gaudich.","Rio de Janeiro","Guanabara, Campo Grande, Mendanha",NA,NA,NA,"W. C. Burger","NY00566167_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","2199812","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","J. M. Pires","1947","04","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2330482' target='other'> <mi>dwc_moreinfo</mi></a>","NY02199812","254","Magnoliophyta","Rosales","Gaudich.","Amazonas","Rio Negro: Tapuruquara.","-65.0172","-0.4189",NA,NA,"NY02199812_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","566159","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","B. D. Sucre","1968","08","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566159","3518","Magnoliophyta","Rosales","Gaudich.","Rio de Janeiro","Est. da Guanabara, Restinga do Grumari",NA,NA,NA,"C. C. Berg","NY00566159_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00907207","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","W. W. Thomas","1998","02","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500810' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907207","11787","Magnoliophyta","Rosales","Gaudich.","Bahia","Serra do Teimoso, 7.5 km N of Jussari on road to Palmira, then 2 km W to Fazenda Teimoso, then 45 min. walk W to Reserva da Fazenda Teimoso, Transect Quadrat 3","-39.58","-15.17","Jussari","C. C. Berg","NY00907207_01","300","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","566165","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","J. P. P. Carauta","1968","10","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315745' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566165","650","Magnoliophyta","Rosales","Gaudich.","Rio de Janeiro","Guanabara, Rio de Janeiro, Serra Carioca, perto da Gruta Geonoma","-43.2075","-22.9031","Rio de Janeiro","J. P. P. Carauta","NY00566165_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","566155","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","B. D. Sucre","1968","07","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566155","3399","Magnoliophyta","Rosales","Gaudich.","Rio de Janeiro","Est. da Guanabara, Itapuca",NA,NA,NA,"C. C. Berg","NY00566155_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","869305","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","H. S. Irwin","1964","10","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034192' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869305","6910","Magnoliophyta","Rosales","Gaudich.","Mato Grosso","Vicinity of Barro do Garças. Ca. 45 km N. of Barra do Garças on road to Xavantina","-52.25","-15.88",NA,"C. C. Berg","NY00869305_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","2199801","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","J. L. Zarucchi","1979","10","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2330471' target='other'> <mi>dwc_moreinfo</mi></a>","NY02199801","2698","Magnoliophyta","Rosales","Gaudich.","Rondônia","Mineração Campo Novo (ca 100 km SW of Ariquemes).","-63.616667","-10.566667",NA,NA,"NY02199801_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","869302","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","K. B. Strier","1983","11","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869302","724","Magnoliophyta","Rosales","Gaudich.","Minas Gerais","Atlantic forest, Caratinga. Estação Biologica de Caratinga.","-41.83","-19.67",NA,"C. C. Berg","NY00869302_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","886839","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","J. G. Jardim","1998","02","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886839","1513","Magnoliophyta","Rosales","Gaudich.","Bahia","Rod. Jussari/Palmira. Entrada ca. 7,5 km percorrendo mais 1,7 km até a sede da Faz. Teimoso. Serra do Teimoso. RPPN Serra do Teimoso.","-39.58","-15.17","Jussari","C. C. Berg","NY00886839_01","300","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1113875","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","A. C. Cervi","1994","04","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1251571' target='other'> <mi>dwc_moreinfo</mi></a>","NY01113875","CA7428","Magnoliophyta","Rosales","Gaudich.","Alagoas","Reserva Biológica de Pedra Talhada","-36.42","-9.25","Quebrangulo","C. C. Berg","NY01113875_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","01805926","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","P. Fiaschi","2003","08","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1264067' target='other'> <mi>dwc_moreinfo</mi></a>","NY01805926","1577","Magnoliophyta","Rosales","Gaudich.","Bahia","RPPN Serra do Teimoso. Estrada de Jussari para Palmira, ca. 7,5 km de Jussari, ramal à esquerda. Acesso à Fazenda do Teimoso","-39.5286111","-15.1580556","Jussari","C. C. Berg","NY01805926_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","566170","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","A. M. V. de Carvalho","1994","09","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315725' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566170","4651","Magnoliophyta","Rosales","Gaudich.","Bahia","Mata da Esperança. Entrada a 2 km a partir da antiga ponte do Rio Fundao","-39.06916667","-14.7819444","Ilhéus","C. C. Berg","NY00566170_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","2199787","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","B. Maguire","1963","09","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2330454' target='other'> <mi>dwc_moreinfo</mi></a>","NY02199787","56625","Magnoliophyta","Rosales","Gaudich.","Rondônia","Bananeiras, along Madeira-Mamore Railway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","869295","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","J. Ramos","1967","10",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034104' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869295","53","Magnoliophyta","Rosales","Gaudich.","Mato Grosso","Collected near the base camp of the expedition (c. 270 km N of Xavantina)","-51.87","-12.9",NA,"C. C. Berg","NY00869295_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","566158","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","L. Riedel","1821",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566158","303","Magnoliophyta","Rosales","Gaudich.",NA,"Brasilia",NA,NA,NA,"C. C. Berg","NY00566158_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","03097522","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","P. J. M. Maas","2001","11","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499352' target='other'> <mi>dwc_moreinfo</mi></a>","NY03097522","9271","Magnoliophyta","Rosales","Gaudich.","Acre","Parque Zoobotânico, Universidade Federal do Acre, around HPZ Herbarium","-67.8739","-9.9567","Rio Branco","C. C. Berg","NY03097522_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","869289","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","G. T. Prance","1964","10","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034072' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869289","59449","Magnoliophyta","Rosales","Gaudich.","Mato Grosso","Serra do Roncador. Road Chavantina to Barra do Garcas, 55 km. north of Barra do Garcas","-52.2567","-15.8903","Barra do Garças","C. C. Berg","NY00869289_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","2199797","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","B. A. Krukoff","1934","09","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2330466' target='other'> <mi>dwc_moreinfo</mi></a>","NY02199797","6223","Magnoliophyta","Rosales","Gaudich.","Amazonas","Near Tres Casas","-62.6839542","-6.9876421","Humaitá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","38474","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","J. B. A. Guillemin","1839",NA,NA,"South America","Brazil","sheet",NA,"Collector: 'M. Guillemin' = <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315757' target='other'> <mi>dwc_moreinfo</mi></a>","NY00038474","131","Magnoliophyta","Rosales","Gaudich.",NA,"Brésil Méridional",NA,NA,NA,NA,"NY00038474_01",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","886840","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","P. Fiaschi","2003","10","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064610' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886840","1654","Magnoliophyta","Rosales","Gaudich.","Bahia","Ca. 7.5 km da estrada de Jussari para Palmira, ramal à esq. Acesso para a sede da Fazenda Teimoso. RPPN Serra do Teioso.","-39.5286","-15.1581","Jussari","P. Fiaschi","NY00886840_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","869299","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","R. M. Harley","1968","09","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034169' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869299","10054","Magnoliophyta","Rosales","Gaudich.","Mato Grosso","Base Camp","-51.77","-12.82",NA,"C. C. Berg","NY00869299_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","869310","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","G. O. A. Malme","1894",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034222' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869310","1312","Magnoliophyta","Rosales","Gaudich.","Mato Grosso","Cuyabá","-56.043867","-15.612755","Cuiabá","C. C. Berg","NY00869310_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","818049","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","H. S. Irwin","1968","01","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=856485' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818049","19091","Magnoliophyta","Rosales","Gaudich.","Goiás","60 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","-48.58","-15.48","Cocalzinho de Goiás","C. C. Berg","NY00818049_01","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","566164","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","A. P. Duarte","1962","06","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315751' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566164","6635","Magnoliophyta","Rosales","Gaudich.","Bahia","Entre Ajuda e Porto Seguro","-39.0717334","-16.4673861","Porto Seguro","C. C. Berg","NY00566164_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","2199789","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","C. A. Cid Ferreira","1987","12","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2330456' target='other'> <mi>dwc_moreinfo</mi></a>","NY02199789","9808","Magnoliophyta","Rosales","Gaudich.","Pará","Na estrada que dá acesso aos Campos de Ariramba, próximo á Serra da Preciosa e 3.5 km do rio Jaramacaru","-55.58","-1.17","Óbidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","566166","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","L. Riedel","1823","09",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566166","s.n.","Magnoliophyta","Rosales","Gaudich.","Rio de Janeiro","Mandiocca","-43.0406","-22.6531","Magé","W. C. Burger","NY00566166_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","416463","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","W. W. Thomas","1999","01","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00416463","11854","Magnoliophyta","Rosales","Gaudich.","Bahia","Six km W of Almadina on road to Ibitupã, then 7 km N to the community of Sete Paus at the headwaters of the Rio Almada","-39.7","-14.73","Almadina","C. C. Berg","NY00416463_01","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","869293","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","S. L. M. Moore","1891",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034081' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869293","566","Magnoliophyta","Rosales","Gaudich.",NA,"Iter Matogrossense.",NA,NA,NA,"C. C. Berg","NY00869293_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","869301","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","G. C. G. Argent","1967","10","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034178' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869301","6594","Magnoliophyta","Rosales","Gaudich.","Mato Grosso","Base Camp","-51.77","-12.82",NA,"C. C. Berg","NY00869301_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","95169","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","W. W. Thomas","1994","05","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00095169","10432","Magnoliophyta","Rosales","Gaudich.","Bahia","Uruçuca, Escola Media de Agropecuaria da RegiÔo Cacaueria Reserva Gregório Bondar","-39.2842","-14.6033","Uruçuca","C. C. Berg","NY00095169_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","869309","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","G. C. G. Argent","1967","09","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034218' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869309","6515","Magnoliophyta","Rosales","Gaudich.","Mato Grosso","Xavantina.","-52.23","-14.63",NA,"C. C. Berg","NY00869309_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","869307","PreservedSpecimen","Plantae","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","M. F. Simon","1996","09","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034211' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869307","13","Magnoliophyta","Rosales","Gaudich.","Mato Grosso do Sul","Reserva do Exército. Centro Oeste","-54.725","-18.52","Coxim","M. F. Simon","NY00869307_01","220","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
