"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","803734","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","T. W. Henkel","6002","1994","10","20","South America","Guyana","Potaro-Siparuni",NA,"Pakaraima Mts.; Sukabi River (tributary of Ireng), above Ando Falls.",NA,NA,"800",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813476' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803734","NY00803734_01","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","803720","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","F. C. Lehmann","5004",NA,NA,NA,"South America","Colombia",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813310' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803720","NY00803720_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","803729","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","P. J. Grubb","1103","1960","07","30","South America","Ecuador",NA,NA,"Cerro Artisana. Deep, steep-sided valley, 5 miles NE of Borja.",NA,NA,"1615",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813470' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803729","NY00803729_01","1615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","02058362","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","M. S. Jaimes-Roncancio","159","2013","12","10","South America","Colombia","Antioquia","Urrao","Parque Nacional Natural Las Orquídeas, sector Calles arriba, sitio El Macho, cuenca del río Calles, margen izquierda.","-76.23097","6.52461","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2298702' target='other'> <mi>dwc_moreinfo</mi></a>","NY02058362","NY02058362_01","1750","M. S. Jaimes-Roncancio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","803732","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","F. Prieto","W. H. Camp E-4944","1945","08","20","South America","Ecuador",NA,NA,"Santiago-Zamora. Eastern slopes of the cordillera, valley of the Río Negro, down to the Río Pailas (on the trail to Méndez). Near junction of Ríos Pailas and Negro.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813473' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803732","NY00803732_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1686462","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","F. B. Matos","1375","2007","04","14","South America","Brazil","Bahia","Camacan","RPPN Serra Bonita, 10 km W de Camacan na estrada para Jacarecí. 6 km SW na estrada para a RPPN e Torres de Transmissão. Trilhia que desce ao lado da pousada","-39.5647","-15.3931","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1298363' target='other'> <mi>dwc_moreinfo</mi></a>","NY01686462","NY01686462_01","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","803717","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","H. H. van der Werff","2116","1975","06",NA,"South America","Ecuador","Galápagos","Pinta","On summit.",NA,NA,"671",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813290' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803717","NY00803717_01","671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","803730","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","B. W. Nelson","1371","1985","01","17","South America","Brazil","Amazonas","Careiro","Estrada Manaus/Castanho km. 18, km. 02. da estrada para Lago Puru-puru.","-59.8781356","-3.3162941",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813471' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803730","NY00803730_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","803718","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","A. L. Arbeláez","353","1988","07","11","South America","Colombia","Antioquia","Frontino","Corregimiento de La Blanquitam Región de Murrí, vía Nutibara-La Blanquita, 14.5 km. O de Nutibara, colecciones entre 1-8 kms. S del Alto de Cuevas.","-76.3","6.67","1250",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813306' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803718","NY00803718_01","1750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","803731","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","J. L. Luteyn","14622","1992","05","13","South America","Ecuador","Esmeraldas","San Lorenzo","Road Lita to El Cristal, on fince of Dr. La Lama, 13.5 km. S of Lita.","-78.43","0.82","1220",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813472' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803731","NY00803731_01","1350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","803726","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","C. Bües","1561","1924","06",NA,"South America","Peru","Cusco","La Convención","Sucre",NA,NA,"2438",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813338' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803726","NY00803726_01","2438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","02057724","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","M. A. Sundue","3129","2012","09","02","South America","Colombia","Antioquia","Frontino","Corregimiento Carauta, Parque Nacional Natural Las Orquídeas, camino entre El Guayabo (6°40'48 N, 76°13'48 W) y Tres Bocas (6°38'08 N, 76°13'33 W)","-76.22792","6.65778","1680","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1950867' target='other'> <mi>dwc_moreinfo</mi></a>","NY02057724","NY02057724_01","1750","M. A. Sundue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","807227","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","R. Schmalz","131","1901","11","29","South America","Brazil","Santa Catarina","Joinville",NA,"-48.8456","-26.3044","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797163' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807227",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","803723","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","D. N. Smith","13386","1989","05","25","South America","Bolivia","Santa Cruz","Manuel María Caballero","50 km. an Norte de Mataral (en la carretera Santa Cruz-Comarapa) pasando por San Juan del Potrero y bajando a la cuenca del alto Río Ichilo.",NA,NA,"2000",NA,"Especimenes preservados en alcohol. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813317' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803723",NA,"2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","803733","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","J. A. Steyermark","106232","1972","06","17","South America","Venezuela","Yaracuy",NA,"El Amparo hacia Candelaria, a 7 km. al Norte de Salom.",NA,NA,"1220",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813474' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803733","NY00803733_01","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","807226","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","G. G. Hatschbach","32272","1973","08","08","South America","Brazil","Paraná","Antonina","Cacatu.","-48.746413","-25.311204",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807226",NA,NA,"W. H. Wagner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","803721","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","S. S. Tillett","752-264","1975","02","01","South America","Venezuela","Amazonas",NA,"Estación D11, (al NNO del Savana Hills Camp de Tatez), pequeña sabana de arena cambiando hacia al N en bosque bajo pantanoso, en el centro de un valle ancho rodeado por collinas de valley forest: de unos 20 m. Cerro Duida, inmediatemente al N de La Esmeralda, en el Alto Río Orinoco.","-65.52","3.17","1200",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813313' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803721","NY00803721_01","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","807225","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","F. C. Hoehne","30805","1933","06","27","South America","Brazil","São Paulo",NA,"Jardim Botanico.","-46.618358","-23.646109",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797006' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807225","NY00807225_01",NA,"F. C. Hoehne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","807230","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","S. P. Churchill","18242","1991","05","18","South America","Colombia","Nariño",NA,"Município de Piedrancha, Corregimiento de Chucunés. Reserva Natural La Planada.","-77.9","1.1","1710","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807230","NY00807230_01","1710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","803728","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","J. L. Luteyn","8544","1982","07","01","South America","Ecuador","Napo",NA,"Parque Nacional Yasuní, Añango.","-76.42","-0.5",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813467' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803728","NY00803728_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","02038479","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","M. A. Sundue","3234","2012","09","06","South America","Colombia","Antioquia","Frontino","Corregimiento Carauta, Parque Nacional Natural Las Orquídeas, sector Tres Bocas, cañón del Río Tercero, cerca a la finca la Pradera","-76.22989","6.63406","1740","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1950672' target='other'> <mi>dwc_moreinfo</mi></a>","NY02038479","NY02038479_01","1800","M. A. Sundue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","2240769","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","L. Rossi","636","1990","06","20","South America","Brazil","São Paulo","Iguape","Reserva Ecologica da Jureia, trilha proxima à Cachoeira do Salto","-47.5499992370605","-24.7000007629395",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2668586' target='other'> <mi>dwc_moreinfo</mi></a>","NY02240769","NY02240769_01",NA,NA,"55628","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-02-27 21:09:29-03","PUCPR","HUCP","19240","S","Plantae","Monilofita",NA,"Ophioglossaceae","Cheiroglossa","palmata","Cheiroglossa palmata","(Bittencourt) Presl","Tuleski, T","021",NA,NA,NA,NA,"Brasil","Paraná","Ponta Grossa","Cachoeira da Mariquinha","-50.1618995666504","-25.0949993133545",NA,NA,NA,"HUCP00016281","HUCP00016281",NA,"Tuleski, T","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-02-27 21:09:29-03","PUCPR","HUCP","23228","S","Plantae","Monilofita",NA,"Ophioglossaceae","Cheiroglossa","palmata","Cheiroglossa palmata","(Bittencourt) Presl","Kersten, RA","1535","2011","03","15",NA,"Brasil","Paraná","São José dos Pinhais",NA,"-49.2064018249512","-25.5347003936768",NA,NA,NA,"HUCP00002298","HUCP00002298",NA,"Kersten, RA","45291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-02-27 21:09:29-03","PUCPR","HUCP","18","S","Plantae","Monilofita",NA,"Ophioglossaceae","Cheiroglossa","palmata","Cheiroglossa palmata","(Bittencourt) Presl","Brade, AC","s.n.",NA,NA,NA,NA,"Brasil","Espirito Santo","Castelo","Estrada do Espírito Santo, Braço do Sul. RB-63965, I.d.B.136.","-41.184700012207","-20.6035995483398",NA,NA,NA,"HUCP00016230","HUCP00016230",NA,"Brade, AC","23588","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-02-27 21:09:29-03","PUCPR","HUCP","19881","S","Plantae","Monilofita",NA,"Ophioglossaceae","Cheiroglossa","palmata","Cheiroglossa palmata","(Bittencourt) Presl","Kersten, RA","1351","2009","01","02",NA,"Brasil","Paraná","Antonina","Reserva Natural Morro da Mina","-48.7118988037109","-25.4286003112793",NA,NA,NA,"HUCP00016192","HUCP00016192",NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-02-27 21:09:29-03","PUCPR","HUCP","21568","S","Plantae","Monilofita",NA,"Ophioglossaceae","Cheiroglossa","palmata","Cheiroglossa palmata","(Bittencourt) Presl","Ariati, V; Petean, M","446","2010","07","07",NA,"Brasil","Paraná","Cerro Azul","Rio Ribeira","-49.261100769043","-24.823600769043",NA,NA,NA,"HUCP00016244","HUCP00016244",NA,"Ariati, V","32006","auto","2010","07","07",NA,NA,NA,NA,NA,NA
"38","2020-02-27 21:09:29-03","PUCPR","HUCP","18047","S","Plantae","Monilofita",NA,"Ophioglossaceae","Cheiroglossa","palmata","Cheiroglossa palmata","(Bittencourt) Presl","Hatschbach, GG","s.n.","2006",NA,NA,NA,"Brasil","Paraná","Curitiba","Bairro Alto","-49.2731018066406","-25.4277992248535",NA,NA,NA,"HUCP00016229","HUCP00016229",NA,"Hatschbach, GG","25180","auto","2006","02","10",NA,NA,NA,NA,NA,NA
"39","2020-02-27 21:09:29-03","PUCPR","HUCP","17499","S","Plantae","Monilofita",NA,"Ophioglossaceae","Cheiroglossa","palmata","Cheiroglossa palmata","(Bittencourt) Presl","Kersten, RA","1081","2006","05","31",NA,"Brasil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,NA,"HUCP00016282","HUCP00016282",NA,"Kersten, RA","12577","auto","2006","06","06",NA,NA,NA,NA,NA,NA
"40","2019-10-09 11:26:01-03","UFBA","ALCB","73009","PreservedSpecimen","Plantae","Fern",NA,"Ophioglossaceae","Cheiroglossa","palmata","Cheiroglossa palmata","(L.) C.Presl","Hatschbach, G; Barbosa, E","79550","2006","02","10","Southern America","Brasil","Paraná","Antonina","Bairro Alto","-48.7118988037109","-25.4286003112793",NA,NA,"epífita.; da margem do rio.","ALCB000317","ALCB000317",NA,"Perestrello, F.G.M.","38300","auto","2018","02","21",NA,NA,NA,NA,NA,NA
"41","2020-02-08 10:42:11-03","NBC","NL-BOTANY","U.1023179","PreservedSpecimen","Plantae",NA,"Ophioglossales","Ophioglossaceae","Cheiroglossa","austrobrasiliensis","Cheiroglossa austrobrasiliensis","Brade","Maas PJM; Martinelli G",NA,"1977","10","20","Southern America","Brazil",NA,NA,"Brasiliensis. Hab.: Edo. Rio de JAneiro, Mun. Terezopolis, PArque Naional da Serra dos Orgaos, Rio Beijaflor.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1023179 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1023179","NL-U1023179",NA,NA,NA,NA,NA,NA,NA,"Pteropsida",NA,NA,NA,NA,NA
"42","2020-02-08 10:42:11-03","NBC","NL-BOTANY","U.1023194","PreservedSpecimen","Plantae",NA,"Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","Henkel TW; Williams (Guyana) R; Mutchnick P",NA,"1994","10","20","Southern America","Guyana","Potaro-Siparuni",NA,"Guyana. Potaro-Siparuni Region. Pakaraima Mts; Sukabi R (tributary of Ireng), above Ando Falls.","-60.166667","5.166667",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1023194 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1023194","NL-U1023194",NA,"Lellinger DB; McKee GS",NA,NA,NA,NA,NA,"Pteropsida","-60.166667","5.166667","U 0069269",NA,NA
"43","2020-02-08 10:42:11-03","NBC","NL-BOTANY","L.3579156","PreservedSpecimen","Plantae",NA,"Ophioglossales","Ophioglossaceae","Ophioglossum","palmatum","Ophioglossum palmatum","L.","Ule EHG",NA,"1891","07","01","Southern America","Brazil",NA,NA,"An einem Baumstormme im Woilde bei Uru sanga, Estado de Sta. Catharina.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3579156 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3579156","NL-L3579156",NA,NA,NA,NA,NA,NA,NA,"Pteropsida",NA,NA,NA,NA,NA
"44","2019-08-27 13:34:46-03","IAP","PACA-AGP","75260","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Cheiroglossa","palmata","Cheiroglossa palmata","(L.) C. Presl","Hatschbach, G.","32272","1973","08","08",NA,"Brasil","PR","Antonina","Cacatu","-48.7118988037109","-25.4286003112793",NA,NA,"Museu Botânico Municipal/Curitiba&nf;ASSL 13785 Habitat: planicie litoranea Hábito: epífito Ecossistema: MATA PLUVIAL","PACA075260",NA,NA,"M. Torres","38300","auto","2011","08",NA,"Filicopsida",NA,NA,NA,NA,NA
"45","2019-08-27 13:34:46-03","IAP","PACA-AGP","75266","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Cheiroglossa","palmata","Cheiroglossa palmata","(L.) C. Presl","Hatschbach, G.","20303","1968","11","12",NA,"Brasil","PR","Campina Grande do Sul","Serra Virgem Maria.","-49.0553016662598","-25.3055992126465",NA,NA,"Museu Botânico Municipal/Curitiba&nf;ASSL 10500 Habitat: da mata pluvial sombria na base oriental da serra Hábito: epífito","PACA075266",NA,NA,"M. Torres","55154","auto","2011","08",NA,"Filicopsida",NA,NA,NA,NA,NA
