"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount"
"11","2020-02-08 08:51:54-03","NBC","NL-BOTANY","L.3758263","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Trichocline","macrocephala","Trichocline macrocephala","Less.",NA,"Pedersen TM",NA,"1984","03","01","Southern America","Brazil",NA,NA,"Santa Catarina, mun. Agua Doce: road (Br-153) from Concordia to União da Victoria, some 8 km S of the border of the State pf Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3758263 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3758263","NL-L3758263",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 08:51:54-03","NBC","NL-BOTANY","U.1147786","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Barroso GM","Lindeman JC; Haas JH de",NA,"1967","03","18","Southern America","Brazil","Paraná",NA,"Est. Paraná. Edge of campo near Rio Reserva, upstream of great falls.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1147786 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1147786","NL-U1147786",NA,NA,NA,NA,"Magnoliopsidae","U 0245671",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-07-26 11:39:32-03","IPA","IPA","10578","S","Plantae","Plantae",NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Gehrt","Glasaner, F.","10578","1940","03","12","Southern America","Brasil","São Paulo","São Paulo","Bosque, no campo.","-46.6300010681152","-23.5400009155273",NA,NA,"IPA0010578","IPA0010578",NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-08-27 13:28:01-03","IAP","PACA-AGP","55835","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Trichocline","foliosa","Trichocline foliosa","Hook. & Arn.","Emrich-Rambo","J. Pivetta","465","1954","02","19",NA,"Brasil","RS","Ijuí","Dr. Pestana","-53.9146995544434","-28.3878002166748",NA,"SEM MATERIAL Habitat: in campestribus","PACA055835",NA,NA,NA,"36807","auto","Magnoliatae",NA,"1955","04","08",NA,NA,NA,NA,NA
"15","2019-08-27 13:28:01-03","IAP","PACA-AGP","52013","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Trichocline","foliosa","Trichocline foliosa","Hook. & Arn.","Emrich-Rambo","Rambo, B.",NA,"1952","02","20",NA,"Brasil","RS","São Francisco de Paula","Jaquirana","-50.5835990905762","-29.4480991363525",NA,"SEM MATERIAL Habitat: in campestribus graminosis Fenofase: flor","PACA052013",NA,NA,NA,"76715","auto","Magnoliatae",NA,"1954","07","09",NA,NA,NA,NA,NA
"16","2019-08-27 13:28:01-03","IAP","PACA-AGP","52924","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Trichocline","macrocephala","Trichocline macrocephala","Less.","C. A. Mondin","Rambo, B.",NA,"1952","12","15",NA,"Brasil","RS","Montenegro","Fortaleza","-51.4611015319824","-29.6886005401611",NA,"EM PERIGO Habitat: in campestribus graminosis Fenofase: infl. semievolutis","PACA052924",NA,NA,NA,"21601","auto","Magnoliatae",NA,"1994","02",NA,NA,NA,NA,NA,NA
"17","2019-08-27 13:28:01-03","IAP","PACA-AGP","73433","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Herb. ZSS","U. Eggli e col.","2481","1994","02","05",NA,"Brasil","RS","Quevedos","em direcao da rodovia Boca Picada - 2,5 Km a 0este de Quevedos","-54.0717010498047","-29.3525009155273",NA,"EM PERIGO","PACA073433",NA,NA,NA,"28027","auto","Magnoliatae",NA,"1994",NA,NA,NA,NA,NA,NA,NA
"18","2019-08-27 13:28:01-03","IAP","PACA-AGP","69249","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Trichocline","macrocephala","Trichocline macrocephala","Less.","C. A. Mondin","Sehnem, A.",NA,"1952","02","22",NA,"Brasil","RS",NA,"Passo da Guarda - Rio Pelotas p. Tainhas",NA,NA,NA,"EM PERIGO Habitat: in campo","PACA069249",NA,NA,NA,NA,NA,"Magnoliatae",NA,"1994","02",NA,NA,NA,NA,NA,NA
"19","2019-08-27 13:28:01-03","IAP","PACA-AGP","2348","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Emrich-Rambo","Rambo, B.",NA,"1937","12","28",NA,"Brasil","RS","Cruz Alta",NA,"-53.6063995361328","-28.638599395752",NA,"EM PERIGO Habitat: in aerodromo Fenofase: estéril","PACA002348",NA,NA,NA,"44498","auto","Magnoliatae",NA,"1954","07","09",NA,NA,NA,NA,NA
"20","2019-08-27 13:28:01-03","IAP","PACA-AGP","29805","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Emrich-Rambo","Rambo, B.",NA,"1938","01","21",NA,"Brasil","RS","Cruz Alta",NA,"-53.6063995361328","-28.638599395752",NA,"EM PERIGO Habitat: in aerodromo Fenofase: estéril","PACA029805",NA,NA,NA,"44498","auto","Magnoliatae",NA,"1954","07","09",NA,NA,NA,NA,NA
"21","2019-08-27 13:28:01-03","IAP","PACA-AGP","3629","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Emrich-Rambo","Rau",NA,"1940","01","08",NA,"Brasil","RS","Cruz Alta","Sítio Belisário","-53.6063995361328","-28.638599395752",NA,"EM PERIGO Habitat: in campestribus graminosis Fenofase: flor","PACA003629",NA,NA,NA,"44498","auto","Magnoliatae",NA,"1954","07","09",NA,NA,NA,NA,NA
"22","2019-08-27 13:28:01-03","IAP","PACA-AGP","620","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Emrich-Rambo","Rambo, B.",NA,"1933","07","25",NA,"Brasil","RS","Montenegro","Pareci","-51.4611015319824","-29.6886005401611",NA,"EM PERIGO Habitat: in campestribus siccis graminosis Fenofase: flor","PACA000620",NA,NA,NA,"21601","auto","Magnoliatae",NA,"1954","07","09",NA,NA,NA,NA,NA
"23","2019-08-27 13:28:01-03","IAP","PACA-AGP","9076","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Trichocline","macrocephala","Trichocline macrocephala","Less.","C. A. Mondin","Rambo, B.",NA,"1942","01","25",NA,"Brasil","RS","Tupanciretã","Jari","-53.8358001708984","-29.0806007385254",NA,"EM PERIGO Habitat: in campestribus siccis graminosis Fenofase: flor","PACA009076",NA,NA,NA,"59498","auto","Magnoliatae",NA,"1994","02",NA,NA,NA,NA,NA,NA
"24","2019-08-27 13:28:01-03","IAP","PACA-AGP","9289","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Trichocline","macrocephala","Trichocline macrocephala","Less.","C. A. Mondin","Rambo, B.",NA,"1942","01","26",NA,"Brasil","RS","Tupanciretã","Jari","-53.8358001708984","-29.0806007385254",NA,"EM PERIGO Habitat: in campestribus siccis graminosis Fenofase: flor","PACA009289",NA,NA,NA,"59498","auto","Magnoliatae",NA,"1994","02",NA,NA,NA,NA,NA,NA
"25","2019-08-27 13:28:01-03","IAP","PACA-AGP","35095","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Trichocline","macrocephala","Trichocline macrocephala","Less.","C. A. Mondin","Rambo, B.",NA,"1947","01","13",NA,"Brasil","RS","Vacaria","Faz. da Ronda","-50.9338989257812","-28.5121994018555",NA,"EM PERIGO Habitat: In capestribus saxosis Fenofase: flor","PACA035095",NA,NA,NA,"63451","auto","Magnoliatae",NA,"1994","02",NA,NA,NA,NA,NA,NA
"26","2019-08-27 13:28:01-03","IAP","PACA-AGP","35095.1","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Trichocline","macrocephala","Trichocline macrocephala","Less.","C. A. Mondin","Rambo, B.",NA,"1947","01","13",NA,"Brasil","RS","Vacaria","Fazenda da Ronda","-50.9338989257812","-28.5121994018555",NA,"EM PERIGO Habitat: in campestribus saxosis","PACA035095-1",NA,NA,NA,"63451","auto","Magnoliatae",NA,"1994","02",NA,NA,NA,NA,NA,NA
"27","2019-08-27 13:28:01-03","IAP","PACA-AGP","66965","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Trichocline","macrocephala","Trichocline macrocephala","Less.","A. Cabrera","Reitz, R.","4194","1963","02","03",NA,"Brasil","SC","Lages","Passo do Socorro","-50.326099395752","-27.8160991668701",NA,"EM PERIGO Habitat: in campestribus","PACA066965",NA,NA,NA,"70701","auto","Magnoliatae",NA,"1971",NA,NA,NA,NA,NA,NA,NA
"28","2021-04-07 11:41:36-03","UFMS","CGMS","36769","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.",NA,"L.C.P. Lima; A. Pairet","558","2009","03","05",NA,"Brasil","Rio Grande do Sul","Itaara","Reserva do Ibicuí- Mirim, após o Passo da Rede.","-53.7833333","-29.5391666",NA,"Fruto branco. Brácteas laranjadas. DNA. Coordenadas originais 29°32#?#21,00'S 53°47#?#98,00'W","CGMS1066181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-53,7833333","-29,5391666",NA,NA,NA
"29","2021-03-01 16:25:24-03","UNICAMP","UEC","36511","S","Plantae","Magnoliopsida",NA,"Asteraceae","Trichocline","foliosa","Trichocline foliosa","Hook. & Arn.","Rodrigues, TS","Leitão Filho, HF; et al.","15931","1984","01","28",NA,"Brazil","São Paulo","Itirapina","Cerrado da estação experimental de Itirapina e arredores.","-47.8199996948242","-22.25",NA,"Herbácea com xilopódio, capítulos com flores amarelas.","UEC129284","UEC129284",NA,NA,"22843","auto",NA,NA,"1992","03","17",NA,NA,NA,NA,NA
"30","2020-10-14 09:59:26-03","FURB","FURB","62664","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Funez, L.","Kassner-Filho, A.","4800","2019","02","14",NA,"Brasil","Santa Catarina","São Joaquim","Morro ao lado do cetrejo - centro de treinamento de São Joaquim - Epagri. Morro ao lado do cetrejo - centro de treinamento de São Joaquim - Epagri.","-49.9572222","-28.2627778",NA,"Erva; brácteas vermelhas","FURB62664","FURB62664","1232","1232",NA,NA,NA,NA,"2019","02","14","-49.9572222","-28.2627778",NA,NA,NA
"31","2020-12-09 14:46:33-03","FURB","FURB","63932","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Kassner-Filho, A","Kassner-Filho, A.; Santos, D; Bollmann, G; Althoff, L.F.","4930","2019","03","04",NA,"Brasil","Santa Catarina","Lages","Coxilha Rica.","-50.4","-28.3502778",NA,"Bráceteas vermelhas Habitat: Campo rupestre; Floresta Ombrófila Mista;Estágio Avançado com corte seletivo; Habito: Erva","FURB63932","FURB63932","990","990",NA,NA,NA,NA,"2019","03","04","-50.4000000","-28.3502778",NA,NA,NA
"32","2020-10-14 09:59:26-03","FURB","FURB","41652","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Gaio, J","Gaio, J.; Grizzon, M. & Keil, R.","300","2013","01","05",NA,"Brasil","Rio Grande do Sul","Caxias do Sul","Distrito de Criúva, propriedade da família Hoffmann.","-51.1794013977051","-29.1681003570557",NA,NA,"FURB18708","FURB18708","780","780","49662","auto",NA,NA,"2013","04","05",NA,NA,NA,NA,NA
"33","2021-03-16 17:51:11-03","UCS","HUCS","03891","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Mondin, C.","Sehnem, A.","5834","1952","02","22",NA,"Brasil","Rio Grande do Sul","Passo da Guarda","Rio Pelotas",NA,NA,NA,"Herbario PACA 69249; No campo",NA,NA,NA,NA,NA,NA,NA,NA,"1994","01",NA,NA,NA,NA,NA,NA
"34","2021-03-16 17:51:11-03","UCS","HUCS","39860","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Grizzon, M.","Grizzon, M.","188","2013","02","24",NA,"Brasil","Rio Grande do Sul","São Marcos",NA,"-51.017222","-29.019556",NA,"Em campo aberto",NA,NA,NA,NA,NA,NA,NA,NA,"2013","03","04","-51.017222","-29.019556",NA,NA,NA
"35","2021-03-16 17:51:11-03","UCS","HUCS","40108","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Gaio, J.","Gaio, J.","300","2013","01","05",NA,"Brasil","Rio Grande do Sul","Caxias do Sul","Distrito de Criúva","-51.1794013977051","-29.1681003570557",NA,"propriedade da família Hoffann - em campo nativo",NA,NA,NA,NA,"49662","auto",NA,NA,"2013","04","05",NA,NA,NA,NA,NA
"36","2021-03-16 17:51:11-03","UCS","HUCS","25824","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Robinson, H.","Borges, C.","s.n.","2005","03","15",NA,"Brasil","Rio Grande do Sul","Bom Jesus","Fazenda do Cilho","-50.4166984558105","-28.6678009033203",NA,"No campo",NA,NA,NA,NA,"55856","auto",NA,NA,"2005","07",NA,NA,NA,NA,NA,NA
"37","2021-03-16 17:51:11-03","UCS","HUCS","13108","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Robinson, H.","Rossato, M.","43","1999","02","25",NA,"Brasil","Rio Grande do Sul","Jaquirana","Fazenda Rodeio Velho","-50.3577995300293","-28.8847007751465",NA,"No campo",NA,NA,NA,NA,"31282","auto",NA,NA,"1999","05",NA,NA,NA,NA,NA,NA
"38","2020-11-20 18:12:47-03","UFSM","SMDB","15735","S","Plantae",NA,NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Schaefer, J","Schaefer, J","377","2015","03","01",NA,"Brasil","Rio Grande do Sul","Passa Sete","Campo do Sobradinho","-52.9613990783691","-29.4533004760742",NA,"Coletada na beira de uma estrada de chão. Espécie ameaçada de extinção","SMDB015735",NA,NA,NA,"21578","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-11-25 12:11:39-03","UFSM","SMDB","18204","S","Plantae",NA,NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Essi, L","Essi, L; Freitas, JMB; Büneker, H","1057","2017","01","17",NA,"Brasil","Rio Grande do Sul","São Martinho da Serra",NA,"-53.8546981811523","-29.5377998352051",NA,"Erva com flores de lígulas vermelhas. Em campo pedregoso e íngreme","SMDB018204",NA,NA,NA,"24165","auto",NA,NA,"2017","01","18",NA,NA,NA,NA,NA
"40","2020-12-21 16:17:31-03","MBM","MBM","16612","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.",NA,"Maruñak, V.","116","1970","02","17","Southern America","Argentina",NA,NA,NA,NA,NA,NA,NA,"MBM016612","MBM016612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-12-21 16:17:31-03","MBM","MBM","9434","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Zardini, E.M.","Hatschbach, G.","21010","1969","02","07","Southern America","Brazil","Paraná","Guarapuava","Fazenda Campo Real","-51.4580993652344","-25.395299911499",NA,NA,"MBM009434","MBM009434",NA,NA,"53832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-12-21 16:17:31-03","MBM","MBM","8092","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.",NA,"Lindeman, J.; Haas, H.; Haas, H.","4993","1967","03","18","Southern America","Brazil","Paraná","Laranjeiras do Sul","Rio Reserva","-52.4160995483398","-25.4078006744385",NA,NA,"MBM008092","MBM008092",NA,NA,"28404","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-12-21 16:17:31-03","MBM","MBM","190043","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Hatschbach, G.","Poliquesi, C.B.; Cordeiro, J.; Ribas, O.S.; Cordeiro, J.; Ribas, O.S.","491","1996","02","12","Southern America","Brazil","Santa Catarina","Campos Novos","Rod. BR-470, km 354","-51.2249984741211","-27.4016990661621",NA,NA,"MBM190043","MBM190043",NA,NA,"43319","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-12-21 16:17:31-03","MBM","MBM","42534","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Cabrera, A.L.","Hatschbach, G.","9718","1963","02","16","Southern America","Brazil","Santa Catarina","Lages","Fazenda Campo Real","-50.326099395752","-27.8160991668701",NA,NA,"MBM042534","MBM042534",NA,NA,"70701","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-12-21 16:17:31-03","MBM","MBM","327459","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Hatschbach, G.","Ribas, O.S.; Hatschbach, G.; Hatschbach, G.","7557","2007","02","13","Southern America","Brazil","Santa Catarina","Urubici","Rodovia Urubici-Bom Jesus","-49.5917015075684","-28.0149993896484",NA,"Lígulas vermelhas. Campo limpo.Unicata","MBM327459","MBM327459",NA,NA,"30102","auto",NA,NA,"2007",NA,NA,NA,NA,NA,NA,NA
"46","2020-12-21 16:17:31-03","MBM","MBM","73554","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Hatschbach, G.","Kummrow, R.; et al.; et al.","1794","1982","02","22","Southern America","Brazil","Paraná","Guarapuava","Guarapuava, 28km O","-51.4580993652344","-25.395299911499",NA,NA,"MBM073554","MBM073554",NA,NA,"53832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-12-21 16:17:31-03","MBM","MBM","220623","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Hatschbach, G.","Barboza, E.; Hatschbach, G.; Ribas, O.S.; Hatschbach, G.; Ribas, O.S.","109","1998","01","22","Southern America","Brazil","Paraná","Guarapuava","Rod. BR-277, 3km O de Guarapuava","-51.4580993652344","-25.395299911499",NA,"Lígulas vermelho, zarcão. Campo limpo, seco","MBM220623","MBM220623",NA,NA,"53832","auto",NA,NA,"1998",NA,NA,NA,NA,NA,NA,NA
"48","2020-12-21 16:17:31-03","MBM","MBM","388455","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Gaio, J.","Gaio, J.; Grizzon, M.; Keil, R.; Grizzon, M.; Keil, R.","300","2013","01","05","Southern America","Brazil","Rio Grande do Sul","Caxias do Sul","Criúva, Propriedade da família Hoffmann","-51.1794013977051","-29.1681003570557",NA,"Campo nativo.","MBM388455","MBM388455","780","780","49662","auto",NA,NA,"2013","04","05",NA,NA,NA,NA,NA
"49","2020-12-21 16:17:31-03","MBM","MBM","236441","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Robinson, H.","Rossato, M.; Wasum, R.; Wasum, R.","43","1999","02","25","Southern America","Brazil","Rio Grande do Sul","Jaquirana","Fazenda Rodeio Velho","-50.3577995300293","-28.8847007751465",NA,"No campo","MBM236441","MBM236441","1000","1000","31282","auto",NA,NA,"1999","05",NA,NA,NA,NA,NA,NA
"50","2020-12-21 16:17:31-03","MBM","MBM","51150","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Cabrera, A.L.","Reitz, R.","4194","1963","02","03","Southern America","Brazil","Santa Catarina","Lages","Passo do Socorro","-50.326099395752","-27.8160991668701",NA,NA,"MBM051150","MBM051150",NA,NA,"70701","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2015-09-04 06:12:15-03","MNHN","RECOLNAT_MNHN_P","P00455375","PreservedSpecimen",NA,NA,NA,"Asteraceae","Trichocline","macrocephala","Trichocline macrocephala","Less.","Cabrera","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00455375' target='other'> <mi>dwc_moreinfo</mi></a>","P00455375","P00455375_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2 2742",NA,NA
