"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","typeStatus","infraspecificEpithet"
"11","2020-11-04 12:17:40-03","ESALQ","ESA","117186","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla",NA,"V.C.Souza","Romão, G.O.; Souza, V.C.; Latvis, M.; Gissi, D.S.; Santinati, M.A.","2484.0","2010","04","01",NA,"Brasil","Minas Gerais","Estrada para Milho Verde, cerca de 20 km de Diamantina. Campo rupestre","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Subarbusto, 30-60 cm alt.; corola rósea. Campo alagável.","ESA117186","ESA117186","Diamantina","2010",NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 12:17:40-03","ESALQ","ESA","78096","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Souza, V.C.; Romão, G.O.; Sampaio, D.; Araújo, A.O.; Elias, S.I.","28598.0","2002","02","28",NA,"Brasil","Minas Gerais","Serra do Cipó. Rodovia Belo Horizonte - Conceição do Mato Dentro, km 119. Fazenda Cachoeira da Capivara. Campo rupestre com campo arenoso adjacente.","-43.7144012451172","-19.1688995361328","1300","1300",NA,"Subarbusto, ca. 30 cm alt.; corola rósea. Campo arenoso.","ESA078096","ESA078096","Santana do Riacho","2002","01","26557","auto","01","-43,544,722","-19,249,444",NA,NA,NA,NA,NA
"13","2020-11-04 12:17:40-03","ESALQ","ESA","73403","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.","25152.0","2001","07","05",NA,"Brasil","Minas Gerais","Serra do Cipó. Fazenda Cachoeira da Capivara. Campo rupestre.","-43.545","-192.492",NA,NA,NA,"Subarbusto, ca. 30 cm alt.; frutos castanhos. Campo arenoso. Voucher de estudo sobre filogenia.","ESA073403","ESA073403","Santana do Riacho",NA,NA,NA,NA,NA,"-43,545","-192,492",NA,NA,NA,NA,NA
"14","2020-11-04 12:17:40-03","ESALQ","ESA","107671","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla",NA,"Souza, V.C.","Valente, G.E.","2492.0","2009","04","03",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"ESA107671","ESA107671","Serra do Cipó","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 12:17:40-03","ESALQ","ESA","46446","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Furlan, A. et al.",NA,"1982","04","23",NA,"Brasil","Minas Gerais",NA,"-43.6814002990723","-18.8071994781494",NA,NA,NA,NA,"ESA046446","ESA046446","Congonhas do Norte",NA,NA,"30386","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 12:17:40-03","ESALQ","ESA","46450","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Rossi, L. et al.",NA,"1982","04","11",NA,"Brasil","Minas Gerais",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"ESA046450","ESA046450","Diamantina",NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 12:17:40-03","ESALQ","ESA","46456","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Elias, S.I.","Menezes, N.L. et al.",NA,"1986","01","28",NA,"Brasil","Minas Gerais",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"ESA046456","ESA046456","Diamantina",NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 12:17:40-03","ESALQ","ESA","46457","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Giulietti, A.M. et al.",NA,"1981","10","30",NA,"Brasil","Minas Gerais",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"ESA046457","ESA046457","Diamantina",NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 12:17:40-03","ESALQ","ESA","46449","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Rossi, L. et al.",NA,"1982","04","09",NA,"Brasil","Minas Gerais",NA,"-43.7407989501953","-18.4543991088867",NA,NA,NA,NA,"ESA046449",NA,"Gouveia",NA,NA,"37970","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 12:17:40-03","ESALQ","ESA","48339","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Elias, S.I.","Joly, A.B. ; Semir, J.",NA,"1972","11","02",NA,"Brasil","Minas Gerais",NA,"-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"ESA048339","ESA048339","Jaboticatubas",NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-11-04 12:17:40-03","ESALQ","ESA","48338","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Joly, A.B. et al.",NA,"1972","03","06",NA,"Brasil","Minas Gerais",NA,"-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"ESA048338","ESA048338","Jaboticatubas",NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-04 12:17:40-03","ESALQ","ESA","48340","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Elias, S.I.","Joly, A.B. et al.",NA,"1972","03","06",NA,"Brasil","Minas Gerais",NA,"-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"ESA048340","ESA048340","Jaboticatubas",NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 12:17:40-03","ESALQ","ESA","46452","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Rossi, L. et al.",NA,"1981","04","17",NA,"Brasil","Minas Gerais",NA,"-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,"ESA046452","ESA046452","Joaquim Felício",NA,NA,"37503","auto",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 12:17:40-03","ESALQ","ESA","46455","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Stannard, B. et al.",NA,"1984","11","22",NA,"Brasil","Minas Gerais",NA,"-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,"ESA046455","ESA046455","Joaquim Felício",NA,NA,"37503","auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-04 12:17:40-03","ESALQ","ESA","15424","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Moura, L.S. et al.",NA,"1983","04","01",NA,"Brasil","Minas Gerais",NA,"-43.8897018432617","-19.6271991729736",NA,NA,NA,NA,"ESA015424","ESA015424","Lagoa Santa",NA,NA,"12338","auto",NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-04 12:17:40-03","ESALQ","ESA","68402","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Bidgood, S.","Stannard, B. et al.",NA,"1984","11","14",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA068402","ESA068402","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-04 12:17:40-03","ESALQ","ESA","61683","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Elias, S.I. et al.","360.0","1999","05","22",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA061683","ESA061683","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-04 12:17:40-03","ESALQ","ESA","46437","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Souza, V.C. ; Menezes, N.L.",NA,"1989","10","13",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA046437","ESA046437","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-11-04 12:17:40-03","ESALQ","ESA","46438","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Cavalcanti, T.B. et al.",NA,"1985","10","31",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA046438","ESA046438","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-11-04 12:17:40-03","ESALQ","ESA","46447","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Menezes, N.L. et al.",NA,"1983","11","05",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA046447","ESA046447_1 ESA046447_2","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-11-04 12:17:40-03","ESALQ","ESA","46435","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Souza, V.C. et al.",NA,"1985","12","14",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA046435","ESA046435","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-04 12:17:40-03","ESALQ","ESA","46448","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Menezes, N.L. et al.",NA,"1979","12","18",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA046448","ESA046448","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-11-04 12:17:40-03","ESALQ","ESA","46442","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Cordeiro, I. et al.",NA,"1981","11","05",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA046442","ESA046442","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-11-04 12:17:40-03","ESALQ","ESA","46439","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Daniel, T.F. ; Hensold, N.","2300.0","1982","02","14",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA046439","ESA046439","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-11-04 12:17:40-03","ESALQ","ESA","46445","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Oliveira, J.D.P. et al.",NA,"1982","10","23",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA046445","ESA046445","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-11-04 12:17:40-03","ESALQ","ESA","46441","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Souza, V.C. et al.",NA,"1989","10","14",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA046441","ESA046441","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-11-04 12:17:40-03","ESALQ","ESA","31568","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Souza, V.C. et al.","1497.0","1990","05","15",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA031568","ESA031568","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-04 12:17:40-03","ESALQ","ESA","19141","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Souza, V.C. et al.","8199.0","1995","03","10",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA019141","ESA019141","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-04 12:17:40-03","ESALQ","ESA","46454","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Zappi, D.C. et al.",NA,"1983","11","05",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA046454","ESA046454","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-11-04 12:17:40-03","ESALQ","ESA","19269","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Souza, V.C. et al.","8203.0","1995","03","10",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA019269","ESA019269","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-11-04 12:17:40-03","ESALQ","ESA","46434","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Souza, V.C. et al.",NA,"1985","12","13",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA046434","ESA046434","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-11-04 12:17:40-03","ESALQ","ESA","46436","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Stannard, B. et al.",NA,"1984","11","14",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA046436","ESA046436","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-11-04 12:17:40-03","ESALQ","ESA","9911","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Souza, V.C. ; Sakuragui, C.M.","3336.0","1993","05","01",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA009911","ESA009911","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-11-04 12:17:40-03","ESALQ","ESA","46440","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Menezes, N.L. et al.",NA,"1988","03","26",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA046440","ESA046440","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-11-04 12:17:40-03","ESALQ","ESA","46433","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Zappi, D.C. et al.",NA,"1987","11","26",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA046433","ESA046433","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-11-04 12:17:40-03","ESALQ","ESA","46443","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Menezes, N.L.",NA,"1975","10","08",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA046443","ESA046443","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-11-04 12:17:40-03","ESALQ","ESA","46453","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Elias, S.I.","Sano, P.T. et al.","519.0","1997","10","20",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA046453","ESA046453","Santana do Riacho",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-11-04 12:17:40-03","ESALQ","ESA","82725","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Hatschbach, G. et al.","72076.0","2001","05","15",NA,"Brasil","Minas Gerais","Serra do Cabral","-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,"ESA082725","ESA082725","Joaquim Felício",NA,NA,"37503","auto",NA,NA,NA,NA,NA,NA,NA,NA
"49","2020-11-04 12:17:40-03","ESALQ","ESA","83336","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Agalinis","brachyphylla","Agalinis brachyphylla","(Cham. & Schltdl.) D'Arcy","Souza, V.C.","Hatschbach, G. et al.","73738.0","2002","08","23",NA,"Brasil","Minas Gerais","Serra do Cabral","-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,"ESA083336","ESA083336","Joaquim Felício",NA,NA,"37503","auto",NA,NA,NA,NA,NA,NA,NA,NA
