"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","county","decimalLongitude","decimalLatitude","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"11","2019-10-09 11:12:27-03","UFBA","ALCB","130080","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Weed.) Miq.","Guedes, ML","Guedes, ML; Araújo, F; Alunos de Botânica BIOC05","25953","2017","11","18","Southern America","Brasil","Bahia","Paraguaçu, Caminho fazenda Santa Cruz.",NA,NA,NA,"espinescente. Folhas membranáceas, discolores, quando jovens , face abaxial com indumentos ferrugíneos. Inflorescência axilares, flores esverdeadas.","ALCB045917","Lajedinho","-40.9","-12.35","ALCB045917","2017","12",NA,NA,NA,"-40.9","-12.35",NA,NA,NA,NA,NA
"12","2019-10-09 11:12:27-03","UFBA","ALCB","55344","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Weed.) Miq.",NA,"Bautista, HP; Jesus, NG de; Ribeiro, T; Tourinho, R","3045","2001","04","06","Southern America","Brasil","Bahia","Piemonte da Diamantina, Estrada Miguel Calmon/ Cabaceiras, a 16 Km de Miguel Calmon. Na margem do riacho","620","620",NA,"3,0 m. Ramos longos, flexuosos, com acúleos. Folhas com 3 nervuras. Flores diminutas alvas. Frutos imaturos de cor verde.; Latossolo, textura arenosa.","ALCB034889","Miguel Calmon","-40.564444","-11.359167","ALCB034889","2008","07",NA,NA,NA,"-40.564444","-11.359167",NA,NA,NA,NA,NA
"13","2019-10-09 11:12:27-03","UFBA","ALCB","58371","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Weed.) Miq.",NA,"França, F; Melo, E; Correia, C; Oliveira, RP de","1869","1996","09","29","Southern America","Brasil","Bahia","Recôncavo Sul, Morro do Agenor","270","270",NA,"Piedmont arbustivo-arbóreo. Ramos escandentes espinosos. Flor feminina com ovário verde e estilete e estigmas verde-claro.","ALCB034887","Itatim","-39.766667","-12.7","ALCB034887","2008","07",NA,NA,NA,"-39.766667","-12.7",NA,NA,NA,NA,NA
"14","2019-11-25 16:50:26-03","UFBA","ALCB","82511","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Weed.) Miq.","Machado, AFP","Guedes, ML; Oliveira, MAJ de; Santana, FA","14507","2007","11","17","Southern America","Brasil","Bahia","Médio São Francisco, Barra Pau d'arco Lagoa do Canto",NA,NA,NA,"de 5 a 6 m de altura. Folhas membranáceas, discolores. Flores em botões, esverdeados. Frutos imaturos verdes. Ocasional.","ALCB034888","Barra","-43.133333","-11.083333","ALCB034888","2009","07","17",NA,NA,"-43.133333","-11.083333",NA,NA,NA,NA,NA
"15","2020-02-08 10:26:32-03","NBC","NL-BOTANY","L.4209789","PreservedSpecimen","Plantae",NA,"Rosales","Ulmaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.",NA,"Pendry CA; Pennington RT",NA,"1999","03","30","Southern America","Bolivia",NA,"Bolivia: Santa Cruz: Florida: on road from Samaipata to Camarapa, just past the road to Pampa Grande.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4209789 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4209789",NA,"-64.133333","-18.083333","NL-L4209789",NA,NA,NA,NA,NA,"-64.133333","-18.083333","Magnoliopsidae",NA,NA,NA,NA
"16","2020-02-08 10:26:32-03","NBC","NL-BOTANY","U.1197325","PreservedSpecimen","Plantae",NA,"Rosales","Ulmaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.",NA,"Rodriguez",NA,"1911","12","24","Southern America","Argentina",NA,"Provincia: Tucuman. Tapia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1197325 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1197325",NA,NA,NA,"NL-U1197325",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"17","2020-02-08 10:26:32-03","NBC","NL-BOTANY","U.1197350","PreservedSpecimen","Plantae",NA,"Rosales","Ulmaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.",NA,"Solomon JC",NA,"1985","11","14","Southern America","Bolivia",NA,"Beni: Bolivian: Estancia. El Porvenir: 50 km E of the Rio Maniqui (San Borja) on road to Trinidad. Vicinity of Laguna Normandia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1197350 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1197350",NA,"-66.416667","-14.816667","NL-U1197350",NA,NA,NA,NA,NA,"-66.416667","-14.816667","Magnoliopsidae",NA,NA,NA,NA
"18","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0049722","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Ulmaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.",NA,"M. M. Sosa; R. E. Pelozo, R. O. Maidana, V. Mambrín","177","2005","3","29",NA,"Argentina","Corrientes","Dep. San Cosme. Santa Ana, cercano a Ingenio Primer Correntino",NA,NA,NA,NA,NA,NA,"-58.653526","-27.455011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0049721","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Ulmaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","W. A. Medina","G. Rotta","366","2006","12","19",NA,"Argentina","Santa Fe","Las Toscas, Piracuacito.","3",NA,NA,"Arbol 3 m alt.",NA,NA,"-59.1","-28.166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-21 14:33:15-03","UFJF","CESJ","51021","PreservedSpecimen","Plantae","Angiosperma",NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Pieszko","M.S. Ferrucci; M. Dematteis; M.M. Sosa; G.Pieszko; N. Loizaga Castro; A. Vega; V. Mambrin","2133","2004","10",NA,"América do Sul","Argentina","Corrientes","Parque Nacional Mburucuyá.",NA,NA,NA,"Borde de camino, isleta de selva. Arbol de 2,5 m alt. Flores verdosas, ramas del estigma blancas. Frutos anaranjados","CESJ051021","Mburucuyá",NA,NA,NA,"2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-08-20 10:27:24-03","UNICAMP","UEC","181091","S","Plantae","Magnoliopsida",NA,"Ulmaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.",NA,"Demaio, P; Amarilla, L","421","2013","03","11",NA,"Argentina","Santiago del Estero","Sierra de Guasayán.",NA,NA,NA,NA,"UEC058907","Guasayán","-64.835278","-28.239722","UEC058907",NA,NA,NA,NA,NA,"-64.835278","-28.239722",NA,NA,NA,NA,NA
"22","2020-06-29 09:29:58-03","UFRRJ","RBR","12755","S","Plantae",NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.",NA,"L.F.T. Menezes","972","2002","06","20",NA,"Brasil","Rio de Janeiro","Restinga da Marambaia, Campo de provas da marambaia.",NA,NA,NA,NA,"RBR00012755","Mangaratiba","-44.040599822998","-22.9596996307373",NA,NA,NA,NA,"17272","auto",NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:20:02-03","MBM","MBM","302970","PreservedSpecimen","Plantae",NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Weed.) Miq.","Nee, M.","Mendoza, M.; Calzadilla, E.; Calzadilla, E.","779","2004","01","11","Southern America","Bolivia","Santa Cruz","Jardín Botánico de Pulquina","1557","1557",NA,NA,"MBM302970","J.M. Caballero","-64.408333","-18.069444","MBM302970","2004",NA,NA,NA,NA,"-64.408333","-18.069444",NA,NA,NA,NA,NA
"24","2015-09-05 11:51:30-03","MNHN","RECOLNAT_MNHN_P","P06782007","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Mogni","Boelcke, O.",NA,"1977","8","25",NA,"Argentina",NA,"Corrientes: dpto. San Cosme. Paso de la Patria. Argentina, América do Sul",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06782007' target='other'> <mi>dwc_moreinfo</mi></a>","P06782007",NA,NA,NA,"P06782007_01",NA,NA,NA,NA,NA,NA,NA,NA,"16625",NA,NA,NA
"25","2015-09-05 11:52:07-03","MNHN","RECOLNAT_MNHN_P","P06782155","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Mogni","Mandon",NA,"1860","3","1",NA,"Bolívia",NA,"Prop Sorata, San Pedro. Bolívia","2600",NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06782155' target='other'> <mi>dwc_moreinfo</mi></a>","P06782155",NA,NA,NA,"P06782155_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2015-09-21 13:57:27-03","MNHN","RECOLNAT_MNHN_P","P00089374","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.",NA,"Weddell, H.A.",NA,"1845","11","1",NA,"Bolivie",NA,"Prov. de la Cordillera.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00089374' target='other'> <mi>dwc_moreinfo</mi></a>","P00089374",NA,NA,NA,"P00089374_01",NA,NA,NA,NA,NA,NA,NA,NA,"3610",NA,NA,NA
"27","2015-09-21 13:57:40-03","MNHN","RECOLNAT_MNHN_P","P00089375","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.",NA,"Weddell, H.A.",NA,"1845","11","1",NA,"Bolivie",NA,"Prov. de la Cordillera.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00089375' target='other'> <mi>dwc_moreinfo</mi></a>","P00089375",NA,NA,NA,"P00089375_01",NA,NA,NA,NA,NA,NA,NA,NA,"3610",NA,NA,NA
"28","2015-09-29 04:03:56-03","MNHN","RECOLNAT_MNHN_P","P00089376","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.",NA,"Weddell, H.A.",NA,"1845","11","1",NA,"Bolivie",NA,"Prov. de la Cordillera.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00089376' target='other'> <mi>dwc_moreinfo</mi></a>","P00089376",NA,NA,NA,"P00089376_01",NA,NA,NA,NA,NA,NA,NA,NA,"3610",NA,NA,NA
"29","2015-09-05 11:54:00-03","MNHN","RECOLNAT_MNHN_P","P06780974","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Mogni","Zardini, E.|Aquino, P.",NA,"1992","11","18",NA,"Paraguai",NA,"Central. Estero del Ypoá. Villeta - Puerto Guyrati. 8km S of Villeta. Paraguai",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06780974' target='other'> <mi>dwc_moreinfo</mi></a>","P06780974",NA,"-57.55","-25.58333","P06780974_01",NA,NA,NA,NA,NA,NA,NA,NA,"33622",NA,NA,NA
"30","2018-04-27 18:05:04-03","MNHN","RECOLNAT_MNHN_P","P06781993","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Mogni",NA,NA,NA,NA,NA,NA,"[Bresil]",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06781993' target='other'> <mi>dwc_moreinfo</mi></a>","P06781993",NA,NA,NA,"P06781993_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2015-09-05 11:51:29-03","MNHN","RECOLNAT_MNHN_P","P06781994","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Mogni","Richard",NA,NA,NA,NA,NA,"Brasil",NA,"Brésil. Brasil, América do Sul",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06781994' target='other'> <mi>dwc_moreinfo</mi></a>","P06781994",NA,NA,NA,"P06781994_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2017-05-18 11:16:56-03","MNHN","RECOLNAT_MNHN_P","P06806210","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Mogni","Nee, M.",NA,"1988","2","13",NA,"Bolívia",NA,"Septo. Santa Cruz, Prov Andrés Ibánez, 12km E of center of Santa Cruz, on road to Cotoca. Bolívia","375",NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06806210' target='other'> <mi>dwc_moreinfo</mi></a>","P06806210",NA,"-63.06667","-17.76667","P06806210_01",NA,NA,NA,NA,NA,NA,NA,NA,"36289",NA,NA,NA
"33","2018-04-27 17:05:01-03","MNHN","RECOLNAT_MNHN_P","P06884672","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Mogni","Courbon",NA,"1856","1","1",NA,"Uruguai",NA,"Montévideo (Plata) - St. Gabriel. Uruguai",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06884672' target='other'> <mi>dwc_moreinfo</mi></a>","P06884672",NA,NA,NA,"P06884672_01",NA,NA,NA,NA,NA,NA,NA,NA,"79",NA,NA,NA
"34","2018-04-27 16:30:31-03","MNHN","RECOLNAT_MNHN_P","P06884673","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Mogni","Courbon",NA,"1854","3","10",NA,"Uruguai",NA,"Montevideo. Uruguai",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06884673' target='other'> <mi>dwc_moreinfo</mi></a>","P06884673",NA,NA,NA,"P06884673_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2018-04-27 16:19:19-03","MNHN","RECOLNAT_MNHN_P","P06884675","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Mogni","[Andre]",NA,NA,NA,NA,NA,"Paraguai",NA,". Paraguai",NA,NA,"hb","Plantes du Paraguay. s.d. Donné par M. Drake. Reçu le 22 octobre 1897. Yacu iba <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06884675' target='other'> <mi>dwc_moreinfo</mi></a>","P06884675",NA,NA,NA,"P06884675_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2015-09-05 11:53:29-03","MNHN","RECOLNAT_MNHN_P","P06884679","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Mogni","Rodríguez",NA,"1911","11","12",NA,"Argentina",NA,"Prov de Salta, Orán, rio Piedras. Argentina, América do Sul",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06884679' target='other'> <mi>dwc_moreinfo</mi></a>","P06884679",NA,NA,NA,"P06884679_01",NA,NA,NA,NA,NA,NA,NA,NA,"70",NA,NA,NA
"37","2018-04-27 16:30:31-03","MNHN","RECOLNAT_MNHN_P","P06884680","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Mogni","Pedersen, T.M.",NA,"1950","10","11",NA,"Argentina",NA,"Estancia Santa Teresa. Dep. Mburucuyá. Prov. Corrientes. Argentina, América do Sul",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06884680' target='other'> <mi>dwc_moreinfo</mi></a>","P06884680",NA,NA,NA,"P06884680_01",NA,NA,NA,NA,NA,NA,NA,NA,"763",NA,NA,NA
"38","2015-09-05 11:56:35-03","MNHN","RECOLNAT_MNHN_P","P06884728","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Mogni","Lourteig, A.|Schinini, A.|Maruñak, V.",NA,"1973","11","17",NA,"Argentina",NA,"Prov. Corrientes, Dep. Bella Vista, Ruta 23 y río Santa Lucía. Argentina, América do Sul",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06884728' target='other'> <mi>dwc_moreinfo</mi></a>","P06884728",NA,NA,NA,"P06884728_01",NA,NA,NA,NA,NA,NA,NA,NA,"2682",NA,NA,NA
"39","2018-04-27 16:47:26-03","MNHN","RECOLNAT_MNHN_P","P06884731","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Mogni","Blanchet",NA,NA,NA,NA,NA,"Brésil","Bahia","s.l.",NA,NA,"hb",". s.d. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06884731' target='other'> <mi>dwc_moreinfo</mi></a>","P06884731",NA,NA,NA,"P06884731_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2018-04-27 17:05:01-03","MNHN","RECOLNAT_MNHN_P","P06885292","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Mogni","Pedersen, T.M.",NA,"1962","10","3",NA,"Argentina",NA,"Argentina. Estancia Las Tres Marias, Dep. Empedrado, Prov. Corrientes. Argentina, América do Sul",NA,NA,"hb","Plantae Argentinenses. . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06885292' target='other'> <mi>dwc_moreinfo</mi></a>","P06885292",NA,NA,NA,"P06885292_01",NA,NA,NA,NA,NA,NA,NA,NA,"6606",NA,NA,NA
"41","2018-04-27 17:05:01-03","MNHN","RECOLNAT_MNHN_P","P06885293","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Mogni","Pedersen, T.M.",NA,"1952","8","10",NA,"Argentina",NA,"Estancia Santa Maria; Dep. Mburucuyá; Prov. Corrientes. Argentina, América do Sul",NA,NA,"hb","Plants of Argentina. . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06885293' target='other'> <mi>dwc_moreinfo</mi></a>","P06885293",NA,NA,NA,"P06885293_01",NA,NA,NA,NA,NA,NA,NA,NA,"1793",NA,NA,NA
"42","2015-09-05 11:55:17-03","MNHN","RECOLNAT_MNHN_P","P06885294","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Mogni","Cabrera, A.L.|Corte, A.",NA,"1950","11","1",NA,"Uruguai",NA,"Uruguay. Dep. Colonia, Riachuelo. Uruguai",NA,NA,"hb","Flora Uruguaya. . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06885294' target='other'> <mi>dwc_moreinfo</mi></a>","P06885294",NA,NA,NA,"P06885294_01",NA,NA,NA,NA,NA,NA,NA,NA,"9549",NA,NA,NA
"43","2018-04-27 17:05:01-03","MNHN","RECOLNAT_MNHN_P","P06782006","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Mogni","Rambo, B.",NA,"1932","10","13",NA,"Brasil","Rio Grande do Sul","Brésil, Etat du Rio Grande do Sul. Porto Alegre, Rio Grande do Sul, Sul, Brasil, América do Sul",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06782006' target='other'> <mi>dwc_moreinfo</mi></a>","P06782006","Porto Alegre","-51.2299995422363","-30.0331001281738","P06782006_01",NA,NA,NA,"29946","auto",NA,NA,NA,NA,NA,NA,NA
"44","2015-09-05 11:56:35-03","MNHN","RECOLNAT_MNHN_P","P06884732","PreservedSpecimen",NA,NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","Mogni","Hatschbach, G.",NA,"1966","10","15",NA,"Brasil","Paraná",". São João do Triunfo, Paraná, Sul, Brasil, América do Sul",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06884732' target='other'> <mi>dwc_moreinfo</mi></a>","P06884732","São João do Triunfo","-50.2971992492676","-25.6833000183105","P06884732_01",NA,NA,NA,"20512","auto",NA,NA,NA,"14866",NA,NA,NA
"45","2012-09-28 16:19:00-03","MO","MOBOT","3080577","PreservedSpecimen","Plantae",NA,NA,"Cannabaceae","Celtis","chichape","Celtis chichape","(Wedd.) Miq.","S.V. Dahlberg & C.C. Berg","Aurelio Schinini|Eugenia Bordas","Schinini Cacace 14890","1978","4",NA,"South America","Paraguay","Alto Paraguay","Mayor Pedro Lagerenza. Selva rivereña del rio Timane.",NA,NA,NA,NA,NA,NA,"-60.75","-20.0833333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
