"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","dayIdentified","class","typeStatus","fieldNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem","previousCatalogNumber"
"11","2014-10-14 15:56:32-03","BS","M","M-0174546","S","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K.Koch & Fintelm.) Benth. & Hook.f.",NA,NA,NA,NA,"Glaziou, A.F.M.",NA,NA,NA,"Brasil",NA,NA,"[Rio de Janeiro: Serra da Estrella.]",NA,NA,NA,NA,NA,NA,NA,NA,"M0174546",NA,NA,"Magnoliopsida","NOTATYPE",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:44:46-03","MBM","MBM","105669","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Lindl.) Benth.",NA,"Matton, J.",NA,NA,"Martinelli, G.; Dalcin, E.; Dalcin, E.",NA,NA,NA,"Brazil","Rio de Janeiro","Magé","Paraíso","-43.040599822998","-22.6527996063232","20531",NA,"auto","9974","Southern America",NA,"MBM105669","MBM105669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:44:46-03","MBM","MBM","171558","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Lindl.) Benth.",NA,"Pennington, T.D.",NA,NA,"Cunha, M.A.",NA,NA,NA,"Brazil","São Paulo","São Paulo","Horto Fllorestal","-46.6300010681152","-23.5400009155273","53584",NA,"auto","4","Southern America",NA,"MBM171558","MBM171558",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:44:50-03","MBM","MBM","131462","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Planchonella","imperialis","Planchonella imperialis","(Linden ex K. Koch & Fintelm.) Baehni",NA,NA,NA,NA,"Santos, T.S. dos",NA,NA,NA,"Brazil","Bahia","Ilhéus","Área do CEPEC","-39.0494003295898","-14.7889003753662","61245",NA,"auto","4474","Southern America",NA,"MBM131462","MBM131462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-09-05 07:46:11-03","MNHN","RECOLNAT_MNHN_P","P00649333","PreservedSpecimen",NA,NA,NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K.Koch & Fintelm.) Benth. & Hook.f.","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649333' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Glaziou, A.","1893","10","15","Brésil",NA,NA,"Corcovado",NA,NA,NA,NA,NA,NA,NA,"hb","P00649333","P00649333_01",NA,NA,NA,"20402",NA,NA,NA,NA,NA,NA
"16","2015-09-05 07:46:11-03","MNHN","RECOLNAT_MNHN_P","P00649334","PreservedSpecimen",NA,NA,NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K.Koch & Fintelm.) Benth. & Hook.f.","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649334' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Glaziou, A.","1893","10","15","Brésil",NA,NA,"Corcovado",NA,NA,NA,NA,NA,NA,NA,"hb","P00649334","P00649334_01",NA,NA,NA,"20402",NA,NA,NA,NA,NA,NA
"17","2015-09-04 16:07:03-03","MNHN","RECOLNAT_MNHN_P","P04588559","PreservedSpecimen",NA,NA,NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K.Koch & Fintelm.) Benth. & Hook.f.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04588559' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Glaziou, A.","1875","11","30","Brésil",NA,NA,"Sao Christovao (Rio de Janeiro)",NA,NA,NA,NA,NA,NA,NA,"hb","P04588559","P04588559_01",NA,NA,NA,"8230",NA,NA,NA,NA,NA,NA
"18","2020-12-11 11:41:27-03","UFMG","BHCB","1664","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K.Koch & Fintelm.) Benth. & Hook.","arbóreo; Cerrado",NA,NA,NA,"Schwacke, CAW","1904",NA,NA,"Brasil","Minas Gerais","Rio Novo",NA,"-43.125301361084","-21.4575004577637","14119",NA,"auto","11845","Southern America",NA,"BHCB004701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-11 11:41:27-03","UFMG","BHCB","60148","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K.Koch & Fintelm.) Benth. & Hook.","Árvore, 29m de altura; estrada da ponte queimada, em frente à Campolina; folhas novas com face abaxial ferrugínea, frutos imaturos verdes; planta latescente. Parcela C (94)",NA,"2002","12","Stehmann, JR; Spósito, TC; Mota, RC da; Barros, A","2001","05","26","Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce","-42.7322006225586","-19.7122001647949","28215",NA,"auto","2945","Southern America",NA,"BHCB004702",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-02-09 10:13:59-03","UENF","HUENF","6557","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K.Koch & Fintelm.) Benth. & Hook.",NA,NA,NA,NA,"Nascimento, M.T.; Dan, M.L.; Souza, T.P.","2008","06","06","Brasil","Rio de Janeiro","São José de Ubá","Fazenda Prosperidade","-42.033056","-21.411667",NA,NA,NA,"1692",NA,NA,"HUENF00006560",NA,NA,NA,NA,NA,"42º1'59''W","21º24'42''S","256","256",NA,NA
"21","2020-09-12 05:00:02-03","US","US","702358","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K. Koch & Fintelm.) Benth. & Hook. f.",NA,NA,NA,NA,"Riedel, --","1824",NA,NA,"Brazil","Rio de Janeiro",NA,"Arbor in sylv. R. Jan",NA,NA,NA,"1",NA,"11","South America - Neotropics",NA,"US02705401","US02705401_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA
"22","2018-05-14 17:36:25-03","F","FMNH-SEEDPLANTS","V0291579F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale",NA,NA,NA,NA,NA,"A. Glaziou",NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"South America",NA,"V0291579F","V0291579F_01 V0291579F_02",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-04-16 14:07:04-03","F","FMNH-SEEDPLANTS","V0291580F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"South America",NA,"V0291580F","V0291580F_01",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-01-25 16:05:12-02","IAC","IAC","21108","S","Plantae",NA,NA,"Sapotaceae-3.Chrysophylloideae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K.Koch & Fintelm.) Benth. & Hook.f.","Identificação confirmada por L.F. Lima, 10/10/2016","H.F. Leitão Filho","1969","06","H.M. Souza & A. Daniel","1969","06","20","Brasil","São Paulo","São Paulo","Parque da Água Branca","-46.67041","-23.53024",NA,NA,NA,"s/nº",NA,NA,NA,NA,"20",NA,NA,NA,"-46.67041","-23.53024",NA,NA,NA,NA
"25","2020-07-23 12:22:19-03","CEPLAC","CEPEC","4946","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale",NA,NA,"C. E. Carneiro",NA,NA,"J. A. de Jesus","1968","11","08","Brasil","Bahia","ILHÉUS","Area do CEPEC.","-39.0494003295898","-14.7889003753662","61245",NA,"auto","212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10/04/1984",NA
"26","2020-07-23 12:22:19-03","CEPLAC","CEPEC","3447","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale",NA,NA,"C. E. Carneiro",NA,NA,"R. S. Pinheiro","1967","07","12","Brasil","Bahia","ILHÉUS","Area do CEPEC.","-39.0494003295898","-14.7889003753662","61245",NA,"auto","113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1984",NA
"27","2020-07-23 12:22:19-03","CEPLAC","CEPEC","24848","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale",NA,"<ll>dwc_commonname:</ll>","A. Alves- Araújo",NA,NA,"J. L. Hage","1981","09","09","Brasil","Bahia","ILHÉUS","Área do CEPEC. Quadra G'.","-39.0494003295898","-14.7889003753662","61245",NA,"auto","1326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13/8/2009",NA
"28","2020-07-23 12:22:19-03","CEPLAC","CEPEC","44362","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale",NA,"<ll>dwc_commonname:</ll> Bapeba-preta","C. E. Carneiro",NA,NA,"T. S. dos Santos","2005","02","03","Brasil","Bahia","ILHÉUS","Quadra H do CEPEC.","-39.0494003295898","-14.7889003753662","61245",NA,"auto","4474",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1989",NA
"29","2020-07-23 12:22:19-03","CEPLAC","CEPEC","3377","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale",NA,"<ll>dwc_commonname:</ll> Bapeba-preta","C. E. Carneiro",NA,NA,"R. S. Pinheiro","1967","11","14","Brasil","Bahia","ITAPEBÍ","Faz. Lombardia.","-39.5339012145996","-15.9507999420166","43726",NA,"auto","427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15/04/1984",NA
"30","2015-02-26 09:30:28-03","NHMLondon","NHM-LONDON-BOT","BM000952584","S","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K.Koch & Fintelm.) Benth. & Hook.f.",NA,NA,NA,NA,"Glaziou,N.",NA,NA,NA,"Brasil",NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,"20402",NA,NA,NA,NA,NA,NA,"Isoneotype",NA,"-53.08982","-10.773109",NA,NA,NA,"NHMUK:ecatalogue:605085"
"31","2020-11-12 16:59:09-03","UEL","FUEL","53606","PreservedSpecimen","Plantae","Tracheophyta","Ericales","Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K.Koch & Fintelm.) Benth. & Hook. f.",NA,"Faria, AD","2014","12","Faria, AD","2014","12","18","Brasil","São Paulo","Nova Odessa","Coleção in vivo do Jardim Botânico Plantarum","-47.2900009155273","-22.7700004577637","8440",NA,"auto","2014/24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-04 15:42:57-03","IF","SPSF","05292","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,"M.A. Cunha","1959","11","23","Brasil","SP","São Paulo","Horto Florestal","-46.6300010681152","-23.5400009155273","53584",NA,"auto",NA,"América do Sul",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-02-08 12:45:24-03","UFRGS","ICN","146670","S","Plantae","Dicotyledon",NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K. Koch & Fintelm.) Benth. & Hook. f.","autores: C. imperiale (Linden ex K. Koch & Fintelm.) Benth. & Hook. f.; Árvore; 8,0 m; flores cremes; látex branco; tronco com marca da queda das grandes folhas.; cultivada próximo ao parquinho das crianças; quase esquina com viaduto da João Pessoa.","Kinupp, VF",NA,NA,"Kinupp, VF; Lorenzi, H","2005","12","09","Brasil","RS","Porto Alegre","Paque Farroupilha (Redenção)","-51.2299995422363","-30.0331001281738","29946",NA,"auto","3109","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-08-13 18:02:59-03","IBt","SP","298410","S","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","imperiale","Chrysophyllum imperiale","(Linden ex K.Koch & Fintelm.) Benth. & Hook.f.",NA,NA,NA,NA,"Souza, HM","1969","06","20","Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273","53584",NA,"auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
