"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLatitude","verbatimLongitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","individualCount","typeStatus","fieldNumber"
"11","2020-12-21 16:25:58-03","MBM","MBM","86204","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) Irwin & Barneby","Barneby, R.","Irwin, H.S.; et al.; et al.","23513",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Grão Mogol","Ca. 15km N de Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,"MBM086204","MBM086204",NA,NA,NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA
"12","2020-12-11 11:35:52-03","UFMG","BHCB","113666","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & Barneby",NA,"Souza, DT","314","2007","08","16","Southern America","Brasil","Minas Gerais","Grão Mogol","Fazenda São Francisco.","-42.901683","-16.599167",NA,"Arbusto, flores amarelas.; Cerrado em regeneração.","BHCB013028",NA,NA,NA,"2015","-16.599167","-42.901683",NA,NA,"05","10",NA,NA,NA,NA
"13","2020-12-11 11:35:52-03","UFMG","BHCB","184427","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & Barneby",NA,"Mota, RC da; Vasconcelos, MF de","3784","2016","06","16","Southern America","Brasil","Minas Gerais","Riacho dos Machados","Morro Grande","-42.782222","-16.117222",NA,"Projeto desenvolvido pelo Instituto Prístino!; Arbusto; cálice amarelo-avermelhado, corola amarela.; Coletada em Campo Rupestre Ferruginoso","BHCB040135",NA,"1010","1010","2017","-16.117222","-42.782222",NA,NA,"03","03",NA,NA,NA,NA
"14","2020-12-11 11:35:52-03","UFMG","BHCB","44653","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & Barneby",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-02-11 17:18:57-03","UFPR","UPCB","11340","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & R.C.Barneby","Mem. of N.Y. Bot. Gard.","Hatschbach, G.","41507","1978","07","23",NA,"Brasil","Minas Gerais","Cristália",NA,"-42.8622016906738","-16.8003005981445",NA,"Arbusto ramoso, 2m. Cerrado encosta rochosa de morro..",NA,NA,NA,NA,"1982",NA,NA,"30029","auto","01","01",NA,NA,NA,NA
"16","2021-02-11 17:18:57-03","UFPR","UPCB","10512","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & R.C.Barneby","Mem. of N.Y. Bot. Gard.","Hatschbach, G.","41423","1978","04","23",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,"Arbusto ramoso, 2m, flor amarela. Solo arenoso, próximo a rochas, no vale do riacho..",NA,NA,NA,NA,"1982",NA,NA,"67219","auto","01","01",NA,NA,NA,NA
"17","2014-08-23 05:36:00-03","MO","MOBOT","3246913","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S. Irwin & Barneby","Barneby","Howard S. Irwin|R. Reis dos Santos|R. Souza|S.F. da Fonsêca","Irwin 23513","1969","2","18","South America","Brazil","Minas Gerais",NA,"Sandy slopes wit sandstone outcrops and adjacent rocky river margin, Rio Itacambirucu, ca. 15 km north of Grao Mogol.",NA,NA,NA,NA,NA,NA,"950.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-08-31 08:51:27-03","INPA","INPA","87886","S","Plantae","Dicotyledon","Fabales","Leguminosae-Caes","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & Barneby","Barneby, RC","Hatschbach, GG","41423","1978","04","23","Southern America","Brasil","Minas Gerais","Grão Mogol","Ribeirão.","-42.8897018432617","-16.5594005584717",NA,NA,"INPA0087886","INPA0087886 INPA0087886_e",NA,NA,"1979",NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","2796426","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia",NA,NA,"H. S. Irwin, R. G. P. Santos, R. Souza & S. F. Fonsêca","23513","1969","2","18","South America - Neotropics","Brazil","Minas Gerais",NA,"Planalto do Brasil, Serra do Espinhaco; Rio Itacambirucu, ca. 15km north of Grao Mogol",NA,NA,NA,NA,"US00197357","US00197357_01","950","950",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"20","2020-09-12 05:00:02-03","US","US","2931573","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia",NA,NA,"G. Hatschbach","41423","1978","4","23","South America - Neotropics","Brazil","Minas Gerais","Grão Mogol","Ribeirao","-42.8897018432617","-16.5594005584717",NA,NA,"US00197356","US00197356_01",NA,NA,NA,NA,NA,"67219","auto",NA,NA,"Dicotyledonae","1",NA,NA
"21","2019-11-13 11:22:04-03","USP","SPF","23594","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & Barneby","Appezzato-da-Glória, B","Mamede, MCH","CFCR3390","1982","05","21",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.883333","-16.55",NA,NA,"SPF00023594",NA,NA,NA,"1986","-16.55","-42.883333",NA,NA,"10",NA,NA,NA,NA,NA
"22","2019-11-13 11:22:04-03","USP","SPF","19382","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & Barneby","Barneby, RC","Barneby, RC","41423","1978","04","23",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,NA,"SPF00019382",NA,NA,NA,"1979",NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA
"23","2019-11-13 11:22:04-03","USP","SPF","43777","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & Barneby","Mello-Silva, R","Mello-Silva, R","CFCR9875","1986","07","23",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,NA,"SPF00043777",NA,"740","740","1987",NA,NA,"67219","auto","04",NA,NA,NA,NA,NA
"24","2019-11-13 11:22:04-03","USP","SPF","44514","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & Barneby","Mello-Silva, R","Mello-Silva, R","CFCR10049","1986","09","03",NA,"Brasil","Minas Gerais","Grão Mogol","Vale do Ribeirão das Mortes","-42.8897018432617","-16.5594005584717",NA,NA,"SPF00044514",NA,"850","850","1987",NA,NA,"67219","auto","04",NA,NA,NA,NA,NA
"25","2020-05-08 11:09:37-03","UEFS","HUEFS","8914","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & Barneby",NA,"Filho, H.F.L.","9719","1978","12","14",NA,"Brasil","Minas Gerais","Santa Bárbara",NA,"-43.4152984619141","-19.959400177002",NA,NA,"HUEFS0008914","HUEFS0008914",NA,NA,NA,NA,NA,"33136","auto",NA,NA,"Rosanae",NA,NA,NA
"26","2020-05-08 11:09:37-03","UEFS","HUEFS","243428","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & Barneby",NA,"Cota, M.M.T.","991","2017","06","25",NA,"Brasil","Minas Gerais","Grão Mogol","Estrada de Cristália-Grão Mogol, MG-307, próximo a entrada da cidade de Grão Mogol e próximo ao rio Itacambiruçu.","-42.8925","-16.592778",NA,NA,"HUEFS0243428","HUEFS0243428","676","676",NA,"16S35'34''","42W53'33''",NA,NA,NA,NA,"Rosanae",NA,NA,NA
"27","2020-05-08 11:09:37-03","UEFS","HUEFS","31060","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & Barneby",NA,"Mamede, M.C.H.","3390","1982","05","21",NA,"Brasil","Minas Gerais","Grão Mogol","A sudoeste da cidade, mais ou menos 1Km","-42.883333","-16.55",NA,NA,"HUEFS0031060","HUEFS0031060",NA,NA,NA,"16S33'","42W53'",NA,NA,NA,NA,"Rosanae",NA,NA,NA
"28","2020-05-08 11:09:37-03","UEFS","HUEFS","31052","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & Barneby",NA,"Silva, R.M.","9875","1986","07","23",NA,"Brasil","Minas Gerais","Grão Mogol","Corrego Escurinha.","-42.8897018432617","-16.5594005584717",NA,NA,"HUEFS0031052","HUEFS0031052","750","750",NA,NA,NA,"67219","auto",NA,NA,"Rosanae",NA,NA,NA
"29","2020-05-08 11:09:37-03","UEFS","HUEFS","31059","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & Barneby",NA,"Mello-Silva, R.","10049","1986","09","03",NA,"Brasil","Minas Gerais","Grão Mogol","Vale do riacho Ribeirão","-42.8897018432617","-16.5594005584717",NA,NA,"HUEFS0031059","HUEFS0031059","850","850",NA,NA,NA,"67219","auto",NA,NA,"Rosanae",NA,NA,NA
"30","2019-09-04 19:56:58-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Cassia","tephrosiaefolia","Cassia tephrosiaefolia",NA,NA,"C. F. P. von Martius",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"Type [status unknown]",NA
"31","2018-04-04 16:46:00-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia",NA,"RRC ID Flag","G. Hatschbach","41423",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"41423"
"32","2015-03-07 08:39:48-03","F","FMNH-SEEDPLANTS","V0110498F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0110498F","V0110498F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"33","2015-03-07 08:39:48-03","F","FMNH-SEEDPLANTS","V0110499F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0110499F","V0110499F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"34","2015-03-07 08:39:48-03","F","FMNH-SEEDPLANTS","V0110500F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0110500F","V0110500F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"35","2020-08-20 20:38:44-03","UFSC","FLOR","30920","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Chamaecrista","tephrosifolia","Chamaecrista tephrosifolia","(Benth.) H. S. Irwin & Barneby","Hatschbach, G.","Hatschbach, G.; Hatschbach, M. & Barbosa, E.","68015","1998","07","18",NA,"Brasil","Minas Gerais","Cristália","Croslândia.","-42.8622016906738","-16.8003005981445",NA,"arbusto ramoso, flor amarela, 2,5m altura","FLOR0030920",NA,NA,NA,"1998",NA,NA,"30029","auto",NA,NA,NA,NA,NA,NA
"36","2019-11-21 10:05:17-03","IBt","SP","332895","S","Plantae",NA,NA,"Fabaceae","Chamaecrista","tephrosiifolia","Chamaecrista tephrosiifolia","(Benth.) H.S.Irwin & Barneby","Hatschbach, G","Hatschbach, G; Hatschbach, M; Barbosa, E","68015","1998","07","18",NA,"Brasil","Minas Gerais","Cristália","Croslândia","-42.8622016906738","-16.8003005981445",NA,NA,"SP024582","SP024582",NA,NA,"1998",NA,NA,"30029","auto",NA,NA,NA,NA,NA,NA
