"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","county","decimalLongitude","decimalLatitude","scientificNameAuthorship","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","individualCount","verbatimLongitude","verbatimLatitude"
"11","2020-09-12 05:00:02-03","US","US","2279643","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Trixis","eryngioides","Trixis eryngioides",NA,"L. B. Smith & R. Reitz","7777","1956","11","17","South America","Brazil","Santa Catarina","Bom Retiro, Fazenda Campo dos Padres.",NA,NA,NA,NA,"US00119774","US00119774_01","Isotype",NA,NA,NA,"Cabrera",NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"12","2021-02-23 13:21:57-03","MN","R-TIPOS","115665","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Trixis","eryngioides","Trixis eryngioides","Cabrera, A.L.","Smith, L.B.; Reitz, R. & Klein, R.M.","7777","1956","11","17",NA,"Brasil","Santa Catarina","Campo dos Padres","1650","1650",NA,NA,"R000115665","R000115665_001","Isotypus","Bom Retiro","-49.489200592041","-27.7971992492676","Cabrera","35974","auto",NA,NA,NA,NA,NA,NA,NA
"13","2020-08-20 20:38:13-03","UFSC","FLOR","47634","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Perezia","eryngioides","Perezia eryngioides","Trevisan, R.","Trevisan, R.; Venturi, S.","1209","2012","11","29",NA,"Brasil","Santa Catarina","Às margens da BR 282.","843","843",NA,"flores amarelas. Planta faz parte do Projeto Reflora. Possui amostra em sílica para estudos moleculares","FLOR0047634",NA,NA,"Rancho Queimado","-49.033611","-27.686111","(Cabrera) Crisci & Martic.",NA,NA,"2012",NA,NA,NA,NA,"49º2'1''W","27º41'10''S"
"14","2020-08-20 20:38:13-03","UFSC","FLOR","56918","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Perezia","eryngioides","Perezia eryngioides","Falkenberg, D.B.","Falkenberg, D.B.","9460","1997","01","30",NA,"Brasil","Santa Catarina","Borda dos Aparados no topo da Serra do Rio do Rastro, entre o mirante da SC 438 e o monocultivo de Pinus ao norte do mirante.","1400","1400",NA,"Subarbusto com folhas rosuladas, corola amarela; 0,5-0,8m altura","FLOR0056918",NA,NA,"Bom Jardim da Serra","-49.624698638916","-28.3369007110596","(Cabrera) Crisci & Martic.","32577","auto","1998",NA,NA,NA,NA,NA,NA
"15","2020-08-20 20:38:13-03","UFSC","FLOR","25997","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Perezia","eryngioides","Perezia eryngioides","Falkenberg, D.B.","Sobral, M.; et alii","5422","1987","04","01",NA,"Brasil","Santa Catarina","Desfiladeiro do Funil.",NA,NA,NA,"erva, flor capítulo amarelo, 0,5 a 0,7m altura","FLOR0025997",NA,NA,"Bom Jardim da Serra","-49.624698638916","-28.3369007110596","(Cabrera) Crisci & Martic.","32577","auto","1997",NA,NA,NA,NA,NA,NA
"16","2020-08-20 14:55:15-03","UFSC","FLOR","35858","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Perezia","eryngioides","Perezia eryngioides",NA,"Souza, M.L.; Zanin, A.; Rieper, M. & Nardin, J.","1813","2007","03","13",NA,"Brasil","Santa Catarina","Fazenda da Sra. Sônia Munaretto, campo leste do Canion do Espraiado, Campo dos Padres.",NA,NA,NA,"herbácea, flor com, 0,4m altura. Comum, porém com poucos indivíduos com flores Habitat: campo turfoso","FLOR0035858","FLOR0035858",NA,"Urubici","-49.5917015075684","-28.0149993896484","(Cabrera) Crisci & Martic.","30102","auto",NA,NA,NA,NA,NA,NA,NA
"17","2020-08-20 20:38:13-03","UFSC","FLOR","24979","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Perezia","eryngioides","Perezia eryngioides","Falkenberg, D.B.","Falkenberg, D.B.; Souza, M.L.","6888","1995","01","04",NA,"Brasil","Santa Catarina","Morro da Igreja, próximo da antena mais distante do CINDACTA.","1750","1750",NA,"subarbusto com folhas rosuladas eretas, 0,4 a 0,6m altura, flor amarela","FLOR0024979",NA,NA,"Urubici","-49.5917015075684","-28.0149993896484","(Cabrera) Crisci & Martic.","30102","auto","1996",NA,NA,NA,NA,NA,NA
"18","2020-08-20 20:38:13-03","UFSC","FLOR","25216","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Perezia","eryngioides","Perezia eryngioides","Falkenberg, D.B.","Falkenberg, D.B.","7185","1995","02","25",NA,"Brasil","Santa Catarina","Topo do Morro da Igreja, junto ao CINDACTA.","1800","1800",NA,"subarbusto com grandes folhas rosuladas, flor capítulo em frutificação, 1m altura","FLOR0025216",NA,NA,"Urubici","-49.5917015075684","-28.0149993896484","(Cabrera) Crisci & Martic.","30102","auto","1996",NA,NA,NA,NA,NA,NA
"19","2021-02-08 12:36:50-03","UFRGS","ICN","123429","S","Plantae","Dicotyledon",NA,"Asteraceae","Perezia","eryngioides","Perezia eryngioides",NA,"Sobral, M; Silva, AL","9187",NA,NA,NA,"América do Sul","Brasil","RS",NA,NA,NA,NA,"Região de floresta ombrófila mista (mata com araucária) com campos rupestres. Erva 0,5-1m, em banhado à beira de estrada; capítulos amarelos.",NA,NA,NA,"Cambará do Sul","-50.1446990966797","-29.0478000640869","(Cabrera) Crisci & Martic.","30776","auto",NA,NA,NA,NA,NA,NA,NA
"20","2021-02-08 12:36:50-03","UFRGS","ICN","123430","S","Plantae","Dicotyledon",NA,"Asteraceae","Perezia","eryngioides","Perezia eryngioides",NA,"Sobral, M; et al.","9191",NA,NA,NA,"América do Sul","Brasil","RS",NA,NA,NA,NA,"Região de floresta ombrófila mista (mata com araucária) com campos rupestres. Erva 1m, em banhado na estrada Canela-São Francisco de Paula; capítulos amarelos.",NA,NA,NA,"São Francisco de Paula","-50.5835990905762","-29.4480991363525","(Cabrera) Crisci & Martic.","76715","auto",NA,NA,NA,NA,NA,NA,NA
"21","2021-02-08 12:38:38-03","UFRGS","ICN","040837","S","Plantae","Dicotyledon",NA,"Asteraceae","Trixis","eryngioides","Trixis eryngioides","Matzenbacher, NI","Boechat, SC","s.n.",NA,NA,NA,"América do Sul","Brasil","RS","Itaimbezinho",NA,NA,NA,"Pântano",NA,NA,NA,"Cambará do Sul","-50.1446990966797","-29.0478000640869","Cabrera","30776","auto",NA,NA,NA,NA,NA,NA,NA
"22","2021-02-08 12:38:38-03","UFRGS","ICN","152229","S","Plantae","Dicotyledon",NA,"Asteraceae","Trixis","eryngioides","Trixis eryngioides","Schneider, AA","Schneider, AA","1546","2007","11","20","América do Sul","Brasil","RS",NA,"1000","1000",NA,"(28° 35' 13,9''S e 50° 50' 48,8''W)",NA,NA,NA,"São José dos Ausentes","-50.0657997131348","-28.7483005523682","Cabrera","42598","auto",NA,NA,NA,NA,NA,NA,NA
