"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class","relatedCatalogItem"
"11","2015-09-04 15:57:14-03","MNHN","RECOLNAT_MNHN_P","P00587411","PreservedSpecimen",NA,"Gesneriaceae","Goyazia","villosa","Goyazia villosa",NA,"Gardner, G.",NA,NA,"Brésil","province de Goyaz","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00587411' target='other'> <mi>dwc_moreinfo</mi></a>","P00587411",NA,NA,"(Gardner) R.A.Howard","Middleton","1841",NA,NA,NA,NA,NA,NA,NA,NA,"P00587411_01",NA,NA,NA,NA,NA,NA,NA,"3875",NA,NA,NA
"12","2020-12-11 11:36:40-03","UFMG","BHCB","155935","PreservedSpecimen","Plantae","Gesneriaceae","Goyazia","villosa","Goyazia villosa",NA,"Silva, LVC; Arruda, AJ; Paula, LFA de; Gontijo, ML; Salino, A; Alves, T","1211","Southern America","Brasil","Serra da Bocaina",NA,NA,"Floresta.",NA,"Dicotyledon",NA,"(Gardner) R.A. Howard",NA,"2012","02","12","Pará","Parauapebas","-49.899167","-6.312222","701","701",NA,NA,NA,NA,NA,NA,"-49.899167","-6.312222",NA,NA,NA,NA
"13","2020-12-11 11:36:43-03","UFMG","BHCB","152237","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"Giacomin, LL; Machado, TM; Souza, FS; Giudicelli, GC","1202","Southern America","Brasil","Nova Lombardia, Terreno do Sr. Furlani. Fragmento de floresta ombrófila preservada anexo à plantação de bananeira.",NA,NA,"Erva ereta em subosque, flores brancas com manchas arroxeadas, folhas fortemente discolores.",NA,"Dicotyledon",NA,"Lindl.",NA,"2011","02","03","Espírito Santo","Santa Teresa","-40.538306","-19.804361","803","803",NA,NA,NA,NA,NA,NA,"-40.538306","-19.804361",NA,NA,NA,NA
"14","2020-12-11 11:36:43-03","UFMG","BHCB","7926","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"Andrade, PM de; et al.","676","Southern America","Brasil","Estação Biológica de Caratinga. Matão.",NA,NA,"Mata atlântica;herbáceo;flores esverdeadas claras pintadas de vermelho;",NA,"Dicotyledon",NA,"Lindl.",NA,"1985","01","23","Minas Gerais","Caratinga","-42.1391983032227","-19.7896995544434",NA,NA,NA,NA,NA,"49886","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-12-11 11:36:43-03","UFMG","BHCB","7490","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"Andrade, PM de; et al.","676","Southern America","Brasil","Estação Biológica de Caratinga. Matão.",NA,NA,"Mata atlântica;herbáceo;flores esverdeadas claras pintadas de vermelho;",NA,"Dicotyledon",NA,"Lindl.",NA,"1985","01","23","Minas Gerais","Caratinga","-42.1391983032227","-19.7896995544434",NA,NA,NA,NA,NA,"49886","auto",NA,NA,NA,NA,NA,NA,NA
"16","2021-02-11 17:19:09-03","UFPR","UPCB","71798","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"Goldenberg, R.","1523",NA,"Brasil","BLOQUEADO",NA,NA,"Erva terrestre, ereta, 40cm, à sombra. Flores com corola amarelo-pálida. Floresta.",NA,NA,NA,"Lindl.","Kollmann, L.","2011","02","07","Espírito Santo","Santa Teresa",NA,NA,NA,NA,NA,"2011","01",NA,NA,"01","9999","9999",NA,NA,NA,NA
"17","2009-07-14 15:49:00-03","MO","MOBOT","3449859","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"H.Q. Boudet Fernandes","Boudet Fernandes 1797","South America","Brazil","Santa Teresa, Country Club.",NA,NA,NA,NA,NA,NA,"Lindl.","A. Chautems (G)","1986","1","21","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"18","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","10182",NA,"Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"L. Kollmann; et al","2723",NA,"Brasil","São João de Petrópolis, E.A.F.S.T.",NA,NA,"Botões florais pouco desenvolvidos.","MBML010182",NA,NA,"Lindl.","A. Chautems/11-12-1998","1998","12","10","Espírito Santo","Santa Teresa","-40.681389","-19.805556",NA,NA,"MBML010182",NA,NA,NA,NA,NA,"40W40'53","19S48'20",NA,NA,NA,NA
"19","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","11757",NA,"Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"V. Demuner; et al","468",NA,"Brasil","Pedra da Onça",NA,NA,"Arbusto 50cm, botões florais, flores com sépalas verde claro, pétalas bege, folhas com nervuras principal avermelhado, interior de mata, ambientte umido e rochoso.","MBML011757",NA,NA,"Lindl.","I. Gajardo/2000; Chautems/2002","2000","01","06","Espírito Santo","Santa Teresa","-40.814722","-19.897778",NA,NA,"MBML011757",NA,NA,NA,NA,NA,"40W48'53","19S53'52",NA,NA,NA,NA
"20","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","22925",NA,"Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"L. Kollmann; et al","4152",NA,"Brasil","Rio Saltinho",NA,NA,"Somente em álcool.","MBML022925",NA,NA,"Lindl.",NA,"2004","02","18","Espírito Santo","Santa Teresa","-40.506944","-19.936111",NA,NA,NA,NA,NA,NA,NA,NA,"40W30'25","19S56'10",NA,NA,NA,NA
"21","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","23809",NA,"Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"L. Kollmann; et al","7395",NA,"Brasil","Lombardia",NA,NA,"Rupicola na sombra, flores amarelas.","MBML023809",NA,NA,"Lindl.","L. Kollmann/26-04-2005","2005","03","11","Espírito Santo","Santa Teresa","-40.553056","-19.820556",NA,NA,"MBML023809",NA,NA,NA,NA,NA,"40W33'11","19S49'14",NA,NA,NA,NA
"22","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","2511",NA,"Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"H. Q. Boudet Fernandes","1797",NA,"Brasil","Country Club",NA,NA,"Sub arbusto, pecíolo e lado e lado inferior do limbo vinho, cálice com base verde, corola verde claro, amarelado com pinta vinho no exterior, pilosidade translúcida, semi-sombra, capoeirão, encosta.","MBML002511",NA,NA,"Lindl.","A. Chautems/1988","1986","10","16","Espírito Santo","Santa Teresa","-40.635556","-19.925556",NA,NA,"MBML002511",NA,NA,NA,NA,NA,"40W38'8","19S55'32",NA,NA,NA,NA
"23","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","25315",NA,"Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"L. Kollmann; et al","8600",NA,"Brasil","São João de Petrópolis, E.A.F.S.T.",NA,NA,"Erva 50cm na sombra. Flores amarelas.","MBML025315",NA,NA,"Lindl.","L. Kollmann/24-01-2006","2006","01","24","Espírito Santo","Santa Teresa","-40.681389","-19.805556",NA,NA,"MBML025315",NA,NA,NA,NA,NA,"40W40'53","19S48'20",NA,NA,NA,NA
"24","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","28197",NA,"Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"J. Rossini","575",NA,"Brasil","São João de Petrópolis, Valão do São Brás, E.A.F.S.T.",NA,NA,"Erva rupícola, caule marrom, tricomas brancos, folhas verdes, cálice verde, corola branca a esverdeada, base com algumas máculas vináceas, tricomas translúcidos.","MBML028197",NA,NA,"Lindl.","J. Rossini/XII-2006","2006","12","19","Espírito Santo","Santa Teresa","-40.691667","-19.8",NA,NA,"MBML028197",NA,NA,NA,NA,NA,"40W41'30","19S48'0",NA,NA,NA,NA
"25","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","28201",NA,"Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"J. Rossini","579",NA,"Brasil","Várzea Alegre, estrada p/ Pedra da Onça",NA,NA,"Erva rupícola, 60cm, folhas verdes na face adaxial, vináceas na face abaxial, corola branca a esverdeada.","MBML028201",NA,NA,"Lindl.","J. Rossini/XII-2006","2006","12","19","Espírito Santo","Santa Teresa","-40.798056","-19.899167",NA,NA,"MBML028201",NA,NA,NA,NA,NA,"40W47'53","19S53'57",NA,NA,NA,NA
"26","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","29457",NA,"Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"V. Demuner; T. Cruz, M. Belizário e Elias Bausen.","3419",NA,"Brasil","Liberdade, propr.: Deoclécio Lorenccini",NA,NA,"Erva 50cm botões florais, corola com máculas vináceas (externa) e internamente amarelas com guias de nectar vinhobrancas. Interior de mata, fundo de vale.","MBML029457",NA,NA,"Lindl.","A. Chautems/IV-2007","2007","03","22","Espírito Santo","Marilândia","-40.514167","-19.351944","150","150","MBML029457",NA,NA,NA,NA,NA,"40W30'51","19S21'7",NA,NA,NA,NA
"27","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","35016",NA,"Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"L. Kollmann; A.P. Fontana & K. Brahim","10910",NA,"Brasil","Sapucaia, Alto Moacir, terreno do Laulau, 300m.",NA,NA,"Erva na sombra, corola branca amarelada, com listras vináceas.","MBML035016",NA,NA,"Lindl.","L. Kollmann/18-04-2008","2008","04","18","Espírito Santo","Colatina","-40.554722","-19.341111",NA,NA,"MBML035016",NA,NA,NA,NA,NA,"40W33'17","19S20'28",NA,NA,NA,NA
"28","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","46617",NA,"Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"R. Goldenberg; M.K. Caddah, F.A. Michelangeli, M. Reginato & L. Kollmann","1523",NA,"Brasil","Nova Lombardia, terreno do Furlani",NA,NA,"Erva terrestre, ereta, 40cm, a sombra. Flores com corola amarelo-pálida. Floresta","MBML046617",NA,NA,"Lindl.","L. Kollmann/2011","2011","02","07","Espírito Santo","Santa Teresa","-40.537222","-19.804167",NA,NA,"MBML046617",NA,NA,NA,NA,NA,"40W32'14","19S48'15",NA,NA,NA,NA
"29","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","51247",NA,"Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"A. P. Fontana; L. Kollmann & R.C. de Britto","1988",NA,"Brasil","Santo Anselmo, propriedade do Naudorf.",NA,NA,"Erva","MBML051247",NA,NA,"Lindl.","J. Rossini/03-04-2018","2006","02","24","Espírito Santo","Santa Teresa","-40.574167","-19.836389","611","611","MBML051247",NA,NA,NA,NA,NA,"40W34'27","19S50'11",NA,NA,NA,NA
"30","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","8151",NA,"Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"L. Kollmann; E. Bausen & W. Pizziolo","1683",NA,"Brasil","São Lourenço, Mata Fria",NA,NA,"Planta de 20cm na sombra. Flores amarelas. Folhas roxas pôr baixo. Brácteas roxas pôr baixo","MBML008151",NA,NA,"Lindl.","H.Q.B. Fernandes/05-02-1999","1999","01","27","Espírito Santo","Santa Teresa","-40.683611","-19.931111",NA,NA,"MBML008151",NA,NA,NA,NA,NA,"40W41'1","19S55'52",NA,NA,NA,NA
"31","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","9120",NA,"Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"L. Kollmann; E. Bausen & W. Pizziolo","1818",NA,"Brasil","Estação Biológica Caixa D'Água",NA,NA,"Planta 30cm. Botões amarelos pilosos. Folhas roxas pôr baixo.","MBML009120",NA,NA,"Lindl.","A. Chautems/Jun.1999","1999","02","03","Espírito Santo","Santa Teresa","-40.6075","-19.931389",NA,NA,"MBML009120",NA,NA,NA,NA,NA,"40W36'27","19S55'53",NA,NA,NA,NA
"32","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","9737",NA,"Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"L. Kollmann; E. Bausen","1654",NA,"Brasil","São João de Petrópolis, E.A.F.S.T.",NA,NA,"Rupícola na sombra. Flores amarelas. Caule e folhas por baixo avermelhados.","MBML009737",NA,NA,"Lindl.","Chautems, I.2002","1999","01","21","Espírito Santo","Santa Teresa","-40.681389","-19.805556",NA,NA,"MBML009737",NA,NA,NA,NA,NA,"40W40'53","19S48'20",NA,NA,NA,NA
"33","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","9829",NA,"Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"L. Kollmann; E. Bausen & W. Pizziolo","2402",NA,"Brasil","Estrada do Vinte e Cinco de Julho",NA,NA,"Planta 40cm na sombra. Flores amarelas com pintas avermelhadas.","MBML009829",NA,NA,"Lindl.","I. Gajardo/2000; Chautems/2002","1999","04","06","Espírito Santo","Santa Teresa","-40.615","-19.861111",NA,NA,"MBML009829",NA,NA,NA,NA,NA,"40W36'54","19S51'40",NA,NA,NA,NA
"34","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","9832",NA,"Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"L. Kollmann; E. Bausen","1917",NA,"Brasil","Estrada do Vinte e Cinco de Julho",NA,NA,"Planta 40cm. Flores amarelas com pintas vermelhas. Caule avermelhado. Folhas avermelhadas por baixo.","MBML009832",NA,NA,"Lindl.","Kollmann/2.1999; Chautems/2002","1999","02","10","Espírito Santo","Santa Teresa","-40.615","-19.861111",NA,NA,"MBML009832",NA,NA,NA,NA,NA,"40W36'54","19S51'40",NA,NA,NA,NA
"35","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","48142",NA,"Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"J. Rossini; L.C. Rossini","740",NA,"Brasil","Varzea Alegre, propriedade do Sr. Antônio Rocon, mata entre pasto e cafezal, seguindo mangueiras próximas a estrada.",NA,NA,"Erva de 40 cm, pecíolo avermelhado, cálice verde, corola creme. Em meio a mata, clareira com afloramento, população com muitos indivíduos.","MBML048142",NA,NA,"Lindl.","J. Rossini/25-05-2011","2011","05","25","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,"MBML048142",NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA
"36","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","48180",NA,"Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"J. Rossini; L. C. Rossini","739",NA,"Brasil","Varzea Alegre, propriedade do Sr. Antônio Rocon, mata entre pasto e cafezal, seguindo mangueiras próximas a estrada.",NA,NA,"Erva de 40 cm, pecíolo avermelhado, cálice verde, corola creme.","MBML048180",NA,NA,"Lindl.","J. Rossini/2011","2011","05","25","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,"MBML048180",NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA
"37","2020-09-12 05:00:02-03","US","US","1989026","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"A. P. Chautems","263","South America - Neotropics","Brazil",NA,NA,NA,"Received as: cutting","US02993734",NA,"Scrophulariales","Lindl.",NA,NA,NA,NA,"Espírito Santo",NA,NA,NA,"700","700","US02993734_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"38","2019-10-07 09:15:53-03","UEFS","HUEFS","62977","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"Jardim, J.G.","3945",NA,"Brasil","Fazenda Alcoprado. Estrada para o Distrito de Santo Antonio ca. 17km da sede municipal ca. 12 km da entrada.",NA,NA,"Floresta higrófila.","HUEFS0062977","Angiospermae","Lamiales","Lindl.","A.Chautems","2001","10","31","Bahia","Teixeira de Freitas","-39.674444","-17.281389","120","120","HUEFS0062977","2003","01",NA,NA,NA,"39W40'28''","17S16'53''",NA,NA,"Asteranae",NA
"39","2019-09-05 17:05:11-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Gesneriaceae","Tapina","villosa","Tapina villosa","Type [status unknown]","G. Gardner","3875","South America","Brazil",NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,NA,NA,"Goiás",NA,"-48","-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"40","2019-01-23 12:29:45-02","F","FMNH-SEEDPLANTS","V0060637F","PreservedSpecimen","Plantae","Gesneriaceae","Tapina","villosa","Tapina villosa","Isotype","G. Gardner","3875","South America","Brazil",NA,NA,NA,NA,"V0060637F","Spermatophyta",NA,NA,"L. E. Skog",NA,NA,NA,"Goiás",NA,"-48","-12",NA,NA,"V0060637F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"41","2020-07-23 12:08:41-03","CEPLAC","CEPEC","93903","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"J. G. Jardim","3945",NA,"Brasil","Fazenda Alcoprado. Estrada para o distrito de Santo Antônio, ca. 17km da sede municipal. Ca. 12km da estrada.",NA,NA,NA,NA,NA,NA,NA,"A. Chautems","2001","10","31","Bahia","teixeira de freitas","-39.674444",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W40'28","17S15'63",NA,NA,NA,"02/05/2007"
"42","2020-07-23 12:08:41-03","CEPLAC","CEPEC","6896","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"T. S. dos Santos","1632",NA,"Brasil","BR-101 a Itamaraju.",NA,NA,NA,NA,NA,NA,NA,"A. Chautems","1980","08","13","Bahia","teixeira de freitas","-39.7419013977051","-17.5349998474121",NA,NA,NA,NA,NA,"44841","auto",NA,NA,NA,NA,NA,NA,"30/01/1990"
"43","2020-07-23 12:08:41-03","CEPLAC","CEPEC","39106","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"P. M. Andrade","676",NA,"Brasil","Estação Biologica de Caratinga.",NA,NA,NA,NA,NA,NA,NA,"A. Chautems","1993","08","23","Minas Gerais","caratinga","-42.1391983032227","-19.7896995544434",NA,NA,NA,NA,NA,"49886","auto",NA,NA,NA,NA,NA,NA,"30/01/1990"
"44","2020-07-23 12:08:41-03","CEPLAC","CEPEC","41571","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","villosa","Sinningia villosa",NA,"H. Q. B. Fernandes","1797",NA,"Brasil","Country Club.",NA,NA,NA,NA,NA,NA,NA,"A. Chautems","1996","06","29","Espírito Santo","SANTA TERESA","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,"30/01/1990"
"45","2016-08-23 10:59:24-03","NHMLondon","NHM-LONDON-BOT","BM000793292","S","Plantae","Gesneriaceae","Gloxinia","villosa","Gloxinia villosa","Isotype","George Gardner; b.1812; d.1849; Gardner","3875",NA,"Brasil",NA,NA,"NHMUK:ecatalogue:4988340","<a href=http://www.nhm.ac.uk/services/media-store/asset/3b327832a23ddeab4bf2f12d4d75022f92522bbb/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"(Gardner) Wiehler","H. Wiehler",NA,NA,NA,"Tocantins",NA,"-47.5835","-11.7462",NA,NA,NA,"1976","01",NA,NA,"30","-47.5835","-11.7462",NA,NA,NA,NA
"46","2016-08-23 10:59:24-03","NHMLondon","NHM-LONDON-BOT","BM000883802","S","Plantae","Gesneriaceae","Gloxinia","villosa","Gloxinia villosa","Isotype","George Gardner; b.1812; d.1849; Gardner","3875",NA,"Brasil",NA,NA,"NHMUK:ecatalogue:4993761","<a href=http://www.nhm.ac.uk/services/media-store/asset/5e8bd783cd1434ce960fd76ecf81a81a8128aac9/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"(Gardner) Wiehler","H. Wiehler",NA,NA,NA,"Tocantins",NA,"-47.5835","-11.7462",NA,NA,NA,"1976","01",NA,NA,"30","-47.5835","-11.7462",NA,NA,NA,NA
"47","2017-09-11 17:10:09-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Gesneriaceae","Ligeria","villosa","Ligeria villosa",NA,"Gardner, G","3875","Southern America","Brazil","In summo fere monte Natividade prov. Goyazensis in rupium fissuris siccis",NA,NA,"Fl. m. Februario",NA,NA,NA,"(Gardner) Hook. ex Hanst.",NA,NA,NA,NA,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2017-09-11 17:10:09-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Gesneriaceae","Ligeria","villosa","Ligeria villosa",NA,"Gardner, G","3875","Southern America","Brazil","In summo fere monte Natividade prov. Goyazensis in rupium fissuris siccis",NA,NA,"Hamadryas",NA,NA,NA,"(Gardner) Hook. ex Hanst.",NA,NA,NA,NA,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
