"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","class","dayIdentified","typeStatus","relatedCatalogItem"
"13","2020-12-21 16:12:23-03","MBM","MBM","243693","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","Rapini, A.","Harley, R.M.; et al.; et al.","24179","1987","02","14","Southern America","Brazil","Bahia","Piatã","Caminho para Capelinha","-41.7728004455566","-13.1519002914429",NA,NA,NA,NA,"MBM243693",NA,NA,NA,NA,NA,"41184","auto",NA,NA,NA,NA,NA
"14","2021-04-01 17:01:19-03","UFMG","BHCB","44505","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi",NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2013-05-13 16:58:00-03","MO","MOBOT","430028","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","J. Fontella","Gert G. Hatschbach","Hatschbach 47516","1984","1","22","South America","Brazil","Bahia","Mucugê","Mucuge, l km S do Corrego.","-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52493","auto","1",NA,NA,NA,NA
"16","2015-08-13 05:50:00-03","MO","MOBOT","1218139","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","J. Fontella P.","R.M. Harley|et al.","Harley 20657","1980","1","25","South America","Brazil","Bahia",NA,"Mucugê, about 5 km along Andarai road","-41.33333","-12.96666","900.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2013-05-13 16:49:00-03","MO","MOBOT","2821260","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete",NA,"José R. Pirani|M.T.V.A. Campos|J.V.C. Nunes|L.R. Parra","Pirani H 51493","1992","2","2","South America","Brazil","Bahia","Abaíra","Abaira: Base da encosta da Serra da Tromba. Serra da Tromba, campos gerais.","-41.8","-13.2833333","1150.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"18","2015-08-23 05:45:00-03","MO","MOBOT","2821896","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","D. Goyder","B.L. Stannard|T. Silva|Wilson Ganev","Stannard 52744","1992","3","21","South America","Brazil","Bahia","Abaíra","Abaira: Campo da Mutuca. Subarbusto 60 cm alt.","-41.8333333","-13.3666667","1400.00000000","1500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"19","2015-08-23 05:45:00-03","MO","MOBOT","2821661","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","D. Goyder","B.L. Stannard|R.F. Queiroz","Stannard 51058","1992","2","7","South America","Brazil","Bahia","Abaíra","Abaira: Serra Agua Branca. Solo arenoso pedregoso, entre rochas.","-41.95","-13.1833333","1500.00000000","1700.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"20","2015-08-23 05:45:00-03","MO","MOBOT","2821722","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","D. Goyder","B.L. Stannard|Wilson Ganev|R.F. Queiroz","Stannard 51784","1992","3","8","South America","Brazil","Bahia","Abaíra","Mun: Abaira: Guarda Mor, perto do Morro do Cuscuz. Subarbusto ereto, 45 cm alt.","-41.6636009216309","-13.2496995925903","1300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26531","auto","1",NA,NA,NA,NA
"21","2015-08-13 05:50:00-03","MO","MOBOT","2821426","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete",NA,"R.M. Harley","Harley 24179","1987","2","14","South America","Brazil","Bahia","Piatã","Piatã: arredores da cidadde para Capelinha.","-41.7728004455566","-13.1519002914429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41184","auto","1",NA,NA,NA,NA
"22","2021-03-04 11:04:21-03","UFRB","HURB","24646","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","harleyi","Minaria harleyi","(Fontella & Marquete) Rapini & U.C.S.Silva",NA,"Ribeiro, P.L.","684","2019","06","18",NA,"Brasil","Bahia","Rio de Contas","Mato Grosso;","-41.840111","-13.436583",NA,NA,NA,"entre rochas, estéril DNA.","HURB000024646","HURB000024646",NA,NA,"41º50'24,4W","13º26'11,7S",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-04 11:04:21-03","UFRB","HURB","24653","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","harleyi","Minaria harleyi","(Fontella & Marquete) Rapini & U.C.S.Silva",NA,"Ribeiro, P.L.","691","2019","06","19",NA,"Brasil","Bahia","Catoles","Serra do Sumbaré; Guarda-mor","-41.865583","-13.300722",NA,NA,NA,"subarbusto entre rochas, flor velha.","HURB000024653","HURB000024653",NA,NA,"41º51'56,1W","13º18'2,6S",NA,NA,NA,NA,NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","3172521","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete",NA,"G. Hatschbach","47516","1984","1","22","South America - Neotropics","Brazil","Bahia",NA,"Mucugê, 1 km S do Corrego, Mucugê.",NA,NA,NA,NA,NA,NA,"US03267237","US03267237_01",NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA,NA
"25","2019-11-13 11:14:51-03","USP","SPF","104415","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","Goyder, DJ","Harley, RM","27101","1988","12","11",NA,"Brasil","Bahia","Rio de Contas","Pico das Almas, Vertente leste. Entre Junco-Faz. Brumadinho, 9-14 km ao N-O da cidade. Cerrado de altitude, campo e afloramentos de rochas. Entre rochas.","-41.9","-13.533333","1200","1250",NA,"Subarbusto muito ramificado da baase, com ramos eretos congestidos. Com látex branco. Sépalas verdes. Corola amarelo-sujo. Corona alva. Estigma rosa.","SPF00104415",NA,"1997",NA,"-41.9","-13.533333",NA,NA,NA,NA,NA,NA,NA
"26","2019-11-13 11:14:51-03","USP","SPF","119561","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","Goyder, DJ","Ganev, W","2828","1994","01","20",NA,"Brasil","Bahia","Abaíra","Serra do Sumbaré-Guarda Mor, Campo rupestre, solo arenoso com rochas e cascalho de quartzo.","-41.85","-13.3","1200","1300",NA,"Erva erecta de ca. 70 cm., bem ramificada na base. Folhas cartáceas. Caule verde. Látex branco. Pedúnculo e pedicelo verde-claros. Flores com sépalas verde-vináceas, pétalas creme-vináceas, estames alvos, pistilo vináceo-claro. Plant","SPF00119561",NA,"1997",NA,"-41.85","-13.3",NA,NA,NA,NA,NA,NA,NA
"27","2019-11-21 10:12:00-03","USP","SPF","129236","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","Guedes, MLS","Stannard, BL","PCD4817","1997","02","01",NA,"Brasil","Bahia","Rio de Contas","Caminho para a Cachoeira do Fraga. Campo rupestre.","-41.819722","-13.595556","1000","1000",NA,"Subarbusto, com ca. de 60 cm. Folhas crassas. Botões esverdeados; flores senescentes com pétalas creme e face inferior vinho.","SPF00129236",NA,"1997","05","-41.819722","-13.595556",NA,NA,NA,NA,"10",NA,NA
"28","2019-11-13 11:14:51-03","USP","SPF","85618","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","Rapini, A","Freire-Fierro, A","1723","1990","10","02",NA,"Brasil","Bahia","Mucugê","Coleções a 10 km antes de Mucugê. Vegetação arbustiva, perto de uma mata.","-41.333333","-12.933333","1500","1500",NA,"Erva, 0.80 cm, com látex branco, flores branco-esverdeadas. Crescente entre rochas, na areia.","SPF00085618",NA,"1997","07","-41.333333","-12.933333",NA,NA,NA,NA,NA,NA,NA
"29","2019-11-13 11:14:51-03","USP","SPF","89200","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","Goyder, DJ","Stannard, BL","H52744","1992","03","21",NA,"Brasil","Bahia","Abaíra","Campo da Mutuca","-41.833333","-13.366667","1400","1500",NA,"Subarbusto 60 cm alt. Pétalas vináceas ext., alvo-vináceas internamente.","SPF00089200",NA,"1997",NA,"-41.833333","-13.366667",NA,NA,NA,NA,NA,NA,NA
"30","2019-11-13 11:14:51-03","USP","SPF","91173","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","Goyder, DJ","Pirani, JR","H51493","1992","02","02",NA,"Brasil","Bahia","Abaíra","Serra da Tromba, BAse da encosta da serra. Campo gerais.","-41.8","-13.283333","1150","1150",NA,"Subarbusto latescente. Botões e cálice verde-vináceos, flores alvas com tons vináceos, internamente amarelo-claras.","SPF00091173",NA,"1997",NA,"-41.8","-13.283333",NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 18:24:33-03","USP","SPF","92324","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","Goyder, DJ","Stannard, BL","H51058","1992","02","07",NA,"Brasil","Bahia","Abaíra","Serra Água Branca","-41.95","-13.183333","1500","1700",NA,"Erva até 0.50 m alt., latescente. Pétalas amarelo-esverdeadas com tons vináceos. Corona alva. Filetes alvos ou vináceos. Frutos verdes. Flores perfumadas.; Solo areno-pedregoso, entre rochas.","SPF00092324","SPF00092324","1997",NA,"-41.95","-13.183333",NA,NA,NA,NA,NA,NA,NA
"32","2019-11-13 11:14:51-03","USP","SPF","92078","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","Goyder, DJ","Stannard, BL","H51784","1992","03","08",NA,"Brasil","Bahia","Abaíra","Guarda Mor, perto do Morro do Cuscuz.","-41.6636009216309","-13.2496995925903","1300","1300",NA,"Subarbusto ereto, 45 cm alt. Flores amarelo-claras, corona alva. Entre rochas.","SPF00092078",NA,"1997",NA,NA,NA,"26531","auto",NA,NA,NA,NA,NA
"33","2019-11-13 11:14:51-03","USP","SPF","36820","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","Rapini, A","Lewis, GP","CFCR7020","1984","12","16",NA,"Brasil","Bahia","Mucugê","Beira da estrada para Andaraí a cerca de 2 km.","-41.3708000183105","-13.0052995681763",NA,NA,NA,"Erva lenhosa, mais ou menos escandente. Flores cremes. Entre pedras.","SPF00036820",NA,"1997","02",NA,NA,"52493","auto",NA,NA,NA,NA,NA
"34","2019-11-13 11:14:51-03","USP","SPF","49151","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","Rapini, A","Harley, RM","24179","1987","02","14",NA,"Brasil","Bahia","Piatã","Arredores da cidade no caminho para a Capelinha.","-41.7728004455566","-13.1519002914429",NA,NA,NA,"Erva com ramos cilíndricos ascendentes laxamente ramificados, latescente, crescendo entre rochas; heliófila. Folhas poucas e esparsas. Flores creme, pouco comum.","SPF00049151",NA,"1997","02",NA,NA,"41184","auto",NA,NA,NA,NA,NA
"35","2019-10-07 09:13:37-03","UEFS","HUEFS","16426","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","harleyi","Minaria harleyi","(Fontella & Marquete) Rapini & U.C.S.Silva","C.Bitencourt","Ganev, W.","2828","1994","01","20",NA,"Brasil","Bahia","Abaíra",NA,"-41.85","-13.3","1200","1300",NA,NA,"HUEFS0016426","HUEFS0016426","2017","05","41W51'","13S18'",NA,NA,NA,"Asteranae",NA,NA,NA
"36","2019-10-07 09:13:37-03","UEFS","HUEFS","119971","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","harleyi","Minaria harleyi","(Fontella & Marquete) Rapini & U.C.S.Silva","C.Bitencourt","Rapini, A.","1354","2007","01","04",NA,"Brasil","Bahia","Rio de Contas","Início da trilha para o Pico das Almas","-41.8","-13.55",NA,NA,NA,NA,"HUEFS0119971","HUEFS0119971","2017","05","41W48'","13S33'",NA,NA,NA,"Asteranae",NA,NA,NA
"37","2019-10-07 09:13:37-03","UEFS","HUEFS","203962","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","harleyi","Minaria harleyi","(Fontella & Marquete) Rapini & U.C.S.Silva","A.Rapini","Harley, R.M.","56822","2013","12","01",NA,"Brasil","Bahia","Rio de Contas","Mato Grosso Distrito de Mato Grosso: 200 m antes da Fazenda do Pedrão Rodrigues.","-41.828611","-13.451389","1544","1544",NA,"Beira da estrada, com afloramento rochoso alto com campo rupestre.","HUEFS0203962","HUEFS0203962","2015","03","41W49'43''","13S27'5''",NA,NA,NA,"Asteranae",NA,NA,NA
"38","2019-10-07 09:13:37-03","UEFS","HUEFS","28737","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","harleyi","Minaria harleyi","(Fontella & Marquete) Rapini & U.C.S.Silva","C.Bitencourt","Roque, N.","PCD4503","1996","11","19",NA,"Brasil","Bahia","Rio de Contas","serra do tombador","-41.795","-13.630556","1100","1100",NA,"transção caatinga-campo rupestre","HUEFS0028737","HUEFS0028737","2017","05","41W47'42''","13S37'50''",NA,NA,NA,"Asteranae",NA,NA,NA
"39","2019-10-07 09:13:37-03","UEFS","HUEFS","29136","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","harleyi","Minaria harleyi","(Fontella & Marquete) Rapini & U.C.S.Silva","C.Bitencourt","Stannard, B.","PCD4817","1997","02","01",NA,"Brasil","Bahia","Rio de Contas","Caminho para a Cachoeira do Fraga.","-41.819722","-13.595556","1000","1000",NA,NA,"HUEFS0029136","HUEFS0029136","2017","05","41W49'11''","13S35'44''",NA,NA,NA,"Asteranae",NA,NA,NA
"40","2019-10-07 09:13:37-03","UEFS","HUEFS","72465","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","harleyi","Minaria harleyi","(Fontella & Marquete) Rapini & U.C.S.Silva","C.Bitencourt","Rapini, A.","1062","2003","04","19",NA,"Brasil","Bahia","Rio de Contas","Kariambola Serra da Mesa, caminho Mato Grosso #?# Itobira.","-41.866667","-13.383333","1500","1500",NA,"Campo rupestre.","HUEFS0072465","HUEFS0072465","2017","05","41W52'","13S23'",NA,NA,NA,"Asteranae",NA,NA,NA
"41","2020-07-23 11:56:14-03","CEPLAC","CEPEC","108637","PreservedSpecimen","Plantae",NA,NA,NA,"Barjonia","harleyi","Barjonia harleyi",NA,"Sem Informação","R. M. Harley","27101","1988","12","11",NA,"Brasil","Bahia","RIO DE CONTAS","Pico das Almas. Vertente leste. Entre Junco-Faz. Brumadinho, 9-14km ao N-O da cidade.","-41.9","-13.533333","1200","1200",NA,NA,NA,NA,NA,NA,"41W54'","13S32'",NA,NA,NA,NA,NA,NA,NA
"42","2020-07-23 11:58:19-03","CEPLAC","CEPEC","25246","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Barjonia","harleyi","Barjonia harleyi",NA,"J. Fontella","R. M. Harley","20657","1980","01","25",NA,"Brasil","Bahia","MUCUGÊ","5Km ao longo da Rod. para Andaraí.","-41.333333","-12.966667",NA,NA,NA,NA,NA,NA,NA,NA,"41W20'","12S58'",NA,NA,NA,NA,NA,"Isótipo","12/06/1985"
"43","2020-07-23 11:58:19-03","CEPLAC","CEPEC","47481","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Barjonia","harleyi","Barjonia harleyi",NA,"Flora do Pico das Almas","R. M. Harley","27101","1988","12","11",NA,"Brasil","Bahia","RIO DE CONTAS","9-14Km ao N-O da cidade.Pico das Almas. Vertente leste.Entre Junco/Faz. Brumadinho.","-41.9","-13.533333",NA,NA,NA,NA,NA,NA,NA,NA,"41W54'","13S32'",NA,NA,NA,NA,NA,NA,"30/12/1995"
"44","2020-07-23 11:58:19-03","CEPLAC","CEPEC","69757","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Barjonia","harleyi","Barjonia harleyi",NA,"D. J. Goyder","R. M. Harley","27101","1988","12","11",NA,"Brasil","Bahia","RIO DE CONTAS","9-14Km ao N-O da cidade.Pico das Almas. Vertente leste.Entre Junco/Faz. Brumadinho","-41.9","-13.533333",NA,NA,NA,NA,NA,NA,NA,NA,"41W54'","13S32'",NA,NA,NA,NA,NA,NA,"30/12/1994"
"45","2020-07-23 11:58:19-03","CEPLAC","CEPEC","74936","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Barjonia","harleyi","Barjonia harleyi",NA,"M. L. Guedes","B. Stannard","4817","1997","02","01",NA,"Brasil","Bahia","RIO DE CONTAS","Caminho p/ a Cachoeira do Fraga.","-41.819722","-13.595556",NA,NA,NA,NA,NA,NA,NA,NA,"41W49'11","13S35'44",NA,NA,NA,NA,NA,NA,"01/02/1997"
"46","2020-07-23 11:58:19-03","CEPLAC","CEPEC","79582","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Barjonia","harleyi","Barjonia harleyi",NA,"R. M. Harley","N. Roque","4503","1996","03","24",NA,"Brasil","Bahia","RIO DE CONTAS","Serra do Lombador.","-41.795","-13.630556",NA,NA,NA,NA,NA,NA,NA,NA,"41W47'42","13S37'50",NA,NA,NA,NA,NA,NA,"30/11/1996"
"47","2020-07-23 11:58:19-03","CEPLAC","CEPEC","44520","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Barjonia","harleyi","Barjonia harleyi",NA,"J. Fontella","G. Hatschbach","47516","1987","12","30",NA,"Brasil","Bahia","MUCUGÊ","1Km ao S do corrego.","-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52493","auto",NA,NA,NA,NA,"30/12/1984"
"48","2020-02-17 11:29:21-03","UEG","HUEG","2412","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asclepiadaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete","Ravenna, P.F.","Munhoz, C.B.R.; Ramos, M.V.V.","s.n.","2003",NA,NA,"Southern America","Brasil","Minas Gerais",NA,"região do triangulo mineiro",NA,NA,NA,NA,NA,"19 00 23,2s&nf;48 18 29,3w","HUEG002412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2020-07-29 09:03:33-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Apocynaceae","Minaria","harleyi","Minaria harleyi","(Fontella & Marquete) Rapini & U.C.S. Silva","Silva, DP","Silva, DP; Jesus, EA; Bijos, NR; Munhoz, CBR","997","2018","07","05","Southern America","Brasil","Goiás","Alto Paraíso","Chapada dos Veadeiros Vereda dos Ingleses","-47.763806","-14.135556",NA,NA,NA,"Vereda",NA,NA,NA,NA,"-47.763806","-14.135556",NA,NA,NA,NA,NA,NA,NA
"50","2019-05-06 11:51:59-03","UFU","HUFU","37202","S","Plantae",NA,NA,"Apocynaceae","Barjonia","harleyi","Barjonia harleyi","Fontella & Marquete",NA,"Oliveira, G.C.","2341","2003","01","21",NA,"Brasil","Minas Gerais","Uberlândia","Fazenda Estiva, 10km da BR 050 na altura do km 25.","-48.126667","-19.100833",NA,NA,NA,"Herbácea, ca. 0,6 m. Vinho escuro.; Vereda.","HUFU00001212",NA,NA,NA,"-48.126667","-19.100833",NA,NA,NA,NA,NA,NA,NA
