"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"15","2021-03-15 16:37:00-03","NY","NYBG","539239","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"G. Gardner",NA,NA,NA,"Brazil","Pernambuco",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539239","NY00539239_01",NA,NA,"1133","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01478522","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"W. A. Archer","1942","08","14","Brazil","Pará","Belém","Road in front of I.A.N.","-48.4447503","-1.4380977",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1731114' target='other'> <mi>dwc_moreinfo</mi></a>","NY01478522","NY01478522_01",NA,NA,"7576","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1075458","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"M. F. F. da Silva","1983","04","22","Brazil","Maranhão",NA,"Rodovia Grajaú-Arame",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336372' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075458",NA,NA,NA,"1182","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","2423118","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"A. J. Castelo","2012","05","20","Brazil","Rio de Janeiro","Rio de Janeiro","Área de Proteção Ambiental de Marapendi, Praia da Reserva.","-43.4236","-23.0172",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685290' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423118","NY02423118_01",NA,NA,"52","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","539235","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"H. M. Curran","1918","05","08","Brazil","Bahia",NA,"Bomfim. Mt. Loboa",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539235","NY00539235_01",NA,NA,"197","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","539243","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"T. Morong","1888",NA,NA,"Paraguay",NA,NA,"Central Paraguay",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539243",NA,NA,NA,"154","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","273251","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"Martii Herbar. Florae Brasil.","1837",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=650144' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273251","NY00273251_01",NA,NA,"427","South America","sheet",NA,"syntype","Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1075463","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"H. S. Irwin","1968","03","15","Brazil","Tocantins","Araguaína","Ca. 1km S. of Araguaína, at Rio das Lontras","-48.18","-7.22",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336379' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075463",NA,NA,NA,"21226","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales","300","300",NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01478509","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"M. J. G. Hopkins","1986","06","17","Brazil","Roraima","Alto Alegre","Ilha de Maracá. Road between Estação and Boa Vista-Ilha de Maracá. On road between SEMA Estação and Boa Vista, 14 km from Island. Open grazed grassland. Sparsely vegetated, soil very sandy.","-61.333333","3.3",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1326422' target='other'> <mi>dwc_moreinfo</mi></a>","NY01478509","NY01478509_01",NA,NA,"841","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1181831","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.","S. Athiê de Souza",NA,NA,NA,"W. W. Thomas","2004","09","18","Brazil","Bahia","Una","Along the Rio Maruim between the Reserva Biologica de Una and the Ecoparque de Una.","-39.0553665","-15.1755509",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=828733' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181831","NY01181831_01",NA,NA,"14130","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales","50","50",NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","539225","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"R. M. Harley","1980","06","01","Brazil","Bahia","Morro do Chapéu","Morro do Chapeu. Ca. 16 km along the Morro do Chapeu to Utinga road, SW of Morro do Chapeu","-41.28","-11.63",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=389451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539225","NY00539225_01",NA,NA,"22981","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales","980","980",NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01478524","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"T. C. Plowman","1982","12","11","Brazil","Amazonas","Tefé","Lago de Tefé, northwest shore. Banks of Lago Tefé and forest margin.","-64.8239279","-3.345023",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1322784' target='other'> <mi>dwc_moreinfo</mi></a>","NY01478524","NY01478524_01",NA,NA,"12476","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01478515","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"A. da Silva","1944","03","06","Brazil","Pará","Belém","On lands of Instituto Agronomico do Norte, 1 km so. of Administration Building.","-48.4447503","-1.4380977",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1730851' target='other'> <mi>dwc_moreinfo</mi></a>","NY01478515","NY01478515_01",NA,NA,"159","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","539227","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"C. Gay","1828",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539227","NY00539227_01",NA,NA,"s.n.","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-11-01 14:50:00-02","NY","NYBG","539234","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata",NA,NA,NA,NA,NA,"J. C. Lindeman","1967","03","26","Brazil","Paraná","Matinhos","Coastal plain between Caioba and Matinhos","-48.5428","-25.8175",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539234","NY00539234_01",NA,NA,"5070","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-09-30 11:44:00-03","NY","NYBG","01806147","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata",NA,"R. M. Déda",NA,NA,NA,"L.A. Gomes","2012","06","12","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto: Borda da mata.","-37.4286","-11.3997",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2131149' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806147","NY01806147_01",NA,NA,"544","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1075467","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"H. S. Irwin","1970","03","23","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, ca. 15 km N. of São João da Chapada","-43.68125","-17.99895",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336385' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075467",NA,NA,NA,"28136","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales","975","975",NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","539229","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"C. Gay",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157046' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539229","NY00539229_01",NA,NA,NA,"South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","539240","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"W. R. Anderson","1972","03","06","Brazil","Bahia",NA,"Espigao Mestre, ca. 100 km WSW of Barreiras",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157057' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539240","NY00539240_01",NA,NA,"3614","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales","750","750",NA,NA,NA,NA,NA,NA
"34","2016-11-01 14:49:00-02","NY","NYBG","539238","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata",NA,NA,NA,NA,NA,"R. P. Belém","1965","04","11","Brazil","Bahia",NA,"Rodovia Camacan - Canavieira",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157050' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539238","NY00539238_01",NA,NA,"783","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","03042344","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"A. J. Castelo","2012","06","30","Brazil","Rio de Janeiro","Arraial do Cabo","Área de Proteção Ambiental de Massambaba, Praia da Figueira. vegetação halófila-psamófila.","-42.2113889","-22.9413889",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3272792' target='other'> <mi>dwc_moreinfo</mi></a>","NY03042344","NY03042344_01",NA,NA,"17","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","01478512","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"E. P. Killip","1929","11","03","Brazil","Pará",NA,"Ilha do Mosqueiro, near Para","-48.3828","-1.1458",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1729171' target='other'> <mi>dwc_moreinfo</mi></a>","NY01478512","NY01478512_01",NA,NA,"30666","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","539237","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"G. G. Hatschbach","1969","04","24","Brazil","Paraná","Paranaguá","Ilha do Mel","-48.326804","-25.522889",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157052' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539237","NY00539237_01",NA,NA,"21437","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","1075464","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"G. Eiten","1962","04","08","Brazil","Maranhão","Lorêto","Ilha de Balsas region, between the Balsas and Parnaíba rivers. Ca 10 km S of Lorêto. On flat top of the plateau, Serra do Penitente, on trail from Faz. Trabalhosa to Lorêto.","-45.125","-7.17",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336380' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075464",NA,NA,NA,"4212","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales","400","400",NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","1075465","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"G. Eiten","1962","03","26","Brazil","Maranhão","Lorêto","About 40 Km south of Lorêto in the Ilha das Balsas region, between the Rio das Balsas and Parnaíba. At place called Picada, about 100 m S of the creek, Riacho da Picada","-45.12","-7.43",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336382' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075465",NA,NA,NA,"3843","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales","250","250",NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","01478511","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"J. M. Pires","1947","05","01","Brazil","Amazonas",NA,"Rio Negro; Jucabí.","-66.79431","-0.204393",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1729170' target='other'> <mi>dwc_moreinfo</mi></a>","NY01478511","NY01478511_01",NA,NA,"599","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","02724030","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"G. Pereira-Silva","2010","03","23","Brazil","Rondônia",NA,"Margem esquerda do rio Madeira","-64.7264","-9.3214",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3013272' target='other'> <mi>dwc_moreinfo</mi></a>","NY02724030","NY02724030_01",NA,NA,"15138","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales","85",NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","01065809","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata","(Vahl) Griseb.",NA,NA,NA,NA,"L. Buscalioni","1899","05","28","Brazil","Pará",NA,"Rio Tocantins. Campos do Breu-Branco.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1212366' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065809","NY01065809_01",NA,NA,"3130","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"43","2016-09-30 01:44:00-03","NY","NYBG","1075461","PreservedSpecimen","Plantae","Euphorbiaceae","Microstachys","corniculata","Microstachys corniculata",NA,NA,NA,NA,NA,"D. Philcox","1968","01","09","Brazil","Mato Grosso",NA,"Transect near Base Camp.","-51.77","-12.82",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336375' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075461",NA,NA,NA,"3928","South America","sheet",NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
