"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","individualCount","relatedCatalogItem","fieldNumber","sex"
"11","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","10601",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Smith","G. Martinelli/19-04-1995","Cintia C. Chamas; et al","341","1994","12","16",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Terrestre, folha verde com base avermelhada, face inferior com indumento branco, espinhos marrons, bráctea rosa escuro, sépala rosa claro, pétala lilás. Trilha Tapinoã, serrapilheira sobre solo arenoso, sol filtrado, altitude aprox. 70","MBML010601","MBML010601_1 MBML010601_2",NA,NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","10604",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Smith","G. Martinelli/19-04-1995","Cintia C. Chamas; et al","299","1994","11","17",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Epífita (a 68cm ), trilha Timbuí, meia sombra.","MBML010604","MBML010604_1 MBML010604_2",NA,NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","11064",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Smith","G. Martinelli/02-05-1995","Cintia C. Chamas; et al","294","1994","10","28",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Epífita (a 4m), folha verde com base marrom, face inferior vinho com indumento branco, espinhos marrons. Trilha da divisa, sol.","MBML011064","MBML011064_1 MBML011064_2 MBML011064_3",NA,NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","14400",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Smith","L. Kollmann/08-03-2002","L. Kollmann; et al","3980","2001","06","19",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Epífita no sol. Folhas verdes. Bainhas marrons. Brácteas e flores vermelhas. Sépalas brancas com ápice lilás . Pétalas lilás.","MBML014400","MBML014400_1 MBML014400_2",NA,NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","14642",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Smith","L. Kollmann/11-09-2001","L. Kollmann; et al","4530","2001","09","05",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Epífita no sol. Bainhas foliares vináceas, base branca. Brácteas escapais e florais vermelhas. Pétalas lilás. Sépalas brancas com ápice lilás.","MBML014642","MBML014642_1 MBML014642_2",NA,NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","17479",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Smith","L. Kollmann/04-12-2002","R.R. Vervloet; et al","904","2002","09","18",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Terrestre, solo arenoso, dossel 6m, brácteas florais e escapais branca com ápice rosa, frutos de cor branca, folha verde com base vinho.","MBML017479","MBML017479_1 MBML017479_2",NA,NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","24911",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Smith","L. Kollmann/31-08-2005","L. Kollmann; et al","8269","2005","08","31",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Terrestre no sol. Brácteas rosas.","MBML024911","MBML024911_1 MBML024911_2",NA,NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","27299",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Smith","T.S. Coser & T. Wendt/30-08-2008","V. Demuner; L.F.S Magnago, T. Cruz e Elias Bausen","2604","2006","07","13",NA,"Brasil","Espírito Santo","Marilândia","Liberdade (Água.Viva, Pedra do Cruzeiro), Prop.: Aguilar A. Lovucini","-40.551111","-19.348333",NA,"Terrestre brácteas rosas, pétalas lilás claro com ápice roxo. Afloramento rochso, boa camada de solo, sombra.","MBML027299","MBML027299_1 MBML027299_2 MBML027299_3",NA,NA,NA,NA,NA,"40W33'4","19S20'54","150","150",NA,NA,NA,NA,NA,NA
"19","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","30375",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Smith","T.S. Coser & T. Wendt/30-08-2008","V. Demuner; R. R. Vervloet, T. Cruz e Elias Bausen.","4249","2007","06","13",NA,"Brasil","Espírito Santo","Marilândia","Liberdade (Água Viva, Pedra do Cruzeiro), propr.: Aguilar A. Lorenccini","-40.549167","-19.345833",NA,"Rupícola botões florais, flores e brácteas rosas. Interior de mata.","MBML030375","MBML030375_1 MBML030375_2",NA,NA,NA,NA,NA,"40W32'57","19S20'45","300","300",NA,NA,NA,NA,NA,NA
"20","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","31515",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Smith","T.S. Coser & T. Wendt/30-08-2008","R.R. Vervloet; V. Demuner, E. Bausen, T. A. Cruz","3291","2007","08","28",NA,"Brasil","Espírito Santo","Santa Leopoldina","Pedra Branca. Prop. Crist. Bremenkanp","-40.495278","-20.035556",NA,"Rupícula, folhas de cor verde com base vinho. Bracteas escapais e florais de cor rosa, frutos de cor branca. Mata.","MBML031515","MBML031515_1 MBML031515_2",NA,NA,NA,NA,NA,"40W29'43","20S2'8","250","250",NA,NA,NA,NA,NA,NA
"21","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","31534",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Smith","T.S. Coser & T. Wendt/30-08-2008","R.R. Vervloet","2645","2004","08","03",NA,"Brasil","Espírito Santo","Santa Leopoldina","Rio das Farinhas","-40.616111","-20.101944",NA,"Terrestre, brácteas e escapo de cor rosa, sépalas de cor branca e ápice azulado. Folhas verdes com base vinho.","MBML031534","MBML031534_1 MBML031534_2 MBML031534_3",NA,NA,NA,NA,NA,"40W36'58","20S6'7",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","48942",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Smith","Nagibi/10-10-2001","N.N.F. da Silva","66","2001","10","10",NA,"Brasil","Espírito Santo","Santa Teresa","São Lourenço, Parque Municipal de São Lourenço","-40.620278","-19.923889",NA,"Terrestre, bainha foliar marrom.","MBML048942",NA,NA,NA,NA,NA,NA,"40W37'13","19S55'26",NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","49019",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Smith","L. Kollmann/10-10-2001","N.N.F. da Silva","66","2001","10","10",NA,"Brasil","Espírito Santo","Santa Teresa","São Lourenço, Parque Municipal de São Lourenço","-40.620278","-19.923889",NA,"Terrestre, bainha foliar marrom","MBML049019","MBML049019_1 MBML049019_2",NA,NA,NA,NA,NA,"40W37'13","19S55'26",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","53769",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Smith",NA,"A.D. Ferreira; P.J. Coelho","153","2014","08","22",NA,"Brasil","Espírito Santo","Santa Teresa","RPPN VALE DO SOL","-40.533333","-19.95",NA,"Rupícula. Inflorescência com brácteas rosa, sépalas e pétalas lilás","MBML053769","MBML053769",NA,NA,NA,NA,NA,"40W32'0","19S57'0",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-07-10 09:44:22-03","MBML","MBML-HERBARIO","572",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Smith","G. Martinelli/15-03-1988","G. Martinelli","11623","1986","07","25",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Epífita, semi heliófila, folhas concolores com bainha castanho arroxeada, espinhos castanho negrescentes, inflorescência com escapo verde, brácteas escapais, róseos com indumento alvacento, brácteas florais róseas, flores com sépalas c","MBML000572","MBML000572",NA,NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","7989",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Smith","G. M. Sousa/14-02-2000","L. Kollmann; E. Bausen & W. Pizziolo","408","1998","08","19",NA,"Brasil","Espírito Santo","Santa Teresa","Penha. Sítio do Zurlo","-40.534444","-19.950556",NA,"Mata de encosta. Epífita 8m. Brácteas rosas. Flores roxas.","MBML007989","MBML007989_1 MBML007989_2",NA,NA,NA,NA,NA,"40W32'4","19S57'2",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","975",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Smith",NA,"W. Boone","590","1985","07","19",NA,"Brasil","Espírito Santo","Santa Teresa","Museu de Biologia Mello Leitão, Parque","-40.6","-19.936111",NA,"Terrestre com inflorescência de brácteas rosas, pétalas brancas na base e lilases nas extremidades, em semi-sombra.","MBML000975","MBML000975",NA,NA,NA,NA,NA,"40W36'0","19S56'10",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","16659",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Smith","J. R. Santos/L. Kollmann-2002","J. R. Santos; et al","28","2002","04","20",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","São José do Rio Claro","-40.626944","-20.35",NA,"Mata de encosta. Terrestre com crescimento em meia sombra. Bainha foliar vinácea. Inflorescência seca.","MBML016659","MBML016659_1 MBML016659_2",NA,NA,NA,NA,NA,"40W37'37","20S20'60",NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","19474",NA,"Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Smith","T.S. Coser/20-06-2011","J. R. Santos; et al","20","2001","08","05",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","São José do Rio Claro","-40.626944","-20.35",NA,"Mata de encosta. Epífita com crescimento na sombra. Bainha foliar branca com ápice marrom escuro. Lâmina foliar verde escuro. Brácteas escapais e florais vermelho escuro. Pétalas e sépalas brancas com ápice lilás.","MBML019474","MBML019474",NA,NA,NA,NA,NA,"40W37'37","20S20'60",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-09-12 05:00:02-03","US","US","1804298","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B. Sm.",NA,"M. B. Foster & R. C. Foster","244","1939","7","25","South America - Neotropics","Brazil","Espírito Santo",NA,"Santa Tereza.",NA,NA,NA,NA,"US00091496","US00091496_01",NA,NA,NA,NA,NA,NA,NA,"600","600","Monocotyledonae","Type collection","1",NA,NA,NA
"31","2020-07-23 12:00:44-03","CEPLAC","CEPEC","63113","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys",NA,"G. Martinelli","W. Boone","590","1985","07","19",NA,"Brasil","Espírito Santo","SANTA TERESA","Pátio do MBML.","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA,"30/12/1988",NA,NA
"32","2019-11-21 10:02:25-03","IBt","SP","44744","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L.B.Sm.","Handro, O","Foster, MB; Foster, R","244","1939","07","25",NA,"Brasil","Espírito Santo","Santa Teresa","On road to Santa Tereza. Alt. up to 2000 ft","-40.6002998352051","-19.9356002807617",NA,NA,"SP001737","SP001737","1977","05",NA,"23813","auto",NA,NA,"600","600",NA,"Isotype",NA,NA,NA,NA
"33","2010-08-16 16:42:32-03","GH","HU-HERB","GH 00028999","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L. B. Smith",NA,"M. B. Foster & R. Foster","244","1939","7","25","South America","Brazil","Espirito Santo",NA,"On road to Santa Teresa",NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,"244","undetermined"
"34","2010-08-16 16:42:51-03","GH","HU-HERB","GH 00029000","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","macrochlamys","Aechmea macrochlamys","L. B. Smith",NA,"M. B. Foster & R. Foster","244","1939","7","25","South America","Brazil","Espirito Santo",NA,"On road to Santa Teresa",NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,"244","undetermined"
