"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","typeStatus","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","662909","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","J. R. Swallen","L. B. Smith","11628","1957","02","20","South America","Brazil","Santa Catarina","Chapecó","Fazenda Campo Sao Vicente 24 km west of Campo Erê, south banhado with corduroy causeway","-53.18","-26.37","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662909","NY00662909_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-13 09:20:42-03","UFRJ","RFA","11048","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","S.A. Renvoize","G.G. Hatschbach","15356","1966","12","10",NA,"Brasil","Paraná","Teixeira Soares","Rio das Almas","-50.4606018066406","-25.3682994842529",NA,NA,NA,NA,"RFA30985",NA,"1971","31767","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:54:03-03","EAO","IAN","65237","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.",NA,"Müller, F","36125",NA,NA,NA,"Southern America","Brasil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,"IAN065237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:54:03-03","EAO","IAN","65248","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","Kuhlmann, JG","Dusén, P","2331","1903","11","29","Southern America","Brasil","Paraná","Curitiba","Curitiba.","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"IAN065248",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 10:19:22-03","NBC","NL-BOTANY","L 0044893","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","Henrard JT","Balansa B",NA,"1874","10","10","Southern America","Paraguay",NA,NA,"ParaguayVilla Rica",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200044893 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0044893","NL-L0044893","1919",NA,NA,"Magnoliopsidae","01","01","type","90893865",NA,NA,NA,NA
"16","2020-02-08 10:19:22-03","NBC","NL-BOTANY","L.1296236","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.",NA,"Balansa B",NA,"1874","09","25","Southern America","Paraguay",NA,NA,"Sauche cespiteuse. - Pastoreo mi, a l'set de la Cordullere de villa- Rica, dans les prairies marecageuzet. *.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1296236 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1296236","NL-L1296236",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-02-08 10:19:22-03","NBC","NL-BOTANY","L.1296237","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.",NA,"Balansa B",NA,"1874","11","19","Southern America","Paraguay",NA,NA,"Souche cespiteuse Baaguazu, dans les prairies marecageuses. *.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1296237 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1296237","NL-L1296237",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-02-08 10:19:22-03","NBC","NL-BOTANY","L.1296238","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.",NA,"Smith LB; Klein RM",NA,"1957","02","20","Southern America","Brazil",NA,NA,"Santa Catarina. South banhado with corduroy causeway. Mun. Chapecó: bog, Fazenda Campo São Vicente 24 km west of Campo Erê.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1296238 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1296238","NL-L1296238",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-02-08 10:19:22-03","NBC","NL-BOTANY","L.1296239","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.",NA,"Hatschbach GG",NA,"1961","10","22","Southern America","Brazil",NA,NA,"Parana(Brasil), Mun Campina Gde. do Sul, Quatro Barras.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1296239 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1296239","NL-L1296239",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-02-08 10:19:22-03","NBC","NL-BOTANY","L.1296240","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.",NA,"Klein RM",NA,"1962","12","06","Southern America","Brazil",NA,NA,"Plantas de Santa Catarina - Brasil. Marombas, Curitibanos Banhado de campo.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1296240 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1296240","NL-L1296240",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-02-08 10:19:22-03","NBC","NL-BOTANY","U.1520750","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.",NA,"Düsen P",NA,"1909","11","13","Southern America","Brazil",NA,NA,"Curityba, Pinhaes, in palurossi.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1520750 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1520750","NL-U1520750",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-07 11:47:36-03","UFMS","CGMS","37964","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","J.F.M. Valls","S.N.Moreira; V.J. Pott, A. Pott & J.F.M. Valls","304","2010","04","26",NA,"Brasil","Mato Grosso do Sul","Terenos","Fazenda Modelo da Embrapa Gado de Corte. Área de Varjão proximo à ferrovia.","-54.7833333","-20.5566667","504","504",NA,NA,"CGMS1067378",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-54,7833333","-20,5566667",NA,NA
"23","2021-04-07 11:47:36-03","UFMS","CGMS","49848","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","V.J. Pott","V.J. Pott; S.N. Moreira; A. Pott","11021","2010","11","01",NA,"Brasil","Mato Grosso do Sul","Terenos","Fazenda Modelo, Embrapa, varjão próximo à ferrovia Campo Grande - Ponta Porã.","-54.7908333","-20.5588889","511","511",NA,NA,"CGMS1079779",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-54,7908333","-20,5588889",NA,NA
"24","2021-04-07 11:47:36-03","UFMS","CGMS","72901","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","V.J. Pott","V.J. Pott; A. Pott; S.N. Moreira","11912","2015","09","13",NA,"Brasil","Mato Grosso do Sul","Sidrolândia","Fazenda Ribeirão.","-54.9025","-21.0061111","457","457",NA,NA,"CGMS1105708",NA,"2015",NA,NA,NA,"10","02",NA,NA,"-54,9025","-21,0061111",NA,NA
"25","2021-04-07 11:47:36-03","UFMS","CGMS","73353","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","J.F.M. Valls","V.J. Pott; S.N. Moreira; A. Pott","10877","2010","04","12",NA,"Brasil","Mato Grosso do Sul","Campo Grande","Fazenda Modelo da Embrapa, varjão próximo à ferrovia Campo Grande - Ponta Porã.","-54.7902777","-20.5569444","505","505",NA,"Aurículas com tricomas longos, marrons brilhantes. Habitat: Campo úmido, em nascente, com buritis jovens. Solo argiloso. Relevo plano. Frequente. Habito: Erva cespitosa, anfíbia, 60 - 70 cm de altura, escapo 1,10 - 1,40 m.","CGMS1106160",NA,"2010",NA,NA,NA,"04","23",NA,NA,"-54,7902777","-20,5569444",NA,NA
"26","2021-01-27 14:32:56-03","UFSM","SMDB","17725","S","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.",NA,"Longhi-Wagner, HM; Zuloaga; Guglieri.","9460","2005","03","08",NA,"Brasil","Paraná","Jaguariaiva","Parque Estadual do Cerrado","-49.7057991027832","-24.2511005401611",NA,NA,NA,"Junto ao Canyon. Acervo: Dupl. CEN; SI. ICN 136753; cerrado aberto","SMDB017725",NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-01-27 14:32:56-03","UFSM","SMDB","12396","S","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","Canto-Dorow, T","Kozera, C; Kozera, OP","2655","2006","11","21",NA,"Brasil","Paraná","Balsa Nova","Ponte dos Arcos.","-49.6356010437012","-25.5839004516602",NA,NA,NA,"Herbácea cespitosa em solo hidromórfico (cone de degeção)","SMDB012396",NA,"2007","27346","auto",NA,"03",NA,NA,NA,NA,NA,NA,NA
"28","2021-01-27 14:32:56-03","UFSM","SMDB","12399","S","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","Canto-Dorow, T","Kozera, C; Kozera, OP","2313","2005","08","04",NA,"Brasil","Paraná","Balsa Nova","Ponte dos Arcos.","-49.6356010437012","-25.5839004516602",NA,NA,NA,"Herbácea cespitosa; Em campo hidromórfico recém queimado.","SMDB012399",NA,"2007","27346","auto",NA,"03",NA,NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:40:46-03","MBM","MBM","212408","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","Ribas, O.S.","Silva, S.M.; et al.; et al.","1680",NA,NA,NA,"Southern America","Brazil","Paraná","Castro","Rio Cunhaporanga","-50.0119018554688","-24.7910995483398",NA,NA,NA,NA,"MBM212408","MBM212408",NA,"50779","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-21 16:40:46-03","MBM","MBM","1783","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","Renvoize, S.A.","Hatschbach, G.","15356",NA,NA,NA,"Southern America","Brazil","Paraná","Teixeira Soares","Rio das Almas","-50.4606018066406","-25.3682994842529",NA,NA,NA,NA,"MBM001783","MBM001783",NA,"31767","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-12-21 16:40:46-03","MBM","MBM","207331","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","Renvoize, S.A.","Dombrowski, L.T.","5457",NA,NA,NA,"Southern America","Brazil","Paraná","Curitiba","Capão da Imbuia","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"MBM207331",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-12-21 16:40:46-03","MBM","MBM","207333","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","Renvoize, S.A.","Dombrowski, L.T.","5650",NA,NA,NA,"Southern America","Brazil","Paraná","Curitiba","Capão da Imbuia","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"MBM207333",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-12-21 16:40:46-03","MBM","MBM","20314","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","Davidse, G.","Hatschbach, G.","29202",NA,NA,NA,"Southern America","Brazil","Paraná","Curitiba","Vila Nova","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"MBM020314","MBM020314",NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-12-21 16:40:46-03","MBM","MBM","207332","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","Renvoize, S.A.","Dombrowski, L.T.","6717",NA,NA,NA,"Southern America","Brazil","Paraná","Lapa","Lapa","-49.7158012390137","-25.7696990966797",NA,NA,NA,NA,"MBM207332",NA,NA,"49965","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-12-21 16:40:46-03","MBM","MBM","19442","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","Renvoize, S.A.","Hatschbach, G.; Smith, L.B.; Klein, R.; Smith, L.B.; Klein, R.","28165",NA,NA,NA,"Southern America","Brazil","Paraná","Palmas","10km a noroeste de Palmas","-51.9906005859375","-26.4841995239258",NA,NA,NA,NA,"MBM019442","MBM019442",NA,"46666","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-12-21 16:40:46-03","MBM","MBM","19455","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","Renvoize, S.A.","Hatschbach, G.","28135",NA,NA,NA,"Southern America","Brazil","Paraná","Palmas","Horizonte","-51.9906005859375","-26.4841995239258",NA,NA,NA,NA,"MBM019455","MBM019455",NA,"46666","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-12-21 16:40:46-03","MBM","MBM","24845","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","Parodi, L.R.","Hatschbach, G.","3469",NA,NA,NA,"Southern America","Brazil","Paraná","Campina Grande do Sul","Quatro Barras","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"MBM024845","MBM024845",NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-12-21 16:40:46-03","MBM","MBM","7604","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","Renvoize, S.A.","Hatschbach, G.","17554",NA,NA,NA,"Southern America","Brazil","Paraná","Contenda","Rodovia do Xisto","-49.5346984863281","-25.6756000518799",NA,NA,NA,NA,"MBM007604","MBM007604",NA,"22732","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-12-21 16:40:46-03","MBM","MBM","251892","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.",NA,"Jönsson, G.","176",NA,NA,NA,"Southern America","Brazil","Paraná","Curitiba","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"MBM251892",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:40:46-03","MBM","MBM","2815","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","Swallen, J.R.","Klein, R.","3255",NA,NA,NA,"Southern America","Brazil","Paraná","Curitiba","Curitibanos","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"MBM002815","MBM002815",NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2015-10-02 10:37:38-03","MNHN","RECOLNAT_MNHN_P","P00745870","PreservedSpecimen",NA,NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","Chase","Balansa, B.",NA,"1874","10","10",NA,"Paraguay",NA,NA,"Villa-Rica",NA,NA,NA,NA,"hb","Reçu le 29 Novembre 1877 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00745870' target='other'> <mi>dwc_moreinfo</mi></a>","P00745870","P00745870_01",NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA,"72",NA
"42","2020-12-11 11:45:15-03","UFMG","BHCB","99835","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.",NA,"Viana, PL; Mota, RC da; Carvalho, FA","224","2002","10","09","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro","Parque Natural Municipal Ribeirão do Campo","-43.4249992370605","-19.0372009277344","1250","1250",NA,"ESpiguetas verdes.; Em campo limpo pedregosos.","BHCB035514",NA,"2016","60318","auto",NA,"04","26",NA,NA,NA,NA,NA,NA
"43","2021-02-11 17:21:19-03","UFPR","UPCB","60838","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","Canto-Dorow, T.","Kozera, C.","2655","2005","11","21",NA,"Brasil","Paraná","Balsa Nova","Ponte dos Arcos.","-49.6356010437012","-25.5839004516602",NA,NA,NA,"Herbácea, cespitosa, em solo hidromórfico (cone de degeção)..","UPCB0039211","UPCB0039211","2007","27346","auto",NA,"01","01",NA,NA,NA,NA,NA,NA
"44","2021-02-11 17:21:19-03","UFPR","UPCB","3410","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","Swallen, J.R.","Hatschbach, G.","8436","1961","10","22",NA,"Brasil","Paraná","Campina Grande do Sul","Quatro Barras","-49.0553016662598","-25.3055992126465",NA,NA,NA,"Orla brejo..","UPCB0039210","UPCB0039210","1962","55154","auto",NA,"01","01",NA,NA,NA,NA,NA,NA
"45","2020-07-26 08:52:00-03","MO","MOBOT","2972179","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","G. Davidse","Gert G. Hatschbach","Hatschbach 29202","1971","8",NA,"South America","Brazil","Paraná","Curitiba","Vila Nova. Do brejo.","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"46","2020-07-26 08:53:00-03","MO","MOBOT","2972641","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","S.A. Renvoize","Gert G. Hatschbach","Hatschbach 28135","1971","8","3","South America","Brazil","Paraná","Palmas","Horizonte. Do Brejo.","-51.9906005859375","-26.4841995239258",NA,NA,NA,NA,NA,NA,NA,"46666","auto",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"47","2008-05-27 22:02:00-03","MO","MOBOT","1234015","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","F.O. Zuloaga, 1998 (SI)","Fernando O. Zuloaga|et al.","Zuloaga 3234","1987","11","25","South America","Argentina","Corrientes",NA,"Dep. Ituzaingó: Ruta Nac. 12, 5 kms antes del Ayo. Itaembé.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2013-10-15 12:31:00-03","MO","MOBOT","1419432","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","O. Morrone & F. Zuloaga","Elsa M. Zardini|Pedro Báez","Zardini 52639","1999","11","12","South America","Paraguay","Amambay",NA,"National Park Cerro Corá. Along Aceite-i creek.","-56.0258334","-22.6702778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1189","4"
"49","2008-05-27 22:02:00-03","MO","MOBOT","213372","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.",NA,"Per Dusén","Dusén 2331","1903","11","29","South America","Brazil","Paraná",NA,"Curityba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA
"50","2015-09-16 06:16:00-03","MO","MOBOT","213526","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","erianthoides","Paspalum erianthoides","Lindm.","Zuloaga, F. O.","Benedict (Benjamin) Balansa","Balansa 72",NA,"10",NA,"South America","Paraguay","Guairá",NA,"Villarrica","-56.45","-25.78333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
