"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"18","2021-03-15 16:37:00-03","NY","NYBG","8119","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens ovatifolia","Hassl.","isotype","E. Hassler","7712a","South America","Paraguay",NA,NA,"In campo pr. Bellavista Apa.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=442246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008119","NY00008119_01",NA,NA,NA,NA,NA,NA,"ovatifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01056131","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"M. Macedo","1233","South America","Brazil","Mato Grosso",NA,"Poconé. Transpantaneira near Fazenda Sta. Rosa",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139837' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056131","NY01056131_01","R. C. Barneby","1978","09","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01056102","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","15264","South America","Brazil","Goiás","Formosa","Serra do Morcêgo, Côrrego Estrema, ca. 35 km N.E. of Formosa.","-47.1025","-15.30964","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139588' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056102","NY01056102_01","R. C. Barneby; J. W. Grimes","1966","04","22","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01055354","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","23703","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Serra dos Três Irmãos, ca. 25 km west of Montes Claros, road to Agua Boa.","-43.64425","-16.78765","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141189' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055354","NY01055354_01","A. E. Burkart","1969","02","23","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","01056104","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","16598","South America","Brazil","Mato Grosso",NA,"Ca. 86 km. N. of Xavantina. Serra do Roncador.","-52.08","-13.92","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139650' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056104","NY01056104_01","R. C. Barneby; J. W. Grimes","1966","06","04","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","8120","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens oblongifolia","Hassl.","isotype","E. Hassler","7712","South America","Paraguay",NA,NA,"In campo San Rafael (Apa).",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=466335' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008120","NY00008120_01",NA,NA,NA,NA,NA,NA,"oblongifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","01055478","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","16430","South America","Brazil","Mato Grosso",NA,"Ca. 84 km. N. of Xavantina. Serra do Roncador.","-52.1","-13.93","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141207' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055478","NY01055478_01","R. C. Barneby; J. W. Grimes","1966","06","01","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01056127","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"L. Riedel","784","South America","Brazil","Minas Gerais",NA,"Min. Geraes",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139824' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056127","NY01056127_01",NA,"1824","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01056133","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"M. Schessl","2272","South America","Brazil","Mato Grosso","Santo Antônio do Leverger","Flora of the Pantanal of Mato Grosso. Highway St. Antonio- Barao de Melgaço, approx. 25 km south of St. Antonio","-56.92","-16.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139843' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056133","NY01056133_01","R. C. Barneby","1991","09","16","130","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01055405","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"R. R. Brooks","BRASPEX102","South America","Brazil","Goiás","Cromínia","Crominia-Mairipotaba, Site 2A","-49.4","-17.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141227' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055405","NY01055405_01","R. C. Barneby","1988","04","14","800","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01020098","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","5518","South America","Brazil","Minas Gerais","Burití","Fazenda Furquilho Novo.","-46.4302778","-15.6171","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139536' target='other'> <mi>dwc_moreinfo</mi></a>","NY01020098","NY01020098_01","R. C. Barneby; J. W. Grimes","1964","08","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","2481405","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"D. Philcox","4716","South America","Brazil","Mato Grosso","Xavantina","Vale dos Sonhos, 10 km from road",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2739635' target='other'> <mi>dwc_moreinfo</mi></a>","NY02481405","NY02481405_01",NA,"1968","04","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","01055380","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"A. Macedo","5502","South America","Brazil","Minas Gerais","Campina Verde","Faz. Lajeado, Campina Verde","-49.4864","-19.5358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141223' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055380","NY01055380_01","S. F. Smith","1989","04","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","01055355","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"E. F. Nienstedt","305","South America","Brazil","Mato Grosso do Sul","Corumbá","Faz. São Gonçalo, Rio Taquari","-57.6531","-19.0094","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141218' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055355","NY01055355_01","A. E. Burkart","1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01056107","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","21341","South America","Brazil","Tocantins","Guaraí","10 km S. of Guará.","-48.52","-8.93","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139684' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056107","NY01056107_01","R. C. Barneby; J. W. Grimes","1968","03","18","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","01055476","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","16039","South America","Brazil","Mato Grosso",NA,"Ca. 60 km. N. of Xavantina. Serra do Roncador.","-52.15","-14.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141182' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055476","NY01055476_01","A. E. Burkart","1966","05","25","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","01056128","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"C. E. O. Kuntze","s.n.","South America","Brazil","Mato Grosso",NA,"Mattogrosso",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139827' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056128","NY01056128_01",NA,"1892","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","01056101","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","15028","South America","Brazil","Goiás","Formosa","Serra do Morcêgo, Côrrego Estrema, 35 km N.E. of Formosa","-47.10261","-15.30964","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139570' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056101","NY01056101_01","R. C. Barneby; J. W. Grimes","1966","04","19","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","01056130","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"L. B. Smith","6728","South America","Brazil","Minas Gerais","Lagoa Santa","Northwest of Lagoa Santa","-43.92","-19.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139832' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056130","NY01056130_01","A. E. Burkart","1952","04","30","835","835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","01056132","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"P. E. Gibbs","5447","South America","Brazil","Mato Grosso do Sul","Aquidauana","Aquidauana","-55.7869","-20.4711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139841' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056132","NY01056132_01",NA,"1977","07","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","601441","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"J. M. Pires","2087","South America","Brazil","Maranhão","Carolina","Ilha dos Bótes, Rio Tocantins, perto de Carolina","-47.5408405","-7.2744409","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601441","NY00601441_01","H. S. Irwin","1950","05","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","01020100","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","6887","South America","Brazil","Mato Grosso",NA,"Ca. 50 km. N. of Barra do Garças, on rd. to Xavantina.","-52.22","-15.4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139554' target='other'> <mi>dwc_moreinfo</mi></a>","NY01020100","NY01020100_01","R. C. Barneby; J. W. Grimes","1964","10","15","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","01056109","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","23266","South America","Brazil","Minas Gerais","Grão Mogol","Serra do Espinhaço, ca. 50 km N.E. of Francisco Sá, on road to Salinas","-43.11745","-16.32455","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139690' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056109","NY01056109_01","R. C. Barneby; J. W. Grimes","1969","02","13","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","01056110","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","27326","South America","Brazil","Minas Gerais",NA,"Ca. 3 km E. of Cantoni","-44.13","-17.57","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139718' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056110","NY01056110_01","A. E. Burkart","1970","03","10","610","610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","01055479","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"M. G. da Silva","4146","South America","Brazil","Rondônia",NA,"Vilhena, arredores do aeroporto","-60.099174","-12.694217","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141215' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055479","NY01055479_01","R. C. Barneby","1979","01","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","01056103","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"H. S. Irwin","17545","South America","Brazil","Goiás","Piranhas","Ca. 87 km. S. E. of Aragarças. Drainage of the Upper Rio Araguaia.","-51.9","-16.43","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139615' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056103","NY01056103_01","R. C. Barneby; J. W. Grimes","1966","06","21","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","01056154","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","glaucescens","Galactia glaucescens","Kunth",NA,"Y. E. J. Mexia","5557","South America","Brazil","Minas Gerais","Corinto","Corinto. Fazenda de Diamante. North of buildings.","-44.4564","-18.3808","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140179' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056154","NY01056154_01","G. O. A. Malme","1931","04","07","590","590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
