"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","class","individualCount"
"11","2020-09-02 16:33:56-03","Cenargen","CEN","62528","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","smithii","Myrceugenia smithii","Landrum",NA,"Ricardo José Francischetti Garcia","533","1994","05","25",NA,"Brasil","SP","Fazenda da SABESP, ao final da Estrada do Capivara. Ilhota do Rio Capivari.","-46.680277","-23.935555",NA,NA,"Exsicatas","Doação da Prefeitura do Município de São Paulo. Flora do Estado de São Paulo.","CEN00062528","CEN00062528","CAPIVARI",NA,NA,"-46.680277","-23.935555","M. L. Kawasaki",NA,NA,NA,NA,"1"
"12","2021-03-25 13:52:50-03","UNIVILLE","JOI","2993","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hamoniana","Myrceugenia hamoniana","(Mattos) Sobral",NA,"F.C.S. Vieira","1781","2006","04","30",NA,"Brasil","Santa Catarina","Monte Crista.","-48.8549995422363","-26.0266990661621","900","900",NA,"; HABITAT: cachoeira; HABITO: arbusto; TIPO VEGETACIONAL: Floresta Ombrófila Densa Alto Montana","JOI002993","JOI002993","Garuva","22441","auto",NA,NA,NA,"2020","08","11",NA,NA
"13","2019-10-07 09:35:29-03","UEFS","HUEFS","87557","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Myrceugenia","hamoniana","Myrceugenia hamoniana","(Mattos) Sobral","Holótipo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HUEFS0087557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rosanae",NA
"14","2019-10-07 09:35:29-03","UEFS","HUEFS","87083","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Myrceugenia","smithii","Myrceugenia smithii","Landrum","Isótipo","Smith, L.B.","12411","1946","10","11",NA,"Brasil","Santa Catarina","Rocky frequently inundated margin of Rio Itajaí-açu.","-49.3897018432617","-27.0356006622314",NA,NA,NA,NA,"HUEFS0087083",NA,"Apíuna","24893","auto",NA,NA,NA,NA,NA,NA,"Rosanae",NA
"15","2019-10-07 09:35:29-03","UEFS","HUEFS","87084","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Myrceugenia","smithii","Myrceugenia smithii","Landrum","Holótipo","Smith, L.B.","12411","1964","10","11",NA,"Brasil","Santa Catarina","Rocky frequently inundated margin of Rio Itajaí-açu.","-49.416667","-27.083333","100","100",NA,"Beira de rio.","HUEFS0087084",NA,"Apíuna",NA,NA,"49W25'","27S5'",NA,NA,NA,NA,"Rosanae",NA
"16","2015-03-07 09:00:10-03","F","FMNH-SEEDPLANTS","V0106085F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Myrtaceae","Myrceugenia","smithii","Myrceugenia smithii",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0106085F","V0106085F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"17","2020-11-12 17:01:57-03","UEL","FUEL","42105","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","smithii","Myrceugenia smithii","Landrum",NA,"Vieira, FCS","1781","2006","04","30",NA,"Brasil","Santa Catarina","Monte Cristo","-48.8456001281738","-26.3043994903564","900","900",NA,NA,"FUEL011860",NA,"Joinville","37150","auto",NA,NA,"Vieira, FCS","2006","12","20",NA,NA
"18","2019-12-05 14:48:38-03","UFSCar","SORO","7794","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hamoniana","Myrceugenia hamoniana","(Mattos)Sobral",NA,"Garcia, R.J.F.; Almeida, R.F.; Fries, B.G.","3049","2007","08","14",NA,"Brasil","São Paulo","Sítio Maravilha. Rua sem nome, 324196x7350370.","-46.6300010681152","-23.5400009155273",NA,NA,NA,"Arbusto, 1m alt.; flores brancas; frutos avermelhados. Frequente. Entre rochas junto ao Rio Capivari.",NA,NA,"São Paulo","53584","auto",NA,NA,NA,"2016",NA,NA,NA,NA
"19","2021-02-23 13:22:55-03","MN","R-TIPOS","127773","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","smithii","Myrceugenia smithii","Landrum","Isotypus","Smith, L.B.; Reitz, R.","12411","1964","10","11",NA,"Brasil","Santa Catarina","Subida","-49.416667","-27.833333","100","100",NA,NA,"R000127773","R000127773_001","Apiuna",NA,NA,"49°25'W","27°50'S","Landrum, L.R.","1980",NA,NA,NA,NA
"20","2019-11-21 10:11:27-03","IBt","SP","26991","S","Plantae",NA,NA,"Myrtaceae","Eugenia","hamoniana","Eugenia hamoniana","Mattos","Holotype","Luederwaldt, H","1750","1902",NA,NA,NA,"Brasil","Santa Catarina","Hammonia",NA,NA,NA,NA,NA,NA,"SP001324","SP001324",NA,NA,NA,NA,NA,"Mattos, JR","1963",NA,NA,NA,NA
"21","2019-11-21 10:11:55-03","IBt","SP","307103","S","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hamoniana","Myrceugenia hamoniana","(Mattos) Sobral",NA,"Garcia, RJF; Ferreira, GMP; Neves, LF","533","1995","02","13",NA,"Brasil","São Paulo","Fazenda da Sabesp, ao final da estrada do Capivara, Ilhota do Rio Capivari","-46.680278","-23.935556",NA,NA,NA,"Arbusto em solo arenoso sobre pedras ca. 1m alt., flores brancas","SP057554","SP057554","Capivari",NA,NA,"-46.680278","-23.935556","Meireles, LD","2013","10",NA,NA,NA
"22","2019-11-21 10:11:55-03","IBt","SP","361804","S","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hamoniana","Myrceugenia hamoniana","(Mattos) Sobral",NA,"Farah, FT; et al.","2192","2001","04","13",NA,"Brasil","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu, floresta ribeirinha ao longo do rio Mambu","-46.775417","-23.989083","750","750",NA,"Arbusto ca. 3m alt., frutos arroxeados","SP057100","SP057100","São Paulo",NA,NA,"-46.775417","-23.989083","Ribeiro, CL","2019","06","13",NA,NA
"23","2019-11-21 10:11:55-03","IBt","SP","336844","S","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hamoniana","Myrceugenia hamoniana","(Mattos) Sobral",NA,"Affonso, P; Garcia, RJF","388","1999","03","19",NA,"Brasil","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu, entre rochas de trecho com corredeiras no rio Mambu","-46.7799987792969","-24.1800003051758","750","800",NA,"Arbusto, flores com pétalas rosadas no centro e brancas nas bordas","SP057555","SP057555","Itanhaém","26998","auto",NA,NA,"Meireles, LD","2013","10",NA,NA,NA
