"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","relatedCatalogItem","verbatimLongitude","verbatimLatitude","relationshipType","fieldNumber","individualCount"
"127","2019-11-21 10:17:22-03","IBt","SP","272247","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Edwards, K","Rossi, L; et al.","1292","1993","05","22",NA,"Brasil","São Paulo","Estação Ecológica Juréia-Itatins, Proximidades da Cachoeira do Salto, mata de planície",NA,"Árvore ca. 8,0m alt., com folhas compostas e simples, verde escuras",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto","1993","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","2019-11-21 10:17:22-03","IBt","SP","244620","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Prance, GT","Cordeiro, I; et al.","631","1990","05","17",NA,"Brasil","São Paulo","Estação Ecológica Juréia-Itatins, Proximidades do maciço da Juréia, morro a esquerda da bifurcação da trilha no alto da encosta, próxima ao alojamento do IBAMA",NA,"Árvore ca. 3,0m alt., inflorescências esverdeadas (campo)",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395","300","300","55628","auto","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","2019-11-21 10:17:22-03","IBt","SP","272238","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Edwards, K","Rossi, L; et al.","1313","1993","05","25",NA,"Brasil","São Paulo","Estação Ecológica Juréia-Itatins, Próximo a Cachoeira do salto",NA,"Plantas jovens",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto","1993","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","2019-11-21 10:17:22-03","IBt","SP","272251","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Edwards, K","Rossi, L; et al.","1301","1993","05","23",NA,"Brasil","São Paulo","Estação Ecológica Juréia-Itatins, -rea de planície ao lado da Cachoeira do salto, solo bem arenoso",NA,"Plantas jovens 1,0-1,5m alt.",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto","1993","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","2019-11-21 10:17:22-03","IBt","SP","272230","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Edwards, K","Rossi, L; et al.","1300","1993","05","23",NA,"Brasil","São Paulo","Estação Ecológica Juréia-Itatins, -rea de planície ao lado da Cachoeira do salto, solo bem arenoso",NA,"Árvore de 12,0m alt., frutos imaturos secos",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto","1993","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","2019-11-21 10:17:22-03","IBt","SP","272239","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Edwards, K","Rossi, L; et al.","1296","1993","05","23",NA,"Brasil","São Paulo","Estação Ecológica Juréia-Itatins, -rea de planície ao lado da Cachoeira do salto, solo bem arenoso",NA,"Árvore ca. 14,0m alt., tronco reto, casca do caule castanha, com fissuras longitudinais, botões verde claros, levemente acastanhados, frutos velhos",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto","1993","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","2019-11-21 10:17:22-03","IBt","SP","272248","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Edwards, K","Rossi, L; et al.","1293","1993","05","22",NA,"Brasil","São Paulo","Estação Ecológica Juréia-Itatins, -rea de planície próxima à cachoeira do salto",NA,"Arvore ca. 8,0m alt., casca do caule macia, folhas simples e compostas na mesma árvore, botões verde glauco acastanhado, ovário e estilete verde claro, lobos do nectário cinza escuro, estigma coberto com pólen amarelo claro, em mata sobre solo arenos",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto","1993","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","2019-11-21 10:17:22-03","IBt","SP","247842","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Prance, GT","Nicolau, SA; et al.","60","1991","02","21",NA,"Brasil","São Paulo","Estação Ecológica Juréia-Itatins, Serra da Juréia, mata de planície perto do Rio Verde",NA,"Árvore ca. 10,0m alt., botões ocráceos, pétalas internamente creme, estilete esverdeado, frutos secos",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","2019-11-21 10:17:22-03","IBt","SP","248134","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Prance, GT","Anunciação, EA; et al.","16","1990","10","17",NA,"Brasil","São Paulo","Estação Ecológica Juréia-Itatins, Serra da Juréia, trilha para o pocinho",NA,"Arvoré até 5m alt., botões e pedicelos ocráceos pétalas alvas internamente, estilete alvo esverdeado, frutos imaturos verdes",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","2019-11-21 10:17:22-03","IBt","SP","251747","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Prance, GT","Costa, MP; et al.","71","1991","12","14",NA,"Brasil","São Paulo","Estação Ecológica Juréia-Itatins, -s margens do pocinho",NA,"Árvore ca. 5m alt., crescendo á margem do rio, maioria das folhas simples, algumas cinco pinadas, pedicelos e tépalas ocre, internamente creme, anteras creme, estilete verde, fruto seco",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","2019-11-21 10:17:22-03","IBt","SP","272234","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Edwards, K","Rossi, L; et al.","1307","1993","05","24",NA,"Brasil","São Paulo","Estação Ecológica Juréia-Itatins, Trilha do alojamento em direção ao caminho do Imperador, restinga",NA,"Árvore ca. 5,0m alt., ramos ascendentes, casca do caule com fissuras longitudinais, folhas compostas nos ramos mais baixos, folhas simples p#?#roximo ao ápice, flores brancas, perfumadas, abrindo primeiro no ápice e no meio da inflorescência, os botões",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto","1993","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","2019-11-21 10:17:22-03","IBt","SP","272253","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Edwards, K","Rossi, L; et al.","1318","1993","05","26",NA,"Brasil","São Paulo","Estação Ecológica Juréia-Itatins, Trilha em direção ao maciço da Juréia, mata de encosta",NA,"Árvore ca. 10m alt., estéril, casca do caule macia, cinza, lenticelada, folhas compostas e simples no ápice dos ramos",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto","1993","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","2019-11-21 10:17:22-03","IBt","SP","244664","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Prance, GT","Rossi, L; et al.","633","1990","06","20",NA,"Brasil","São Paulo","Reserva Ecológica Juréia-Itatins, Cachoeira do Salto",NA,"Árvore ca. 5,0m alt., botões e inflorescências castanhos, frutos secos castanhos, beira do rio",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","2019-11-21 10:17:22-03","IBt","SP","248676","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Prance, GT","Kirizawa, M; et al.","2491","1991","05","14",NA,"Brasil","São Paulo","Reserva Ecológica Juréia-Itatins, Campo serrano do morro da Juréia, 320 m.sm.",NA,"Árvore com aspecto arbustiforme, com 1,60m alt., folha amarelada, coriácea, pétalas brancas, externamente ferrugíneas, estilete verde claro",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","2019-11-21 10:17:22-03","IBt","SP","250111","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Prance, GT","Sugiyama, M; et al.","911","1991","08","13",NA,"Brasil","São Paulo","Reserva Ecológica Juréia-Itatins, Trilha do Imperador",NA,"Arvoreta 7m alt., com folhas pinadas e simples, raque da inflorescência vinácea, botões ocre com plilosidade ferrugíneas, frutos secos castanho negros",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","2019-11-21 10:17:22-03","IBt","SP","238569","S","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","Prance, GT","Rossi, L; et al.","571","1990","04","25",NA,"Brasil","São Paulo","Reserva Ecológica Juréia-Itatins, Trilha do Imperador em direção a praia da Juréia, mata",NA,"Arvoreta 5,0m alt., tronco e ramos com cicatrizes, foliares, folhas levemente discolores, face abaxial verde mais claro, botões creme e ferrugíneos",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395",NA,NA,"55628","auto","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
