"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","recordNumber","imagecode","locality","infraspecificEpithet","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","375778","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","H. S. Irwin","1966","04","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375778","Magnoliophyta","Ericales","(Pierre) T.D.Penn.",NA,"14714","NY00375778_01","Drainage of the Rio Corrente, Western Bahia. Campinas, ca. 10 km S of Rio Piau, ca. 150 km SW of Barreiras",NA,"T. D. Pennington","Bahia","Sao Desidério","-44.9731","-12.3633","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-29 13:16:00-03","NY","NYBG","375784","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","M. Bernardi","1978","11","01","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375784","Magnoliophyta","Ericales",NA,NA,"18313",NA,"Nanduro kai nuncupato, Ype-jhu",NA,"T. D. Pennington","Canindeyú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00375779","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","H. S. Irwin","1970","01","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375779","Magnoliophyta","Ericales","(Pierre) T.D.Penn.",NA,"25258","NY00375779_01","Contraforte Central. Serra do Facao. Ca. 25 km NE of Catalao.",NA,"T. D. Pennington","Goiás","Catalão","-47.9464","-18.1658","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00896602","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","H. S. Irwin","1964","10","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966708' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896602","Magnoliophyta","Ericales","(Pierre) T.D.Penn.",NA,"7428","NY00896602_01","Ca. 60 km. S. of Caiapônia on rd. to Jataí. Serra do Caiapó.",NA,"T. D. Pennington","Goiás","Jataí","-51.75","-17.4","800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","375781","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","A. Uhlmann","1994","10","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448725' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375781","Magnoliophyta","Ericales","(Pierre) T.D.Penn.",NA,"75","NY00375781_01","Parque Estadual do Cerrado, Jaguariaíva",NA,"S. M. Silva","Paraná","Jaguariaíva","-49.7056","-24.2511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2013-11-22 14:37:48-02","EBDA","BAH","3786","S","Plantae","Sapotaceae","Chrysophylum","soboliferum","Chrysophylum soboliferum","E.P. Heringer","1980","10","02",NA,"Brasil",NA,NA,"Sóbole com inflorescências ao nível do solo na base das folhas, flores com corola bineceas, estames epipétalo e anteras cremes.",NA,NA,NA,"Rizzini",NA,"17873",NA,"A margem do Rio Vermelho.",NA,"E.P. Heringer","Goiás","Luziania","-47.9503","-16.2525",NA,NA,"1980","83221","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-12-04 15:25:50-03","PUCPR","HUCP","10441","S","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Cervi, AC","1995","10","21",NA,"Brasil",NA,NA,NA,"HUCP00018238","Eudicotiledonea",NA,"(A. St. Hil. ex Bonpl.) Dc.",NA,"5965","HUCP00018238",NA,NA,"Cervi, AC","Paraná","Jaguaraíva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-26 18:09:47-03","CPAN-UFMS","COR","4262","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","soboliferum","Chrysophyllum soboliferum","Kirkbride-Júnior, J. H.","1981","02","19",NA,"Brasil",NA,NA,"Erva sem caule; frutos laranjas; folhas e frutos no chão Habito: Erva",NA,NA,NA,"Rizzini",NA,"3883",NA,"Barra Alta; leste do córrego São Gonçalo",NA,"Proença, C.","Distrito Federal","Brasília","-47.516667","-15.8","950","950","1992",NA,NA,"47º31'0''W","15º48'0''S",NA,NA,NA,NA,NA,NA
"19","2020-02-08 09:04:46-03","NBC","NL-BOTANY","U.1592790","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Lindeman JC","1978","01","25","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592790 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1592790",NA,"Ericales","(Pierre) T.D.Penn.",NA,NA,"NL-U1592790","Cerrado na Chapada da Contagem, NW of Brasilia Distr. Fed.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"20","2020-11-04 11:19:44-03","ESALQ","ESA","8770","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Scaramuzza, C.A.M. ; Godon, M.",NA,NA,NA,NA,"Brasil",NA,NA,NA,"ESA008770","Magnoliophyta",NA,"(Pierre) Pennington",NA,"283.0",NA,NA,NA,"Scaramuzza, C.A.M.","São Paulo","Itararé","-49.3400001525879","-24.1100006103516",NA,NA,"1994","27729","auto",NA,NA,NA,"11","25",NA,NA,NA
"21","2021-01-14 15:33:33-03","MN","R","12026","PreservedSpecimen","Plantae","Sapotaceae","Ecclinusa","floribunda","Ecclinusa floribunda","Glaziou, A.F.M.","1894",NA,NA,NA,"Brasil",NA,NA,"Plantas do Brasil Central","R000012026",NA,NA,"Pierre ex Glaz.",NA,"21707","R000012026_001",NA,NA,NA,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-26 00:04:27-03","UFPI","TEPB","4452","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","soboliferum","Chrysophyllum soboliferum","E.P. Heringer","1980","10","02",NA,"Brasil",NA,NA,"Sóbole com inflorescência ao nível do solo na base das folhas, flores com corola binácea, estames epipétalos e anteras cremes. Ambiente: Campo liso sujeito a incêndios periódicos <ll>dwc_commonname:</ll> Rasga-beijo, lambe-beijo, jurema-branca",NA,NA,NA,"Rizz.",NA,"17873",NA,"Margem do Rio Vermelho.",NA,"A. Bocage","Goiás","Luziânia","-47.9502983093262","-16.2525005340576",NA,NA,"2004","83221","auto",NA,NA,NA,"10",NA,NA,NA,NA
"23","2020-11-19 10:25:27-03","CPAP","CPAP","19080","PreserverdSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Ratter, J. A.","1996","09","26",NA,"Brasil",NA,NA,"<ll>dwc_commonname:</ll> Fruto de tatu",NA,NA,NA,"(Pierre) T.D.Penn.",NA,"7545",NA,"5km W do rio Caracol, rodovia para Porto Murtinho",NA,NA,"MS","Caracol","-56.8","-21.683333",NA,NA,NA,NA,NA,"56°48' W","21°41' S",NA,NA,NA,NA,NA,NA
"24","2020-11-19 10:25:27-03","CPAP","CPAP","19127","PreserverdSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Ratter, J. A.","1996","11","10",NA,"Brasil",NA,NA,"<ll>dwc_commonname:</ll> Fruto De T",NA,NA,NA,"(Pierre) T.D.Penn.",NA,"7663",NA,"65Km de Maracaju, rodovia para Sidrolôndia (MS-162)",NA,NA,"MS","Sidrolandia","-54.95","-21.083333",NA,NA,NA,NA,NA,"54°57' W","21°05' S",NA,NA,NA,NA,NA,NA
"25","2020-11-19 10:25:27-03","CPAP","CPAP","23104","PreserverdSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Pott, A.","2002","03","03",NA,"Brasil",NA,NA,"Arbusto ereto 0,7-1,5m de altura. com flores de cor vinho, látex branco, interesse frutífera para fauna, . Frequente.. Cerrado denso,. Solo: arenoso,. Relevo: platô.",NA,NA,NA,"(Pierre) T.D.Penn.",NA,"9597",NA,"Serra da Barretina, etsrada MS-214",NA,"A. Pott","MS","Pedro Gomes","-54.295833","-18.021389",NA,NA,"2002",NA,NA,"54°17'45'' W","18°01'17'' S",NA,NA,NA,NA,NA,NA
"26","2015-07-02 14:04:18-03","JBP","HPL","6496","S","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","H. Lorenzi","2006","10","11",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"6196",NA,"Coletado em cerradinho próximo ao Sítio do Dedé.",NA,"H. Lorenzi","MG","Patos de Minas","-46.5181","-18.5789",NA,NA,"2006","69541","auto",NA,NA,NA,"10","11",NA,NA,NA
"27","2020-02-27 16:44:24-03","UFSC","CTBS","3769","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Nunes, M.G. & Ferreira, P.C.","2017","10","03",NA,"Brasil",NA,NA,"Subarbusto, cerca de 0,30 cm de altura; frutos marrons. No Cerrado.",NA,NA,NA,"(Pierre) T.D.Penn.",NA,"53",NA,"Parque Estadual do Cerrado",NA,"Ferreira, P.C.","Paraná","Jaguariaiva","-49.7057991027832","-24.2511005401611",NA,NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA,NA,NA
"28","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0046695","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","G. Hatschbach; J. M. Silva","1987","10","23",NA,"Brazil",NA,NA,NA,NA,"Magnoliophyta","Ericales","(Pierre) T.D.Penn.",NA,"51566",NA,"Bela Vista rod. p/ Caracol.",NA,"T. D. Pennington","Mato Grosso do Sul",NA,"-56.525886","-22.082509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0046697","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","L. R. Landrum; S. Landrum, I. Basualdo, & N. Soria","1995","8","20",NA,"Paraguay",NA,NA,NA,NA,"Magnoliophyta","Ericales","(Pierre) T.D.Penn.",NA,"8676",NA,"Parque Nacional Cerro Corá. 0-1.5 km along road from Lugar Historico to Administración.",NA,"S. G. Tressens","Amambay",NA,"-56.08333","-22.58333","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0046696","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","G. Hatschbach; A. Manosso","1989","1","27",NA,"Brazil",NA,NA,NA,NA,"Magnoliophyta","Ericales","(Pierre) T.D.Penn.",NA,"52579",NA,"Rod. PR-11, prox. Rio Diamante (mun. Jaguariaiva).",NA,"G. Hatschbach","Parana",NA,"-49.7","-24.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-04-07 11:48:47-03","UFMS","CGMS","67653","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","A. Pott; V.J.Pott; J.S.V.Silva; M. Abdon ; R.Santos","2002","03","03",NA,"Brasil",NA,NA,"Flor vinho. Látex branco. Habitat: Cerrado denso. Solo arenoso. Relevo platô. Frequente. Habito: Arbusto ereto 0,7-1,5m de altura","CGMS1100612",NA,NA,"(Pierre) T.D.Penn.",NA,"9597",NA,"Serra da Barretina, etsrada MS-215.",NA,NA,"Mato Grosso do Sul","Pedro Gomes","-54.2958333","-18.0213889",NA,NA,NA,NA,NA,"-54,2958333","-18,0213889",NA,NA,NA,NA,NA,NA
"32","2021-04-07 11:48:47-03","UFMS","CGMS","67652","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","A. Pott; V.J. Pott ; L.C.P. Lima","2002","09","18",NA,"Brasil",NA,NA,"Flor ausente. Fruto laranja. Látex branco. Habitat: Remanescente de cerrado em Pastagem de Brachiaria decumbens. Solo arenoso. Relevo encosta inferior. Esparsa. Habito: Arbusto ereto 0,6-1,2m de altura","CGMS1100611",NA,NA,"(Pierre) T.D.Penn.",NA,"10341",NA,"??Fazenda...",NA,NA,"Mato Grosso do Sul","Alcinópolis","-53.5597222","-18.3830556","420","420",NA,NA,NA,"-53,5597222","-18,3830556",NA,NA,NA,NA,NA,NA
"33","2021-03-01 16:41:09-03","UNICAMP","UEC","43065","S","Plantae","Sapotaceae","Chrysophyllum","soboliferum","Chrysophyllum soboliferum","Ratter, JA; Argent, GCG","1983","11","22",NA,"Brazil",NA,NA,"Subshrud, occurring in patches, stemless or with stems to 8cm. Corolla depp winecoloured. Stamens , antipetalous. Flowers with a strong scentof bananas with a hint of durian. With latex in leaf-base.","UEC020880","Magnoliopsida",NA,"Rizzini",NA,"R4943","UEC020880","In a fire-break (aceiro) between a pine plantation on and the cerrado reserve, growing with many other low species eg Parinari, etc.",NA,NA,"São Paulo","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-01 16:41:14-03","UNICAMP","UEC","147969","S","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Tamashiro, JY; Santos, FAM","2008","02","03",NA,"Brazil",NA,NA,"Arbusto de até 30cm, frutos maduros de cor alaranjado.","UEC020879","Magnoliopsida",NA,"(Pierre) T.D.Penn.",NA,"1473","UEC020879","Estação experimental e Ecológica de Itirapina, Cerrado do Valério.",NA,"Lima, RGVN","São Paulo","Itirapina","-47.85","-22.2",NA,NA,"2012",NA,NA,"-47.85","-22.2",NA,"11","10",NA,NA,NA
"35","2021-03-16 17:51:54-03","UCS","HUCS","40445","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Ribas, O.S.","2012","03","30",NA,"Brasil",NA,NA,"Xilopodífera, frutos amarelos - Herbário MBM.; Campo cerrado",NA,"Angiospermae","Ericales","(Pierre) T. D. Penn.",NA,"8615",NA,"Parque Estadual do Cerrado",NA,"Barbosa, E.","Paraná","Jaguariaíva","-49.7057991027832","-24.2511005401611",NA,NA,"2012","44368","auto",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-16 17:51:54-03","UCS","HUCS","6061","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Hatschbach, G.","1989","01","27",NA,"Brasil",NA,NA,"Xilopodífera, fruto marron.",NA,"Angiospermae","Ericales","(Pierre) T. D. Penn.",NA,"s.n.",NA,"Rio Diamante, Rod. PR - 11",NA,"Hatschbach, G.","Paraná","Jaguariaíva","-49.7057991027832","-24.2511005401611",NA,NA,"1989","44368","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-08-16 08:41:07-03","UTFPR","HCF","25103","S","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","G.C.A. Bisewski","2017","10","03",NA,"Brasil",NA,NA,"indivíduo parcialmente subterraneo. Flores com pétalas vermelhas e estames brancos.",NA,NA,NA,"(Pierre) T.D. Penn",NA,"13",NA,"Parque Estadual do Cerrado",NA,"R.G.P. Machado","PR","Jaguariaíva","-49.666389","-24.171944",NA,NA,"2017",NA,NA,"49°39'59 W","24°10'19 S",NA,"11",NA,NA,NA,NA
"38","2020-12-21 16:44:52-03","MBM","MBM","415035","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Völtz, R.R.; Brotto, M.L.; Brotto, M.L.","2018","10","06","Southern America","Brazil",NA,NA,"Subarbusto 0,3 m alt.; botões esverdeados;.fisionomia herbáceo-arbustiva em solo arenoso.; Savana/Estepe.","MBM415035",NA,NA,"(Pierre) T.D.Penn.",NA,"1857","MBM415035","Rio Tibagi, Cerrado Bowman",NA,"Völtz, R.R.","Paraná","Tibagi","-50.406111","-24.5525","720","720","2018",NA,NA,"-50.406111","-24.5525",NA,"10","06",NA,NA,NA
"39","2020-12-21 16:44:52-03","MBM","MBM","429547","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Lozano, E.D.; Engels, M.E.; Engels, M.E.","2013","11","02","Southern America","Brazil",NA,NA,"Arbusto, 30 cm, flores negros, barranco a beira da estrada, campo seco.; Campos Gerais.","MBM429547",NA,NA,"(Pierre) T.D.Penn.",NA,"1680",NA,"Rio São João, estrada para o rio",NA,"Völtz, R.R.","Paraná","Carambeí","-50.124861","-24.899806",NA,NA,"2020",NA,NA,"-50.124861","-24.899806",NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:44:52-03","MBM","MBM","159577","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"MBM159577",NA,NA,"(Pierre) T.D.Penn.",NA,"58282","MBM159577","Rod. BR-050, km 88, Serra dos Cristais",NA,"Hatschbach, G.","Goiás","Cristalina","-47.6136016845703","-16.7686004638672",NA,NA,NA,"85457","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-12-21 16:44:52-03","MBM","MBM","119654","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Hatschbach, G.; Silva, J.M.; Silva, J.M.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"MBM119654",NA,NA,"(Pierre) T.D.Penn.",NA,"51566","MBM119654","Bela Vista, rodovia para Caracol",NA,"Pennington, T.D.","Mato Grosso do Sul","Bela Vista","-56.5210990905762","-22.1089000701904",NA,NA,NA,"66197","auto",NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-12-21 16:44:52-03","MBM","MBM","267186","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Gottsberger, G.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"MBM267186",NA,NA,"(Pierre) T.D.Penn.",NA,"s.n.","MBM267186","Fazenda Bela Vista",NA,NA,"Minas Gerais","Indianópolis","-47.9169006347656","-19.0386009216309",NA,NA,NA,"30244","auto",NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-12-21 16:44:52-03","MBM","MBM","50646","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Hatschbach, G.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"MBM050646",NA,NA,"(Pierre) T.D.Penn.",NA,"7197","MBM050646","Rio das Cinzas, Barra do Perdizes",NA,"Hatschbach, G.","Paraná","Arapoti","-49.8266983032227","-24.1578006744385",NA,NA,NA,"41852","auto",NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-12-21 16:44:52-03","MBM","MBM","6262","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Hatschbach, G.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"MBM006262",NA,NA,"(Pierre) T.D.Penn.",NA,"18822","MBM006262","Rio dos Perdizes",NA,"Pennington, T.D.","Paraná","Arapoti","-49.8266983032227","-24.1578006744385",NA,NA,NA,"41852","auto",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-12-21 16:44:52-03","MBM","MBM","50644","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Hatschbach, G.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"MBM050644",NA,NA,"(Pierre) T.D.Penn.",NA,"2566","MBM050644","Rio do Salto",NA,"Pennington, T.D.","Paraná","Palmeira","-50.0064010620117","-25.4293994903564",NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-12-21 16:44:52-03","MBM","MBM","28357","PreservedSpecimen","Plantae","Sapotaceae","Pradosia","brevipes","Pradosia brevipes","Hatschbach, G.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"MBM028357",NA,NA,"(Pierre) T.D.Penn.",NA,"32587","MBM028357","Anfiteatro",NA,"Hatschbach, G.","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA
