"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","eventTime","fieldNumber","individualCount","relatedCatalogItem","dayIdentified"
"14","2021-03-01 16:32:53-03","UNICAMP","UEC","48022","S","Plantae","Magnoliopsida",NA,"Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori","Mori, SA","Silva, LAM; Santos, TS; Euponino, A","339","1979","04","04",NA,"Brazil","Bahia","Porto Seguro","Bifurcação à direita, no km 17 da estrada que liga os Povoados de Vera Cruz (ex 41) e Vale Verde. &nf;Capoeira alta a 2-5 km da bifurcação.","-39.415","-16.867222",NA,"Árvore, 18-20 m x 30 cm. Frutos jóvens, marrons.; Capoeira alta.","UEC046945","UEC046945",NA,NA,NA,"1986",NA,"-39.415","-16.867222",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-01 16:32:53-03","UNICAMP","UEC","158212","S","Plantae","Magnoliopsida",NA,"Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori",NA,"Couto, APL; Funch, LS; Funch, R","13","2004","05","01",NA,"Brazil","Bahia","Lençóis",NA,"-41.361389","-15.554167",NA,"Árvore ca. 9 m alt. Folhas coriáceas, concolor, margem inteira. Botões branco-esverdeados, flor branca com androceu amarelo.; Mata de planalto.","UEC015476","UEC015476","550","550",NA,NA,NA,"-41.361389","-15.554167",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-01 16:32:53-03","UNICAMP","UEC","95346","S","Plantae","Magnoliopsida",NA,"Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori","Guedes, ML","Koch, I; Lisboa, M; Belinello, R","654","1997","04","04",NA,"Brazil","Bahia","Lençóis","Ca. de 1 km após o início da estradinha que leva até a cidade, lado esquerdo.","-41.3899993896484","-12.563099861145",NA,"Árvore de 6 m; botões creme amarelados.","UEC095812","UEC095812",NA,NA,NA,"2020","08",NA,NA,NA,"47385","auto",NA,NA,NA,NA,NA
"17","2021-03-01 16:32:53-03","UNICAMP","UEC","99741","S","Plantae","Magnoliopsida",NA,"Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori","Guedes, ML","Koch, I; Lisboa, M; Belinello, R","658","1997","04","05",NA,"Brazil","Bahia","Lençóis","Estrada para o Morro do Pai Inácio, ca. de 3 km após a saída de Lençois.","-41.3899993896484","-12.563099861145",NA,"Arbusto ca. de 2 m; frutos imaturos castanhos.","UEC095804","UEC095804",NA,NA,NA,"2020","07",NA,NA,NA,"47385","auto",NA,NA,NA,NA,NA
"18","2021-03-01 16:32:53-03","UNICAMP","UEC","99740","S","Plantae","Magnoliopsida",NA,"Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori","Guedes, ML","Koch, I; Lisboa, M; Belinello, R","658","1997","04","05",NA,"Brazil","Bahia","Lençóis","Estrada para o Morro do Pai Inácio, ca. de 3 km após a saída de Lençois.","-41.3899993896484","-12.563099861145",NA,"Arbusto ca. de 2 m; frutos imaturos castanhos.","UEC095806","UEC095806",NA,NA,NA,"2020","07",NA,NA,NA,"47385","auto",NA,NA,NA,NA,NA
"19","2014-10-14 15:56:31-03","BS","M","M-0146497","S","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori",NA,"Mori, S.A.",NA,"1980","03","07",NA,"Brasil",NA,NA,"Brasil. Plantas da Bahia. Municipio de Lençois. Arredores de Lençois, estrada para As Toalhas,a 6 km ao N de Lençois.Mata de Cipó perturbada.","-41.35872","-12.51472",NA,NA,"M0146497",NA,NA,NA,"PARATYPE",NA,NA,"-41.35872","-12.51472","Magnoliopsida",NA,NA,"21:00",NA,NA,NA,NA
"20","2020-12-21 16:31:27-03","MBM","MBM","90835","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","Mori","Mori, S.","Hatschbach, G.; Kummrow, R.; Kummrow, R.","48060",NA,NA,NA,"Southern America","Brazil","Bahia","Andaraí","Rio Paraguaçu","-41.3314018249512","-12.8072004318237",NA,NA,"MBM090835","MBM090835",NA,NA,NA,NA,NA,NA,NA,NA,"58558","auto",NA,NA,NA,NA,NA
"21","2019-08-15 09:03:45-03","UESC","UESC","13660","S","Plantae","Angiospermae","Florideophycidae","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala",NA,NA,"Couto, A.P.L.","13","2004","05","01",NA,"Brasil","Bahia","Lençóis",NA,"-41.361389","-12.554167",NA,"matra de planalto; Árvore ca. 9m alt. Folhas coriáceas, concolor, margem inteira.","UESC0013660",NA,"550","550",NA,NA,NA,"41w21'41''","12s33'15''","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA
"22","2015-11-02 16:29:24-02","MNHN","RECOLNAT_MNHN_P","P02284932","PreservedSpecimen",NA,NA,NA,"Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori","Mori","Mori, S.A.|Funch, R.",NA,"1980","3","5",NA,"Brasil [Brésil]",NA,NA,"Bahia : Municipio de Andarai. A 3 km ao NE de Andarai.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02284932' target='other'> <mi>dwc_moreinfo</mi></a>","P02284932","P02284932_01","400",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,"13421",NA,NA,NA
"23","2015-09-04 16:01:17-03","MNHN","RECOLNAT_MNHN_P","P04612739","PreservedSpecimen",NA,NA,NA,"Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori","Mori","Mori, S.A.|Funch, R.",NA,"1978","8","20",NA,"Brasil [Brésil]",NA,NA,"Bahia : Municipio de Lençois. Arredores de Lençois, estrada para As Toalhas, a 6 km ao N de Lençois.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04612739' target='other'> <mi>dwc_moreinfo</mi></a>","P04612739","P04612739_01 P04612739_02","550",NA,"paratype",NA,NA,NA,NA,NA,NA,NA,NA,"13422",NA,NA,NA
"24","2015-09-04 16:01:17-03","MNHN","RECOLNAT_MNHN_P","P04612740","PreservedSpecimen",NA,NA,NA,"Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori","Mori","Mori, S.A.|dos Santos, T.S.|Thompson, C.B.",NA,"1978","8","20",NA,"Brasil [Brésil]",NA,NA,"Regiao Cacaueira da Bahia : Mun. de Porto Seguro. Estrada nova que liga a Rod. BR 367 com o Arraial d'Ajuda. Mata com pletamente devastada, formando capoeira, a 17 km do entroncamento com a BR 367. Cerca de 30 km a W de Porto Seguro",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04612740' target='other'> <mi>dwc_moreinfo</mi></a>","P04612740","P04612740_01 P04612740_02",NA,NA,"type",NA,NA,NA,NA,NA,NA,NA,NA,"10878",NA,NA,NA
"25","2008-05-27 22:02:00-03","MO","MOBOT","1930118","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A. Mori",NA,"Scott A. Mori","Mori 13421","1980","3","5","South America","Brazil","Bahia",NA,"Município de Andarai. A 3 km. ao NE de Andarai. Mata de Cipó perturbada.",NA,NA,NA,NA,NA,NA,"400.00000000",NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2015-03-01 15:36:00-03","MO","MOBOT","3177755","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A. Mori","S.A. Mori","André M. Amorim|Rafaela C. Forzza|Sérgio C. de Sant'Ana","Amorim 3060","1999","4","30","South America","Brazil","Bahia",NA,"Mun. de Lençóis. Estrada que liga Lençóis a BR 242. Coletas efetuadasdo longo da estrada. Mata Decídua.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-08-31 08:54:01-03","INPA","INPA","153248","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori","Mori, SA","Mori, SA","13421","1980","03","05","Southern America","Brasil","Bahia",NA,"Andaraí, A 3 km ao NE de andarai. Cerca de 400m de altitude. Mata de Cipó perturbada.",NA,NA,NA,NA,"INPA0153248","INPA0153248 INPA0153248_e INPA0153248_e1","400","400","isotype","1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-07-10 09:46:44-03","MBML","MBML-HERBARIO","6809",NA,"Plantae",NA,NA,"Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","Mori","S. Mori/1993","S. C. de Sant'ana; et al","316","1993","04","01",NA,"Brasil","Bahia","Wenceslau Guimarães",NA,"-39.4794006347656","-13.686900138855",NA,"Árvore 10m X 12cm, flores amareladas, nome vulgar: biriba.","MBML006809","MBML006809",NA,NA,NA,NA,NA,NA,NA,NA,"37469","auto",NA,NA,NA,NA,NA
"29","2021-02-04 10:27:48-03","UFRPE","HST","14249","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori",NA,"A.P.L.Couto; L.S.Funch, R.Funch","13","2004","05","01",NA,"Brasil","Bahia","Lençóis",NA,"-41.361389","-12.554167",NA,"Árvore ca. 9m alt. Folhas coriáceas, concolor, margem inteira. Botões branco-esverdeado, flor branca com androceu amarelo.","HST014249",NA,"550","550",NA,NA,NA,"41W21'41''","12S33'15''",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-09-12 05:00:02-03","US","US","3097536","PreservedSpecimen","Plantae",NA,"Lecythidales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A. Mori",NA,"S. A. Mori & R. Funch","13422","1980","3","8","South America - Neotropics","Brazil","Bahia","Lençóis","Arredores de Lençois, estrada para as Toalhas, a 6km ao N de Lençois","-41.3899993896484","-12.563099861145",NA,NA,"US01884288","US01884288_01 US01884288_02","550",NA,NA,NA,NA,NA,NA,"Dicotyledonae","47385","auto",NA,NA,"1",NA,NA
"31","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Lecythidales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A. Mori",NA,"S. A. Mori, T. S. Santos & C. B. Thompson","10878","1978","10","20","South America - Neotropics","Brazil","Bahia","Porto Seguro","Estrada nova que liga a Rod. BR 367 com o Arraial d´ Ajuda, a 17 km do entroncamento com a BR 367. Cerca de 30 km a W de Porto Seguro","-39.0647010803223","-16.4496994018555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","68835","auto",NA,NA,"1",NA,NA
"32","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Lecythidales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A. Mori",NA,"S. C. Sant'Ana","316","1993","4","1","South America - Neotropics","Brazil","Bahia","Wenceslau Guimarães","Reserva Estadual de Wenceslau Guimarães. Cerca de 40 km W de Teolândia, próximo ao povoado de Nova Esperança","-39.4794006347656","-13.686900138855",NA,NA,NA,NA,"380","600",NA,NA,NA,NA,NA,"Dicotyledonae","37469","auto",NA,NA,"1",NA,NA
"33","2020-09-12 05:00:02-03","US","US","3076731","PreservedSpecimen","Plantae",NA,"Lecythidales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A. Mori",NA,"G. Hatschbach & R. Kummrow","48060","1984","6","19","South America - Neotropics","Brazil","Bahia","Andaraí","Rio Paraguaçu","-41.3314018249512","-12.8072004318237",NA,NA,"US01884287","US01884287_01 US01884287_02",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","58558","auto",NA,NA,"1",NA,NA
"34","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Lecythidales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A. Mori",NA,"S. A. Mori, T. S. Santos & C. B. Thompson","10878","1978","10","20","South America - Neotropics","Brazil","Bahia","Porto Seguro","Estrada nova que liga a Rod. BR 367 com o Arraial d´ Ajuda, a 17 km do entroncamento com a BR 367. Cerca de 30 km a W de Porto Seguro","-39.0647010803223","-16.4496994018555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","68835","auto",NA,NA,"1",NA,NA
"35","2020-09-12 05:00:02-03","US","US","3097535","PreservedSpecimen","Plantae",NA,"Lecythidales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A. Mori",NA,"S. A. Mori & R. Funch","13421","1980","3","5","South America - Neotropics","Brazil","Bahia","Andarai","3 km N of Andarai.","-41.3314018249512","-12.8072004318237",NA,NA,"US00005298","US00005298_01","400","400","Isotype",NA,NA,NA,NA,"Dicotyledonae","58558","auto",NA,NA,"1",NA,NA
"36","2020-09-02 16:30:27-03","Cenargen","CEN","30292","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori","F. S. Catenacci","Glocimar Pereira-Silva","3619","1996","09","20",NA,"Brasil","BA","UTINGA","Rodovia Utinga - Bonito km 5.","-41.116666","-12.05","Exsicatas","Arvoreta ramificada na base. Fruto na carpoteca.","CEN00030292","CEN00030292","640","640",NA,"2015","11","-41.116666","-12.05",NA,NA,NA,NA,NA,"5",NA,NA
"37","2019-11-13 11:21:20-03","USP","SPF","161857","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori","Mori, SA","Jardim, JG","2874","2000","02","24",NA,"Brasil","Bahia","São Miguel das Matas",NA,"-39.432222","-13.425",NA,NA,"SPF00161857",NA,"400","400",NA,"2013",NA,"-39.432222","-13.425",NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-10-07 09:12:44-03","UEFS","HUEFS","252000","PreservedSpecimen","Plantae","Angiospermae","Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori",NA,"Lui, Y.","THE02_177177","2018","03","22",NA,"Brasil","Piauí","Altos","Private farm 16 km from Teresina on PI 113 (state highway)","-42.651111","-5.014722",NA,"Semideciduous seasonal forest","HUEFS0252000","HUEFS0252000","167","167",NA,NA,NA,"42W39'4''","5S0'53''","Asteranae",NA,NA,NA,NA,NA,NA,NA
"39","2019-10-07 09:12:44-03","UEFS","HUEFS","110082","PreservedSpecimen","Plantae","Angiospermae","Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori",NA,"Couto, A.P.L.","160","2006","05","21",NA,"Brasil","Bahia","Lençóis",NA,"-41.383333","-12.566667",NA,NA,"HUEFS0110082","HUEFS0110082 HUEFS0110082_01",NA,NA,NA,NA,NA,"41W23'","12S34'","Asteranae",NA,NA,NA,NA,NA,NA,NA
"40","2019-10-07 09:12:44-03","UEFS","HUEFS","149761","PreservedSpecimen","Plantae","Angiospermae","Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori",NA,"Smith, N.P.","114","2009","02","02",NA,"Brasil","Bahia","Lençóis","On side of dirt road just off from BR-242, outside of town of Lençóis.","-41.364444","-12.555278",NA,NA,"HUEFS0149761","HUEFS0149761","460","460",NA,NA,NA,"41W21'52''","12S33'19''","Asteranae",NA,NA,NA,NA,NA,NA,NA
"41","2019-10-07 09:12:44-03","UEFS","HUEFS","149762","PreservedSpecimen","Plantae","Angiospermae","Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori",NA,"Smith, N.P.","115","2009","02","02",NA,"Brasil","Bahia","Lençóis","On side of dirt road just off from BR-242, outside of town of Lençóis.","-41.362778","-12.546667",NA,NA,"HUEFS0149762","HUEFS0149762","478","478",NA,NA,NA,"41W21'46''","12S32'48''","Asteranae",NA,NA,NA,NA,NA,NA,NA
"42","2019-10-07 09:12:44-03","UEFS","HUEFS","149763","PreservedSpecimen","Plantae","Angiospermae","Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori",NA,"Smith, N.P.","116","2009","02","02",NA,"Brasil","Bahia","Lençóis","On side of road (BR-242) outside of town of Lençóis.","-41.390833","-12.470556",NA,NA,"HUEFS0149763","HUEFS0149763","650","650",NA,NA,NA,"41W23'27''","12S28'14''","Asteranae",NA,NA,NA,NA,NA,NA,NA
"43","2019-10-07 09:12:44-03","UEFS","HUEFS","224497","PreservedSpecimen","Plantae","Angiospermae","Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori","M.Ribeiro","Azevêdo-Gonçalves, C.F.de",NA,"2006","04",NA,NA,"Brasil","Bahia","Mucugê","Fazenda Hayashi, Guiné.","-41.516667","-12.783333",NA,NA,"HUEFS0224497","HUEFS0224497 HUEFS0224497_e1",NA,NA,NA,"2019","09","41W31'","12S47'","Asteranae",NA,NA,NA,NA,NA,NA,NA
"44","2019-10-07 09:12:44-03","UEFS","HUEFS","225625","PreservedSpecimen","Plantae","Angiospermae","Ericales","Lecythidaceae","Eschweilera","tetrapetala","Eschweilera tetrapetala","S.A.Mori","M.Ribeiro","Menezes, I.S.","1","2016","07","16",NA,"Brasil","Bahia","Lençóis","BR 242, aproximadamente 15 Km de Lençóis.","-41.383333","-12.333333",NA,"Floresta Estacional Submontana.","HUEFS0225625","HUEFS0225625 HUEFS0225625_01 HUEFS0225625_e1","492","492",NA,"2019","09","41W23'","12S20'","Asteranae",NA,NA,NA,NA,NA,NA,NA
