"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","day","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","previousCatalogNumber"
"11","2015-09-03 18:56:18-03","MNHN","RECOLNAT_MNHN_P","P02002258","PreservedSpecimen",NA,NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.",NA,"Glaziou, A.",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02002258' target='other'> <mi>dwc_moreinfo</mi></a>","P02002258","P02002258_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11468",NA,NA,NA
"12","2015-09-03 18:56:18-03","MNHN","RECOLNAT_MNHN_P","P02002260","PreservedSpecimen",NA,NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.",NA,"Glaziou, A.",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02002260' target='other'> <mi>dwc_moreinfo</mi></a>","P02002260","P02002260_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11467",NA,NA,NA
"13","2015-09-03 18:56:18-03","MNHN","RECOLNAT_MNHN_P","P02002262","PreservedSpecimen",NA,NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.",NA,"Glaziou, A.",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02002262' target='other'> <mi>dwc_moreinfo</mi></a>","P02002262","P02002262_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20444",NA,NA,NA
"14","2015-09-03 18:56:18-03","MNHN","RECOLNAT_MNHN_P","P02002259","PreservedSpecimen",NA,NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.",NA,"Glaziou, A.",NA,"1878","11",NA,"Brasil","Rio de Janeiro","Brésil (Rio Jan.) Foret de Tijuca.","hb","Herbier de A. Glaziou donné par Mme. Simard, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02002259' target='other'> <mi>dwc_moreinfo</mi></a>","P02002259","P02002259_01",NA,"20","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"57442","auto","11467",NA,NA,NA
"15","2020-12-11 11:36:59-03","UFMG","BHCB","24385","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","1590354","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.","Sachiko Nishida","Gustavo Martinelli|et al.","Martinelli 12889","1988","5","South America","Brazil","Rio de Janeiro","Nova Friburgo.",NA,NA,NA,NA,NA,"12",NA,"-42.05","-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-04-13 14:09:00-03","MO","MOBOT","101177586","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.","Pablo Stevenson","Pablo Stevenson|BERNAL|Edgar Cifuentes|Cecilia Prada|RAMÍREZ","Stevenson Diaz 2914","2010","5","South America","Colombia","Huila","PArque Nacional Natural Cueva de los Guácharos.",NA,NA,NA,NA,NA,"1","Acevedo","-76.1369444","1.6038889",NA,NA,"1900.00000000",NA,NA,NA,NA,"1",NA,NA
"18","2008-05-27 22:02:00-03","MO","MOBOT","1376478","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.","S. Nishida","Auguste F.M. Glaziou","Glaziou 19790","1861",NA,"South America","Brazil","Rio de Janeiro","Alto Macaé de Nova Friburgo",NA,NA,NA,NA,"Lectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-10 04:40:00-03","MO","MOBOT","1590352","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.","Sachiko Nishida","H. C. de Lima|et al.","Lima 3707","1989","9","South America","Brazil","Rio de Janeiro","Nova Friburgo.",NA,NA,NA,NA,NA,"14",NA,"-42.05","-22",NA,NA,"1200.00000000",NA,NA,NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","483620","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Hufelandia","rigida","Hufelandia rigida","Mez",NA,"A. F. M. Glaziou","19793","1889","10","South America - Neotropics","Brazil","Rio de Janeiro","Alto Macabe.",NA,"Cited by Nishida (1999). Lectotype collection is Glaziou 19790 as (effectively) designated by Kostermans (1938); see also Nishida 1999 (Ann. Missouri Bot. Gard. 86: 690).","US00589486","US00589486_01","Isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"21","2019-11-13 11:20:59-03","USP","SPF","196484","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.","Anônimo","Lima, HC","3707","1989","09",NA,"Brasil","Rio de Janeiro","Reserva Ecológica de Macaé de Cima, Área de Proteção Ambiental de Macaé de Cima. Estrada para sítio Sophronites.",NA,NA,"SPF00196484",NA,NA,"14","Nova Friburgo","-42.05","-22","-42.05","-22","1000","1000",NA,NA,NA,NA,NA,NA
"22","2019-11-13 11:20:59-03","USP","SPF","196485","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.","Anônimo","Martinelli, G","12889","1988","05",NA,"Brasil","Rio de Janeiro","Reserva Ecológica de Macaé de Cima, Área de Proteção Ambiental de Macaé de Cima. Nascente do Rio das Flores.",NA,NA,"SPF00196485",NA,NA,"12","Nova Friburgo","-42.05","-22","-42.05","-22",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-06-11 12:37:59-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida",NA,"RRC ID Flag","H. C. de Lima","3707","1989","9","South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"14",NA,"-42.5","-22",NA,NA,NA,NA,NA,NA,"3707",NA,"Dicotyledoneae",NA
"24","2015-03-07 08:33:28-03","F","FMNH-SEEDPLANTS","V0155610F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"V0155610F","V0155610F_01",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"25","2019-09-04 19:14:36-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Hufelandia","rigida","Hufelandia rigida",NA,NA,"A. Glaziou","19790","1891",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"26","2019-01-23 10:05:57-02","F","FMNH-SEEDPLANTS","V0061411F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Hufelandia","rigida","Hufelandia rigida",NA,NA,"A. Glaziou","19790","1891",NA,"South America","Brazil",NA,NA,NA,NA,"V0061411F","V0061411F_01","Isosyntype",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"27","2016-08-23 10:59:37-03","NHMLondon","NHM-LONDON-BOT","BM000043615","S","Plantae",NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.",NA,"Auguste François Marie Glaziou; b.1828; d.1906; Glaz.","19790",NA,NA,NA,"Brasil",NA,NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/21cbe89615af2e8db563980457ab685e4278d1c0/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Syntype",NA,NA,"-53.08982","-10.773109","-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:564813"
"28","2019-11-21 10:07:18-03","IBt","SP","263624","S","Plantae",NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.",NA,"Lima, HC; et al.","3707","1989","09",NA,"Brasil","Rio de Janeiro","Reserva Ecológica Municipal de Macaé de Cima, Estrada para o sitio Sophorites",NA,NA,"SP054359","SP054359",NA,"14","Nova Friburgo","-42.05","-22","-42.05","-22","1000","1000",NA,NA,NA,NA,NA,NA
"29","2019-11-21 10:07:18-03","IBt","SP","263629","S","Plantae",NA,NA,"Lauraceae","Beilschmiedia","rigida","Beilschmiedia rigida","(Mez) Kosterm.",NA,"Martinelli, G; et al.","12889","1988","05",NA,"Brasil","Rio de Janeiro","Reserva Ecológica Municipal de Macaé de Cima, Nascente do Rio das Flores",NA,NA,"SP054360","SP054360",NA,"12","Nova Friburgo","-42.05","-22","-42.05","-22",NA,NA,NA,NA,NA,NA,NA,NA
