"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","locality","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet"
"15","2016-09-27 07:44:00-03","NY","NYBG","616951","PreservedSpecimen","Plantae","Myrtaceae","Plinia","trunciflora","Plinia trunciflora",NA,"B. K. Holst","E. M. Zardini","1990","08","03","Paraguay","Central",NA,"-57.5","-25.5",NA,NA,"NY00616951",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385560' target='other'> <mi>dwc_moreinfo</mi></a>","22555","South America","sheet",NA,NA,"Myrtales","San Antonio, on Rio Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","616945","PreservedSpecimen","Plantae","Myrtaceae","Plinia","trunciflora","Plinia trunciflora","(O.Berg) Kausel","M. Sobral","R. Reitz","1947","10","08","Brazil","Santa Catarina","Brusque","-48.9172","-27.0983",NA,NA,"NY00616945","NY00616945_01","35","35","Frutos maduros 19 Nov 1947 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385562' target='other'> <mi>dwc_moreinfo</mi></a>","3089","South America","sheet",NA,"Magnoliophyta","Myrtales","Brusque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","616949","PreservedSpecimen","Plantae","Myrtaceae","Plinia","trunciflora","Plinia trunciflora","(O.Berg) Kausel","M. Sobral","H. M. Curran","1918",NA,NA,"Brazil","Rio de Janeiro","Nova Friburgo","-42.5308","-22.2819",NA,NA,"NY00616949","NY00616949_01",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=385558' target='other'> <mi>dwc_moreinfo</mi></a>","747","South America","sheet",NA,"Magnoliophyta","Myrtales","Nova Fiburgo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-05-07 10:05:23-03","MCN-PUC-MINAS","HPUC-MG","ANG4408","S","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora",NA,"Marcos Sobral","Tarso N.C.",NA,NA,NA,"Brasil","Minas Gerais","Serro","-43.3793983459473","-18.604700088501",NA,NA,NA,NA,"940","940","Folha simples, bordas simples, textura membranosa, filotaxia alternada. UTM: 7959707 x; 665598 y.","20",NA,NA,NA,NA,NA,"Fazenda Santa Cruz","2016","03","01","37754","auto",NA,NA,NA,NA,NA,NA
"19","2020-11-13 09:20:27-03","UFRJ","RFA","36540","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","cauliflora","Myrciaria cauliflora","O.Berg","Marcelo Guerra Santos & L.J.S. Pinto","Ana Mayumi G. Tamashiro; M.M.M.C. Quinteiro","2006","10","07","Brasil","Rio de Janeiro","Resende","-44.595556","-22.324167","44º35'44''W","22º19'27''S","RFA46686",NA,"1201","1201","Arbórea",NA,NA,NA,NA,NA,NA,"Vila da Maromba, Praça da Maromba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-24 17:10:54-03","UTFPR","DVPR","3002","PreservedSpecimen","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora","(DC.) Kausel","Salla, VP","Salla, VP","2015","09","05","Brasil","Paraná","Dois Vizinhos","-53.05375","-25.41469","-53.05375","-25.41469","DVPR003002",NA,"539","539","Árvore 3m, vegetativa. Cultivada em banco de germoplasma.","03",NA,NA,NA,"Magnoliophyta",NA,"Viveiro da UTFPR","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-11-24 17:10:54-03","UTFPR","DVPR","2376","PreservedSpecimen","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora","(DC.) Kausel","Danner, MA","Danner, MA","2014",NA,NA,"Brasil","Paraná","Itapejara d' Oeste",NA,NA,NA,NA,"DVPR002376",NA,NA,NA,"Árvore, frutos maduros roxos. Nativa da região sudoeste do Paraná.","s.n.",NA,NA,NA,"Magnoliophyta",NA,"Centro","2014","12","18",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-24 17:10:54-03","UTFPR","DVPR","1055","PreservedSpecimen","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora","(DC.) Kausel","Estevan, DA","Moura, APC","2012","01","03","Brasil","Paraná","Dois Vizinhos","-53.057201385498","-25.7336006164551",NA,NA,"DVPR001055",NA,NA,NA,"Árvore.","12",NA,NA,NA,"Magnoliophyta",NA,"Comunidade São Cristóvão","2012","12","06","19637","auto",NA,NA,NA,NA,NA,NA
"23","2020-11-24 17:10:54-03","UTFPR","DVPR","1023","PreservedSpecimen","Plantae","Myrtaceae","Plinia","peruviana","Plinia peruviana","(Poir.) Govaerts","Pavlak, T","Pavlak, T; et al.","2011","04","26","Brasil","Paraná","Capanema","-53.8088989257812","-25.6718997955322",NA,NA,"DVPR001023","DVPR001023",NA,NA,"Árvore médio porte, odor característico, fruto roxo.","s.n.",NA,NA,NA,"Magnoliophyta",NA,"Propriedade de José Pavlak, Ressaca do Sto Antonio",NA,NA,NA,"23753","auto",NA,NA,NA,NA,NA,NA
"24","2020-11-24 17:10:54-03","UTFPR","DVPR","3000","PreservedSpecimen","Plantae","Myrtaceae","Plinia","trunciflora","Plinia trunciflora","(O. Berg) Kausel","Salla, VP","Salla, VP","2015","09","05","Brasil","Paraná","Dois Vizinhos","-53.05589","-25.40331","-53.05589","-25.40331","DVPR003000",NA,"463","463","Árvore 6m, vegetativa.","01",NA,NA,NA,"Magnoliophyta",NA,"Comunidade São Cristóvão","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-24 17:10:54-03","UTFPR","DVPR","2375","PreservedSpecimen","Plantae","Myrtaceae","Plinia","trunciflora","Plinia trunciflora","(O. Berg) Kausel","Danner, MA","Danner, MA","2014",NA,NA,"Brasil","Paraná","Itapejara d' Oeste",NA,NA,NA,NA,"DVPR002375",NA,NA,NA,"Árvore, frutos maduros roxos.","s.n.",NA,NA,NA,"Magnoliophyta",NA,"Centro","2014","12","18",NA,NA,NA,NA,NA,NA,NA,NA
"26","2018-08-28 10:13:10-03","UNEMAT","TANG","640","S","Plantae","Myrtaceae","Myrciaria","cauliflora","Myrciaria cauliflora","(Mart.) O. Berg",NA,"Giongo, P","2006","10","10","Brasil","Mato Grosso","Tangará da Serra","-57.4858016967773","-14.6194000244141",NA,NA,"TANG000000640",NA,NA,NA,"folhas simples, opostascaulifloria, arbustivo-arbóreo","1",NA,NA,NA,NA,NA,"Rua 26",NA,NA,NA,"175746","auto",NA,NA,NA,NA,NA,NA
"27","2021-03-30 12:45:50-03","EAO","IAN","9338","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","guapurium","Eugenia guapurium","DC.",NA,"Dombey",NA,NA,NA,"Peru",NA,NA,NA,NA,NA,NA,"IAN009338",NA,NA,NA,NA,"s.n.","Southern America",NA,NA,"Dicotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-30 12:46:05-03","EAO","IAN","167714","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","cauliflora","Myrciaria cauliflora","(Mart.) O.Berg",NA,"Nitta, A","1996","09","05","Brasil","Pará","Tomé-Açu","-48.1521987915039","-2.41888999938965",NA,NA,"IAN167714",NA,NA,NA,NA,"17171","Southern America",NA,NA,"Dicotiledônea",NA,"Jardim do Sr. Uwamari.",NA,NA,NA,"97524","auto",NA,NA,NA,NA,NA,NA
"29","2021-03-30 12:46:06-03","EAO","IAN","27369","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","jaboticaba","Myrciaria jaboticaba","(Vell.) Berg",NA,"Regnell, AF",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"IAN027369",NA,NA,NA,NA,"1699","Southern America",NA,NA,"Dicotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-30 12:46:06-03","EAO","IAN","35697","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","jaboticaba","Myrciaria jaboticaba","(Vell.) Berg","Legrand, CDR","Viégas, AP","1939","09","29","Brasil","São Paulo","Campinas","-47.060001373291","-22.8999996185303",NA,NA,"IAN035697","IAN035697 IAN035697_e",NA,NA,"Árvore.","5073","Southern America",NA,NA,"Dicotiledônea",NA,"Av. Brasil, 222.","1940","12",NA,"23900","auto",NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:46:06-03","EAO","IAN","199256","PreservedSpecimen","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora","(Mart.) Kausel",NA,"Cordeiro, MR","2018","05","13","Brasil","Pará","Santo Antônio do Tauá","-48.1293983459473","-1.15193998813629",NA,NA,"IAN199256",NA,NA,NA,"Arbusto 3 m de altura, frutos verdes.","5160","Southern America",NA,NA,"Dicotiledônea",NA,"Terra firme, solo argiloso.",NA,NA,NA,"41374","auto",NA,NA,NA,NA,NA,NA
"32","2020-01-20 14:40:43-03","UPM","MACK","2703","PreservedSpecimen","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora","(Mart.) Kausel","A.R. Balbin","A. R. Balbin; R. S. L. Araujo","2015","06",NA,"Brasil","SP","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,"Frente ao prédio 3","78",NA,NA,NA,NA,NA,"UPM, Campus Higienópolis.","2015","06",NA,"53584","auto",NA,NA,NA,NA,NA,NA
"33","2019-12-04 15:25:31-03","PUCPR","HUCP","11457","S","Plantae","Myrtaceae","Myrciaria","trunciflora","Myrciaria trunciflora","Berg, O.","Omairi, K","Omairi, K","1998","03","31","Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00015925","HUCP00015925",NA,NA,NA,"001",NA,NA,NA,"Eudicotiledonea",NA,"Jardim Social",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA
"34","2019-12-04 15:25:31-03","PUCPR","HUCP","23481","S","Plantae","Myrtaceae","Myrciaria","trunciflora","Myrciaria trunciflora","Berg, O.","Dunaiski, A","Dunaiski, A","2006","10","17","Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00015921","HUCP00015921",NA,NA,NA,"3198",NA,NA,NA,"Eudicotiledonea",NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA
"35","2019-12-04 15:25:31-03","PUCPR","HUCP","23484","S","Plantae","Myrtaceae","Myrciaria","trunciflora","Myrciaria trunciflora","Berg, O.","Dunaiski, A","Dunaiski, A","2007","01","06","Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00015674","HUCP00015674",NA,NA,NA,"3269",NA,NA,NA,"Eudicotiledonea",NA,"Ahú",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA
"36","2019-12-04 15:25:31-03","PUCPR","HUCP","23716","S","Plantae","Myrtaceae","Myrciaria","trunciflora","Myrciaria trunciflora","Berg, O.","Dunaiski, A","Antico, E","2006","08","13","Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00015778","HUCP00015778",NA,NA,NA,"s.n.",NA,NA,NA,"Eudicotiledonea",NA,"Portão",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA
"37","2019-12-04 15:25:31-03","PUCPR","HUCP","23528","S","Plantae","Myrtaceae","Myrciaria","trunciflora","Myrciaria trunciflora","Berg, O.","Dunaiski, A","Dunaiski, A","2007","12","10","Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00015726","HUCP00015726",NA,NA,NA,"s.n.",NA,NA,NA,"Eudicotiledonea",NA,"Vista Alegre",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA
"38","2020-11-26 18:08:58-03","CPAN-UFMS","COR","2598","PreservedSpecimen","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora","(Mart.) Kausel","D. Villarroel","J.A. Ratter; A. Pott, V.J. Pott, S.C.Almeida Rego, F. Martins, J. Tamashiro","1987","11","20","Brasil","Mato Grosso do Sul","Corumbá","-57.65","-19.016667","57º39'0''W","19º1'0''S",NA,NA,NA,NA,"Folha Habito: Arbusto de 5m",NA,NA,NA,NA,NA,NA,"Fazenda do Dr. Romeu. Floresta decídua/Caatinga; calcáreo;.","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-26 18:08:58-03","CPAN-UFMS","COR","2528","PreservedSpecimen","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora","(Mart.) Kausel","D. Villarroel","J.A. Ratter; A. Pott, V.J. Pott, S.C. Almeida Rego, F. Martins, J. Tamashiro","1987","11","20","Brasil","Mato Grosso do Sul","Corumbá","-57.65","-19.016667","57º39'0''W","19º1'0''S",NA,NA,NA,NA,"Habito: Arbusto de 5m de alt.","6066",NA,NA,NA,NA,NA,"Fazenda do Dr. Romeu. Floresta decídua/Caatinga; calcáreo;.","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-11-26 18:08:58-03","CPAN-UFMS","COR","7080","PreservedSpecimen","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora","(Mart.) Kausel","M. Sobral","Ieda Maria Bortolotto et al.","1998","06","16","Brasil","Mato Grosso do Sul","Corumbá","-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,"107","107",NA,NA,NA,NA,NA,NA,NA,"Distrito de Albuquerque. mata no fundo do quintal; ;.",NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA
"41","2019-07-24 16:19:01-03","CCE","CATAVENTO","80","LivingSpecimen","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora","Kausel","Santilli, C.",NA,"2018","08","28","Brasil","São Paulo","São Paulo","-46.6286","-23.5449","-46.6286","-23.5449","CATAVENTO0080","CATAVENTO0080_v01 CATAVENTO0080_v02 CATAVENTO0080_v03 CATAVENTO0080_v04 CATAVENTO0080_v05 CATAVENTO0080_v06","730","730","<ll>dwc_commonname:</ll> jabuticabeira",NA,"América do Sul",NA,NA,NA,NA,"Av. Mercúrio, s/n - Pq. Dom Pedro II - Brás","2018","08","29",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-10-09 11:21:37-03","UFBA","ALCB","95780","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","cauliflora","Myrciaria cauliflora","(Willd.) Leck","Guedes, ML","Guedes, ML; Gomes, FS; Lisboa, MS","2010","07","19","Brasil","Bahia","Igrapiúna","-39.207778","-13.905278","-39.207778","-13.905278","ALCB0060404",NA,"153","153","ca. 8 m alt. Folhas cartáceas discolores. Caulifloria. Frutos imaturos verdes.; área antropizada.","17360","Southern America",NA,NA,"Dicotyledon",NA,"Litoral Sul, Estrada para Laranjeiras","2010","08",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-10-09 11:21:37-03","UFBA","ALCB","82459a","PreservedSpecimen","Plantae","Myrtaceae","Myrciaria","cauliflora","Myrciaria cauliflora","(Willd.) Leck","Nunes, AT","Nunes, AT; Oliveira Filho, NM de",NA,NA,NA,"Brasil","Bahia","Salvador","-38.510799407959","-12.9710998535156",NA,NA,"ALCB0060402",NA,NA,NA,"Árvore: ca. 35 m alt., folhas compostas, discolores, frutos pequenos imaturos verdes presos ao tronco.","42","Southern America",NA,NA,"Dicotyledon",NA,NA,NA,NA,NA,"26018","auto",NA,NA,NA,NA,NA,NA
"44","2019-11-25 16:51:17-03","UFBA","ALCB","138342","PreservedSpecimen","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora","(Mart. ex Tul.) L.P.Queiroz","Stadnik, A","Stadnik, A; Vasconcelos, T; Faria, J","2016","07","11","Brasil","Minas Gerais","Santana do Riacho","-43.296667","-19.309722","-43.296667","-19.309722","ALCB069181","ALCB069181","632","632","ca. 10m. Folhas discolores. Botões secos.","364","Southern America",NA,NA,"Dicotyledon",NA,"Estrada de terra para o Morro do Pilar.","2016","07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-10-09 11:21:41-03","UFBA","ALCB","128192","PreservedSpecimen","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora","(Mart. ex Tul.) L.P.Queiroz","Stadnik, A","Stadnik, A; Lopes, R; Hurbath, F; Azevedo, FP; Silva, TTS","2013","11","05","Brasil","Bahia","Licínio de Almeida","-42","-14","-42","-14","ALCB045455","ALCB045455",NA,NA,"ca. 4m alt. Folhas discolores. Pétalas e filetes alvos. Frutos imaturos verdes.","191","Southern America",NA,NA,"Dicotyledon",NA,"Garimpo das Ametistas","2013","11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-10-09 11:21:41-03","UFBA","ALCB","128185","PreservedSpecimen","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora","(Mart. ex Tul.) L.P.Queiroz","Stadnik, A","Stadnik, A; Lopes, R; Hurbath, F; Alves, M","2013","05","25","Brasil","Bahia","Licínio de Almeida","-42.545556","-14.497778","-42.545556","-14.497778","ALCB045448","ALCB045448","972","972","ca. 4m alt. Folhas discolores. Botões am glomérulos no caule.","170","Southern America",NA,NA,"Dicotyledon",NA,"Santa Clara","2013","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-10-09 11:21:41-03","UFBA","ALCB","131399","PreservedSpecimen","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora","(Mart. ex Tul.) L.P.Queiroz","Souza, MC","Costa, IG","2014","11","15","Brasil","Rio de Janeiro","Italva","-41.615833","-21.361111","-41.615833","-21.361111","ALCB048160","ALCB048160","200","200","Lâmina cartácea esverdeada, ca 3 m de altura.; Floresta estacional semidecidual submontana.","590","Southern America",NA,NA,"Dicotyledon",NA,"Serra da Prata, ao lado do córrego, próximo á cachoeira, ao lado do corrégo, próximo à cachoeira.","2017","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-10-09 11:21:41-03","UFBA","ALCB","131400","PreservedSpecimen","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora","(Mart. ex Tul.) L.P.Queiroz","Souza, MC","Crepaldi, MOS","2006","05","01","Brasil","Espírito Santo","Santa Leopoldina","-40.448611","-20.150556","-40.448611","-20.150556","ALCB048161","ALCB048161",NA,NA,"Floresta secundária, no domínio da mata Atlântica.","124","Southern America",NA,NA,"Dicotyledon",NA,"Distrito de Mangaral. cachoeira do retiro.","2006","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
