"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","typeStatus","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"11","2021-03-01 16:20:10-03","UNICAMP","UEC","117390","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Pansarin, ER","Pansarin, ER; Batista, JAN","745","2001","01","09",NA,"Brazil","Goiás","Rodovia GO 118, km 204, cerca de 38 km de Alto Paraíso, sentido Teresina de Goiás.",NA,NA,NA,"Flores róseas escuras, folhas parentes. Muito raras no local.; Em solo encharcado, desenvolvendo-se sob Buriti.","UEC017526","UEC017526","2005","05",NA,"Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","auto",NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:20:10-03","UNICAMP","UEC","128476","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Pansarin, ER","Pansarin, ER; Mickeliunas, L","937","2003","01","02",NA,"Brazil","Goiás","GO 118, km 204, lado direito da pista.",NA,NA,NA,"Plantas desenvolvendo-se as margens de mata ciliar. Solo encharcado, com murundus.","UEC017525","UEC017525","2005","05",NA,"Teresina De Goiás","-47.2647018432617","-13.7763996124268","42211","auto",NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:20:10-03","UNICAMP","UEC","129066","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Pansarin, ER","Pansarin, ER; Mickeliunas, L","985","2003","01","26",NA,"Brazil","Paraná","BR 116, km 30, Serra do Capivari, estrada com entrada no Posto Alpino, pico ao leste da torre da Embratel.",NA,NA,NA,"Flores rosa claras.; Em barranco, local perturbado.","UEC017529","UEC017529","2005","05",NA,"Campina Grande do Sul","-49.0553016662598","-25.3055992126465","55154","auto",NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:20:10-03","UNICAMP","UEC","116504","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Pansarin, ER","Sugiyama, M; Mantovani, W","02","1981","01","27",NA,"Brazil","São Paulo","Martinho Prado, Reserva Biológica da Fazenda Campininha.",NA,NA,NA,"Herbacea 0,5 m de alt., pétalas roxas.","UEC017528","UEC017528","2005","05",NA,"Mogi Guaçu","-46.9421997070312","-22.372200012207","39309","auto",NA,NA,NA,NA,NA,NA
"15","2019-01-17 11:24:01-02","PUCRS","MPUC","16953","S","Plantae",NA,"Asparagales","Orchidaceae","Cleistes","ramboi","Cleistes ramboi",NA,"C.A. Mondin",NA,NA,"2010","01","07","South America","Brasil","RS","Estrada de acesso a FLONA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"São Francisco de Paula","-50.5755556","-29.4205556",NA,NA,"Magnoliopsida",NA,"-50.5755556000","-29.4205556000","3461","1"
"16","2020-12-21 16:38:21-03","MBM","MBM","49064","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Pabst, G.","Hatschbach, G.","1820","1950","02","12","Southern America","Brazil","Paraná","Morro Facãozinho",NA,NA,NA,"Terrícola.","MBM049064","MBM049064",NA,NA,NA,"Morretes","-48.834400177002","-25.476900100708","30514","auto",NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:38:21-03","MBM","MBM","49050","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Hoehne, F.C.","Hatschbach, G.","1787","1950","01","22","Southern America","Brazil","Paraná","Rinção",NA,NA,NA,NA,"MBM049050","MBM049050",NA,NA,NA,"São José dos Pinhais","-49.2064018249512","-25.5347003936768","45291","auto",NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:38:21-03","MBM","MBM","20526","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Pabst, G.","Hatschbach, G.; Smith, L.B.; Ayensu, E.; Smith, L.B.; Ayensu, E.","29051","1972","01","20","Southern America","Brazil","Minas Gerais","Guinda",NA,NA,NA,NA,"MBM020526","MBM020526",NA,NA,NA,"Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:38:21-03","MBM","MBM","49051","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Pabst, G.","Hatschbach, G.","8659","1961","12","10","Southern America","Brazil","Paraná","Fazenda Padre Inácio",NA,NA,NA,NA,"MBM049051","MBM049051",NA,NA,NA,"Palmeira","-50.0064010620117","-25.4293994903564","35166","auto",NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:38:21-03","MBM","MBM","20545","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","uliginosa","Cleistes uliginosa","Pabst","Pabst, G.","Hatschbach, G.; Smith, L.B.; Klein, R.M.; Smith, L.B.; Klein, R.M.","28181","1971","12","04","Southern America","Brazil","Paraná","Rio Chopim",NA,NA,NA,NA,"MBM020545",NA,NA,NA,NA,"Palmas","-51.9906005859375","-26.4841995239258","46666","auto",NA,NA,NA,NA,NA,NA
"21","2021-02-11 17:20:55-03","UFPR","UPCB","72460","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Mancinelli, W.S.","Mancinelli, W.S.","1378","2011","01","27",NA,"Brasil","Paraná","Parque das Lauráceas","750","750",NA,"Erva terrícola, flor azul..",NA,NA,"2011","01","27","Adrianópolis","-48.9911003112793","-24.6571998596191","49901","auto",NA,NA,NA,NA,NA,NA
"22","2020-08-31 09:19:28-03","INPA","INPA","234845","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Costa, SM","Barbosa, TMB","1224","2010","07","20","Southern America","Brasil","Roraima","Parque Nacional do Viruá","63","63",NA,NA,"INPA0234845","INPA0234845 INPA0234845_e",NA,NA,NA,"Caracaraí","-60.216667","1.412194",NA,NA,NA,NA,"-60.216667","1.412194",NA,NA
"23","2020-09-12 05:00:02-03","US","US","2270279","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Cleistes","uliginosa","Cleistes uliginosa",NA,NA,"L. B. Smith, R. Reitz & O. Sufridini","9429","1956","12","26","South America","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"US00319736","US00319736_01",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,"1"
"24","2020-09-02 16:34:36-03","Cenargen","CEN","112733","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","L. B. Bianchetti","Marcelo Fragomeni Simon","3674","2019","03","30",NA,"Brasil","GO","Chapada dos Veadeiros, ao longo da GO-118, 27km N de Alto Paraíso","1500","1500","Exsicatas","Erva terrestre. Perianto lilás. Interior do labelo branco.","CEN00112733","CEN00112733","2019","04",NA,"CAVALCANTE","-47.4583015441895","-13.7974996566772","92497","auto",NA,NA,NA,NA,NA,"4"
"25","2020-09-02 16:34:36-03","Cenargen","CEN","34769","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","E. R. Pansarin","João Aguiar Nogueira Batista","1049","2000","02","12",NA,"Brasil","GO","Ca. 28 km N do centro de Formosa, área a direita da pista na estrada em direção ao Salto do Itiquira, ca. 1-1,5 km antes da curva acentuada na estrada que vira em direção ao Salto.",NA,NA,"Exsicatas","Flora do Brasil - Estado de Goiás.","CEN00034769","CEN00034769","2005","05",NA,"FORMOSA","-47.334400177002","-15.5371999740601","113054","auto",NA,NA,NA,NA,NA,"1"
"26","2020-09-02 16:34:36-03","Cenargen","CEN","21276","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","E. R. Pansarin","João Aguiar Nogueira Batista","541","1995","02","19",NA,"Brasil","GO","Santuário de Vida Silvestre - Morro dos Cabeludos.",NA,NA,"Exsicatas",NA,"CEN00021276","CEN00021276","2005","05",NA,"PIRENOPOLIS","-48.9592018127441","-15.852499961853","40887","auto",NA,NA,NA,NA,NA,"1"
"27","2020-09-02 16:34:36-03","Cenargen","CEN","25371","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","uliginosa","Cleistes uliginosa","Pabst","E. R. Pansarin","João Aguiar Nogueira Batista","460","1995","01","04",NA,"Brasil","DF","Campo as margens do Córrego do Gama. Atrás do Aeroporto. Após a QI - 17. Lago Sul.",NA,NA,"Exsicatas","Ficha confeccionada a partir de flor ainda em botão,mas possivelmente já próximo a antese.","CEN00025371","CEN00025371","2003","01",NA,"BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,NA,NA,NA,NA,"1"
"28","2020-09-02 16:34:36-03","Cenargen","CEN","18175","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","uliginosa","Cleistes uliginosa","Pabst","J. A. N. Batista","João Aguiar Nogueira Batista","288","1992","02","19",NA,"Brasil","DF","Campo as margens do Rib. do Torto. acima da ponte na pista Plano Piloto/Sobradinho.",NA,NA,"Exsicatas","Observado um único exemplar. Ficha de diagnose confeccionada a partir de flor ainda em botão, mas possivelmente já próxima a antese.","CEN00018175","CEN00018175","1998","03",NA,"BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,NA,NA,NA,NA,"1"
"29","2020-09-02 16:34:36-03","Cenargen","CEN","30549","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","uliginosa","Cleistes uliginosa","Pabst","E. R. Pansarin","João Aguiar Nogueira Batista","773","1998","02","24",NA,"Brasil","DF","Córrego do Torto. Próximo a ponte na pista entre o Plano Piloto e Sobradinho. Abaixo da estação da Telebrasília.",NA,NA,"Unicata","Área não queimada, com cobertura graminosa densa. Sépalos marrom claro, pétalos roseados. Labelo com base branca, ápice e lobos laterias roseados, crista amarelada.","CEN00030549","CEN00030549","2003","01",NA,"BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,NA,NA,NA,NA,"1"
"30","2020-09-02 16:34:36-03","Cenargen","CEN","32559","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","uliginosa","Cleistes uliginosa","Pabst","E. R. Pansarin","João Aguiar Nogueira Batista","810","1998","12","23",NA,"Brasil","DF","Mata do acampamento. Entre o setor militar e o Parque Nacional de Brasília.",NA,NA,"Exsicatas","Campo limpo úmido a margem de mata ciliar inundada. Solo hidromórfico, escuro. Área não queimada. Sépalos castanho-alaranjado claros. Pétalos roxo claro. Labelo com base branca e parte central e ápice roxo claro. estrias da parte central destacadas em roxo mais escuro. Calo e crista amarelados. Obs: Ficha de diagnose confeccionada a partir de flor ainda em botão, mas possivelmente próximo da antese. O labelo está invertido, com a face de baixo voltada para cima.","CEN00032559","CEN00032559","2003","01",NA,"BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,NA,NA,NA,NA,"1"
"31","2020-09-02 16:34:36-03","Cenargen","CEN","37237","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","uliginosa","Cleistes uliginosa","Pabst","E. R. Pansarin","Zenilton de Jesus Gayoso Miranda","75","2001","02","02",NA,"Brasil","DF","Parque Nacional de Brasília, nas proximidades do assentamento da estrutural.",NA,NA,"Exsicatas","Em solo de terra preta com extrato gramináceo alto e água na superfície. Em início de floração. sépalas e pétalas róseas, uniformemente. labelo róseo intenso com lamelas brancas e calo amarelo. Obs: Ficha confeccionada a partir de flora imatura. Doação da Flora do Brasil - Distrito Federal - Brasília.","CEN00037237","CEN00037237","2003","01",NA,"BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,NA,NA,NA,NA,"1"
"32","2020-09-02 16:34:36-03","Cenargen","CEN","37508","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","uliginosa","Cleistes uliginosa","Pabst","E. R. Pansarin","João Aguiar Nogueira Batista","1233","2001","03","25",NA,"Brasil","GO","Chapada dos Veadeiros. Área a direita da GO-118, na altura do km 187, ca. de 21 km ao N e antes de Alto Paraíso.",NA,NA,"Exsicatas","Área queimada durante a seca, Flores já passadas e outras em ainda botão, sépalas carmim, pétalas róseos. labelo com a base branca e para o ápice roxo, lobos laterais roxo, lobo central roxo acentuado, da base até o ápice dos lobos laterais com estrias(venação) destacadas em roxo mais intenso, crista amarela calos brancos, Doação da Flora do Brasil - Estado do Goiás.","CEN00037508","CEN00037508","2003","01",NA,"ALTO PARAISO DE GOIAS","-47.5099983215332","-14.1324996948242","44724","auto",NA,NA,NA,NA,NA,"1"
"33","2019-11-01 15:15:16-03","UnB","UB","186040","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Pansarin, ER","Irwin, HS","32124","1971","03","18","Southern America","Brasil","Goiás","20km N. of Alto do Paraíso, ca. 1250m.",NA,NA,NA,"Perianth purplish yellow, the labellum red-violet.; Terrestrial, simple, erect, the stems to ca. 50cm tall.; Wet ground, gallery margin. Wet campo and adjacent gallery forest.","UB0015862","UB0015862","2005","05",NA,"Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","auto",NA,NA,NA,NA,NA,NA
"34","2020-08-20 14:54:43-03","UFSC","FLOR","50654","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Trevisan, R.","Campestrini, S.; Trevisan, R.; Weber, P. & Venturi, S.","525","2013","01","19",NA,"Brasil","Paraná","Refúgio de Vida Silvestre (REVIS) dos Campos de Palmas.","1305","1305",NA,"Campo natural seco e pedregoso. Erva com flores lilases.","FLOR0050654",NA,"2013","03","19","Palmas","-51.608611","-26.533611",NA,NA,NA,NA,"51º36'31''W","26º32'1''S",NA,NA
"35","2021-02-08 12:52:12-03","UFRGS","ICN","130916","S","Plantae","Monocotyledon",NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Fernando Rocha","Paz, J","104","2003","02","08","América do Sul","Brasil","RS",NA,NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).; somente o fruto; Turfeira.","ICN00039504",NA,NA,NA,NA,"São Francisco de Paula","-50.5835990905762","-29.4480991363525","76715","auto",NA,NA,NA,NA,NA,NA
"36","2021-02-08 12:52:12-03","UFRGS","ICN","163129","S","Plantae","Monocotyledon",NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Buzatto, CR","Grings, M; Buffon, I; Stahlberg, GB","890","2010","01","08","América do Sul","Brasil","RS","Parque Municipal da Ronda","900","900",NA,"erva ereta com flores rosa, algo creme; labelo com faixa branca; em campo baixo, próximo de beira de mata de encosta (perau)","ICN00039505",NA,NA,NA,NA,"São Francisco de Paula","-50.5835990905762","-29.4480991363525","76715","auto",NA,NA,NA,NA,NA,NA
"37","2021-02-08 12:52:12-03","UFRGS","ICN","040240","S","Plantae","Monocotyledon",NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Rocha, FS","Fleig, M","874","1978","01","04","América do Sul","Brasil","RS","6 Km após São Francisco de Paula via Taimbezinho",NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).; Flor rosa.","ICN00039506",NA,"2003","11","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-11-21 10:13:02-03","IBt","SP","48281","S","Plantae",NA,NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Silva, DG","Mendes Magalhães","1392","1942","01","28",NA,"Brasil","Minas Gerais","Serra de Itatiaia",NA,NA,NA,NA,NA,NA,"2001","12",NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA
"39","2019-11-21 10:13:02-03","IBt","SP","28834","S","Plantae",NA,NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Silva, DG","Spannagel, C","321","1932","02",NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"2001","12",NA,"Petrópolis","-43.1786003112793","-22.5049991607666","36524","auto",NA,NA,NA,NA,NA,NA
"40","2019-11-21 10:13:02-03","IBt","SP","31490","S","Plantae",NA,NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Silva, DG","Spannagel, C","358","1933","01",NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"2001","12",NA,"Petrópolis","-43.1786003112793","-22.5049991607666","36524","auto",NA,NA,NA,NA,NA,NA
"41","2019-11-21 10:13:02-03","IBt","SP","168576","S","Plantae",NA,NA,"Orchidaceae","Cleistes","ramboi","Cleistes ramboi","Pabst","Silva, DG","Sugiyama, M; Mantovani, W","2","1981","01","27",NA,"Brasil","São Paulo","Martinho Prado, Reserva Biológica da Fazenda Campininha",NA,NA,NA,NA,NA,NA,"2005","12",NA,"Mogi Guaçu","-46.9421997070312","-22.372200012207","39309","auto",NA,NA,NA,NA,NA,NA
