"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","infraspecificEpithet","class","individualCount","relatedCatalogItem"
"11","2019-10-09 11:20:57-03","UFBA","ALCB","25396","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Guedes, ML; et al.","3309","1994","04","23","Southern America","Brasil","Bahia","Santa Cruz Cabrália","Extremo Sul, Reserva de Veracruz","-39.0247001647949","-16.2780990600586","49584",NA,"latescente, de ca. 3,0 m de altura. Folhas discolores, coriáceas. Raque da inflorescência laranja.",NA,NA,"auto","Castro, RM de","2006","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:20:57-03","UFBA","ALCB","25396","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Guedes, ML; et al.","3309","1994","04","23","Southern America","Brasil","Bahia","Santa Cruz Cabrália","Extremo Sul, Reserva da Vera Cruz","-39.0247001647949","-16.2780990600586","49584",NA,"Latescente. Ca. de 3m. Folhas discolores, coriáceas. Raque da inflorescência laranja.","ALCB035442","ALCB035442","auto","Castro, RM de","2006","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:14:14-03","ESALQ","ESA","128891","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa",NA,"Colletta, G.D.","1271.0","2013","08","27",NA,"Brasil","São Paulo","Ilhabela","Ao lado da cachoeira do gato","-45.3499984741211","-23.7700004577637","23719",NA,"Árvore, 6m , frutos atropurpúreos","ESA128891",NA,"auto","Colletta, G.D.","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:14:14-03","ESALQ","ESA","68880","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaud.","Martins, S. E. Sampaio, P. S. P.","500.0","1999","06","22",NA,"Brasil","São Paulo","Bertioga",NA,"-46.138599395752","-23.8544006347656","37616",NA,NA,"ESA068880","ESA068880","auto","Romaniuc Neto, S.","2000","02",NA,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-31 13:40:32-03","MN","R","139560","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Sucre Benjamin, D.","6240","1969","11","11",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carauta, J.P.P.","1973","03",NA,NA,"03","120","120",NA,NA,NA,NA,NA,NA
"16","2021-03-31 13:40:32-03","MN","R","139561","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Brade, A.C.","19746","1949","05","04",NA,"Brasil","Espiríto Santo","Cachoeiro do Itapemirim","Vargem Alta",NA,NA,NA,NA,NA,NA,NA,NA,"Carauta, J.P.P.","1973","03",NA,NA,"03","700","700",NA,NA,NA,NA,NA,NA
"17","2021-03-31 13:40:32-03","MN","R","204462","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Marquete, R.","758","1993","03","03",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carauta, J.P.P.","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-31 13:40:32-03","MN","R","39209","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Brade, A.C.","11725","1923","04",NA,NA,"Brasil","Rio de Janeiro",NA,"Santo Antônio de Imbú",NA,NA,NA,NA,NA,NA,NA,NA,"Carauta, J.P.P.","1973","03",NA,NA,"03",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-31 13:40:32-03","MN","R","39197","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Netto, L.S.M.",NA,"1880","02","19",NA,"Brasil","Espiríto Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617","23813",NA,NA,NA,NA,"auto","Velloso, H.P.","1941","12",NA,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-31 13:40:32-03","MN","R","217620","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Giordano, L.C.S.","881","1990","11","10",NA,"Brasil","Rio de Janeiro","Parati",NA,"-44.7131004333496","-23.2178001403809","34470",NA,NA,"R010023216",NA,"auto","Santos, A.","2010","11",NA,NA,"04",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-31 13:40:32-03","MN","R","139100","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Laclette, P.P.H.","730","1980","04","27",NA,"Brasil","Rio de Janeiro","Rio Bonito",NA,"-42.6096992492676","-22.7085990905762","20195",NA,NA,NA,NA,"auto","Pederneiras, L.C.","2008","06",NA,NA,"20","600","600",NA,NA,NA,NA,NA,NA
"22","2021-03-31 13:40:32-03","MN","R","139562","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Carauta, J.P.P.","1887","1976","03","11",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,NA,NA,"auto","Carauta, J.P.P.","1976","03",NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-31 13:40:32-03","MN","R","56226","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Saldanha da Gama, J.","8442","1883",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,"Herbário J. Saldanha e Gabinete de Botânica da Escola Politécnica.",NA,NA,"auto","Carauta, J.P.P.","1973","03",NA,NA,"03",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-31 13:40:32-03","MN","R","39199","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Ule, E.H.G.",NA,"1894","12",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,NA,NA,"auto","Carauta, J.P.P.","1973","03",NA,NA,"03",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-31 13:40:32-03","MN","R","39200","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Vidal, J.",NA,"1930","04","21",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,NA,NA,"auto","Carauta, J.P.P.","1973","03",NA,NA,"03",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-31 13:40:32-03","MN","R","39201","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","s.col.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442",NA,NA,NA,NA,"auto","Carauta, J.P.P.","1973","03",NA,NA,"03",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-31 13:40:32-03","MN","R","103922","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Mello Filho, L.E.","1227","1957","01","20",NA,"Brasil","Rio de Janeiro","Santa Maria Madalena",NA,"-42.0080986022949","-21.9552993774414","30526",NA,NA,NA,NA,"auto","Carauta, J.P.P.","1973","03",NA,NA,"03",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-31 13:40:32-03","MN","R","39198","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Sampaio, A.B.","2685","1917","05",NA,NA,"Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344","38539",NA,NA,NA,NA,"auto","Carauta, J.P.P.","1973","03",NA,NA,"03",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-31 13:40:32-03","MN","R","207240","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Folli, D.A.","3552","2000","01","12",NA,"Brasil","Espiríto Santo","Linhares","Gávea","-40.0722007751465","-19.3910999298096","48094",NA,NA,NA,NA,"auto","Carauta, J.P.P.","2001","03",NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-31 13:40:32-03","MN","R","207237","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Folli, D.A.","3542","1999","12","28",NA,"Brasil","Espiríto Santo","Linhares","Gávea","-40.0722007751465","-19.3910999298096","48094",NA,NA,NA,NA,"auto","Carauta, J.P.P.","2001","03",NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-31 13:40:32-03","MN","R","47549","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Mello Filho, L.E.","459","1946","04","28",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Grajaú","-43.2075004577637","-22.9027996063232","57442",NA,NA,NA,NA,"auto","Carauta, J.P.P.","1972","05",NA,NA,"02",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-31 13:40:32-03","MN","R","126505","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Mello Filho, L.E.","2681","1969","11","25",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Grajaú","-43.2075004577637","-22.9027996063232","57442",NA,NA,NA,NA,"auto","Carauta, J.P.P.","1973","03",NA,NA,"03",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-31 13:40:32-03","MN","R","25134","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Brade, A.C.","11123","1931","09","30",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Pilar","-43.2075004577637","-22.9027996063232","57442",NA,NA,NA,NA,"auto","Carauta, J.P.P.","1973","03",NA,NA,"03",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-31 13:40:32-03","MN","R","58482","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Netto, L.S.M.",NA,"1880","11",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Rio Comprido","-43.2075004577637","-22.9027996063232","57442",NA,NA,NA,NA,"auto","Carauta, J.P.P.","1973","03",NA,NA,"03",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-31 13:40:32-03","MN","R","103921","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Mello Filho, L.E.","1263","1957","12","17",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Tijuca","-43.2075004577637","-22.9027996063232","57442",NA,NA,NA,NA,"auto","Carauta, J.P.P.","1973","03",NA,NA,"03",NA,NA,NA,NA,NA,NA,NA,NA
"36","2016-02-02 14:38:37-02","BGBM","B","B 10 0244702","S","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","C. Gaudichaud","1090 bis","1835",NA,NA,"Middle and South America","Brazil",NA,NA,"Rio de Janeiro.",NA,NA,NA,NA,"Gaudichaud misit 1835 <a href=http://herbarium.bgbm.org/object/B100244702 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100244702","B100244702",NA,"Taubert",NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA
"37","2021-03-24 17:09:28-03","UFES","SAMES","3598","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Pereira,O.J.; Menezes,L.F.T.;Martins,R.F.A.;Giaretta,A.O.","7490","2007","03","29",NA,"Brasil","Espírito Santo","Linhares","Degredo. Vegetação de restinga. Mata de cordão arenoso não inundável. Sítio do Chiquinho (Fazenda Ralph).","-40.0722007751465","-19.3910999298096","48094",NA,"Planta de 2m. Frutos verdes com eixo avermelhados.","SAMES03598",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-11-21 14:39:59-03","UFJF","CESJ","11912","PreservedSpecimen","Plantae","Angiosperma",NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","L. Krieger","CESJ11912","1972","11","04","América do Sul","Brasil","Espirito Santo","Marataizes",NA,"-40.8244018554688","-21.0433006286621","19311",NA,"Na restinga (mata). Arbusto, inflorescência pendente.","CESJ011912",NA,"auto","J.P.P. Carauta","2002","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-01 16:35:58-03","UNICAMP","UEC","116240","S","Plantae","Magnoliopsida",NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Ivanauskas, NM; Mazine, FF; et al.","4559","2000","04","20",NA,"Brazil","São Paulo","São Sebastião","Parque Estadual da Serra do Mar, Trilha das cachoeiras do ribeirão de Itu.","-45.6","-23.75",NA,NA,"Arbusto, inflorescência de eixo cor de vinho, flores esverdeadas, presença de látex aquoso, encosta próxima da beira do rio.; Floresta Ombrófila Densa de Encosta com sinasi de perturbação.","UEC038192",NA,NA,"Santos, A","2011","04","-45.6","-23.75","26",NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-08-20 10:20:47-03","UNICAMP","UEC","148892","S","Plantae","Magnoliopsida",NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Aranha, BA","324","2007","01","10",NA,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela J","-45.084167","-23.366389",NA,NA,NA,"UEC038199",NA,NA,"Santos, A","2011","04","-45.084167","-23.366389","27","380","380",NA,NA,NA,NA,NA,NA
"41","2019-08-20 10:20:47-03","UNICAMP","UEC","148929","S","Plantae","Magnoliopsida",NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Aranha, BA","326","2007","01","10",NA,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela J","-45.084167","-23.366389",NA,NA,NA,"UEC038197",NA,NA,"Santos, A","2011","04","-45.084167","-23.366389","27","380","380",NA,NA,NA,NA,NA,NA
"42","2021-03-01 16:35:58-03","UNICAMP","UEC","67947","S","Plantae","Magnoliopsida",NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Lobo, PC","29368","1993","11","16",NA,"Brazil","São Paulo","Ubatuba","Praia de Maranduba","-45.0699996948242","-23.4300003051758","34265",NA,"Árvore 4,5 m.","UEC017670","UEC017670","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-04-22 16:22:09-03","UFPB","JPB","16675","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Miranda, CAB de; Moura, OT","517-A","1977","09","21","Southern America","Brasil","Paraíba","João Pessoa","Parque Arruda Camara","-34.863056","-7.115",NA,NA,"; DESC: Arbusto. Flor branca. Flores masculinas.",NA,NA,NA,"Carauta, JPP","2001","07","-34.863056","-7.115",NA,"47","47",NA,NA,NA,NA,NA,NA
"44","2020-04-22 16:22:09-03","UFPB","JPB","22723","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Guedes, ML; et al.","3309","1994","09","23","Southern America","Brasil","Bahia","Santa Cruz de Cabrália","Reserva de VeraCruz.",NA,NA,NA,NA,"; DESC: Arbusto latescente de ca. 3,0m de altura. Folhas discolores, coriáceas. Raque da inflorescência laranja.",NA,NA,NA,"Carauta, JPP","2001","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-04-22 16:22:09-03","UFPB","JPB","22724","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Guedes, ML","ALCB25247","1994","06","12","Southern America","Brasil","Bahia","Salvador","Sítio Moça Branca.","-38.510799407959","-12.9710998535156","26018",NA,"; DESC: Arbusto de ca. de 4m de altura. Folhas coriaceas discolores, com as nervuras esbranquiçadas. Inflorescência com raque vinaceo. Frutos de cor vinho.",NA,NA,"auto","Carauta, JPP","2001","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-04-27 16:10:40-03","UFES","VIES","7542","S","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Pereira, O.J.; Gomes, J.M.L.","5009","1993","09","28",NA,"Brasil","Espírito Santo","Linhares","Comboios.","-40.0722007751465","-19.3910999298096","48094",NA,NA,"VIES007542","VIES007542","auto","Carauta, J.P.P.","1994","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-12-21 16:36:03-03","MBM","MBM","307655","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich","M Ivanauskas, N.; et al.; et al.","6001","2005","02","16","Southern America","Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar","-45.0699996948242","-23.4300003051758","34265",NA,NA,"MBM307655","MBM307655","auto","Cielo Filho, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-12-21 16:36:03-03","MBM","MBM","172524","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","61605","1995","01","17","Southern America","Brazil","Espírito Santo","Domingos Martins","Rod. BR-262, próximo a Vitor Hugo, Rio Jucu Braço Sul","-40.6591987609863","-20.3633003234863","48150",NA,NA,"MBM172524","MBM172524","auto","Castro, R.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2020-12-21 16:36:03-03","MBM","MBM","189982","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich","Hatschbach, G.; Motta, J.T.; Motta, J.T.","62967","1995","08","11","Southern America","Brazil","Bahia","Alcobaça","Rodovia para Itamaraju, km 15-20","-39.1955986022949","-17.5193996429443","50074",NA,NA,"MBM189982","MBM189982","auto","Castro, R.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2020-12-21 16:36:03-03","MBM","MBM","64708","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich","Anderson, W.R.","11691",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","Pedra da Gávea","-43.2075004577637","-22.9027996063232","57442",NA,NA,"MBM064708","MBM064708","auto","Carauta, J.P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2015-09-05 11:12:28-03","MNHN","RECOLNAT_MNHN_P","P06778189","PreservedSpecimen",NA,NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Glaziou, A.",NA,"1879","8","24",NA,"Brasil",NA,NA,"Brésil. Pres du Rio Sto. Antonio. Brasil, América do Sul",NA,NA,NA,"hb",". . Herbier de A. Glaziou. Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06778189' target='other'> <mi>dwc_moreinfo</mi></a>","P06778189","P06778189_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11566",NA,NA,NA,NA
"52","2015-09-05 11:12:28-03","MNHN","RECOLNAT_MNHN_P","P06778191","PreservedSpecimen",NA,NA,NA,"Moraceae","Sorocea","racemosa","Sorocea racemosa","Gaudich.","Gaudichaud",NA,NA,NA,NA,NA,"Brasil","Santa Catarina",NA,". Santa Catarina, Sul, Brasil, América do Sul",NA,NA,NA,"hb","Voyage de la Bonite. . . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06778191' target='other'> <mi>dwc_moreinfo</mi></a>","P06778191","P06778191_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
