"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","fieldNumber","preparationType","individualCount","minimumElevationInMeters","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"15","2009-12-24 06:40:00-02","MO","MOBOT","2991547","PreservedSpecimen","Plantae",NA,NA,NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.","M. Nee",NA,NA,NA,NA,"Shunsuke Tsugaru|Yasuo Otsuka","Tsugaru B-2249","1987","12","2","South America","Brazil","São Paulo","São Roque. Bairro Caete. 50km W from São Paulo. On grassy gentle slope.",NA,NA,NA,NA,NA,NA,"850.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","1616901","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Solanales","Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.",NA,NA,NA,NA,NA,"A. Usteri","16","1905","11","26","South America - Neotropics","Brazil",NA,NA,NA,"US01933690","US01933690_01 US01933690_02",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","1616767","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Solanales","Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.",NA,NA,NA,NA,NA,"A. C. Brade","7019","1914","12",NA,"South America - Neotropics","Brazil","São Paulo",NA,NA,"US01933689","US01933689_01 US01933689_02",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-09-12 05:00:02-03","US","US","1616904","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Solanales","Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.",NA,NA,NA,NA,NA,"G. Edwall","s.n.","1894","11","18","South America - Neotropics","Brazil","São Paulo",NA,NA,"US01933691","US01933691_01 US01933691_02",NA,NA,"1",NA,"São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","1570224","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Solanales","Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.",NA,NA,NA,NA,NA,"-. Schwack","II/46","1905","2","21","South America - Neotropics","Brazil","Paraná",NA,NA,"US01933692","US01933692_01 US01933692_02",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","1484457","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Solanales","Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.",NA,NA,NA,NA,NA,"L. Riedel","s.n.","1904","12","25","South America - Neotropics","Brazil",NA,NA,NA,"US01933694","US01933694_01 US01933694_02",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-09-04 18:47:26-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Dicotyledoneae",NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium",NA,NA,NA,NA,NA,"Type [status unknown]","F. Sellow",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA
"22","2019-01-23 12:18:18-02","F","FMNH-SEEDPLANTS","V0073409F","PreservedSpecimen","Plantae","Spermatophyta","Dicotyledoneae",NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium",NA,NA,NA,NA,NA,"Isotype","F. Sellow",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"V0073409F","V0073409F_01",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA
"23","2016-08-23 11:00:22-03","NHMLondon","NHM-LONDON-BOT","BM000565782","S","Plantae",NA,NA,NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.","Sandra (Sandy) Diane Knapp; b.1956; S.Knapp","1998",NA,NA,"Isolectotype","Friedrich Sellow; b.1789; d.1831; Sellow","s.n.",NA,NA,NA,NA,"Brasil",NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/a1e4aa20fac3b113771c434ef230d0ec36eda56e/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,"-53.08982","-10.773109","NHMUK:ecatalogue:4979698"
"24","2016-08-23 10:23:03-03","NHMLondon","NHM-LONDON-BOT","BM000935621","S","Plantae",NA,NA,NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.","Sandra (Sandy) Diane Knapp; b.1956; S.Knapp","1998",NA,NA,NA,"C.B.J. Bowie; Allan Cunningham; b.1791; d.1839; A.Cunn.","s.n.","1815","05","19",NA,"Brasil","São Paulo","Corvo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4342777"
"25","2015-02-26 09:31:00-03","NHMLondon","NHM-LONDON-BOT","BMsellowITspissifolium","S","Plantae","Angiosperm",NA,NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium",NA,"Sandra (Sandy) Diane Knapp; b.1956; S.Knapp","2002","01","01","Isolectotype","Anon.","S.N.",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,"-53.08982","-10.773109","NHMUK:ecatalogue:4514356"
"26","2015-02-26 09:31:00-03","NHMLondon","NHM-LONDON-BOT","BsellowITspissifolium","S","Plantae","Angiosperm",NA,NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium",NA,"Sandra (Sandy) Diane Knapp; b.1956; S.Knapp","2002","01","01","Isolectotype","Anon.","S.N.",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,"-53.08982","-10.773109","NHMUK:ecatalogue:4514357"
"27","2015-02-26 09:31:00-03","NHMLondon","NHM-LONDON-BOT","KsellowHTspissifolium","S","Plantae","Angiosperm",NA,NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium",NA,"Sandra (Sandy) Diane Knapp; b.1956; S.Knapp","2002","01","01","Lectotype","Anon.","S.N.",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,"-53.08982","-10.773109","NHMUK:ecatalogue:4514355"
"28","2017-09-11 17:14:08-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.",NA,NA,NA,NA,NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"In Brasilia australiore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2014-09-23 11:02:24-03","G","G-DC","G00145574","S","Plantae",NA,NA,NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.","CAT.HERB.PRODR.","2008","01","01",NA,"Anon.",NA,NA,NA,NA,"AMERIQUE DU SUD","Brazil",NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=144849&base=img&lang=en","G00145574","G00145574",NA,NA,NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,"-53.08972222","-10.77305556",NA
"30","2021-02-04 09:02:39-03","IBt","SP","56730","S","Plantae",NA,NA,NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.",NA,NA,NA,NA,NA,"Pickel, B","s.n.",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-02-06 10:42:14-03","IBt","SP","2095","S","Plantae",NA,NA,NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.","Knapp, S","2013",NA,NA,NA,"Campos Novaes, J","179",NA,NA,NA,NA,"Brasil","São Paulo",NA,NA,"SP117140","SP117140",NA,NA,NA,NA,"Campinas","-47.060001373291","-22.8999996185303","23900","auto",NA,NA,NA
"32","2019-11-21 10:19:34-03","IBt","SP","15309","S","Plantae",NA,NA,NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.","Gutiérrez, MA","2011",NA,NA,NA,"Edwall, G","CGG2885","1894","11","18",NA,"Brasil","São Paulo","Campo dos Perdizes",NA,"SP032644","SP032644",NA,NA,NA,NA,"São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA
"33","2020-02-06 10:42:14-03","IBt","SP","6894","S","Plantae",NA,NA,NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.","Knapp, S","2013",NA,NA,NA,"Brade, AC","7019","1914","12",NA,NA,"Brasil","São Paulo","Jabaquara",NA,"SP117142","SP117142",NA,NA,NA,NA,"São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA
"34","2020-02-06 10:42:13-03","IBt","SP","15305","S","Plantae",NA,NA,NA,"Solanaceae","Solanum","spissifolium","Solanum spissifolium","Sendtn.","Knapp, S","2013",NA,NA,NA,"Usteri, A","s.n.","1905","11","26",NA,"Brasil","São Paulo","Vila Mariana",NA,"SP117141","SP117141",NA,NA,NA,NA,"São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA
