"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","monthIdentified","class","dayIdentified","fieldNumber","individualCount","typeStatus"
"11","2019-11-21 14:43:00-03","UFJF","CESJ","66766","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","F.M. Ferreira","2012","F.M. Ferreira; A.L.C. Lima","2226","2012","10","20","Brasil","Espirito Santo","Alegre","-41.527778","-20.793333","-41.527778","-20.793333","CESJ066766",NA,"Mata das Roseiras","583","583","Floresta Estacional Semidecidual. Erva no interior da mata.","Angiosperma",NA,"América do Sul",NA,NA,NA,"10",NA,NA,NA,NA,NA
"12","2021-03-01 16:20:39-03","UNICAMP","UEC","17102","S","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","Oliveira, RP","2003","Bronzi, LM","7772","1978","05","07","Brazil","Rio de Janeiro","Mangaratiba","-44.040599822998","-22.9596996307373",NA,NA,"UEC063989","UEC063989","Rodovia Rio - Santos.",NA,NA,"Beira de rio. Mata fechada.","Liliopsida",NA,NA,NA,"17272","auto","12",NA,NA,NA,NA,NA
"13","2020-10-14 10:05:03-03","FURB","FURB","51415","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","Funez, L.A.","2016","Funez, L.A.","5467","2016","09","21","Brasil","Santa Catarina","Blumenau","-49.0475","-26.9286111","-49.0475000","-26.9286111","FURB51415","FURB51415","Ribeirão Fresco.","47","47",NA,NA,NA,NA,NA,NA,NA,"10",NA,"03",NA,NA,NA
"14","2019-11-08 08:55:09-03","FURB","FURB","54569","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","Funez, L.A.","2017","Funez, L.A.; Marascalchi, M.N., Kassner-Filho, A.","6443","2017","08","21","Brasil","Santa Catarina","Blumenau","-49.1025","-26.8797223","-49.1025000","-26.8797223","FURB54569","FURB54569","Ponte do Salto.","42","42",NA,NA,NA,NA,NA,NA,NA,"08",NA,"21",NA,NA,NA
"15","2020-12-21 16:40:58-03","MBM","MBM","95715","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","Smith, L.B.",NA,"Klein, R.","9529",NA,NA,NA,"Brazil","Santa Catarina","Paulo Lopes","-48.6836013793945","-27.9617004394531",NA,NA,"MBM095715","MBM095715","Costa do Morro de Paulo Lopes",NA,NA,NA,NA,NA,"Southern America",NA,"23385","auto",NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:40:58-03","MBM","MBM","25308","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","Swallen, J.R.",NA,"Reitz, R.","5939",NA,NA,NA,"Brazil","Santa Catarina","Brusque","-48.9174995422363","-27.0981006622314",NA,NA,"MBM025308","MBM025308","Azambuja - Brusque",NA,NA,NA,NA,NA,"Southern America",NA,"19684","auto",NA,NA,NA,NA,NA,NA
"17","2015-09-03 23:27:37-03","MNHN","RECOLNAT_MNHN_P","P01783955","PreservedSpecimen",NA,"Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","Oliveira & Dorea",NA,"Lourteig, A.",NA,"1967","12","20","Brasil","Santa Catarina",NA,NA,NA,NA,NA,"P01783955","P01783955_01","Isla de Santa Catarina, Saco Grande.",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01783955' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb",NA,NA,NA,NA,NA,"2350",NA,NA
"18","2016-03-17 12:22:23-03","MNHN","RECOLNAT_MNHN_P","P01783956","PreservedSpecimen",NA,"Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","Oliveira & Dorea",NA,"Lourteig, A.",NA,"1967","12","20","Brasil","Santa Catarina",NA,NA,NA,NA,NA,"P01783956","P01783956_01","Isla de Santa Catarina, Saco Grande.",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01783956' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb",NA,NA,NA,NA,NA,"2350",NA,NA
"19","2010-03-15 10:30:00-03","MO","MOBOT","1917543","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"Cleofé E. Calderón","Calderón 2002","1967","12","8","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,"Brusque; Azambuja. Abundante a orillas del arroyo y en lugares húmedos y protegidos a los lados de la picada",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2018-06-22 05:24:00-03","MO","MOBOT","218967","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"Lyman B. Smith|Pe. Raulino Reitz","Smith 6123","1952","3",NA,"Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,"Azambuja, Brusque",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","2547220","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"A. Lourteig","2350","1967","12","20","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"US00143750","US00143750_01","Isla de santa catarina, saco grande","200","400",NA,NA,"Cyperales","South America",NA,NA,NA,NA,"Monocotyledonae",NA,NA,"1",NA
"22","2020-09-12 05:00:02-03","US","US","3395412","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"R. M. Klein, -- Souza, -. Sob. & -- Bresolin","6812","1966","9","14","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"US00632200","US00632200_01","Saco Grade, Ilha de S. Catarina",NA,NA,NA,NA,"Cyperales","South America",NA,NA,NA,NA,"Monocotyledonae",NA,NA,"1",NA
"23","2020-09-12 05:00:02-03","US","US","2150129","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"L. B. Smith","5788","1952","2","23","Brazil","Santa Catarina","Brusque","-48.9174995422363","-27.0981006622314",NA,NA,"US00143748","US00143748_01","Mato de malucher, brusque lat 27 06's: long 48 54'w","40","50",NA,NA,"Cyperales","South America",NA,"19684","auto",NA,"Monocotyledonae",NA,NA,"1",NA
"24","2020-09-12 05:00:02-03","US","US","2862270","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"A. Bresolin","1321","1978","5","9","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"US00143752","US00143752_01","Sertao da trindade, ilha de s. cat.","100","100",NA,NA,"Cyperales","South America",NA,NA,NA,NA,"Monocotyledonae",NA,NA,"1",NA
"25","2020-09-12 05:00:02-03","US","US","2150190","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"L. B. Smith & R. Reitz","6123","1952","3",NA,"Brazil","Santa Catarina",NA,NA,NA,NA,NA,"US00141311","US00141311_01","Azambuja, Brusque.",NA,NA,NA,NA,"Cyperales","South America",NA,NA,NA,NA,"Monocotyledonae",NA,NA,"1","Holotype"
"26","2020-09-12 05:00:02-03","US","US","2641913","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"C. E. Calderón","2002","1967","12","8","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"US00143759","US00143759_01","Saco grande",NA,NA,NA,NA,"Cyperales","South America",NA,NA,NA,NA,"Monocotyledonae",NA,NA,"1",NA
"27","2020-09-12 05:00:02-03","US","US","2536894","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"R. M. Klein & A. Bresolin","6880","1966","11","23","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"US00143758","US00143758_01","Saco grande","250","250",NA,NA,"Cyperales","South America",NA,NA,NA,NA,"Monocotyledonae",NA,NA,"1",NA
"28","2020-09-12 05:00:02-03","US","US","3169654","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"L. B. Smith, R. Reitz & R. M. Klein","12255","1957","3","27","Brazil","Santa Catarina","Brusque","-48.9174995422363","-27.0981006622314",NA,NA,"US00412334","US00412334_01","Azambuja, brusque","35","135",NA,NA,"Cyperales","South America",NA,"19684","auto",NA,"Monocotyledonae",NA,NA,"1",NA
"29","2020-09-12 05:00:02-03","US","US","2708765","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"R. M. Klein","9529","1971","6","23","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"US00143749","US00143749_01","Costa do morro de paulo lopes, paulo lopes","300","300",NA,NA,"Cyperales","South America",NA,NA,NA,NA,"Monocotyledonae",NA,NA,"1",NA
"30","2020-09-12 05:00:02-03","US","US","2463829","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"A. C. Brade","8107","1920","11",NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,"US00143751","US00143751_01","Iguape, morro das pedras",NA,NA,NA,NA,"Cyperales","South America - Neotropics",NA,NA,NA,NA,"Monocotyledonae",NA,NA,"1",NA
"31","2020-09-12 05:00:02-03","US","US","2151608","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"L. B. Smith & R. Reitz","s.n.","1952","3",NA,"Brazil","Santa Catarina","Brusque","-48.9174995422363","-27.0981006622314",NA,NA,"US00143756","US00143756_01","Azambuja, lat 27 06's: long 48 54'w","35","135",NA,NA,"Cyperales","South America",NA,"19684","auto",NA,"Monocotyledonae",NA,NA,"1",NA
"32","2020-09-12 05:00:02-03","US","US","2379508","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"R. Reitz","5939","1957","1","15","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"US00143757","US00143757_01","Azambuja, brusque","50","50",NA,NA,"Cyperales","South America",NA,NA,NA,NA,"Monocotyledonae",NA,NA,"1",NA
"33","2019-10-07 09:22:27-03","UEFS","HUEFS","182116","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"Ferreira, F.M.","2203","2009","10","05","Brasil","Espírito Santo","Alegre","-41.527778","-20.793333","41W31'40''","20S47'36''","HUEFS0182116","HUEFS0182116","Mata das Roseiras.","583","583","Floresta Estacional Semidecidual","Angiospermae","Poales",NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA
"34","2019-10-07 09:22:27-03","UEFS","HUEFS","182117","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","C.Silva","2018","Ferreira, F.M.","2204","2009","10","05","Brasil","Espírito Santo","Alegre","-41.527778","-20.793333","41W31'40''","20S47'36''","HUEFS0182117","HUEFS0182117 HUEFS0182117_e1","Mata das Roseiras.","583","583","Floresta Estacional Semidecidual","Angiospermae","Poales",NA,NA,NA,NA,"12","Lilianae",NA,NA,NA,NA
"35","2019-10-07 09:22:27-03","UEFS","HUEFS","182132","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"Ferreira, F.M.","2225","2010","06","17","Brasil","Rio de Janeiro","Mangaratiba","-44.005278","-23.078889","44W0'19''","23S4'44''","HUEFS0182132","HUEFS0182132","Ilha da Marambaia.","30","30","Floresta Atlântica de Encosta","Angiospermae","Poales",NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA
"36","2019-10-07 09:22:27-03","UEFS","HUEFS","200546","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"Ferreira, F.M.","2226","2012","10","20","Brasil","Espírito Santo","Alegre","-41.527778","-20.793333","41W31'40''","20S47'36''","HUEFS0200546","HUEFS0200546","Mata das Roseiras.","583","583","Floresta Estacional Semidecidual","Angiospermae","Poales",NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA
"37","2019-10-07 09:22:27-03","UEFS","HUEFS","153140","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"Klein, R.","6880","1966","11","23","Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335",NA,NA,"HUEFS0153140","HUEFS0153140","Saco Grande.","250","250","Mata.","Angiospermae","Poales",NA,NA,"27000","auto",NA,"Lilianae",NA,NA,NA,NA
"38","2021-02-23 13:23:03-03","MN","R-TIPOS","103067a","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"Smith, L.B.","6123","1952","03",NA,"Brasil","Santa Catarina","Brusque","-48.9","-27.1","48°54'W","27°06'S","R000103067a","R000103067a_001","Azambuja","35135","35135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotypus"
"39","2021-02-23 13:23:03-03","MN","R-TIPOS","103067","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"Smith, L.B.","6123","1952","03",NA,"Brasil","Santa Catarina","Brusque","-48.9","-27.1","48°54'W","27°06'S","R000103067","R000103067_001","Azambuja","35135","35135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotypus"
"40","2020-08-20 20:41:41-03","UFSC","FLOR","585","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","Swallen, J.R.","1961","Reitz, R.","5939","1957","01","15","Brasil","Santa Catarina","Brusque","-48.9174995422363","-27.0981006622314",NA,NA,"FLOR0000585",NA,"Azambuja.","50","50","Fruto Zebrado, é expelido para longe quando seco",NA,"Poales",NA,NA,"19684","auto",NA,NA,NA,NA,NA,NA
"41","2020-08-20 20:41:41-03","UFSC","FLOR","24502","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","Smith, L.B.","1977","Klein, R.M.","11768","1976","04","28","Brasil","Santa Catarina","Brusque","-48.9174995422363","-27.0981006622314",NA,NA,"FLOR0024502",NA,"Mata São Pedro.","20","20","Abundante de 5-20%. mais abundante a beira de regatos.",NA,"Poales",NA,NA,"19684","auto",NA,NA,NA,NA,NA,NA
"42","2020-08-20 14:59:56-03","UFSC","FLOR","55454","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","Greco, T.h.","2012","Greco, T.h.","126","2012","07","06","Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335",NA,NA,"FLOR0055454",NA,"Morro do Ribeirão, estrada do Sertão do Peri, Ribeirão da Ilha, Ilha de Santa Catarina.",NA,NA,"Pequena população próxima ao corpo d#?#água.",NA,"Poales",NA,NA,"27000","auto","07",NA,"06",NA,NA,NA
"43","2020-08-20 14:59:56-03","UFSC","FLOR","55460","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","Greco, T.h.","2012","Greco, T.h.","120","2012","01","30","Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335",NA,NA,"FLOR0055460",NA,"Morro do Ribeirão, estrada do Sertão do Peri, Ribeirão da Ilha, Ilha de Santa Catarina.","130","130",NA,NA,"Poales",NA,NA,"27000","auto","06",NA,"08",NA,NA,NA
"44","2020-08-20 20:41:41-03","UFSC","FLOR","1877","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","Soderstrom, T.R.","1968","Klein, R.M.; Bresolin, A.","6880","1966","11","23","Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335",NA,NA,"FLOR0001877",NA,"Saco Grande, Ilha de Santa Catarina.","250","250",NA,NA,"Poales",NA,NA,"27000","auto",NA,NA,NA,NA,NA,NA
"45","2020-08-20 20:41:41-03","UFSC","FLOR","4263","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","Smith, L.B.","1978","Klein, R.M.; Sob, Souza & Bresolin, A.","6812","1966","09","14","Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335",NA,NA,"FLOR0004263",NA,"Saco Grande, Ilha de Santa Catarina.","250","250",NA,NA,"Poales",NA,NA,"27000","auto",NA,NA,NA,NA,NA,NA
"46","2020-08-20 20:41:41-03","UFSC","FLOR","4691","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","Smith, L.B.","1980","Bresolin, A.","1321","1978","05","09","Brasil","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335",NA,NA,"FLOR0004691",NA,"Sertão da Trindade, Ilha de Santa Catarina.","100","100",NA,NA,"Poales",NA,NA,"27000","auto",NA,NA,NA,NA,NA,NA
"47","2020-08-20 20:41:41-03","UFSC","FLOR","3709","PreservedSpecimen","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","Smith, L.B.","1973","Klein, R.M.","9529","1971","06","23","Brasil","Santa Catarina","Paulo Lopes","-48.6836013793945","-27.9617004394531",NA,NA,"FLOR0003709",NA,"Costa do morro.","300","300",NA,NA,"Poales",NA,NA,"23385","auto",NA,NA,NA,NA,NA,NA
"48","2019-11-21 10:16:45-03","IBt","SP","337141","S","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"Smith, LB; Reitz, R","6123","1952","03",NA,"Brasil","Santa Catarina","Brusque","-48.9","-27.1","-48.9","-27.1","SP003182","SP003182","Azambuja","35","135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype"
"49","2019-11-21 10:16:45-03","IBt","SP","224411","S","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen",NA,NA,"Calderón, CE","2002","1967","12","08","Brasil","Santa Catarina","Brusque","-48.9174995422363","-27.0981006622314",NA,NA,"SP037945","SP037945","Azambuja.",NA,NA,NA,NA,NA,NA,NA,"19684","auto",NA,NA,NA,NA,NA,NA
"50","2019-11-21 10:16:45-03","IBt","SP","367089","S","Plantae","Poaceae","Reitzia","smithii","Reitzia smithii","Swallen","Swallen, JR",NA,"Smith, LB; Reitz, R; Klein, R","12255","1957","03","27","Brasil","Santa Catarina","Brusque","-48.9174995422363","-27.0981006622314",NA,NA,"SP037944","SP037944","Azambuja.",NA,NA,NA,NA,NA,NA,NA,"19684","auto",NA,NA,NA,NA,NA,NA
