"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","scientificNameAuthorship","typeStatus","continentOcean","occurrenceRemarks","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","individualCount","class","order","sex"
"11","2015-10-02 00:48:40-03","MNHN","RECOLNAT_MNHN_P","P00711156","PreservedSpecimen",NA,NA,"Lauraceae","Nectandra","debilis","Nectandra debilis",NA,NA,NA,NA,"Saint-Hilaire, A. de",NA,"1816",NA,NA,"Brésil",NA,NA,NA,NA,NA,"P00711156","P00711156_01",NA,"Mez","isosyntype",NA,"Catal. B², n° 375 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00711156' target='other'> <mi>dwc_moreinfo</mi></a>","Province de Rio de Janeiro",NA,NA,NA,NA,"Voyage d'Auguste de Saint-Hilaire, de 1816 à 1821/363","hb",NA,NA,NA,NA
"12","2015-09-29 04:41:07-03","MNHN","RECOLNAT_MNHN_P","P00711157","PreservedSpecimen",NA,NA,"Lauraceae","Nectandra","debilis","Nectandra debilis",NA,NA,NA,NA,"Saint-Hilaire, A. de",NA,"1816",NA,NA,"Brésil",NA,NA,NA,NA,NA,"P00711157","P00711157_01",NA,"Mez","isosyntype",NA,"Catal. B², n° 375 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00711157' target='other'> <mi>dwc_moreinfo</mi></a>","Province de Rio de Janeiro",NA,NA,NA,NA,"Voyage d'Auguste de Saint-Hilaire, de 1816 à 1821/363","hb",NA,NA,NA,NA
"13","2013-07-26 15:20:44-03","MNHN","RECOLNAT_MNHN_P","P00711158","PreservedSpecimen",NA,NA,"Lauraceae","Nectandra","debilis","Nectandra debilis",NA,NA,NA,NA,"Saint-Hilaire, A. de",NA,"1816",NA,NA,"Brésil",NA,NA,NA,NA,NA,"P00711158","P00711158_01",NA,"Mez","isosyntype",NA,"Catal. B², n° 375 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00711158' target='other'> <mi>dwc_moreinfo</mi></a>","Province de Rio de Janeiro",NA,NA,NA,NA,"Voyage d'Auguste de Saint-Hilaire, de 1816 à 1821/363","hb",NA,NA,NA,NA
"14","2015-09-03 19:02:17-03","MNHN","RECOLNAT_MNHN_P","P01957662","PreservedSpecimen",NA,NA,"Lauraceae","Nectandra","debilis","Nectandra debilis",NA,NA,NA,NA,"Glaziou, A.",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,"P01957662","P01957662_01",NA,"Mez",NA,NA,"1 feuille. 6198 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01957662' target='other'> <mi>dwc_moreinfo</mi></a>","Brésil",NA,NA,NA,NA,"5980","hb",NA,NA,NA,NA
"15","2015-09-03 19:02:17-03","MNHN","RECOLNAT_MNHN_P","P01957664","PreservedSpecimen",NA,NA,"Lauraceae","Nectandra","debilis","Nectandra debilis",NA,NA,NA,NA,"Glaziou, A.",NA,"1872","2","14","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","P01957664","P01957664_01","auto","Mez",NA,NA,"Reçu le 10 Janvier 1876. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01957664' target='other'> <mi>dwc_moreinfo</mi></a>","Brésil. Provimce de Rio-Janeiro, Tijuca.",NA,NA,NA,NA,"5980","hb",NA,NA,NA,NA
"16","2009-07-27 09:31:00-03","MO","MOBOT","1805595","PreservedSpecimen","Plantae",NA,"Lauraceae","Nectandra","debilis","Nectandra debilis","J.G. Rohwer (MO)",NA,NA,NA,"Auguste F.M. Glaziou","Glaziou 8906","1861",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Mez",NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2010-01-14 15:22:00-02","MO","MOBOT","100241610","PreservedSpecimen","Plantae",NA,"Lauraceae","Nectandra","debilis","Nectandra debilis","H. van der Werff (MO)",NA,NA,NA,"A. A. da Luz","Luz 414","2007","5","8","Brazil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094",NA,NA,"auto","Mez",NA,"South America",NA,"Reserva Natural Vale.",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"18","2020-06-15 15:30:51-03","UNESP-RC","HRCB","36324","PreservedSpecimen","Plantae",NA,"Lauraceae","Nectandra","debilis","Nectandra debilis","Baitello, J.B.",NA,NA,NA,"Ziparro",NA,NA,NA,NA,"Brasil","São Paulo","Sete Barras","-48.080556","-24.233333",NA,NA,NA,NA,"Mez",NA,NA,NA,"Parque Estadual Intervales","48º4'50W","24º14'S",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-06-15 15:30:51-03","UNESP-RC","HRCB","59829","PreservedSpecimen","Plantae",NA,"Lauraceae","Nectandra","debilis","Nectandra debilis","Moraes, P.","2012","07","10","Moraes, P.L.R. de","3480","2012","07","10","Brasil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094",NA,NA,"auto",NA,NA,NA,"Arvoreta 3 m, estéril.","Municipal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-02-25 10:12:37-03","CVRD","CVRD","10262","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Nectandra","aff. debilis","Nectandra aff. debilis","Henk van der Werff","2009","12","04","Luz, A.A. da","413","2007","05","08","BRASIL","ES","Linhares","-40.0722007751465","-19.3910999298096","48094","CVRD010262",NA,"auto","Mez.",NA,"América do Sul","Perto da porteira 223 <ll>dwc_commonname:</ll> Canela verde",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","Laurales",NA
"21","2021-02-25 10:12:37-03","CVRD","CVRD","14448","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Nectandra","aff. debilis","Nectandra aff. debilis","Geovane S. Siqueira","2014","01","17","Folli, D.A.","7071","2013","06","03","BRASIL","ES","Linhares","-40.0722007751465","-19.3910999298096","48094","CVRD014448",NA,"auto","Mez.",NA,"América do Sul","<ll>dwc_commonname:</ll> Canela verde",NA,NA,NA,"25","25",NA,NA,NA,"Magnoliopsida","Laurales",NA
"22","2019-10-07 09:22:59-03","UEFS","HUEFS","165140","PreservedSpecimen","Plantae","Angiospermae","Lauraceae","Nectandra","debilis","Nectandra debilis",NA,NA,NA,NA,"Luz, A.A.da","414","2007","05","08","Brasil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","HUEFS0165140","HUEFS0165140","auto","Mez",NA,NA,"Mussununga","Reserva Natural Vale. Estrada Boleira",NA,NA,NA,NA,NA,NA,NA,"Magnolianae","Laurales",NA
"23","2019-09-04 18:17:26-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Lauraceae","Nectandra","debilis","Nectandra debilis",NA,NA,NA,NA,"A. Glaziou","8906",NA,NA,NA,"Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Isosyntype","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"24","2019-09-04 18:14:57-03","F","FMNH-SEEDPLANTS","V0061494F","PreservedSpecimen","Plantae","Spermatophyta","Lauraceae","Nectandra","debilis","Nectandra debilis",NA,NA,NA,NA,"A. Saint-Hilaire","363",NA,NA,NA,"Brazil",NA,NA,"-52.8731","-10.8339",NA,"V0061494F","V0061494F_01",NA,NA,"Isosyntype","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"25","2020-11-12 17:00:40-03","UEL","FUEL","13633","PreservedSpecimen","Plantae","Tracheophyta","Lauraceae","Nectandra","debilis","Nectandra debilis","Baitello, JB","1999","10","15","Buzato, S; Franco, ALM","26596","1991","03","04","Brasil","São Paulo","Sete Barras","-47.9199981689453","-24.3799991607666","34059","FUEL006150",NA,"auto","Mez",NA,NA,NA,"Fazenda Intervales, Base Saibadela",NA,NA,NA,NA,NA,NA,NA,NA,"Laurales",NA
"26","2021-03-04 15:43:58-03","IF","SPSF","16692","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Nectandra","debilis","Nectandra debilis","J.B.Baitello","2010","03","23","L.P.C.Morelatto","846","1999","11","21","Brasil","SP","Sete Barras","-47.9199981689453","-24.3799991607666","34059",NA,NA,"auto","Mez",NA,"América do Sul","COLETA: Árvore 10m, flores brancas e frutos verdes.; GEOGRAFIA: Base Saibadela&nf;Em frente ao alojamento.;","Fazenda Intervales",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","Laurales",NA
"27","2021-03-04 15:43:58-03","IF","SPSF","43084","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Nectandra","debilis","Nectandra debilis","J.B.Baitello","2002","10","28","V.B.Ziparro","1981","2000","07","21","Brasil","SP","Sete Barras","-47.9199981689453","-24.3799991607666","34059",NA,NA,"auto","Mez",NA,"América do Sul","COLETA: Ambiente sombreado.&nf;Árvore 13m; frutos imaturos verdes.; GEOGRAFIA: Base Saibadela.&nf;Trilha do Rio.;","Parque Estadual Intervales",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","Laurales",NA
"28","2021-03-04 15:43:58-03","IF","SPSF","36439","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Nectandra","debilis","Nectandra debilis","J.B.Baitello","2006","07","14","J.E.Meireles","289","2005","03","27","Brasil","SP","Eldorado","-48.400278","-24.6525",NA,NA,NA,NA,"Mez",NA,"América do Sul","COLETA: XLS: SPSFNovo; GEOGRAFIA: floresta ombrofila densa baixo montana&nf;;","P.E.Jacupiranga- Núcleo Caverna do Diabo",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","Laurales",NA
"29","2021-03-04 15:43:58-03","IF","SPSF","47627","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Nectandra","debilis","Nectandra debilis","J.B.Baitello","2013","12","11","N.M.Ivanauskas & R.T.Polisel & L.N.Gonçalves & M.C.Assis","6494","2013","08","27","Brasil","MG","Delfim Moreira","-45.229722","-22.540833",NA,NA,NA,NA,"Mez",NA,"América do Sul","COLETA: Árvore de 9m. Flores; GEOGRAFIA: Margem da estrada do Saiqui, floresta ombrófila mista;",NA,NA,NA,"1344","1344",NA,NA,NA,"Magnoliopsida","Laurales",NA
"30","2021-03-04 15:43:58-03","IF","SPSF","48199","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Nectandra","debilis","Nectandra debilis","G.S.Siqueira","2014","01","17","D.A.Folli","7071","2013","06","03","Brasil","ES","Linhares","-39.723056","-19.113056",NA,NA,NA,NA,"Mez",NA,"América do Sul","COLETA: Porte arbóreo; fruto imaturo verde; Seiva incolor; casca áspera; altura 2m; fuste cilíndrico com 1,5m de altura e CAP 15cm; diâmetro da copa 1,5m.&nf;Nome Popular - Canela Verde; GEOGRAFIA: Estrada Urussuguara.&nf;Restinga.;","Urussuguara",NA,NA,"25","25",NA,NA,NA,"Magnoliopsida","Laurales",NA
"31","2010-08-16 16:42:37-03","A","HU-HERB","A 00041939","PreservedSpecimen","Plantae",NA,"Lauraceae","Nectandra","debilis","Nectandra debilis",NA,NA,NA,NA,"A. F. M. Glaziou","8906","1876","10","19","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Mez","Isosyntype","South America",NA,"Maxambomba",NA,NA,NA,NA,"8906","Sheet",NA,NA,NA,"undetermined"
"32","2014-09-23 10:58:06-03","G","G","G00369281","S","Plantae",NA,"Lauraceae","Nectandra","debilis","Nectandra debilis","Rohwer, J. G.","1984","01","01","Glaziou, A. F. M.","8906","1886",NA,"00","Brazil","Rio de Janeiro",NA,"-42.9125","-22.48222222",NA,"G00369281",NA,NA,"Mez","ISOSYNTYPUS of Nectandra debilis Mez","AMERIQUE DU SUD","Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site",NA,"-42.9125","-22.48222222",NA,NA,NA,NA,NA,NA,NA,NA
