"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","individualCount","class","typeStatus"
"15","2021-03-16 17:53:53-03","UCS","HUCS","6468","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G.","s.n.","1988","07","05",NA,"Brasil",NA,NA,"arbusto 3m, flores alvas.; mata pluvial",NA,"Angiospermae","Myrtales","Kausel","Sobral, M.","Paraná","Antonina","Reserva Biológica de Sapitanduva","-48.7118988037109","-25.4286003112793","100","100",NA,"38300","auto","1989",NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:36:32-03","MBM","MBM","6389","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G.","19217","1968","05","20","Southern America","Brazil",NA,NA,NA,"MBM006389",NA,NA,"Kausel","Sobral, M.","Paraná","Guaraqueçaba","Rio Tagaçaba","-48.3288993835449","-25.3066997528076",NA,NA,"MBM006389","37295","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:36:32-03","MBM","MBM","6542","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G.","19433","1968","06","25","Southern America","Brazil",NA,NA,NA,"MBM006542",NA,NA,"Kausel","Sobral, M.","Paraná","Guaratuba","Serra de Araraquara","-48.5746994018555","-25.8827991485596",NA,NA,"MBM006542","41937","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:36:32-03","MBM","MBM","123427","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G.; Silva, J.M.; Silva, J.M.","52157","1988","07","05","Southern America","Brazil",NA,NA,NA,"MBM123427",NA,NA,"Kausel","Sobral, M.","Paraná","Antonina","Reserva Biológica de Sapitanduva","-48.7118988037109","-25.4286003112793",NA,NA,"MBM123427","38300","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:36:32-03","MBM","MBM","195322","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Silva, J.M.; Hatschbach, G.; Hatschbach, G.","1786","1996","06","13","Southern America","Brazil",NA,NA,NA,"MBM195322",NA,NA,"Kausel","Hatschbach, G.","Paraná","Antonina","Reserva Biológica de Sapitanduva","-48.7118988037109","-25.4286003112793",NA,NA,"MBM195322","38300","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:36:32-03","MBM","MBM","1372","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G.","14517","1966","07","26","Southern America","Brazil",NA,NA,NA,"MBM001372",NA,NA,"Kausel","Sobral, M.","Paraná","Guaratuba","Pedra Branca de Araraquara","-48.5746994018555","-25.8827991485596",NA,NA,"MBM001372","41937","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:36:32-03","MBM","MBM","7660","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G.","19588","1968","08","13","Southern America","Brazil",NA,NA,NA,"MBM007660",NA,NA,"Kausel","Sobral, M.","Paraná","Morretes","Colônia Floresta","-48.834400177002","-25.476900100708",NA,NA,"MBM007660","30514","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:36:32-03","MBM","MBM","391629","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Silva, J.M.","8591","2014","08","12","Southern America","Brazil",NA,NA,"Arbusto de 2m; flor alva.; Floresta Ombrófila Densa Submontana, vegetação secundária.","MBM391629",NA,NA,"Kausel","Sobral, M.","Paraná","Guaratuba","Pedra Branca de Araraquara, próximo ao Rio São João","-48.906944","-25.936","147","147","MBM391629",NA,NA,"2015",NA,"-48.906944","-25.936",NA,NA,NA,NA
"23","2020-12-21 16:36:32-03","MBM","MBM","237861","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G.","17196","1967","09","14","Southern America","Brazil",NA,NA,"Arvoreta 5m, flor lilás, tronco 12cm.; Mata pluvial; encosta do morro.","MBM237861",NA,NA,"Kausel","Ribeiro, C.L.","Paraná","Guaraqueçaba","Serrinha","-48.3288993835449","-25.3066997528076",NA,NA,"MBM237861","37295","auto","2019","08",NA,NA,"15",NA,NA,NA
"24","2020-12-21 16:36:32-03","MBM","MBM","3582","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G.","17196","1967","09","14","Southern America","Brazil",NA,NA,NA,"MBM003582",NA,NA,"Kausel","Sobral, M.","Paraná","Guaraqueçaba","Serrinha","-48.3288993835449","-25.3066997528076",NA,NA,"MBM003582","37295","auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:36:32-03","MBM","MBM","397413","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Roher, D.; Daniel, V.; Daniel, V.","s.n.","2013","04","04","Southern America","Brazil",NA,NA,"Floresta Ombrófila Densa Submontana.","MBM397413",NA,NA,"Kausel","Ribeiro, C.L.","Paraná","Guaratuba","APA de Guaratuba","-48.5746994018555","-25.8827991485596",NA,NA,"MBM397413","41937","auto","2019","08",NA,NA,"15",NA,NA,NA
"26","2020-12-21 16:36:32-03","MBM","MBM","53803","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G.","9191","1962","08","04","Southern America","Brazil",NA,NA,NA,"MBM053803",NA,NA,"Kausel","Sobral, M.","Paraná","Guaratuba","Pedra Branca de Araraquara","-48.5746994018555","-25.8827991485596",NA,NA,"MBM053803","41937","auto",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:36:32-03","MBM","MBM","237862","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G.","19433","1968","05","25","Southern America","Brazil",NA,NA,"Arvoreta 5m, flor alva.; Mata pluvial; encosta do morro; junto ao rio.","MBM237862",NA,NA,"Kausel","Ribeiro, C.L.","Paraná","Guaratuba","Serra de Araraquara","-48.5746994018555","-25.8827991485596","70","70","MBM237862","41937","auto","2019","08",NA,NA,"15",NA,NA,NA
"28","2020-12-21 16:36:32-03","MBM","MBM","70321","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G.","43961","1981","07","18","Southern America","Brazil",NA,NA,NA,"MBM070321",NA,NA,"Kausel","Sobral, M.","Paraná","Morretes","Morro do Arrastão","-48.834400177002","-25.476900100708",NA,NA,"MBM070321","30514","auto",NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:36:32-03","MBM","MBM","10839","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G.","21618","1969","06","10","Southern America","Brazil",NA,NA,NA,"MBM010839",NA,NA,"Kausel","Sobral, M.","Paraná","Morretes","Serra do Leão","-48.834400177002","-25.476900100708",NA,NA,"MBM010839","30514","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-11 11:39:10-03","UFMG","BHCB","38475","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Silva, JM; Hatschbach, G","1786","1996","06","13","Southern America","Brasil",NA,NA,"Arbusto, 3,50m, flor alva.","BHCB010339","Dicotyledon",NA,"Kausel",NA,"Paraná","Antonina","Reserva Biológica de Sapitanduva., Mata atlântica.","-48.7118988037109","-25.4286003112793",NA,NA,"BHCB010339","38300","auto","1996",NA,NA,NA,NA,NA,NA,NA
"31","2021-02-11 17:20:39-03","UFPR","UPCB","11606","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G.","43961","1981","07","18",NA,"Brasil",NA,NA,"Arbusto 3m, flor alva, mata pluvial encosta de morro..",NA,NA,NA,"Kausel","Sobral, M.","Paraná","Morretes","Morro do Arrastão","-48.834400177002","-25.476900100708",NA,NA,NA,"30514","auto","2000","01",NA,NA,"01",NA,NA,NA
"32","2021-02-11 17:20:40-03","UFPR","UPCB","28086","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Silva, J.M.","1786","1996","06","13",NA,"Brasil",NA,NA,"Arbusto, 3,5m, flor alva. Mata atlântica..",NA,NA,NA,"Kausel","Hatschbach, G.","Paraná","Antonina","Reserva Biológica de Sapitanduva","-48.7118988037109","-25.4286003112793",NA,NA,NA,"38300","auto","1996","01",NA,NA,"01",NA,NA,NA
"33","2021-02-11 17:20:40-03","UFPR","UPCB","16738","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G.","52157","1988","07","05",NA,"Brasil",NA,NA,"Arbusto, 3m, flor alva. Mata pluvial..",NA,NA,NA,"Kausel","Sobral, M.","Paraná","Antonina","Reserva Biológica de Sapitanduva","-48.7118988037109","-25.4286003112793","50","100",NA,"38300","auto","1989","01",NA,NA,"01",NA,NA,NA
"34","2021-02-11 17:20:40-03","UFPR","UPCB","6819","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G.","14517","1966","07","26",NA,"Brasil",NA,NA,"Arvoreta, flor alva, mata pluvial de beira de rio..",NA,NA,NA,"Kausel","Sobral, M.","Paraná","Guaratuba","Pedra Branca de Araraquara","-48.5746994018555","-25.8827991485596",NA,NA,NA,"41937","auto","2000","01",NA,NA,"01",NA,NA,NA
"35","2010-11-13 04:25:00-02","MO","MOBOT","2483101","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","lanosa","Eugenia lanosa","Roberto M. Klein","Klein 7837","1968","8","6","South America","Brazil",NA,NA,NA,NA,NA,NA,"Mattos & D. Legrand",NA,"Santa Catarina",NA,"Florianópolis. Ilha de Santa Catarina, Vargem Grande, cachoeira",NA,NA,"5.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2010-06-17 11:32:00-03","MO","MOBOT","3197606","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","lanosa","Eugenia lanosa","Gert G. Hatschbach","Hatschbach 17196","1967","9","14","South America","Brazil",NA,NA,NA,NA,NA,NA,"Mattos & D. Legrand",NA,"Paraná",NA,"Serrinha (mun. Guaraqueçaba). Mata pluvial encosta de morro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"37","2020-06-22 14:18:52-03","UNESP-IBILCE","SJRP","12315","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","J.M. Silva",NA,NA,NA,NA,"América do Sul","Brasil",NA,NA,"Arbusto 3,5 m, flor alva, mata atlântica;",NA,"Tracheophyta","Myrtales","Kausel","G. Hatschbach","Paraná","Antonina","reserva biológica de sapitanduva","-48.7118988037109","-25.4286003112793",NA,NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA
"38","2020-08-31 09:07:37-03","INPA","INPA","87892","S","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, GG","19220","1969","05","20","Southern America","Brasil",NA,NA,NA,"INPA0087892","Dicotyledon Com-Clade","Myrtales","Kausel","Sobral, MEG","Paraná","Guaraqueçaba","Rio Tagaçaba.","-48.3288993835449","-25.3066997528076","50","50","INPA0087892 INPA0087892_e","37295","auto","2014",NA,NA,NA,NA,NA,NA,NA
"39","2020-08-31 09:07:37-03","INPA","INPA","159625","S","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, GG","52157","1988","07","05","Southern America","Brasil",NA,NA,NA,"INPA0159625","Dicotyledon Com-Clade","Myrtales","Kausel","Sobral, MEG","Paraná","Antonina","Reserva Biológica de Sapitanduva","-48.7118988037109","-25.4286003112793","50","50","INPA0159625 INPA0159625_e","38300","auto","1989",NA,NA,NA,NA,NA,NA,NA
"40","2020-09-12 05:00:02-03","US","US","3108797","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","G. Hatschbach & J. M. Silva","52157","1988","7","5","South America - Neotropics","Brazil",NA,NA,NA,"US01898130",NA,"Myrtales","Kausel",NA,"Paraná","Antonina","Reserva Biológica de Sapitanduva","-48.7118988037109","-25.4286003112793","50","100","US01898130_01 US01898130_02","38300","auto",NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"41","2019-11-13 11:26:45-03","USP","SPF","115597","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Silva, JM","1786","1996","06","13",NA,"Brasil",NA,NA,NA,"SPF00115597",NA,NA,"Kausel","Hatschbach, G","Paraná","Antonina","Reserva Biológica de Sapitanduva","-48.7118988037109","-25.4286003112793",NA,NA,NA,"38300","auto","1996",NA,NA,NA,NA,NA,NA,NA
"42","2019-11-13 11:26:45-03","USP","SPF","30260","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G","43961","1981","07","18",NA,"Brasil",NA,NA,NA,"SPF00030260",NA,NA,"Kausel","Ribeiro, CL","Paraná","Morretes",NA,"-48.834400177002","-25.476900100708",NA,NA,NA,"30514","auto","2019","06",NA,NA,NA,NA,NA,NA
"43","2019-10-07 09:35:19-03","UEFS","HUEFS","29382","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Silva, J.M.","1786","1996","06","13",NA,"Brasil",NA,NA,NA,"HUEFS0029382","Angiospermae","Myrtales","Kausel",NA,"Paraná","Antonina","Reserva Biológica de Sapitanduva","-48.7118988037109","-25.4286003112793",NA,NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA,"Rosanae",NA
"44","2019-10-07 09:35:19-03","UEFS","HUEFS","146714","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G.","21618","1969","06","10",NA,"Brasil",NA,NA,"Mata da crista do morro","HUEFS0146714","Angiospermae","Myrtales","Kausel",NA,"Paraná","Morretes","Serra do Leão","-48.834400177002","-25.476900100708",NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,"Rosanae",NA
"45","2020-08-20 20:40:26-03","UFSC","FLOR","27206","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Silva, J.M.; Hatschbach, G.","1786","1996","06","13",NA,"Brasil",NA,NA,"arbusto, flor alva, 3,5m altura","FLOR0027206",NA,"Myrtales","Kausel","Hatschbach, G.","Paraná","Antonina","Reserva Biológica de Sapitanduva.","-48.7118988037109","-25.4286003112793",NA,NA,NA,"38300","auto","1996",NA,NA,NA,NA,NA,NA,NA
"46","2020-08-20 20:40:26-03","UFSC","FLOR","19754","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G.; Silva, J.M.","52175","1988","07","05",NA,"Brasil",NA,NA,"arbusto, flor alva, 3m altura","FLOR0019754",NA,"Myrtales","Kausel","Sobral, M.","Paraná","Antonina","Reserva Biológica de Sapitanduva.","-48.7118988037109","-25.4286003112793","50","50",NA,"38300","auto","1989",NA,NA,NA,NA,NA,NA,NA
"47","2020-08-20 20:40:26-03","UFSC","FLOR","19101","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Klein, R.M.","7837","1968","08","06",NA,"Brasil",NA,NA,"arvoreta, flor branca, 4m altura. Isotypus Eugenia lanosa.","FLOR0019101",NA,"Myrtales","Kausel",NA,"Santa Catarina","Florianópolis","Vargem Grande, cachoeira, Ilha de Santa Catarina.","-48.5491981506348","-27.596700668335","5","5",NA,"27000","auto","2011",NA,NA,NA,NA,NA,NA,"Isotypus"
"48","2020-08-20 14:58:16-03","UFSC","FLOR","67600","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","lanosa","Eugenia lanosa","Klein, R.M.; Bresolin, A.","7773","1968","06","27",NA,"Brasil",NA,NA,"Árvore, 20m. Exemplar único Habitat: mata","FLOR0067600",NA,"Myrtales","Mattos & D.Legrand",NA,"Santa Catarina","Florianópolis","Morro do Rio Vermelho, Ilha de Santa Catarina","-48.5491981506348","-27.596700668335","250","250","FLOR0067600","27000","auto",NA,NA,NA,NA,NA,NA,NA,NA
"49","2021-03-04 15:45:23-03","IF","SPSF","20735","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","J.M.Silva & G. Hatschbach","1786","1996","06","13","América do Sul","Brasil",NA,NA,"COLETA: XLS: SPSFAntigo&nf;Arbusto 3,50m, flor alva.; GEOGRAFIA: Mata Atlântica.;",NA,"Magnoliophyta","Myrtales","Kausel","G.Hatchbach","PR","Antonina","reserva biologica de Sapitanduva","-48.7118988037109","-25.4286003112793",NA,NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA
"50","2021-02-08 12:43:54-03","UFRGS","ICN","083592","S","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G; Silva, JM","52157","1988","07","05","América do Sul","Brasil",NA,NA,"Arbusto 3m, flores alvas.; Mata pluvial.",NA,"Dicotyledon",NA,"Kausel","Sobral, M","PR","Antonina","Reserva Biológica de Sapitanduva","-48.7118988037109","-25.4286003112793","50","50",NA,"38300","auto","1989","01",NA,NA,NA,NA,NA,NA
"51","2021-02-08 12:43:54-03","UFRGS","ICN","066129","S","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G","21618","1969","06","10","América do Sul","Brasil",NA,NA,"Arvoreta 5m, tronco na base com 10cm. Flor alva.; Mata da crista do morro.",NA,"Dicotyledon",NA,"Kausel","Sobral, M","PR","Morretes","Serra do Leão","-48.834400177002","-25.476900100708",NA,NA,NA,"30514","auto","1986","02",NA,NA,NA,NA,NA,NA
"52","2021-02-08 12:43:54-03","UFRGS","ICN","120729","S","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Sobral, M; Sevegnani, L","7997",NA,NA,NA,"América do Sul","Brasil",NA,NA,"Mata atlântica. Arvoreta 4m, em interior de mata; estéril.",NA,"Dicotyledon",NA,"Kausel","Sobral, M","SC","Blumenau",NA,"-49.0661010742188","-26.9193992614746",NA,NA,NA,"34291","auto","1995",NA,NA,NA,NA,NA,NA,NA
"53","2019-11-21 10:11:31-03","IBt","SP","315930","S","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Silva, JM; Hatschbach, G","1786","1996","06","13",NA,"Brasil",NA,NA,"Arbusto 3,5m alt., flor alva. Mata atlântica.","SP028021",NA,NA,"Kausel","Hatschbach, G","Paraná","Antonina","Reserva Biológica de Sapitanduva.","-48.7118988037109","-25.4286003112793",NA,NA,"SP028021","38300","auto","1996",NA,NA,NA,NA,NA,NA,NA
"54","2019-11-21 10:11:31-03","IBt","SP","250230","S","Plantae","Myrtaceae","Eugenia","joenssonii","Eugenia joenssonii","Hatschbach, G; Silva, JM","52157","1988","07","05",NA,"Brasil",NA,NA,"Arbusto 3m alt., flores alvas, mata pluvial.","SP028020",NA,NA,"Kausel","Sobral, M","Paraná","Antonina","Reserva Biológica de Sapitanduva.","-48.7118988037109","-25.4286003112793","50","100","SP028020","38300","auto","1989",NA,NA,NA,NA,NA,NA,NA
