"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","relationshipType","relatedCatalogItem","class","typeStatus","individualCount"
"11","2019-08-27 13:36:34-03","IAP","PACA-AGP","77546","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A. R. Sm.","M. Ponce","1995",NA,NA,"Hatschbach, G.","25589","1970","11","21","Brasil","PR","Cerro Azul","Morro Grande","-49.261100769043","-24.823600769043",NA,NA,NA,NA,"Habitat: interior da mata pluvial","PACA077546",NA,"Pteridophyta","Polypodiales",NA,NA,"32006","auto",NA,NA,"Filicopsida",NA,NA
"12","2019-11-21 14:54:45-03","UFJF","CESJ","21244","PreservedSpecimen","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R. Sm.) Salino & T.E. Almeida","A. Salino","2017","08",NA,"L. Krieger","CESJ21244","1986","07","31","Brasil","Paraná","Ipiranga","Na mata, sobre húmus. Frequente na área.","-50.5842018127441","-25.0238990783691",NA,NA,NA,NA,"Rizoma grosso, rastejante. Frondes meio aproximadas.","CESJ021244",NA,"Polypodiopsida",NA,"América do Sul",NA,"31827","auto",NA,NA,NA,NA,NA
"13","2019-11-21 14:54:45-03","UFJF","CESJ","21185","PreservedSpecimen","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R. Sm.) Salino & T.E. Almeida","A. Salino","2017","08",NA,"L. Krieger","CESJ21185","1985","12","31","Brasil","Paraná","Ponta Grossa","Na mata rala, verde escura.","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"Pecíolo sulcado, poligonal. Rizoma reptante, frondes aproximadas.","CESJ021185",NA,"Polypodiopsida",NA,"América do Sul",NA,"46557","auto",NA,NA,NA,NA,NA
"14","2021-03-01 16:44:05-03","UNICAMP","UEC","62277","S","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A.R.Sm.","Salino, A","1998","08",NA,"Torezan, JMD","156","1992","12","28","Brazil","São Paulo","Iporanga","Sítio Pica Pau - Bairro Betari","-48.6","-24.616667","-48.6","-24.616667","300","300","Erva de solo da mata.","UEC062932","UEC062932","Pteridophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-04 13:19:46-03","UDESC","LUSC","7721","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A.R.Sm.","Gasper de, A.L.",NA,NA,NA,"Korte, A.; Kniess, A.","3644","2015","03","25","Brasil","Santa Catarina","Santa Terezinha",NA,"-50.0080986022949","-26.778600692749",NA,NA,NA,NA,NA,"LUSC001291","LUSC001291",NA,NA,NA,NA,"30684","auto",NA,NA,NA,NA,NA
"16","2020-10-14 10:06:55-03","FURB","FURB","20440","PreservedSpecimen","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R. Sm.) Salino & T.E. Almeida","Gasper, AL de","2010","04","13","Korte, A.; Kniess, A.","1600","2010","01","28","Brasil","Santa Catarina","Taió","Barragem Oeste.","-50.0380555","-27.0922222","-50.0380555","-27.0922222","400","400","Florística IFFSC 568 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: erva terrícola;","FURB00345","FURB00345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-10-14 10:06:55-03","FURB","FURB","20487","PreservedSpecimen","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R. Sm.) Salino & T.E. Almeida","Gasper, AL de","2010","04","13","Korte, A.; Kniess, A.","1685","2010","02","05","Brasil","Santa Catarina","Santa Terezinha","Nova Esperança.","-49.9505556","-26.7302778","-49.9505556","-26.7302778","535","535","Florística IFFSC 797 (Erva Terrícola) Habitat: Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa; Estágio médio de regeneração Habito: erva terrícola;","FURB12073","FURB12073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-10-14 10:06:55-03","FURB","FURB","20489","PreservedSpecimen","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R. Sm.) Salino & T.E. Almeida","Gasper, AL de","2010","04","13","Korte, A.; Kniess, A.","1680","2010","02","03","Brasil","Santa Catarina","Itaiópolis","Arroio das Pombas.","-49.9475","-26.5497222","-49.9475000","-26.5497222","747","747","Florística IFFSC 899 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: erva terrícola;","FURB12072","FURB12072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-10-14 10:06:55-03","FURB","FURB","24711","PreservedSpecimen","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R. Sm.) Salino & T.E. Almeida","Gasper, AL de","2010","05","11","Dreveck, S.","2117","2010","04","20","Brasil","Santa Catarina","Rio dos Cedros","São Bernardo.","-49.3216667","-26.7305556","-49.3216667","-26.7305556","448","448","Florística IFFSC 804 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Médio; interior do fragmento Habito: erva terrícola;","FURB12071","FURB12071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-10-14 10:06:55-03","FURB","FURB","28636","PreservedSpecimen","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R. Sm.) Salino & T.E. Almeida","Gasper, AL de","2010","09","20","Korte, A.; Kniess, A.","3644","2010","06","08","Brasil","Santa Catarina","Santa Terezinha","Imbuial.","-49.9505556","-26.6402777","-49.9505556","-26.6402777","626","626","Florística IFFSC 852 (Erva Terrícola) Habitat: Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: erva terrícola;","FURB12070","FURB12070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-10-14 10:06:55-03","FURB","FURB","29345","PreservedSpecimen","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R. Sm.) Salino & T.E. Almeida","Gasper, AL de","2010","09","30","Korte, A.; Kniess, A.","3743","2010","06","10","Brasil","Santa Catarina","Itaiópolis","Rio do Bispo.","-49.8605556","-26.6402777","-49.8605556","-26.6402777","601","601","Florística IFFSC 853 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: erva terrícola;","FURB12069","FURB12069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-10-14 10:06:55-03","FURB","FURB","65403","PreservedSpecimen","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R. Sm.) Salino & T.E. Almeida","Gasper, A.L. de","2019","11","18","Schwirkowski, P.","3510","2019","10","05","Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Margens do Rio Natal, próximo à estrada para o Morro da Igreja.","-49.2758334","-26.36","-49.2758334","-26.3600000","300","300","FOD. Mata ciliar Habitat: Borda de mata, reófita Habito: Herbácea","FURB65403","FURB65403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-10-14 10:06:55-03","FURB","FURB","42644","PreservedSpecimen","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R. Sm.) Salino & T.E. Almeida","Salino, A","1997","11",NA,"Krieger, L.",NA,"1986","07","31","Brasil","Paraná","Ipiranga",NA,"-50.5842018127441","-25.0238990783691",NA,NA,NA,NA,"rizoma grosso, frondes meio aproximadas; frequente na área Habitat: na mata, sobre húmus Habito: rastejante;","FURB12067","FURB12067 FURB12067_1",NA,NA,NA,NA,"31827","auto",NA,NA,NA,NA,NA
"24","2019-08-16 08:41:20-03","UTFPR","HCF","12363","S","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R. Sm.) Salino & T.E. Almeida","C. Michelon",NA,NA,NA,"C. Michelon","1270","2012","02","15","Brasil","PR","Telêmaco Borba",NA,"-50.6156005859375","-24.3239002227783",NA,NA,NA,NA,"terrícola, em barranco na beira da estrada (Resgate de Flora UHE Mauá).",NA,NA,NA,NA,NA,NA,"35037","auto",NA,NA,NA,NA,NA
"25","2020-12-21 16:46:20-03","MBM","MBM","428896","PreservedSpecimen","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R. Sm.) Salino & T.E.Almeida","Lozano, E.D.","2017",NA,NA,"Lozano, E.D.; Jurhosa, O.A.; Jurhosa, O.A.","3681","2017","05","16","Brazil","Paraná","Campo Largo","Bateias, LT 500kV Itatiba - Bateias","-49.506361","-25.375806","-49.506361","-25.375806",NA,NA,"Terrícola, 1,8 m, pecíolo 60 cm, caule reptante, interior da mata.; Floresta Ombrófila Mista Montana.","MBM428896",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:46:20-03","MBM","MBM","428931","PreservedSpecimen","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R. Sm.) Salino & T.E.Almeida","Salino, A.","2016",NA,NA,"Lozano, E.D.; Canestraro, B.K.; Canestraro, B.K.","3393","2016","11","26","Brazil","Paraná","Colombo","Serrinha, Morro da Cruz","-49.222083","-25.264222","-49.222083","-25.264222",NA,NA,"Terrícola, caule reptante, frondes 1 m, peciolo 40 cm, interior da mata.; Floresta Ombrófila Mista Montana.","MBM428931",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:46:20-03","MBM","MBM","428967","PreservedSpecimen","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R. Sm.) Salino & T.E.Almeida","Salino, A.","2016",NA,NA,"Lozano, E.D.; Brotto, M.L.; Brotto, M.L.","3210","2016","03","02","Brazil","Paraná","Adrianópolis","Parque Estadual das Lauráceas","-48.704889","-24.849444","-48.704889","-24.849444",NA,NA,"Terrícola, 80 cm, local com taquáras mortas, incidencia de sol, topo de morro.; Floresta Ombrófila Densa Montana.","MBM428967",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:46:22-03","MBM","MBM","385385","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A.R. Sm.","Michelon, C.","2012","03","13","Michelon, C.","1313","2012","09",NA,"Brasil","Paraná","Telêmaco Borba","UHE Mauá","-50.706944","-24.100556","-50.706944","-24.100556","520","750","Resgate de flora da UHE Mauá; Terrícola no interior de floresta, alta incidência luminosa.","MBM385385","MBM385385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:46:22-03","MBM","MBM","385386","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A.R. Sm.","Michelon, C.","2012","03","12","Michelon, C.","1345","2012","09",NA,"Brasil","Paraná","Telêmaco Borba","UHE Mauá","-50.706944","-24.100556","-50.706944","-24.100556","520","750","Resgate de flora da UHE Mauá; Terrícola em barranco.; interior de fragmento","MBM385386","MBM385386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-21 16:46:22-03","MBM","MBM","15216","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A.R. Sm.","Ponce, M.",NA,NA,NA,"Hatschbach, G.","24677","1970","10","10","Brazil","Paraná","Campina Grande do Sul","Jaguatirica","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,NA,"MBM015216","MBM015216",NA,NA,"Southern America",NA,"55154","auto",NA,NA,NA,NA,NA
"31","2020-12-21 16:46:22-03","MBM","MBM","21523","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A.R. Sm.","Salino, A.","2002","01",NA,"Hatschbach, G.","7106","1960","07","03","Brazil","Paraná","Cerro Azul","Morro Grande","-49.261100769043","-24.823600769043",NA,NA,NA,NA,"Terrícola da mata primitiva de alto dos morros.; Terrícola.; Da mata primitiva do alto dos morros.","MBM021523","MBM021523",NA,NA,"Southern America",NA,"32006","auto",NA,NA,NA,"ISOTYPE",NA
"32","2020-12-21 16:46:22-03","MBM","MBM","16156","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A.R. Sm.","Salino, A.",NA,NA,NA,"Hatschbach, G.; Guimarães, O.; Guimarães, O.","25589",NA,NA,NA,"Brazil","Paraná","Cerro Azul","Morro Grande","-49.261100769043","-24.823600769043",NA,NA,NA,NA,NA,"MBM016156","MBM016156",NA,NA,"Southern America",NA,"32006","auto",NA,NA,NA,NA,NA
"33","2020-12-21 16:46:22-03","MBM","MBM","402272","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A.R. Sm.","Michelon, C.","2015","10",NA,"Nardin, E.C.; Pacheco, G.; Silva, M.A.; Pacheco, G.; Silva, M.A.","s.n.","2015","10","05","Brazil","São Paulo","Igaratá",NA,"-46.1500015258789","-23.2000007629395",NA,NA,NA,NA,"Terrícola.; Transição entre Floresta Estacional Semidecidual e Floresta Ombrófila Densa.","MBM402272","MBM402272",NA,NA,"Southern America",NA,"24798","auto",NA,NA,NA,NA,NA
"34","2020-12-21 16:46:22-03","MBM","MBM","347233","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A.R. Sm.","Cordeiro, J.","2008",NA,NA,"Siqueira, E.L.; et al.; et al.","55","2007","11","09","Brazil","Paraná","Dois Vizinhos","Campus da UTFPR","-53.057201385498","-25.7336006164551",NA,NA,"517","517","Erva terrestre, ciófila. Soros verdes. relevo ondulado. Floresta Ombrófila Mista Montana.","MBM347233","MBM347233",NA,NA,"Southern America",NA,"19637","auto",NA,NA,NA,NA,NA
"35","2020-12-21 16:46:22-03","MBM","MBM","21347","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A.R. Sm.","Ponce, M.",NA,NA,NA,"Hatschbach, G.","9989","1963","03","31","Brazil","Paraná","Palmeira","Rio Tibagi, Rodovia do Café","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,NA,"MBM021347","MBM021347",NA,NA,"Southern America",NA,"35166","auto",NA,NA,NA,NA,NA
"36","2020-12-21 16:46:22-03","MBM","MBM","393762","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A.R. Sm.","Canestraro, B.K.","2014",NA,NA,"Canestraro, B.K.; Lozano, E.D.; Ariati, V.; Felitto, G.; Lozano, E.D.; Ariati, V.; Felitto, G.","715","2014","07","12","Brazil","Paraná","Piraquara","Parque Estadual do Pico Marumbi, Trilha para o Morro Torre Amarela","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"Terrícola, ciófila.; Floresta Ombrófila Densa, interior de floresta.","MBM393762","MBM393762",NA,NA,"Southern America",NA,"12577","auto",NA,NA,NA,NA,NA
"37","2020-09-29 14:53:51-03","UFPR","UPCB","54247","PreservedSpecimen","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R.Sm.) Salino & T.E.Almeida","Matos, F.B. & Hoffmann, I.K.","2017","06",NA,"Schwartsburd, P.B.",NA,NA,NA,NA,"Brasil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha","-50","-25.233333","-50","-25.233333","100","100","Terrestre do interior da mata. Floresta com Araucária, entremeada por campos naturais, formações areníticas..","UPCB0010010","UPCB0010010","Polypodiophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-09-29 14:53:51-03","UFPR","UPCB","54248","PreservedSpecimen","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R.Sm.) Salino & T.E.Almeida","Matos, F.B. & Hoffmann, I.K.","2017","06",NA,"Labiak, P.H.","2993","2003","10","11","Brasil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha, Fortaleza","-50","-25.233333","-50","-25.233333","100","100","Terrestre do interior da mata. Floresta com Araucária, entremeada por campos naturais, formações areníticas..","UPCB0010054","UPCB0010054","Polypodiophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-09-29 14:53:51-03","UFPR","UPCB","54285","PreservedSpecimen","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R.Sm.) Salino & T.E.Almeida","Matos, F.B. & Hoffmann, I.K.","2017","06",NA,"Schwartsburd, P.B.","998","2006","03","05","Brasil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha, capão da Fortaleza","-50","-25.233333","-50","-25.233333","100","100","Terrestre, interior da mata. Floresta ombrófila mista e formações areníticas..","UPCB0010011","UPCB0010011","Polypodiophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-09-29 14:53:51-03","UFPR","UPCB","54246","PreservedSpecimen","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R.Sm.) Salino & T.E.Almeida","Matos, F.B. & Hoffmann, I.K.","2017","06",NA,"Schwartsburd, P.B.","654","2005","01","25","Brasil","Paraná","São João do Triunfo","Fazenda Experimental da UFPR","-50.2971992492676","-25.6833000183105",NA,NA,"85","85","Terrestre, frondes radiais, interior da mata. Floresta ombrófila mista..","UPCB0010008","UPCB0010008","Polypodiophyta",NA,NA,NA,"20512","auto",NA,NA,NA,NA,NA
"41","2020-09-29 14:53:51-03","UFPR","UPCB","55969","PreservedSpecimen","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R.Sm.) Salino & T.E.Almeida","Matos, F.B. & Hoffmann, I.K.","2017","06",NA,"Sakagami, C.R.","305","2005","02","01","Brasil","Paraná","Telêmaco Borba","Parque Ecológico da Klabin, Trilha Ecológica. Floresta Ombrófila Densa.","-50.6156005859375","-24.3239002227783",NA,NA,NA,NA,NA,"UPCB0010009","UPCB0010009","Polypodiophyta",NA,NA,NA,"35037","auto",NA,NA,NA,NA,NA
"42","2020-09-29 14:53:51-03","UFPR","UPCB","77973","PreservedSpecimen","Plantae","Thelypteridaceae","Steiropteris","hatschbachii","Steiropteris hatschbachii","(A.R.Sm.) Salino & T.E.Almeida","Matos, F.B. & Hoffmann, I.K.","2017","06",NA,"Michelon, C.","865","2010","07","13","Brasil","Paraná","Tibagi","Parque Estadual do Guartelá, 800m.","-50.4136009216309","-24.5093994140625",NA,NA,NA,NA,"Terrícola, na floresta ripária do Rio Iapó. Caule reptante..","UPCB0010007","UPCB0010007","Polypodiophyta",NA,NA,NA,"56988","auto",NA,NA,NA,NA,NA
"43","2016-01-12 14:06:56-02","F","FMNH-PTERIDOPHYTES","C0665834F","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A. R. Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"C0665834F","C0665834F_01","Pteridophyta","Polypodiales","South America",NA,NA,NA,NA,NA,"Pteridopsida",NA,NA
"44","2020-09-12 05:00:02-03","US","US","2420868","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A.R. Sm.",NA,NA,NA,NA,"G. Hatschbach","7106","1960","7","3","Brazil","Paraná",NA,"Cerro Azul, Morro Grande Terricola, da mata primitiva do Alto dos Morres.",NA,NA,NA,NA,NA,NA,"Single frond mounted on 2 (3?) consecutively numbered & cross-labeled sheets, but only one is annotated as holotype, the others as isotype.","US01100771","US01100771_01",NA,"Polypodiales","South America",NA,NA,NA,NA,NA,"Pteridophyte","Isotype","1"
"45","2020-09-12 05:00:02-03","US","US","2420869","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A.R. Sm.",NA,NA,NA,NA,"G. Hatschbach","7106","1960","7","3","Brazil","Paraná",NA,"Cerro Azul, Morro Grande Terricola, da mata primitiva do Alto dos Morres.",NA,NA,NA,NA,NA,NA,"Single frond mounted on 2 (3?) consecutively numbered & cross-labeled sheets, but only one is annotated as holotype, the others as isotype.","US00066656","US00066656_01",NA,"Polypodiales","South America",NA,NA,NA,NA,NA,"Pteridophyte","Holotype","1"
"46","2020-09-12 05:00:02-03","US","US","2420870","PreservedSpecimen","Plantae","Thelypteridaceae","Thelypteris","hatschbachii","Thelypteris hatschbachii","A.R. Sm.",NA,NA,NA,NA,"G. Hatschbach","7106","1960","7","3","Brazil","Paraná",NA,"Cerro Azul, Morro Grande Terricola, da mata primitiva do Alto dos Morres.",NA,NA,NA,NA,NA,NA,"Single frond mounted on 2 (3?) consecutively numbered & cross-labeled sheets, but only one is annotated as holotype, the others as isotype.","US01100772","US01100772_01",NA,"Polypodiales","South America",NA,NA,NA,NA,NA,"Pteridophyte","Isotype","1"
