"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","occurrenceRemarks","individualCount","phylum","class","order","continentOcean","preparationType","coordinatePrecision","geoFlag","relatedCatalogItem","relationshipType","fieldNumber","typeStatus","previousCatalogNumber","sex"
"21","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9052","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","barkeri","Gomesa barkeri","(Hook.) Regel",NA,NA,NA,NA,"Amaral Jr., A.","1972","12","26","Brasil","São Paulo","Botucatu","Fazenda MAC, a mais ou menos 15km de Botucatu, pela estrada de Pardinho",NA,NA,"9999","9999",NA,NA,"BOTU009052",NA,"1325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9247","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","barkeri","Gomesa barkeri","(Hook.) Regel",NA,"1972","12","17","Amaral Jr., A.","1972","11","23","Brasil","São Paulo","Botucatu","Próximo ao município de Pardinho",NA,NA,"9999","9999",NA,NA,"BOTU009247",NA,"1251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","30826","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","barkeri","Gomesa barkeri","(Hook.) Regel",NA,NA,NA,NA,"Amaral Jr., A.","1973","04","10","Brasil","São Paulo","Botucatu","Horto",NA,NA,"9999","9999",NA,NA,"BOTU030826",NA,"1519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-06-29 11:31:47-03","UFRJ","RFA","37783","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","R.Br.","M. S. Wängler, F.F.A.V. Barberena; M. O. Pellegrini","2011","12","13","M. S. Wängler; G. F. Mazzoni; E. B de Morais","2011","05","28","Brasil","Rio de Janeiro","Paty do Alferes","Erva epífita, 18 cm, raízes brancas, pseudobulbo fusiforme, verde, folhas dísticas, verdes, brácteas longas e ápice acuminado no pedúnculo, inflorescência pendula de 29 cm, com mais de 50 flores amarelas claro.","-43.382778","-22.448889","43º22'58''W","22º26'56''S",NA,NA,"RFA38872",NA,"585","Erva epífita, 18 cm, raízes brancas, pseudobulbo fusiforme, verde, folhas dísticas, verdes, brácteas longas e ápice acuminado no pedúnculo, inflorescência pendula de 29 cm, com mais de 50 flores amarelas claro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-13 09:20:28-03","UFRJ","RFA","37787","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","R.Br.","M. S. Wängler","2011","12","13","M. S. Wängler; A. M. Paiva; M. O. Pellegrini; V. S. Fereira","2011","01","15","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Alameda Palmares, propriedade do Sr. Henrique.","-43.398056","-22.449167","43º23'53''W","22º26'57''S",NA,NA,"RFA38874",NA,"323","Erva epífita de 18,5 cm, raízes brancas, pseudobulbo fusiforme, verde, duas folhas apicais e duas basais, verdes, inflorescência racemosa, mais de 20 flores amarelas. Floresceu em cultivo em 1/12/2011.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-13 09:20:28-03","UFRJ","RFA","38297","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","R.Br.","M. S. Wängler, F.F.A.V. Barberena; M. O. Pellegrini","2011","12","13","M. S. Wängler; A. M. Paiva; V. S. Ferreira","2011","11","25","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Estrada da Água Fria, Corina.","-43.378333","-22.447778","43º22'42''W","22º26'52''S",NA,NA,"RFA38871",NA,"975","Erva epífita, raízes brancas, planta com 15 pseudobulbos fusiformes, verdes, duas folhas apicais de 37 cm e duas basais de 16 cm, verdes, duas inflorescências racemosas, mais de 30 flores amarela-esverdeadas em cada uma; coluna branca.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-13 09:20:28-03","UFRJ","RFA","38298","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","R.Br.","M. S. Wängler, F.F.A.V. Barberena; M. O. Pellegrini","2012","03","30","M. S. Wängler; V. S. Ferreira","2012","02","19","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Alameda Água Fria - Corina.","-43.3775","-22.447778","43º22'39''W","22º26'52''S",NA,NA,"RFA38873",NA,"1050","Erva epífita de 22 cm, raízes brancas, pseudobulbo fusiforme, verde, duas folhas apicais e duas basais, verdes, uma inflorescência racemosa, ca25 flores amarelas. Floresceu em cultivo em 12/2011.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-13 09:20:35-03","UFRJ","RFA","38299","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","R.Br.","M. S. Wängler, F.F.A.V. Barberena; M. O. Pellegrini","2012","03","30","M. S. Wängler; D. F. Massunaga; G. F. Mazzoni; N. Fortuna","2011","04","16","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Corina.","-43.3775","-22.448056","43º22'39''W","22º26'53''S",NA,NA,"RFA38875",NA,"440","Erva epífita de 22 cm, raízes brancas, pseudobulbo fusiforme, verde, duas folhas apicais e duas basais, verdes, uma inflorescência racemosa, ca.40 flores amarelas. Floresceu em cultivo 12/2011.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-11-13 09:20:35-03","UFRJ","RFA","38300","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","R.Br.","M. S. Wängler, F.F.A.V. Barberena; M. O. Pellegrini","2011","12","13","M. S. Wängler; D. F. Massunaga; G. F. Mazzoni; N. Fortuna","2011","04","15","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Estrada do Marão. Marão.","-43.3775","-22.447778","43º22'39''W","22º26'52''S",NA,NA,"RFA38876",NA,"415","Erva epífita de 23,5 cm, raízes brancas, pseudobulbo fusiforme, verde, duas folhas apicais e uma basal, verdes, inflorescência racemosa, mais de 20 flores amarelas. Floresceu em cultivo em 12/2011.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-11-13 09:20:35-03","UFRJ","RFA","38302","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","recurva","Gomesa recurva","R.Br.","M. S. Wängler, F.F.A.V. Barberena; M. O. Pellegrini","2012","03","30","M. S. Wängler; V. S. Ferreira","2012","02","19","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Estrada do Marão (Alho).","-43.373333","-22.446944","43º22'24''W","22º26'49''S",NA,NA,"RFA38878",NA,"1047","Erva epífita de 22 cm, raízes brancas, pseudobulbo fusiforme, verde, duas folhas apicais e duas basais, verdes, duas inflorescências basais, racemosas, flores amarelas odoríferas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
