"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","typeStatus","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","class","individualCount","relatedCatalogItem"
"11","2015-09-30 18:58:57-03","MNHN","RECOLNAT_MNHN_P","P00756961","PreservedSpecimen",NA,NA,NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","Beyrich, H.K.",NA,"1822","8",NA,NA,"Brésil",NA,NA,"Arbor. in sylvis antiquipim prope Mandioccam Mapilice",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00756961' target='other'> <mi>dwc_moreinfo</mi></a>","P00756961","P00756961_01",NA,"isotype","Allen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-11 11:37:03-03","UFMG","BHCB","27858","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","Tameirão Neto, E; França, GS","976","1993","11","03","Southern America","Brasil","Minas Gerais","Joanésia",NA,"-42.6786003112793","-19.1721992492676","21197",NA,"Arbórea; Mata ciliar","BHCB046382",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2014-09-05 21:17:00-03","MO","MOBOT","1414326","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","E. Tameirão Neto|G. S. França","Tameirão Neto 976","1993","11","3","South America","Brazil","Mato Grosso",NA,"Mata Ciliar. Joanésia. Rio Santo Antônio, UHE Porto Estrela.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"H. van der Werff (MO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2009-12-05 05:17:00-02","MO","MOBOT","2075757","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","Gert G. Hatschbach|Maria M. Hatschbach|J.M. Silva","Hatschbach 71520","2000","10","22","South America","Brazil","Espírito Santo",NA,"Rancho Dantas (Mun. Brejetuba). Floresta atlântica.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"H. van der Werff (MO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2009-10-26 23:35:00-02","MO","MOBOT","2075758","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","Ludwig Riedel","Riedel 487",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C. Mez, 1887/88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2014-10-11 05:24:00-03","MO","MOBOT","2159075","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","Heinrich K. Beyrich","Beyrich s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C. Mez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","483688","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","A. F. M. Glaziou","18440","1890","10","6","South America - Neotropics","Brazil","Rio de Janeiro","Nova Friburgo","Alto Macaé","-42.5311012268066","-22.2819004058838","33190",NA,NA,"US01348386","US01348386_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"18","2019-11-13 11:21:08-03","USP","SPF","197907","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","Santos, MF","236","2008","03","13",NA,"Brasil","Minas Gerais","Itambé do Mato Dentro","APA Parque Nacional da Serra do Cipó, Distrito de Santana do Rio Preto (Cabeça de Boi).","-43.432861","-19.431861",NA,NA,NA,"SPF00197907",NA,NA,NA,"Assis, LCS","2008",NA,NA,"-43.432861","-19.431861",NA,NA,NA,NA,NA,NA
"19","2019-11-13 11:21:08-03","USP","SPF","164543","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","Hatschbach, G","71520","2000","10","22",NA,"Brasil","Espírito Santo","Brejetuba","Rancho Dantas.","-41.2902984619141","-20.1460990905762","23265",NA,NA,"SPF00164543",NA,"auto",NA,"Werff, H van der","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-10-07 09:22:59-03","UEFS","HUEFS","146727","PreservedSpecimen","Plantae","Angiospermae","Laurales","Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","Hatschbach, G.","71520","2000","10","22",NA,"Brasil","São Paulo","Brejetuba","Rancho Dantas.",NA,NA,NA,NA,NA,"HUEFS0146727","HUEFS0146727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnolianae",NA,NA
"21","2019-10-07 09:22:59-03","UEFS","HUEFS","82980","PreservedSpecimen","Plantae","Angiospermae","Laurales","Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","Hatschbach, G.","71520","2000","10","22",NA,"Brasil","Espírito Santo","Brejetuba","Rancho Datas","-41.2902984619141","-20.1460990905762","23265",NA,NA,"HUEFS0082980","HUEFS0082980","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnolianae",NA,NA
"22","2019-09-04 18:31:10-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii",NA,"Beyrich",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"23","2019-09-04 18:31:11-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii",NA,"L. Riedel","487",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"24","2019-01-25 15:41:52-02","IAC","IAC","48984","S","Plantae",NA,NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","J.A.M.A. Gomes; L.C. Bernacci; O.A. Santos; S. Santos & F.J. Benedetti","340","2006","11","01",NA,"Brasil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela G (Parque Estadual da Serra do Mar, Núcleo Picinguaba)","-45.080223","-23.373498",NA,NA,"subparcela 30, indivíduo G 489",NA,NA,NA,NA,"J.B. Baitello","2006","11","01","-45.080223","-23.373498",NA,NA,NA,NA,NA,NA
"25","2020-07-23 12:09:32-03","CEPLAC","CEPEC","102829","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii",NA,"G. Hatschbach","71520","2000","10","22",NA,"Brasil","São Paulo","BREJATUBA","Rancho Dantas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"H. van der Werff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2003"
"26","2020-07-23 12:09:32-03","CEPLAC","CEPEC","136740","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii",NA,"C. M. Vieira","404","1993","09","11",NA,"Brasil","Rio de Janeiro","nova friburgo","Macaé de Cima, fazenda Ouro Verde, margem do Rio das Flores.","-42.5311012268066","-22.2819004058838","33190",NA,NA,NA,NA,"auto",NA,"L. C. S. Assis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-12 17:00:43-03","UEL","FUEL","40590","PreservedSpecimen","Plantae","Tracheophyta","Laurales","Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","Ciello-Filho, R; Ivanauskas, NM; D. de Souza","371","2005","03","13",NA,"Brasil","São Paulo","Peruíbe","Parque Estadual da Serra do Mar, Núcleo Pedro de Toledo, Trilha do Rio do Ouro - SAD69 &nf;73.234190 S 29.215100 W","-46.9900016784668","-24.3199996948242","21922",NA,NA,"FUEL004417",NA,"auto",NA,"Baitello, JB","2005","12","04",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-12 17:00:43-03","UEL","FUEL","22753","PreservedSpecimen","Plantae","Tracheophyta","Laurales","Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","Alexandre Francisco da Silva","167","1979","08","06",NA,"Brasil","São Paulo","Ubatuba","Estação Experimental de Ubatuba","-45.0699996948242","-23.4300003051758","34265",NA,NA,"FUEL004418",NA,"auto",NA,"Baitello, JB","1999","10","13",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-04 15:44:06-03","IF","SPSF","35065","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","beyrichii","Ocotea beyrichii",NA,"H.F.Leitão-Filho","10231","1997","07","14","América do Sul","Brasil","SP","Ubatuba","Estação Experimental do IAC","-45.0699996948242","-23.4300003051758","34265",NA,"COLETA: XLS: SPSFNovo;&nf;Arvore 10m altura, flores creme esverdeadas; GEOGRAFIA: EX-UEC;",NA,NA,"auto",NA,"J.B.Baitello","2005","08","03",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA
"30","2017-09-11 17:10:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lauraceae","Oreodaphne","beyrichii","Oreodaphne beyrichii","Nees","Beyrich, HC","s.n.",NA,NA,NA,NA,"?",NA,NA,"in sylvis mont. Serra de Estrella, prov. Sebastianopolitanae",NA,NA,NA,NA,"Dryas; HABITAT: Dryas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2014-09-23 10:58:07-03","G","G","G00369229","S","Plantae",NA,NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","Riedel, L.","487",NA,NA,NA,"AMERIQUE DU SUD","Brazil",NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site","G00369229",NA,NA,"ISOTYPUS of Mespilodaphne attenuata Meisn.","Rohwer, J. G.","1984","01","01","-53.08972222","-10.77305556",NA,NA,NA,NA,NA,NA
"32","2014-09-23 10:58:07-03","G","G","G00369228","S","Plantae",NA,NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","Riedel, L.","487",NA,NA,NA,"AMERIQUE DU SUD","Brazil",NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site","G00369228",NA,NA,"ISOTYPUS of Mespilodaphne attenuata Meisn.","Rohwer, J. G.","1984","01","01","-53.08972222","-10.77305556",NA,NA,NA,NA,NA,NA
