"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","infraspecificEpithet","scientificNameAuthorship","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class","sex"
"11","2008-05-27 22:02:00-03","MO","MOBOT","1485904","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea",NA,"José M. Manzanares","Manzanares Vilaplana 5865","South America","Ecuador","Carretera de Alto Tambo la Puntilla Km 14.2.","900.00000000",NA,NA,NA,NA,NA,"1995","8",NA,"J. M. Manzanares (QCNE)",NA,NA,NA,"Esmeraldas","San Lorenzo","-78.58333","0.98333",NA,NA,NA,"(André) André ex Mez",NA,NA,NA,NA,NA,NA
"12","2011-02-22 16:30:00-03","MO","MOBOT","2113005","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea",NA,"Édouard-François André","André 3369","South America","Colombia","Hab. Altaquer.",NA,NA,NA,NA,NA,NA,"1876","5","23",NA,NA,NA,NA,"Nariño",NA,NA,NA,NA,NA,NA,"(André) André ex Mez",NA,NA,NA,NA,NA,NA
"13","2014-02-14 14:02:00-02","MO","MOBOT","2381847","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea",NA,"José M. Manzanares|L. Pieters|R. Romero","Manzanares Vilaplana 8035","South America","Ecuador","San José de Tambo","2166.00000000",NA,NA,NA,NA,NA,"2003","3","27",NA,NA,NA,NA,"Bolívar","Chillanes","-79.1205556","-1.9202778",NA,NA,NA,"(André) André ex Mez",NA,NA,NA,"1",NA,NA
"14","2011-01-14 16:07:00-02","MO","MOBOT","2384635","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea",NA,"John L. Clark","Clark 6191","South America","Ecuador","Cerro Montecristi (ca, 1 km of the town of Montecristi). Semideciduos dry/fog forest.","550.00000000",NA,NA,NA,NA,NA,"2001","1","29",NA,NA,NA,NA,"Manabí","Jipijapa","-80.66194","-1.05138",NA,NA,NA,"(André) André ex Mez",NA,NA,NA,NA,NA,NA
"15","2010-07-24 20:12:00-03","MO","MOBOT","3000677","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea",NA,"Édouard-François André","André 3369 620","South America","Colombia","In Corx: mered. des Andes de Colombia pres d'Allaguer.","1060.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(André) André ex Mez",NA,NA,NA,NA,NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","601016","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea",NA,"Michael T. Madison|Elizabeth L. Besse","Madison 7160","South America","Ecuador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H. Luther (SEL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(André) André ex Mez",NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","608008","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea",NA,"Amy J. Gilmartin","Gilmartin 771","South America","Ecuador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manabí",NA,NA,NA,NA,NA,NA,"(André) André ex Mez",NA,NA,NA,NA,NA,NA
"18","2014-12-08 11:22:00-02","MO","MOBOT","608174","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea",NA,"Camilo Díaz S.|et al.","Díaz Santibáñez 6348","South America","Peru","Matapalo, zona El Caucho-Campo Verde. Parcela E evaluación permanente. Colectado con H. Osores, M. Romero, M. Carero, R. Ocaña, A. Grandez, H. Díaz & D. Díaz.","500.00000000",NA,NA,NA,NA,NA,"1993","2","12","Eric J. Gouda (U)",NA,NA,NA,"Tumbes","Zarumilla","-80.25833","-3.84138",NA,NA,NA,"(André) André ex Mez",NA,NA,"190","3",NA,NA
"19","2012-05-31 17:53:00-03","MO","MOBOT","1706264","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea brevipedicellata",NA,"José M. Manzanares|H. van Durme|Pablo Manzanares","Manzanares Vilaplana 6073","South America","Ecuador","Carretera de Lita hacia Alto Tambo, km 16.","1010.00000000",NA,NA,NA,NA,NA,"1996","8","22","J. Manzanares (QCNE)",NA,NA,NA,"Esmeraldas","San Lorenzo","-78.48333","0.9",NA,NA,"brevipedicellata","Gilmartin",NA,NA,NA,NA,NA,NA
"20","2009-07-31 06:58:00-03","MO","MOBOT","2117066","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea brevipedicellata",NA,"Calaway H. Dodson|Alwyn H. Gentry","Dodson 9579a","South America","Ecuador","Paraiso, 3 km W of Alluriquin on road from Santo Domingo to Quito.","750.00000000",NA,NA,NA,NA,NA,"1980","3","21","H.E. Luther",NA,NA,NA,"Pichincha",NA,"-78.9833","-0.31667",NA,NA,"brevipedicellata","Gilmartin",NA,NA,"18",NA,NA,NA
"21","2010-02-14 00:26:00-02","MO","MOBOT","2384653","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea brevipedicellata",NA,"Harry E. Luther|W. John Kress|Cheryl S. Roesel","Luther 1214","South America","Ecuador","km 3 Alluriquin-Tinalandia. Citrus grove","1100.00000000",NA,NA,NA,NA,NA,"1988","2","18",NA,NA,NA,NA,"Pichincha","Santo Domingo de Los Colorados","-78.98333","-0.31666",NA,NA,"brevipedicellata","Gilmartin",NA,NA,NA,NA,NA,NA
"22","2008-05-27 22:02:00-03","MO","MOBOT","1563114","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea comosa",NA,"José M. Manzanares","Manzanares Vilaplana 6948","South America","Ecuador","Cultivado en la colección de bromelias de J. Manzanares, en Nanegal.",NA,NA,NA,NA,NA,NA,"2000","1",NA,"J. Manzanares (QCNE)",NA,NA,NA,"Pichincha","Quito","-78.68333","0.13333",NA,NA,"comosa","H. Luther",NA,NA,NA,NA,NA,NA
"23","2012-10-26 08:40:00-02","MO","MOBOT","2384662","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea comosa",NA,"Harry E. Luther","Luther 95-291","South America","Ecuador","Lita-Alto Tambo.","600.00000000","700.00000000",NA,NA,NA,NA,"1997","12","24",NA,NA,NA,NA,"Esmeraldas","San Lorenzo","-78.5","0.91666",NA,NA,"comosa","H. Luther",NA,NA,NA,NA,NA,NA
"24","2008-05-27 22:02:00-03","MO","MOBOT","601495","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea erecta",NA,"Alwyn H. Gentry|Rosa Ortiz|Cesár A. Grández|Nestor Jaramillo","Gentry 76418","South America","Peru","Constancia, Quebrada Tamshiyacu, upland forest on white clay, thick root mat. Non-transect","160.00000000",NA,NA,NA,NA,NA,"1992","3","29","W. Till (WU)",NA,NA,NA,"Loreto",NA,"-72.75","-4.25",NA,NA,"erecta","(André) Mez",NA,NA,"892","4",NA,NA
"25","2020-09-12 05:00:02-03","US","US","2504162","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea brevipedicellata","Holotype","A. J. Gilmartin","888","South America - Neotropics","Ecuador","Km 97 Duran - Tambo.","1100","1100",NA,NA,"US00091290","US00091290_01","1964","3","22",NA,NA,NA,NA,"Cañar",NA,NA,NA,NA,NA,"brevipedicellata","Gilmartin",NA,NA,NA,"1","Monocotyledonae",NA
"26","2021-04-05 12:31:07-03","UNIVASF","HVASF","16055","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Guzmania","sanguinea","Guzmania sanguinea",NA,"J.A. Siqueira Filho","2848","América do Sul","Brasil","Serra de Maranguape, na trilha para Pico da Rajada","968","968",NA,"Epífita sob árvores idosas. Na época da floração apresenta a base adaxial de suas folhas centrais róseas. Inflorescência submersa na água. Flores longo tubulosas, com 9 cm compr., corola amarelo-esverdeada com amarelo mais intenso na base e pétalas com ápice cuculado. Único registro no Brasil nesta região. Bromeliário Biouniverso 700. Florida em 27/06/2012 em cultivo no VIVASF 152.","HVASF016055","HVASF016055_v01 HVASF016055_v02","2006","12","16","J.A. Siqueira Filho","2012","06","27","Ceará","Maranguape",NA,NA,NA,NA,NA,"(André) André ex Mez","9999.000000","9999.000000",NA,NA,NA,"U"
