"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","individualCount","coordinatePrecision","geoFlag","previousCatalogNumber"
"11","2015-02-10 11:45:53-02","BM","SOLANACEAE_SOURCE_BR","40377","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho",NA,"Miers, J.","1770","Southern America","Brazil",NA,NA,NA,"BM000994903",NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:35:43-03","NBC","NL-BOTANY","U.1740476","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho",NA,"Jansen-Jacobs MJ; Welle BJH ter; James V; Andrew R",NA,"Southern America","Guyana","Rupununi Distr., Jerome's Place. Old farm.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1740476 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1740476","NL-U1740476","1995","09","09",NA,NA,"-59.783333","2.7",NA,NA,"Magnoliopsidae","-59.783333","2.7","U 0233549",NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 10:35:43-03","NBC","NL-BOTANY","U.1740477","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho",NA,"Jansen-Jacobs MJ; Welle BJH ter; James V; Andrew R",NA,"Southern America","Guyana","Rupununi Distr., Jerome's Place. Old farm.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1740477 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1740477","NL-U1740477","1995","09","09",NA,NA,"-59.783333","2.7",NA,NA,"Magnoliopsidae","-59.783333","2.7","U 0233548",NA,NA,NA,NA,NA,NA,NA
"14","2020-12-11 11:41:58-03","UFMG","BHCB","143462","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho",NA,"Souza, VC de; Souza, JP; Romão, GO; Elias, SI","26142","Southern America","Brasil","Cerca de 1 km S de Rio de Contas. Próximo à Cachoeira dos Fragas.",NA,"Erva; flores verdes.; Transição caatinga-cerrado com afloramento rochoso.","BHCB016108",NA,"2001","07","16","Bahia","Rio de Contas","-41.821944","-13.595833","1100","1100",NA,"-41.821944","-13.595833",NA,"2010","09","16",NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","1570315","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho",NA,"E. H. Ule","s.n.","South America - Neotropics","Brazil","Jacarépajua.",NA,NA,"US02848853","US02848853_01","1897","4",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","3374641","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho","Nee, M. H.","M. J. Jansen-Jacobs, B. Welle, V. James & R. Andrew","5070","South America - Neotropics","Guyana","Jerome's Place, Talidku Mt., Rupununi Dist.",NA,NA,"US00617760",NA,"1995","9","9","U. Takutu-U. Essequibo",NA,"-59.78","2.7","140",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","1617142","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho",NA,"F. C. Hoehne","30089/128","South America - Neotropics","Brazil","Tijuca.",NA,NA,"US02848854","US02848854_01","1917","3",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"18","2020-09-12 05:00:02-03","US","US","3189202","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho",NA,"C. de Rojas & F. Rojas","3755","South America - Neotropics","Venezuela",NA,NA,NA,"US02848851",NA,"1987","12","10",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","1343856","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho",NA,"J. Miers","s.n.","South America - Neotropics","Brazil","Macahé. East Coast of Province of Rio de Janeiro.",NA,NA,"US02848852","US02848852_01",NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"20","2019-11-13 11:32:09-03","USP","SPF","49060","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho","Bidá, A","Harley, RM","24346",NA,"Brasil",NA,NA,NA,"SPF00049060",NA,"1987","02","17","Bahia","Jussiape","-41.5924987792969","-13.5166997909546",NA,NA,NA,NA,NA,NA,"1988","09",NA,NA,"26624","auto",NA
"21","2019-10-07 09:18:11-03","UEFS","HUEFS","64066","PreservedSpecimen","Plantae","Angiospermae","Solanales","Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho",NA,"Harley, R.M.","24346",NA,"Brasil","Água empoçada à margem do rio de Contas, próximo da cidade. Cachoeira da Fraga.",NA,NA,"HUEFS0064066","HUEFS0064066","1987","02","17","Bahia","Jussiape","-41.5924987792969","-13.5166997909546",NA,NA,"Asteranae",NA,NA,NA,NA,NA,NA,NA,"26624","auto",NA
"22","2015-03-07 08:29:04-03","F","FMNH-SEEDPLANTS","V0126605F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"V0126605F","V0126605F_01",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-03-07 08:29:04-03","F","FMNH-SEEDPLANTS","V0126606F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"V0126606F","V0126606F_01",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2015-02-26 09:30:39-03","NHMLondon","NHM-LONDON-BOT","BM000994901","S","Plantae",NA,NA,"Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho",NA,"Jacques Samuel Blanchet; b.1807; d.1875; Blanchet","3283",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4344974"
"25","2015-02-26 09:30:39-03","NHMLondon","NHM-LONDON-BOT","BM000994902","S","Plantae",NA,NA,"Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho",NA,"E.F. Glocker","s.n.",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4344975"
"26","2016-08-23 10:22:57-03","NHMLondon","NHM-LONDON-BOT","BM000994903","S","Plantae",NA,NA,"Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho",NA,"John Miers; b.1789; d.1879; Miers","1770",NA,"Brasil","km 29 Rio - Petropolis 'Camboaba'",NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4344976"
"27","2016-08-23 10:22:57-03","NHMLondon","NHM-LONDON-BOT","BM000994904","S","Plantae",NA,NA,"Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho",NA,"H_545; Herb John Miers - Bequeathed 1879","s.n.",NA,"Brasil","km 29 Rio - Petropolis 'Camboaba'",NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4344977"
"28","2017-09-11 17:14:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Solanaceae","Schwenckia","longiseta","Schwenckia longiseta","Casar.",NA,"?","s.n.","Southern America","Brazil","In prov. Rio de Janeiro montibus d'Estrella",NA,"Pl. Dryas",NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-02-06 10:42:00-03","IBt","SP","350015","S","Plantae",NA,NA,"Solanaceae","Schwenckia","lateriflora","Schwenckia lateriflora","(Vahl) Carvalho","Bidá, A","Harley, RM; et al.","24346",NA,"Brasil","Margem do Rio Sontas",NA,NA,"SP115825","SP115825","1987","02","17","Bahia","Jussiapê","-41.5924987792969","-13.5166997909546",NA,NA,NA,NA,NA,NA,"1988",NA,NA,NA,"26624","auto",NA
