"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","dayIdentified","recordNumber","locality","barcode","imagecode","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class"
"11","2020-07-10 09:44:23-03","MBML","MBML-HERBARIO","42767",NA,"Plantae",NA,NA,"Bromeliaceae","Billbergia","aff. lietzei","Billbergia aff. lietzei","E.Morren","T.S. Coser/07-06-2011",NA,NA,"T.S. Coser; V.B. Sarnaglia-Junior & M.S. Wangler","2011","06","07","Brasil","Espírito Santo","Colatina","-40.816111","-19.596667",NA,NA,"Planta terrestre em mata nebular. população restrita com ca 10 ind., folhas fortemente canaliculadas, lâminas com pintas brancas e margens, por vezes, levemente vináceas. Inflorescência verde, pois estava em frutificação. As pintas nas",NA,NA,"470","Estrada de terra para Itaguaçu. Torre TV Pontal. Afloramento rochoso nas adjacências","MBML042767","MBML042767",NA,"40W48'58","19S35'48",NA,NA,NA
"12","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","12847",NA,"Plantae",NA,NA,"Bromeliaceae","Billbergia","lietzei","Billbergia lietzei","E.Morren","T.S. Coser/21-06-2011",NA,NA,"V. Demuner; et al","2000","06","20","Brasil","Espírito Santo","Santa Teresa","-40.824722","-19.888889",NA,NA,"Terrestre, brácteas avermelhadas, pétalas marrons. Voltando da torre. Início de vegetação secundária, lado esquerdo.",NA,NA,"1194","Pedra Alegre","MBML012847","MBML012847",NA,"40W49'29","19S53'20",NA,NA,NA
"13","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","12848",NA,"Plantae",NA,NA,"Bromeliaceae","Billbergia","lietzei","Billbergia lietzei","E.Morren","T.S. Coser/21-06-2011",NA,NA,"V. Demuner; et al","2000","06","20","Brasil","Espírito Santo","Santa Teresa","-40.824722","-19.888889",NA,NA,"Terrestre, brácteas vermelhas, pétalas amarelas. Voltando da torre. Início de vegetação secundária, lado esquerdo.",NA,NA,"1195","Pedra Alegre","MBML012848","MBML012848",NA,"40W49'29","19S53'20",NA,NA,NA
"14","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","12867",NA,"Plantae",NA,NA,"Bromeliaceae","Billbergia","lietzei","Billbergia lietzei","E.Morren","T.S. Coser/21-06-2011",NA,NA,"V. Demuner; et al","2000","06","20","Brasil","Espírito Santo","Santa Teresa","-40.824722","-19.888889",NA,NA,"Terrestre, frutos esverdeados. Brácteas e escapo floral e rupícola vermelha, pétala amarela. Voltando da torre. Início de vegetação secundária, lado esquerdo.",NA,NA,"1171","Pedra Alegre","MBML012867","MBML012867",NA,"40W49'29","19S53'20",NA,NA,NA
"15","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","16704",NA,"Plantae",NA,NA,"Bromeliaceae","Billbergia","lietzei","Billbergia lietzei","E.Morren","T.S. Coser/21-06-2011",NA,NA,"A. P. Fontana; et al","2002","04","20","Brasil","Espírito Santo","Santa Teresa","-40.620556","-19.931111",NA,NA,"Terrestre, folhas verdes com partes abaxial com tricomas brancos, inflorescência com brácteas rosas, flores com cálice rosa e corola verde com ápice amarelado. HERB/CULTI.",NA,NA,"345","São Lourenço","MBML016704","MBML016704",NA,"40W37'14","19S55'52",NA,NA,NA
"16","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","20958",NA,"Plantae",NA,NA,"Bromeliaceae","Billbergia","lietzei","Billbergia lietzei","E.Morren","T.S. Coser/21-06-2011",NA,NA,"A. P. Fontana; et al","2003","05","10","Brasil","Espírito Santo","Santa Teresa","-40.620556","-19.931111",NA,NA,"Terrestre, brácteas e cálice rosas e corola amarela com ápice e roxo.",NA,NA,"590","São Lourenço","MBML020958","MBML020958",NA,"40W37'14","19S55'52",NA,NA,NA
"17","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","31886",NA,"Plantae",NA,NA,"Bromeliaceae","Billbergia","lietzei","Billbergia lietzei","E.Morren","T.S. Coser/21-06-2011",NA,NA,"J. Rossini; L. C. Rossini","2007","08","23","Brasil","Espírito Santo","Itaguaçu","-40.934722","-19.751111",NA,NA,"Rupícola, base foliar esbranquiçada com mancha rosácea, pedúnculo, brácteas e cálice rosas. Corola amarelo-esverdeada, pólen laranja.",NA,NA,"672","Cachoeirão, propriedade do Sr. Ilario Lopes","MBML031886","MBML031886",NA,"40W56'5","19S45'4",NA,NA,NA
"18","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","40349",NA,"Plantae",NA,NA,"Bromeliaceae","Billbergia","lietzei","Billbergia lietzei","E.Morren","T.S. Coser/21-06-2011",NA,NA,"A. P. Fontana; K.A. Brahim, L. Kollmann & R. R. dos Santos","2007","03","23","Brasil","Espírito Santo","Santa Maria de Jetibá","-40.727833","-20.07",NA,NA,"Terrestre, na sombra. Frutos verdes",NA,NA,"3108","Rio das Pedras, prop. do Sr. Emílio Feich. Floresta Ombrófila Aberta, mata de encosta","MBML040349","MBML040349",NA,"40W43'40,2","20S4'12","910","910",NA
"19","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","42238",NA,"Plantae",NA,NA,"Bromeliaceae","Billbergia","lietzei","Billbergia lietzei","E.Morren","T.S. Coser/08-06-2011",NA,NA,"T.S. Coser; V.B. Sarnaglia-Junior & M.S. Wangler","2011","06","08","Brasil","Espírito Santo","Itarana","-40.849389","-19.969722",NA,NA,"Planta epífita baixa. Escapo e raquis avermelhado, brácteas escapais e florais vermelhas com ápice vináceo. Pétalas amarelas com ápice lilás. Quando em fruto, escapo, ovário e sepálas ficam verdes, as brácteas primárias castanhas",NA,NA,"475","Alto Limoeiro para Alto Jatibocas","MBML042238","MBML042238",NA,"40W50'57,8","19S58'11",NA,NA,NA
"20","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","42241",NA,"Plantae",NA,NA,"Bromeliaceae","Billbergia","lietzei","Billbergia lietzei","E.Morren","T.S. Coser/08-06-2011",NA,NA,"T.S. Coser; V.B. Sarnaglia-Junior & M.S. Wangler","2011","06","08","Brasil","Espírito Santo","Itarana","-40.849389","-19.969722",NA,NA,"Planta epífita baixa. Escapo e raquis avermelhado, brácteas escapais e florais vermelhas com ápice levemente esverdeado. Ovário e sépalas vermelhas com ápice vináceo. Pétalas amarelas com ápice lilás. Quando em fruto, escapo, ovário e",NA,NA,"474","Alto Limoeiro para Alto Jatibocas.","MBML042241","MBML042241",NA,"40W50'57,8","19S58'11",NA,NA,NA
"21","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","19476",NA,"Plantae",NA,NA,"Bromeliaceae","Billbergia","lietzei","Billbergia lietzei","E.Morren","T.S. Coser/21-06-2011",NA,NA,"J. R. Santos; et al","2001","06","03","Brasil","Espírito Santo","Santa Maria de Jetibá","-40.626944","-20.35",NA,NA,"Mata de encosta. Terrestre em ambiente luminoso. Folha com base branca a avermelhada, ápice verde com manchas brancas. Brácteas escapais e florais vermelhas. Pendúnculo vermelho. Sépalas vermelhas com ápice lilás. Pétalas amarelas esve",NA,NA,"14","São José do Rio Claro","MBML019476","MBML019476",NA,"40W37'37","20S20'60",NA,NA,NA
"22","2020-09-12 05:00:02-03","US","US","3149456","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Billbergia","lietzei","Billbergia lietzei","É. Morren",NA,NA,NA,"W. Boone","1985","7","23","Brazil","Espírito Santo",NA,NA,NA,NA,"1",NA,NA,NA,"593","Santa Teresa, São João de Petrópolis, E.A.F.S.T.",NA,NA,"South America - Neotropics",NA,NA,NA,NA,"Monocotyledonae"
"23","2017-09-11 17:09:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Billbergia","lietzei","Billbergia lietzei","E.Morren",NA,NA,NA,"?",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"s.n.","Habitat in Brasiliae orientalis prov. Rio de Janeiro, unde in caldaria nostra introduxit Lietze. Spontanea adhuc ignota (herb. Leod.)",NA,NA,"Southern America",NA,NA,NA,NA,NA
"24","2019-11-21 10:02:33-03","IBt","SP","345314","S","Plantae",NA,NA,"Bromeliaceae","Billbergia","lietzei","Billbergia lietzei","É.Morren","Forzza, RC","2005",NA,"Costa, CB","2000","06","19","Brasil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094",NA,NA,"auto",NA,"319","Reserva Florestal Vale do Rio Doce, Trilha atrás do viveiro.","SP051013","SP051013",NA,NA,NA,NA,NA,NA
