"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","individualCount","coordinatePrecision","geoFlag","typeStatus"
"11","2011-09-08 12:10:00-03","MO","MOBOT","100409103","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","D.M. Johnson (OWU)","F. Sellow","Sellow s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"12","2021-03-03 13:56:07-03","UFF","NIT","NIT1216","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.",NA,"C. Baez; L. Moraes, P. Ervilha, A. Neto & C. Rosa.","340","2015","07","10",NA,"Brasil","Rio de Janeiro","Miguel Pereira",NA,"-43.4688987731934","-22.4538993835449",NA,NA,"NIT00001225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25640","auto",NA
"13","2021-02-09 10:12:03-03","UENF","HUENF","4621","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","Archanjo, K.M.P.A.","2119","2008","10","27",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Fazenda Palmeiras","-41.119722","-21.321667",NA,"Arbórea","HUENF00004624",NA,NA,NA,"41º7'11''W","21º19'18''S","2018","09","13","81","81",NA,NA,NA,NA
"14","2021-02-09 10:12:03-03","UENF","HUENF","262","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","Nascimento, M.T.; Da Silva, G.C.","516","1996","07","01",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,"MP4, Igual 204 e 509; sp.2","HUENF00000264",NA,NA,NA,"41º5'40''W","21º23'29''S","2018","09","14","39","39",NA,NA,NA,NA
"15","2021-02-09 10:12:03-03","UENF","HUENF","257","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","Nascimento, M.T.; Da Silva, G.C.","879","1996","09","02",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,"Embiu Preto, Igual 515, MD, sp.2","HUENF00000259",NA,NA,NA,"41º5'40''W","21º23'29''S","2018","09","14","39","39",NA,NA,NA,NA
"16","2021-02-09 10:12:03-03","UENF","HUENF","9187","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","Nascimento, M.T.; Da Silva, G.C.","772","1996","05","06",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,"sp 2.","HUENF00009191",NA,NA,NA,"41º5'40''W","21º23'29''S","2018","09","13","39","39",NA,NA,NA,NA
"17","2021-02-09 10:12:03-03","UENF","HUENF","263","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","Nascimento, M.T.; Da Silva, G.C.","585","1996","02","02",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,"MD5-Q1; sp.2","HUENF00000265",NA,NA,NA,"41º5'40''W","21º23'29''S","2018","09","14","39","39",NA,NA,NA,NA
"18","2021-02-09 10:12:03-03","UENF","HUENF","4441","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","Nascimento, M.T.; Rafaela","777","2003","09","11",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,"50x50","HUENF00004444",NA,NA,NA,"41º5'40''W","21º23'29''S","2018","09","13","39","39",NA,NA,NA,NA
"19","2021-02-09 10:12:03-03","UENF","HUENF","264","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","Nascimento, M.T.; Da Silva, G.C.","728","1996","04","29",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,"MD, sp.2","HUENF00000266",NA,NA,NA,"41º5'40''W","21º23'29''S","2018","09","14","39","39",NA,NA,NA,NA
"20","2021-02-09 10:12:03-03","UENF","HUENF","9213","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","s/c","1102","1996","09","02",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,NA,"HUENF00009217",NA,NA,NA,"41º5'40''W","21º23'29''S","2018","09","13","39","39",NA,NA,NA,NA
"21","2021-02-09 10:12:03-03","UENF","HUENF","250","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","Nascimento, M.T.; Da Silva, G.C.","1132","1996","06","03",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,"MD8","HUENF00000252",NA,NA,NA,"41º5'40''W","21º23'29''S","2018","09","14","39","39",NA,NA,NA,NA
"22","2021-02-09 10:12:03-03","UENF","HUENF","9248","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","s/c","515","2002","10","30",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,"Fogo; 5 x 5 m; L3-P3","HUENF00009252",NA,NA,NA,"41º5'40''W","21º23'29''S","2018","09","14","39","39",NA,NA,NA,NA
"23","2021-02-09 10:12:03-03","UENF","HUENF","4892","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","Archanjo, K.M.P.A.; Nascimento, M.T.","2119","2009","06","18",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Fazenda Palmeiras","-41.119722","-21.321667",NA,NA,"HUENF00004895",NA,NA,NA,"41º7'11''W","21º19'18''S","2018","09","13","81","81",NA,NA,NA,NA
"24","2021-02-09 10:12:03-03","UENF","HUENF","9361","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","s/c","777","1996","08","19",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,"sp.2; MD","HUENF00009365",NA,NA,NA,"41º5'40''W","21º23'29''S","2018","09","13","39","39",NA,NA,NA,NA
"25","2021-02-09 10:12:03-03","UENF","HUENF","260","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","Nascimento, M.T.; Da Silva, G.C.","509","1996","07","01",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,"MP4; Igual 516; sp.2","HUENF00000262",NA,NA,NA,"41º5'40''W","21º23'29''S","2018","09","14","39","39",NA,NA,NA,NA
"26","2021-02-09 10:12:03-03","UENF","HUENF","258","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","Nascimento, M.T.; Da Silva, G.C.","1102","1996","06","03",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,"MD, sp.2","HUENF00000260",NA,NA,NA,"41º5'40''W","21º23'29''S","2018","09","14","39","39",NA,NA,NA,NA
"27","2021-02-09 10:12:03-03","UENF","HUENF","3946","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","Souza, J.S.","1240","2002","07","03",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,NA,"HUENF00003949",NA,NA,NA,"41º5'40''W","21º23'29''S","2018","09","13","39","39",NA,NA,NA,NA
"28","2021-02-09 10:12:03-03","UENF","HUENF","4440","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","Nascimento, M.T.; Rafaela","1177","2003","09","11",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,"50x50","HUENF00004443",NA,NA,NA,"41º5'40''W","21º23'29''S","2018","09","13","39","39",NA,NA,NA,NA
"29","2021-02-09 10:12:03-03","UENF","HUENF","3948","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","Souza, J.S.","1648","2002","07","26",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,"5X5","HUENF00003951",NA,NA,NA,"41º5'40''W","21º23'29''S","2018","09","13","39","39",NA,NA,NA,NA
"30","2021-02-09 10:12:03-03","UENF","HUENF","259","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","Nascimento, M.T.; Da Silva, G.C.","204","1996","04","15",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,"MP2, sp.2","HUENF00000261",NA,NA,NA,"41º5'40''W","21º23'29''S","2018","09","14","39","39",NA,NA,NA,NA
"31","2021-02-09 10:12:03-03","UENF","HUENF","9243","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","s/c","522","2002","10","30",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,"Fogo; 5 x 5 m; Igual 515; L3-P3","HUENF00009247",NA,NA,NA,"41º5'40''W","21º23'29''S","2018","09","13","39","39",NA,NA,NA,NA
"32","2021-02-09 10:12:03-03","UENF","HUENF","958","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","A. Lobão","Nascimento, M.T.; Da Silva, G.C.","585","1996","02","02",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,"MD5-Q1","HUENF00000960",NA,NA,NA,"41º5'40''W","21º23'29''S","2018","09","14","39","39",NA,NA,NA,NA
"33","2020-09-02 16:19:44-03","Cenargen","CEN","41379","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","J. C. Lopes","Francisco das Chagas de Araujo Oliveira","1138","2000","10","29",NA,"Brasil","GO","SAO DOMINGOS","Gruta Terra Ronca.","-46.3575","-13.735555","Exsicatas","Árvore heliófita com cerca de 5 m de altura e 0,07 cm de DAP. Folhas cor verde, cartáceas; botões ferrugíneos. Doação do Herbário IBGE - Reserva Ecológica do IBGE. Plantas do Brasil - Goiás.","CEN00041379","CEN00041379",NA,NA,"-46.3575","-13.735555","2016","05",NA,"575","575","1",NA,NA,NA
"34","2019-10-07 09:23:19-03","UEFS","HUEFS","229666","PreservedSpecimen","Plantae","Angiospermae","Magnoliales","Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","M.L.Fonseca","Pereira, B.A.S.","3672","2010","03","23",NA,"Brasil","Goiás","Mambaí","Folha SD-23-Y-B. Vale do rio Paranã. Bacia do Tocantis.","-46.092222","-14.544444",NA,"Remanescente de floresta estacional ao longo de um afluente do rio Vermelho.","HUEFS0229666","HUEFS0229666","Magnolianae",NA,"46W5'32''","14S32'40''","2016","05",NA,"678","678",NA,NA,NA,NA
"35","2019-10-07 09:23:19-03","UEFS","HUEFS","229669","PreservedSpecimen","Plantae","Angiospermae","Magnoliales","Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","M.L.Fonseca","Pereira, B.A.S.","3639","2009","11","25",NA,"Brasil","Goiás","Mambaí","Folha SD-23-Y-B. Vale do rio Paranâ, tributário da bacia do Tocantis. Margem esquerda do rio Vermelho, afluente do rio Corrente.","-46.091111","-14.543611",NA,"Floresta de galeria, com afloramento de calcário.","HUEFS0229669","HUEFS0229669","Magnolianae",NA,"46W5'28''","14S32'37''","2016","05",NA,"689","689",NA,NA,NA,NA
"36","2019-09-04 18:50:32-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia",NA,NA,"F. Sellow","1972",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]"
"37","2019-11-21 09:58:28-03","IBt","SP","7974","S","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","Johnson, DM","Hoehne, FC","s.n.","1922","10","02",NA,"Brasil","São Paulo","São Paulo","Piassaguera","-46.6300010681152","-23.5400009155273",NA,NA,"SP009102","SP009102",NA,NA,NA,NA,"1989",NA,NA,NA,NA,NA,"53584","auto",NA
"38","2019-11-21 09:58:28-03","IBt","SP","7974a","Carpo","Plantae",NA,NA,"Annonaceae","Trigynaea","oblongifolia","Trigynaea oblongifolia","Schltdl.","Johnson, DM","Hoehne, FC","s.n.","1922","10","02",NA,"Brasil","São Paulo","São Paulo","Piassaguera","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,NA,NA,"1989",NA,NA,NA,NA,NA,"53584","auto",NA
