"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus","previousCatalogNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","00942396","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","P. A. Fryxell","H. S. Irwin","16982","1966","06","11","South America","Brazil","Mato Grosso",NA,"Ca. 30 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.32","-14.92","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1035957' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942396","NY00942396_01","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","407188","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","P. A. Fryxell","G. T. Prance","26096","1979","06","07","South America","Brazil","Mato Grosso",NA,"Hill slopes behind Acurizal, Rio Paraguai","-57.53","-17.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=322667' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407188","NY00407188_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00942404","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","P. A. Fryxell","G. M. Magalhaes","19059","1963","05","29","South America","Brazil","Minas Gerais","Santa Vitória","Clareira e margem da rodovia.","-50.1214","-18.8386","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1036582' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942404","NY00942404_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","407185","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","P. A. Fryxell","H. S. Irwin","31528","1971","03","05","South America","Brazil","Bahia","Barreiras","Valley of the Rio Ondas; upper slopes of Espigao Mestre, ca. 32km W. of Barreiras","-44.99","-12.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=322666' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407185","NY00407185_01","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","407186","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.",NA,"W. Gregory","9972","1959","03","19","South America","Brazil","São Paulo","Jaboticabal","Jaboticabal. Borde camino a Araraquara","-48.3197","-21.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=322668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407186","NY00407186_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00942391","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","A. Krapovickas","G. G. Hatschbach","62318","1995","05","05","South America","Brazil","Mato Grosso","Cáceres","Gleba Facão, rodovia para o Rio Jacobina.","-57.6789","-16.0708","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1035871' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942391","NY00942391_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00942394","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","A. Krapovickas","G. G. Hatschbach","66848","1997","08","13","South America","Brazil","Mato Grosso","Chapada dos Guimarães","Água Fria, 7 km na estrada para Rio Manso.","-55.7494","-15.4608","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1035953' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942394","NY00942394_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00942401","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.",NA,"W. H. Cross","s.n.","1984","02","06","South America","Brazil","Minas Gerais","Iturama","10 km W of Iturama.","-50.1956","-19.7283","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1036242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942401","NY00942401_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00942403","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","G. L. Esteves","G. L. Esteves","2477","1993","03","19","South America","Brazil","Minas Gerais",NA,"Mendanha, próximo ao Rio Jequitionha.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1036387' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942403","NY00942403_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00942392","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","G. L. Esteves","G. G. Hatschbach","34048","1974","02","11","South America","Brazil","Mato Grosso","Itiquira","Itaquira.","-54.1503","-17.2092","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1035877' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942392","NY00942392_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","407187","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","A. Krapovickas","N. Soria","3733","1989","05","07","South America","Paraguay","Amambay",NA,"Ao. Estrella. Prop. de G. Abraho","-56.33","-22.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=322664' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00942398","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.",NA,"W. Gregory","10149","1961","04","06","South America","Brazil","Goiás",NA,"Entre Morrinhos y rio Piracanjuba, camino a Caldas Novas.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1035960' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942398","NY00942398_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00942399","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","P. A. Fryxell","E. P. Heringer","16657","1977","01","05","South America","Brazil","Goiás","Caldas Novas","Serra de Caldas Novas. Termas do Rio Quente.","-48.6247","-17.7419","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1036019' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942399","NY00942399_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-02 16:29:01-03","CPAN-UFMS","COR","5880","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","Pott, V. J.","Pott, V. J.; Foster, R.","3748","1998","08","31",NA,"Brasil","Mato Grosso do Sul","Aquidauana","Córrego São João; à 25 km de Cipolândia","-55.324167","-19.935556",NA,"Arbusto com 1,5-1,8 m de altura; flor rosa Habito: Arbusto",NA,NA,NA,NA,"55º19'27''W","19º56'8''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-02-08 09:59:38-03","NBC","NL-BOTANY","U.1376745","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.",NA,"Hanke W",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Ro S. Lourenço. Mato Grosso.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1376745 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1376745","NL-U1376745",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-02-08 09:59:38-03","NBC","NL-BOTANY","WAG.1305903","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","Krapovickas A","Pedersen TM",NA,"1978","01","19","Southern America","Brazil","São Paulo",NA,"mun. Nova Granda: BR 153 Rm 47.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1305903 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1305903","NL-WAG1305903",NA,NA,NA,NA,"Magnoliopsidae","WAG0075295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-04 11:12:57-03","ESALQ","ESA","60838","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(Moore) Krap.","Krapovickas, A.","Hatschbach, G. et al.","66848.0","1997","08","13",NA,"Brasil","Mato Grosso","Chapada dos Guimarães",NA,"-55.749698638916","-15.460599899292",NA,NA,"ESA060838","ESA060838",NA,NA,NA,NA,NA,NA,"107042","auto",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-04 11:12:57-03","ESALQ","ESA","66139","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(Moore) Krap.","Krapovickas, A.","Hatschbach, G.","34048.0","1974","02","11",NA,"Brasil","Mato Grosso","Itiquira",NA,"-54.1502990722656","-17.2089004516602",NA,NA,"ESA066139","ESA066139",NA,NA,NA,NA,NA,NA,"148503","auto",NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-11-04 11:12:57-03","ESALQ","ESA","89523","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","Krapovickas, A.","Paula-Souza, J.; Ferrucci, M.S.; Duarte, A.R.; Rando, J.G.; Tsuji, R.","3999.0","2005","01","17",NA,"Brasil","Goiás","Abadiânia","Ca. 2km da BR 060 passando pelo povoado de Chapada. Beira de estrada","-48.706901550293","-16.2042007446289",NA,"Arbusto viscoso, 1m alt. Flores róseas com base vinácea internamente","ESA089523",NA,"815","815","-48,615,556","-16,141,944",NA,NA,"31693","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-04-02 02:00:53-03","UFPI","TEPB","2012","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S. Moore) Krapov.","G. L. Esteves","DEL' ARCO, M. R.",NA,"1981","04","14",NA,"Brasil","Piauí","Ribeiro Gonçalves","Estação Ecologica Uruçuí - Una","-45.2421989440918","-7.55833005905151",NA,"Subarbusto com flor rosea Ambiente: Cerrado",NA,NA,NA,NA,NA,NA,NA,NA,"121004","auto","1996","10","29",NA,NA,NA,NA,NA
"31","2020-11-19 10:24:15-03","CPAP","CPAP","16844","PreserverdSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","A. Krapovickas","Hatschbach, G.","62318","1995","05","05",NA,"Brasil","MT","Cáceres","Gleba Facão, rodovia para rio Jacobina","-57.6789016723633","-16.0706005096436",NA,"Arbusto delgado, 1,50m de altura. FLOR: rosada, base mais escura. FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Cerrado de solo rochoso. SUBSTRATO: . RELEVO: .",NA,NA,NA,NA,NA,NA,NA,NA,"172193","auto","1996",NA,NA,NA,NA,NA,NA,NA
"32","2020-11-19 10:24:15-03","CPAP","CPAP","17517","PreserverdSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","A. Krapovickas","Hatschbach, G.","66848","1997","08","13",NA,"Brasil","MT","Chapa dos Guimarães","Água Fria, 7Km na estrada para rio Manso",NA,NA,NA,"Arbusto delgado, 1m de altura. FLOR: rosada. FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Campo cerrado. SUBSTRATO: . RELEVO: .",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998",NA,NA,NA,NA,NA,NA,NA
"33","2020-11-19 10:24:15-03","CPAP","CPAP","18111","PreserverdSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","V. J. Pott","Pott, V. J.","3748","1998","08","31",NA,"Brasil","MS","Aquidauana","Córrego São João, 25Km de Rio Negro e 25km de Cipolândia","-55.324167","-19.935556",NA,"Arbusto, 1,5-1,8m de altura. FLOR: rosa. FRUTO: . INTERESSE: . FREQUÊNCIA: Raro. AMBIENTE: Borda de vereda de buriti e cerrado. SUBSTRATO: solo arenoso. RELEVO: levemente inclinado.",NA,NA,NA,NA,"55°19'27'' W","19°56'08'' S",NA,NA,NA,NA,"1998","11",NA,NA,NA,NA,NA,NA
"34","2020-11-19 10:24:15-03","CPAP","CPAP","7644","PreserverdSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.",NA,"Pott, A.","5594","1990","04","24",NA,"Brasil","MS","Corumbá","Fazenda Figueiral, Sub-região da Nhecolândia, Pantanal","-55.416667","-18.3",NA,"Subarbusto ereto. FLOR: rosa. FRUTO: . INTERESSE: Levantamento florístico. FREQUÊNCIA: Rara. AMBIENTE: Cerrado (Xylopia, Caryocar, Alibertia edulis) desmatado. Não alagável, com Brachiaria brizantha. SUBSTRATO: solo arenoso fértil. RELEVO: plano convexo.",NA,NA,"140","140","55°25' W","18°18' S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2015-07-02 14:02:45-03","JBP","HPL","8238","S","Plantae",NA,NA,"Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","A. Krapovickas","J.Paula-Souza, R. Tsuji et al.","3999","2005","01","17",NA,"Brasil","GO","Abadiânia","Coletado ca. 2km da BR-060 passando pelo povoado de Chapada, em beira de estrada. S 16° 08' 31; W 48° 36' 56 (815m.s.m.)","-48.7069","-16.2042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31693","auto","2005","10","10",NA,NA,NA,NA,NA
"36","2019-02-15 11:45:13-02","IPA","IPA","11601","S","Plantae","Plantae",NA,"Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S. Moore) Krapov.","Fryxell, P.","Andrade-Lima","58-3030","1958","04","09","Southern America","Brasil","Goiás","Aragarças","Próximo margem do Rio Araguaia.","-52.2508010864258","-15.897500038147",NA,"Subarbusto 1,50m; flor rósea-claro.","IPA0011601",NA,NA,NA,NA,NA,NA,NA,"44227","auto","1996",NA,NA,NA,NA,NA,NA,NA
"37","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0036257","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S. Moore) Krapov.","G. L. Esteves","G. Hatschbach","34048","1974","11","11",NA,"Brazil","Mato Grosso",NA,"Rio Corrente (Mun. Itiquira).","-54.9333","-17.0833",NA,"Erva ramosa, Im, flor rosada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0036258","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S. Moore) Krapov.","A. Krapovickas","G. Hatschbach; A. Pott, V. Pott, J. M. Silva","62318","1995","5","5",NA,"Brazil","Mato Grosso",NA,"Gleba Facão, rodovia para Rio Jacobina (Mun. Cáceres).","-57.6833","-16.0667",NA,"Arbusto delgado, 1.50 m, flor rosada, base mais escura.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-04-07 11:45:56-03","UFMS","CGMS","6737","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","V.J. Pott","V.J. Pott; R. Foster","3748","1998","08","31",NA,"Brasil","Mato Grosso do Sul","Rio Negro","Córrego São João, 25km de Rio Negro e 25km de Cipolândia.","-55.3241667","-19.9355555",NA,"Flor rosa. Habitat: Borda de vereda de buriti e cerrado. Solo arenoso. Relevo fortemente inclinado. Raro. Habito: Arbusto. 1,50-1,80m de altura.","CGMS1018814",NA,NA,NA,"-55,3241667","-19,9355555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-04-07 11:45:56-03","UFMS","CGMS","55389","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","V.J. Pott","A. Pott; V.J. Pott","15017","2008","03","21",NA,"Brasil","Mato Grosso do Sul","Alcinópolis","Monumento Natural Municipal Serra do Bom Jardim.","-53.7005556","-18.1294445",NA,"Flor rosa. Habitat: Vegetação secundária de cerradão. Solo arenoso escuro, sobre arenito. Relevo encosta superior de borda de serra. Esparsa. Habito: Erva subereta com base sublenhosa. 0,70 m de altura.","CGMS1085356",NA,"504","504","-53,7005556","-18,1294445",NA,NA,NA,NA,"2015","03","13",NA,NA,NA,NA,NA
"41","2019-08-20 10:17:51-03","UNICAMP","UEC","10116","S","Plantae","Magnoliopsida",NA,"Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","Esteves, GL","Heringer, EP","13109","1974","02","26",NA,"Brazil","Goiás","Serra de Caldas Novas",NA,NA,NA,NA,"Planta arecta, flores róseas, ramos pegajosos, de cerrado, coletado em margem da rodovia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1996","10",NA,NA,NA,NA,NA,NA
"42","2019-08-20 10:17:51-03","UNICAMP","UEC","24097","S","Plantae","Magnoliopsida",NA,"Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","Kraprovickas, A","Oliveira, L","s.n.","1981","03","01",NA,"Brazil","Mato Grosso do Sul","Parnaíba","Cultura de milho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1987","01",NA,NA,NA,NA,NA,NA
"43","2021-03-01 16:33:32-03","UNICAMP","UEC","195725","S","Plantae","Magnoliopsida",NA,"Malvaceae","Pavonia","hexaphylla","Pavonia hexaphylla","(S.Moore) Krapov.","Esteves, GL","Taxonomy class of Universidade de Brasília","1319","1999","02","05",NA,"Brazil","Distrito Federal","Brasília","Campus da Universidade de Brasília.","-47.9296989440918","-15.7797002792358",NA,"Arbusto 1,0; flores rosa claro.; Cerrado","UEC138165","UEC138165",NA,NA,NA,NA,NA,NA,"70570","auto","2013","09",NA,NA,NA,NA,NA,NA
